,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1554.95,1557.5,1525.0,1534.95,1534.95,11739.0
4223,2019-06-13,1575.0,1575.0,1520.0,1560.1,1560.1,33399.0
4222,2019-06-12,1626.0,1631.15,1564.75,1581.05,1581.05,11279.0
4221,2019-06-11,1637.95,1675.75,1611.3,1626.0,1626.0,21891.0
4220,2019-06-10,1650.0,1660.0,1632.25,1647.5,1647.5,19061.0
4219,2019-06-07,1670.0,1679.7,1636.05,1655.0,1655.0,10172.0
4218,2019-06-06,1677.55,1698.45,1668.1,1675.25,1675.25,16019.0
4217,2019-06-04,1678.9,1698.0,1661.7,1677.55,1677.55,8926.0
4216,2019-06-03,1700.0,1719.9,1671.0,1679.75,1679.75,25255.0
4215,2019-05-31,1640.0,1732.9,1600.0,1702.6,1702.6,302244.0
4214,2019-05-30,1577.0,1655.0,1532.35,1641.95,1641.95,132051.0
4213,2019-05-29,1524.4,1583.0,1502.25,1577.45,1577.45,142927.0
4212,2019-05-28,1494.35,1534.0,1477.45,1503.0,1503.0,105960.0
4211,2019-05-27,1470.0,1495.0,1470.0,1483.0,1483.0,8598.0
4210,2019-05-24,1455.95,1485.9,1450.0,1472.3,1472.3,14513.0
4209,2019-05-23,1455.85,1498.0,1455.85,1462.95,1462.95,7147.0
4208,2019-05-22,1482.1,1482.1,1445.0,1455.9,1455.9,6444.0
4207,2019-05-21,1501.25,1501.25,1442.25,1460.15,1460.15,28116.0
4206,2019-05-20,1415.25,1509.95,1415.25,1501.25,1501.25,35793.0
4205,2019-05-17,1405.05,1410.0,1390.1,1406.45,1406.45,47883.0
4204,2019-05-16,1407.65,1411.1,1396.0,1402.65,1402.65,1574.0
4203,2019-05-15,1382.2,1450.0,1382.2,1403.35,1403.35,4364.0
4202,2019-05-14,1420.0,1439.8,1400.0,1403.2,1403.2,118206.0
4201,2019-05-13,1440.05,1444.9,1414.25,1423.95,1423.95,25520.0
4200,2019-05-10,1454.6,1463.65,1433.3,1439.8,1439.8,3208.0
4199,2019-05-09,1473.8,1489.1,1440.0,1452.1,1452.1,19796.0
4198,2019-05-08,1452.0,1490.0,1452.0,1480.1,1480.1,6755.0
4197,2019-05-07,1473.0,1480.0,1442.0,1460.6,1460.6,15065.0
4196,2019-05-06,1488.0,1488.0,1455.5,1464.0,1464.0,1794.0
4195,2019-05-03,1458.15,1484.0,1428.0,1475.95,1475.95,134139.0
4194,2019-05-02,1442.0,1490.0,1442.0,1458.15,1458.15,66923.0
4193,2019-04-30,1452.25,1457.0,1441.0,1444.0,1444.0,5382.0
4192,2019-04-26,1458.15,1475.0,1450.05,1464.95,1464.95,3391.0
4191,2019-04-25,1456.0,1475.0,1456.0,1458.1,1458.1,2357.0
4190,2019-04-24,1486.55,1487.35,1451.35,1457.65,1457.65,15853.0
4189,2019-04-23,1498.0,1499.95,1470.0,1477.8,1477.8,322620.0
4188,2019-04-22,1488.05,1498.1,1473.1,1490.3,1490.3,6622.0
4187,2019-04-18,1519.95,1519.95,1491.3,1500.45,1500.45,35056.0
4186,2019-04-16,1490.75,1514.6,1488.0,1505.25,1505.25,34013.0
4185,2019-04-15,1494.15,1506.95,1486.9,1494.8,1494.8,14020.0
4184,2019-04-12,1469.2,1504.0,1469.2,1492.0,1492.0,59663.0
4183,2019-04-11,1442.3,1481.3,1436.1,1469.25,1469.25,14954.0
4182,2019-04-10,1477.7,1477.7,1440.0,1442.05,1442.05,7035.0
4181,2019-04-09,1494.9,1494.9,1436.25,1457.65,1457.65,16999.0
4180,2019-04-08,1483.0,1514.9,1466.2,1472.85,1472.85,11765.0
4179,2019-04-05,1501.95,1523.95,1480.0,1495.85,1495.85,9356.0
4178,2019-04-04,1513.0,1515.9,1487.3,1497.8,1497.8,7524.0
4177,2019-04-03,1530.55,1537.55,1501.5,1517.9,1517.9,7044.0
4176,2019-04-02,1559.05,1560.0,1510.1,1522.5,1522.5,20568.0
4175,2019-04-01,1560.0,1570.0,1551.5,1558.55,1558.55,4055.0
4174,2019-03-28,1577.75,1577.75,1551.45,1562.0,1562.0,10099.0
4173,2019-03-27,1584.95,1588.95,1560.0,1577.75,1577.75,59697.0
4172,2019-03-26,1563.75,1600.0,1546.45,1587.85,1587.85,35651.0
4171,2019-03-25,1550.0,1594.2,1550.0,1579.95,1579.95,64342.0
4170,2019-03-22,1546.0,1593.9,1546.0,1588.9,1588.9,11686.0
4169,2019-03-20,1575.0,1582.6,1531.75,1550.65,1550.65,13106.0
4168,2019-03-19,1584.4,1591.85,1551.5,1573.6,1573.6,27179.0
4167,2019-03-18,1586.0,1598.2,1562.8,1581.0,1581.0,5865.0
4166,2019-03-15,1587.0,1606.8,1543.3,1582.5,1582.5,80113.0
4165,2019-03-14,1589.75,1589.75,1555.0,1574.35,1574.35,27537.0
4164,2019-03-13,1573.5,1583.7,1550.2,1575.05,1575.05,8357.0
4163,2019-03-12,1571.9,1595.0,1536.15,1581.6,1581.6,22470.0
4162,2019-03-11,1521.4,1599.0,1521.4,1560.0,1560.0,16115.0
4161,2019-03-08,1553.85,1563.8,1530.0,1541.3,1541.3,2109.0
4160,2019-03-07,1542.95,1588.55,1541.0,1553.85,1553.85,17005.0
4159,2019-03-06,1579.95,1579.95,1518.0,1530.8,1530.8,16387.0
4158,2019-03-05,1570.05,1600.0,1565.0,1578.55,1578.55,20435.0
4157,2019-03-01,1616.9,1631.95,1580.0,1597.45,1597.45,18245.0
4156,2019-02-28,1593.0,1654.0,1579.3,1637.0,1637.0,219719.0
4155,2019-02-27,1561.0,1646.0,1540.05,1611.3,1611.3,277135.0
4154,2019-02-26,1499.9,1588.95,1465.3,1561.75,1561.75,100219.0
4153,2019-02-25,1427.0,1515.2,1412.0,1495.9,1495.9,68677.0
4152,2019-02-22,1387.1,1449.0,1387.1,1433.15,1433.15,8961.0
4151,2019-02-21,1441.0,1452.75,1395.0,1407.6,1407.6,9879.0
4150,2019-02-20,1385.0,1463.0,1371.0,1434.95,1434.95,94694.0
4149,2019-02-19,1340.0,1407.55,1340.0,1383.8,1383.8,30911.0
4148,2019-02-18,1340.05,1355.2,1332.6,1345.05,1345.05,10128.0
4147,2019-02-15,1368.95,1370.2,1329.6,1362.55,1362.55,14617.0
4146,2019-02-14,1354.25,1369.0,1330.1,1364.2,1364.2,121001.0
4145,2019-02-12,1370.7,1379.95,1369.0,1370.3,1370.3,60547.0
4144,2019-02-11,1390.15,1399.95,1370.6,1376.8,1376.8,33084.0
4143,2019-02-08,1404.55,1418.1,1390.1,1395.2,1390.2,129048.0
4142,2019-02-07,1383.1,1409.05,1381.15,1399.4,1394.385,6362.0
4141,2019-02-06,1379.05,1414.1,1372.9,1382.05,1377.0972,8027.0
4140,2019-02-05,1419.95,1419.95,1372.55,1378.6,1373.6594,9797.0
4139,2019-02-04,1413.0,1423.7,1402.8,1408.15,1403.1036,4730.0
4138,2019-02-01,1434.0,1435.0,1403.0,1412.9,1407.8365,109906.0
4137,2019-01-31,1449.05,1457.0,1391.55,1404.15,1399.1179,39847.0
4136,2019-01-30,1470.0,1470.05,1375.0,1449.05,1443.8571,37628.0
4135,2019-01-29,1427.8,1434.0,1399.3,1424.2,1419.0959,7753.0
4134,2019-01-28,1437.0,1438.35,1395.55,1400.15,1395.1323,52637.0
4133,2019-01-25,1453.75,1467.9,1439.95,1453.1,1447.8925,158813.0
4132,2019-01-24,1469.85,1479.9,1444.0,1450.7,1445.501,13666.0
4131,2019-01-23,1471.9,1473.2,1465.45,1469.75,1464.4828,4393.0
4130,2019-01-22,1469.95,1484.0,1468.5,1471.9,1466.6251,46973.0
4129,2019-01-21,1460.4,1477.25,1450.2,1469.95,1464.682,28613.0
4128,2019-01-18,1458.35,1480.0,1454.85,1477.55,1472.2549,13657.0
4127,2019-01-17,1458.95,1484.9,1445.55,1458.5,1453.2731,9679.0
4126,2019-01-16,1458.0,1467.3,1450.6,1455.2,1449.9849,5765.0
4125,2019-01-15,1478.0,1500.0,1450.55,1461.8,1456.5614,15510.0
4124,2019-01-14,1483.7,1483.7,1457.95,1465.6,1460.3477,4616.0
4123,2019-01-11,1503.9,1504.9,1470.05,1483.95,1478.6318,3525.0
4122,2019-01-10,1493.7,1509.7,1486.0,1496.4,1491.0374,18566.0
4121,2019-01-09,1505.45,1524.8,1475.1,1487.8,1482.4681,9539.0
4120,2019-01-08,1507.65,1510.0,1494.9,1500.35,1494.9731,24594.0
4119,2019-01-07,1491.35,1510.0,1480.05,1507.65,1502.2471,9340.0
4118,2019-01-04,1495.6,1514.0,1445.0,1480.05,1474.746,23810.0
4117,2019-01-03,1452.0,1514.0,1442.55,1495.6,1490.2401,149846.0
4116,2019-01-02,1429.7,1470.0,1411.55,1461.4,1456.1627,28518.0
4115,2019-01-01,1435.15,1435.45,1416.0,1420.4,1415.3097,8727.0
4114,2018-12-31,1432.9,1448.0,1401.5,1438.7,1433.5441,29236.0
4113,2018-12-28,1429.8,1436.0,1411.1,1423.2,1418.0996,204399.0
4112,2018-12-27,1402.0,1437.45,1402.0,1431.75,1426.619,17959.0
4111,2018-12-26,1405.1,1428.95,1392.45,1414.8,1409.7297,11391.0
4110,2018-12-24,1399.0,1427.95,1397.5,1421.3,1416.2065,9065.0
4109,2018-12-21,1435.0,1459.9,1385.0,1391.9,1386.9119,33919.0
4108,2018-12-20,1433.95,1449.85,1420.0,1425.75,1420.6405,19662.0
4107,2018-12-19,1441.05,1456.0,1422.0,1430.2,1425.0745,11119.0
4106,2018-12-18,1420.75,1460.0,1418.3,1427.75,1422.6333,10514.0
4105,2018-12-17,1440.05,1460.0,1416.05,1420.75,1415.6584,5556.0
4104,2018-12-14,1456.6,1489.7,1427.0,1443.9,1438.7255,19616.0
4103,2018-12-13,1438.0,1475.0,1432.0,1471.15,1465.8778,57914.0
4102,2018-12-12,1452.4,1462.55,1421.05,1450.35,1445.1523,94539.0
4101,2018-12-11,1399.95,1449.0,1382.5,1434.25,1429.11,21436.0
4100,2018-12-10,1376.05,1419.9,1350.0,1406.15,1401.1107,36897.0
4099,2018-12-07,1395.0,1405.0,1380.0,1389.85,1384.8691,9225.0
4098,2018-12-06,1401.8,1409.9,1371.95,1386.6,1381.6307,30520.0
4097,2018-12-05,1419.75,1426.0,1395.0,1399.8,1394.7836,7604.0
4096,2018-12-04,1400.2,1424.85,1400.2,1418.7,1413.6157,5072.0
4095,2018-12-03,1455.0,1455.0,1418.95,1426.1,1420.9893,9579.0
4094,2018-11-30,1432.0,1480.0,1426.45,1461.15,1455.9137,34206.0
4093,2018-11-29,1427.4,1434.7,1408.25,1421.25,1416.1566,241338.0
4092,2018-11-28,1393.15,1420.0,1382.45,1416.1,1411.025,544926.0
4091,2018-11-27,1370.0,1379.7,1358.0,1372.6,1367.6809,6961.0
4090,2018-11-26,1380.0,1384.9,1355.2,1369.65,1364.7416,9982.0
4089,2018-11-22,1400.1,1410.05,1366.05,1373.25,1368.3286,43312.0
4088,2018-11-21,1406.35,1413.0,1390.0,1393.9,1388.9047,34791.0
4087,2018-11-20,1444.75,1444.75,1406.05,1411.4,1406.3419,3852.0
4086,2018-11-19,1460.0,1460.0,1435.0,1439.3,1434.142,10839.0
