,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,390.0,394.85,376.55,392.55,392.55,9781949.0
4873,2019-06-13,391.0,393.75,385.4,389.75,389.75,4090388.0
4872,2019-06-12,391.0,397.0,385.25,391.4,391.4,7739283.0
4871,2019-06-11,396.0,397.8,384.0,389.95,389.95,13833555.0
4870,2019-06-10,402.0,405.8,394.05,402.05,402.05,4966075.0
4869,2019-06-07,405.0,406.9,395.1,399.25,399.25,4668474.0
4868,2019-06-06,411.25,413.5,402.6,404.15,404.15,3483633.0
4867,2019-06-04,414.8,417.9,409.1,411.15,411.15,3279047.0
4866,2019-06-03,411.0,418.6,407.5,416.8,416.8,4611475.0
4865,2019-05-31,414.8,417.1,406.05,409.85,409.85,5643400.0
4864,2019-05-30,421.25,422.7,411.2,412.75,412.75,9082367.0
4863,2019-05-29,418.05,427.8,403.55,423.8,423.8,28086149.0
4862,2019-05-28,417.0,420.5,410.2,412.75,412.75,7987111.0
4861,2019-05-27,416.95,421.5,411.55,414.85,414.85,3886561.0
4860,2019-05-24,416.7,418.0,411.65,415.75,415.75,3010407.0
4859,2019-05-23,425.0,427.0,410.2,412.95,412.95,5906044.0
4858,2019-05-22,409.0,423.55,408.0,421.2,421.2,7277731.0
4857,2019-05-21,414.2,423.75,405.65,408.85,408.85,6228488.0
4856,2019-05-20,420.0,429.0,410.2,413.5,413.5,3809738.0
4855,2019-05-17,409.05,416.0,401.7,409.1,409.1,7747301.0
4854,2019-05-16,411.5,419.6,379.05,412.4,412.4,25156049.0
4853,2019-05-15,420.0,424.5,407.1,409.75,409.75,7581005.0
4852,2019-05-14,406.05,424.5,403.25,419.45,419.45,18797497.0
4851,2019-05-13,437.75,437.75,344.55,398.1,398.1,24079258.0
4850,2019-05-10,437.0,442.65,434.45,437.75,437.75,3482485.0
4849,2019-05-09,436.0,442.7,431.55,439.35,439.35,3550114.0
4848,2019-05-08,447.75,449.85,433.45,439.15,439.15,4885249.0
4847,2019-05-07,456.0,456.0,446.45,448.2,448.2,4189385.0
4846,2019-05-06,448.0,455.9,446.45,453.15,453.15,3104707.0
4845,2019-05-03,455.0,456.2,448.85,453.25,453.25,2585548.0
4844,2019-05-02,456.95,461.7,450.5,452.2,452.2,3732218.0
4843,2019-04-30,464.0,464.0,446.0,457.65,457.65,6586352.0
4842,2019-04-26,464.0,469.4,462.6,464.1,464.1,2903286.0
4841,2019-04-25,465.25,474.6,459.5,461.0,461.0,5244937.0
4840,2019-04-24,469.1,470.0,462.5,469.35,469.35,2821522.0
4839,2019-04-23,453.0,472.4,453.0,468.55,468.55,5292341.0
4838,2019-04-22,464.0,465.05,452.4,454.5,454.5,1828896.0
4837,2019-04-18,463.9,466.0,456.7,463.2,463.2,3567327.0
4836,2019-04-16,459.45,464.5,458.65,462.55,462.55,2825105.0
4835,2019-04-15,465.3,466.8,457.5,458.65,458.65,3770497.0
4834,2019-04-12,467.0,468.5,462.3,465.05,465.05,3332732.0
4833,2019-04-11,465.25,470.9,461.6,465.55,465.55,4429596.0
4832,2019-04-10,468.0,479.9,467.35,471.95,471.95,3887388.0
4831,2019-04-09,457.25,472.4,454.8,470.95,470.95,4345243.0
4830,2019-04-08,464.6,467.2,460.45,462.45,462.45,2274003.0
4829,2019-04-05,467.1,470.0,461.5,463.15,463.15,2205935.0
4828,2019-04-04,463.0,469.9,459.5,465.6,465.6,4151406.0
4827,2019-04-03,471.0,473.9,459.15,462.0,462.0,4715586.0
4826,2019-04-02,482.0,483.9,467.1,469.7,469.7,4034802.0
4825,2019-04-01,480.95,484.25,475.6,478.85,478.85,3583589.0
4824,2019-03-28,465.0,479.8,465.0,475.45,475.45,10590187.0
4823,2019-03-27,471.8,477.35,459.75,464.85,464.85,6016947.0
4822,2019-03-26,467.0,471.5,462.1,469.8,469.8,3843580.0
4821,2019-03-25,468.5,469.45,461.2,464.65,464.65,4043446.0
4820,2019-03-22,475.8,479.7,469.35,473.25,473.25,6125288.0
4819,2019-03-20,470.75,476.8,466.0,474.75,474.75,4235163.0
4818,2019-03-19,467.5,475.25,466.65,468.95,468.95,6725926.0
4817,2019-03-18,466.0,469.9,458.65,465.65,465.65,4382489.0
4816,2019-03-15,466.2,469.95,462.3,464.35,464.35,5877969.0
4815,2019-03-14,456.9,468.5,456.0,466.15,466.15,8039525.0
4814,2019-03-13,473.0,475.0,452.5,456.5,456.5,7156428.0
4813,2019-03-12,463.0,471.65,462.0,470.3,470.3,8660320.0
4812,2019-03-11,456.0,461.45,454.0,459.45,459.45,4628360.0
4811,2019-03-08,449.5,457.9,447.3,454.95,454.95,5040326.0
4810,2019-03-07,459.5,463.0,448.8,450.9,450.9,10701581.0
4809,2019-03-06,457.0,469.35,446.95,460.55,460.55,13004184.0
4808,2019-03-05,447.85,456.9,445.35,455.9,455.9,5251255.0
4807,2019-03-01,447.9,451.0,445.05,447.35,447.35,5608805.0
4806,2019-02-28,446.6,451.5,442.1,445.15,445.15,10862473.0
4805,2019-02-27,436.5,451.65,436.0,442.7,442.7,12232682.0
4804,2019-02-26,430.5,440.0,422.85,435.75,435.75,5255113.0
4803,2019-02-25,431.4,438.75,427.5,436.1,436.1,4849697.0
4802,2019-02-22,431.0,436.75,428.45,430.5,430.5,4373261.0
4801,2019-02-21,425.2,432.0,422.7,429.7,429.7,4736317.0
4800,2019-02-20,418.0,424.45,416.05,422.35,422.35,4385350.0
4799,2019-02-19,417.15,422.4,412.35,413.65,413.65,4742270.0
4798,2019-02-18,424.5,428.0,413.3,414.65,414.65,6210412.0
