,Date,Open,High,Low,Close,Adj Close,Volume
944,2019-06-14,353.0,369.0,320.55,325.25,325.25,698594.0
943,2019-06-13,332.0,358.7,331.0,352.05,352.05,308172.0
942,2019-06-12,338.8,338.8,321.4,333.15,333.15,84528.0
941,2019-06-11,334.9,345.0,332.1,334.8,334.8,134858.0
940,2019-06-10,337.95,339.4,325.75,329.2,329.2,974566.0
939,2019-06-07,330.5,338.6,327.0,335.325,335.325,220272.0
938,2019-06-06,340.0,343.45,330.0,331.025,331.025,108296.0
937,2019-06-04,344.95,344.95,338.0,340.7,340.7,158152.0
936,2019-06-03,339.95,345.675,337.625,341.9,341.9,420570.0
935,2019-05-31,345.0,345.45,333.025,334.925,334.925,297746.0
934,2019-05-30,342.0,345.225,338.025,343.25,343.25,90848.0
933,2019-05-29,338.95,348.3,333.25,343.35,343.35,881660.0
932,2019-05-28,322.15,354.0,322.15,341.7,341.7,1680666.0
931,2019-05-27,310.575,325.0,309.775,322.125,322.125,347178.0
930,2019-05-24,307.0,314.3,306.775,311.825,311.825,151392.0
929,2019-05-23,309.75,309.75,305.0,307.725,307.725,66036.0
928,2019-05-22,303.0,308.4,302.3,307.475,307.475,770916.0
927,2019-05-21,300.5,304.05,298.05,302.525,302.525,2082762.0
926,2019-05-20,297.55,305.0,297.075,301.6,301.6,93100.0
925,2019-05-17,299.0,299.0,293.45,295.675,295.675,224226.0
924,2019-05-16,295.45,298.0,292.75,297.45,297.45,26258.0
923,2019-05-15,297.4,297.4,292.375,293.2,293.2,491094.0
922,2019-05-14,295.0,299.0,292.5,295.55,295.55,862538.0
921,2019-05-13,299.75,299.75,293.025,294.025,294.025,66218.0
920,2019-05-10,302.5,305.375,297.3,298.8,298.8,127504.0
919,2019-05-09,307.5,307.5,300.875,303.275,303.275,145820.0
918,2019-05-08,301.5,310.0,300.625,306.975,306.975,88342.0
917,2019-05-07,305.0,307.5,302.6,305.25,305.25,52582.0
916,2019-05-06,300.275,306.425,297.8,304.9,304.9,121692.0
915,2019-05-03,303.5,306.75,300.5,302.2,302.2,82492.0
914,2019-05-02,307.5,307.7,302.5,303.425,303.425,1378276.0
913,2019-04-30,303.675,310.0,302.5,306.85,306.85,574934.0
912,2019-04-26,306.975,307.0,302.625,304.5,304.5,633950.0
911,2019-04-25,309.15,310.0,302.35,304.1,304.1,1035698.0
910,2019-04-24,302.4,303.0,298.5,300.2,300.2,148426.0
909,2019-04-23,299.95,302.0,296.5,299.375,299.375,132486.0
908,2019-04-22,302.0,303.5,295.55,297.475,297.475,662432.0
907,2019-04-18,291.25,294.5,288.75,290.325,290.325,83834.0
906,2019-04-16,290.2,295.6,287.5,292.75,292.75,269160.0
905,2019-04-15,292.5,292.5,288.375,290.15,290.15,48600.0
904,2019-04-12,289.25,290.25,287.225,288.5,288.5,47828.0
903,2019-04-11,286.55,291.5,285.675,288.425,288.425,184576.0
902,2019-04-10,287.05,289.5,285.6,287.875,287.875,49926.0
901,2019-04-09,288.4,289.225,285.1,288.2,288.2,57030.0
900,2019-04-08,292.325,299.95,287.575,288.9,288.9,1450536.0
899,2019-04-05,291.0,292.975,290.0,290.075,290.075,42062.0
898,2019-04-04,295.0,295.25,287.85,290.275,290.275,47450.0
897,2019-04-03,291.0,298.325,291.0,293.45,293.45,89420.0
896,2019-04-02,295.75,295.75,291.775,292.6,292.6,70034.0
895,2019-04-01,296.75,299.175,292.55,293.525,293.525,1055234.0
894,2019-03-28,290.75,301.0,284.5,299.575,299.575,385860.0
893,2019-03-27,289.5,292.5,287.5,292.0,292.0,43162.0
892,2019-03-26,286.5,289.95,282.325,286.95,286.95,50580.0
891,2019-03-25,288.475,288.475,280.25,281.5,281.5,95042.0
890,2019-03-22,288.0,291.0,285.75,287.625,287.625,43264.0
889,2019-03-20,285.025,291.5,285.025,289.675,289.675,180446.0
888,2019-03-19,286.0,288.5,282.5,287.475,287.475,123344.0
887,2019-03-18,288.525,291.0,285.0,285.85,285.85,463514.0
886,2019-03-15,295.0,302.35,287.5,290.0,290.0,320210.0
885,2019-03-14,295.5,298.0,286.25,293.45,293.45,211012.0
884,2019-03-13,296.375,296.775,293.05,293.45,293.45,173386.0
883,2019-03-12,294.9,298.175,294.725,295.6,295.6,42498.0
882,2019-03-11,295.5,297.0,293.05,294.9,294.9,44424.0
881,2019-03-08,294.175,296.0,293.025,295.375,295.375,20002.0
880,2019-03-07,294.0,295.25,292.525,294.175,294.175,124332.0
879,2019-03-06,297.5,298.0,294.05,295.225,295.225,23592.0
878,2019-03-05,294.75,298.35,292.05,295.675,295.675,48196.0
877,2019-03-01,297.5,297.5,291.525,292.05,292.05,42350.0
876,2019-02-28,296.15,297.35,293.5,295.1,295.1,92388.0
875,2019-02-27,290.575,298.1,286.525,295.675,295.675,58026.0
874,2019-02-26,293.125,298.5,289.825,291.6,291.6,67982.0
873,2019-02-25,298.5,301.575,291.825,293.125,293.125,42712.0
872,2019-02-22,294.025,302.5,294.025,297.15,297.15,354134.0
871,2019-02-21,296.975,297.85,292.6,293.9,293.9,67346.0
870,2019-02-20,299.9,303.8,292.5,295.425,295.425,333212.0
869,2019-02-19,297.5,300.0,295.075,296.825,296.825,120232.0
868,2019-02-18,293.5,298.475,293.125,297.275,297.275,84514.0
867,2019-02-15,293.5,295.975,291.025,292.825,292.825,156040.0
866,2019-02-14,303.95,303.95,292.0,294.5,294.5,34230.0
865,2019-02-12,298.5,299.525,293.5,297.5,297.5,161738.0
864,2019-02-11,309.5,309.5,296.55,300.625,300.625,414000.0
863,2019-02-08,298.425,308.7,298.425,307.425,307.425,225494.0
862,2019-02-07,299.825,302.5,298.5,300.775,300.775,41488.0
861,2019-02-06,301.9,303.975,297.4,299.825,299.825,54804.0
860,2019-02-05,298.075,305.2,297.4,300.95,300.95,167678.0
859,2019-02-04,294.0,300.0,294.0,298.575,298.575,107266.0
858,2019-02-01,289.975,299.0,288.375,297.85,297.85,107204.0
857,2019-01-31,287.5,293.55,283.575,289.1,289.1,73082.0
856,2019-01-30,280.425,284.375,277.575,282.55,282.55,163312.0
855,2019-01-29,282.5,286.0,277.1,279.875,279.875,151168.0
854,2019-01-28,294.0,294.0,280.65,283.575,283.575,718474.0
853,2019-01-25,290.0,300.0,290.0,294.425,294.425,196020.0
852,2019-01-24,285.8,297.5,285.8,294.45,294.45,1698694.0
851,2019-01-23,292.5,295.5,285.275,289.7,289.7,723214.0
850,2019-01-22,286.5,291.45,280.05,288.775,288.775,148502.0
849,2019-01-21,282.0,287.475,278.25,286.075,286.075,628104.0
848,2019-01-18,281.95,284.475,277.825,280.925,280.925,32644.0
847,2019-01-17,271.8,283.0,271.0,281.125,281.125,180336.0
846,2019-01-16,270.0,272.75,269.625,270.975,270.975,27138.0
845,2019-01-15,270.25,274.175,267.5,270.55,270.55,127654.0
844,2019-01-14,269.1,271.775,269.0,270.15,270.15,60194.0
843,2019-01-11,273.15,273.475,269.5,271.475,271.475,92108.0
842,2019-01-10,282.925,288.5,268.225,274.05,274.05,926092.0
841,2019-01-09,276.6,284.025,275.1,282.45,282.45,49954.0
840,2019-01-08,273.575,278.875,272.5,276.6,276.6,231988.0
839,2019-01-07,274.0,276.725,273.0,275.425,275.425,31532.0
838,2019-01-04,273.75,275.4,271.25,272.225,272.225,128492.0
837,2019-01-03,276.825,277.85,271.025,273.75,273.75,97286.0
836,2019-01-02,280.625,280.625,275.0,276.1,276.1,53808.0
835,2019-01-01,280.225,281.475,277.9,278.725,278.725,18158.0
834,2018-12-31,279.55,287.0,275.25,280.1,280.1,234718.0
833,2018-12-28,280.55,282.75,274.0,281.075,281.075,678904.0
832,2018-12-27,280.5,284.5,277.5,282.825,282.825,110320.0
831,2018-12-26,280.375,282.45,275.025,280.375,280.375,23510.0
830,2018-12-24,284.4,284.4,277.55,280.375,280.375,126528.0
829,2018-12-21,283.5,284.225,277.1,280.1,280.1,100134.0
828,2018-12-20,282.65,287.5,281.775,285.15,285.15,111224.0
827,2018-12-19,283.95,285.875,281.55,284.25,284.25,218000.0
826,2018-12-18,284.55,284.55,280.0,283.95,283.95,78144.0
825,2018-12-17,285.5,288.0,280.5,284.675,284.675,152424.0
824,2018-12-14,250.05,294.5,250.05,287.875,287.875,276048.0
823,2018-12-13,265.55,277.0,265.55,275.575,275.575,129580.0
822,2018-12-12,262.7,268.4,259.125,266.575,266.575,233066.0
821,2018-12-11,260.0,268.9,255.0,265.475,265.475,53734.0
820,2018-12-10,269.575,269.575,260.0,262.6,262.6,39072.0
819,2018-12-07,269.0,272.0,267.55,270.0,270.0,29230.0
818,2018-12-06,269.55,272.225,267.525,268.875,268.875,99324.0
817,2018-12-05,277.65,280.05,272.55,273.025,273.025,226444.0
816,2018-12-04,274.5,283.75,273.35,280.075,280.075,120774.0
815,2018-12-03,273.5,277.2,272.0,273.025,273.025,253798.0
814,2018-11-30,271.0,272.475,268.0,270.125,270.125,381210.0
813,2018-11-29,277.725,278.475,267.825,271.075,271.075,213212.0
812,2018-11-28,284.475,284.475,276.025,276.55,276.55,66242.0
811,2018-11-27,280.1,284.25,280.1,280.575,280.575,56870.0
810,2018-11-26,287.5,289.925,278.825,281.675,281.675,81918.0
809,2018-11-22,285.8,289.45,283.075,287.525,287.525,264370.0
808,2018-11-21,287.5,287.75,282.5,284.025,284.025,106724.0
807,2018-11-20,282.125,286.925,281.275,282.6,282.6,185790.0
806,2018-11-19,294.95,294.95,282.5,283.475,283.475,62940.0
805,2018-11-16,289.5,291.875,286.625,289.2,289.2,19318.0
804,2018-11-15,290.2,290.225,287.15,289.425,289.425,25440.0
803,2018-11-14,291.975,291.975,289.0,290.2,290.2,25968.0
802,2018-11-13,291.5,291.5,288.775,290.375,290.375,22626.0
801,2018-11-12,294.5,294.5,289.825,291.25,291.25,26884.0
800,2018-11-09,298.475,298.475,292.975,294.35,294.35,65216.0
799,2018-11-07,289.475,296.25,289.475,295.425,295.425,20806.0
798,2018-11-06,290.0,292.5,289.5,292.375,292.375,86118.0
797,2018-11-05,289.4,292.35,288.0,289.95,289.95,68642.0
796,2018-11-02,288.75,291.95,286.025,287.35,287.35,66440.0
795,2018-11-01,289.5,293.0,285.15,286.125,286.125,112016.0
794,2018-10-31,288.425,292.375,284.0,289.55,289.55,81642.0
793,2018-10-30,293.0,293.0,282.7,285.15,285.15,187386.0
792,2018-10-29,288.475,295.5,285.4,292.65,292.65,130814.0
791,2018-10-26,291.475,292.4,282.475,285.4,285.4,85436.0
790,2018-10-25,283.0,289.9,280.0,288.375,288.375,106720.0
789,2018-10-24,290.5,299.0,290.5,291.825,291.825,83210.0
788,2018-10-23,295.0,295.175,290.025,291.675,291.675,89660.0
787,2018-10-22,292.525,305.0,291.575,298.9,298.9,293504.0
786,2018-10-19,294.0,296.5,288.125,293.775,293.775,49674.0
785,2018-10-17,297.0,297.0,291.575,294.0,294.0,42120.0
784,2018-10-16,299.7,299.7,292.6,294.55,294.55,43272.0
783,2018-10-15,295.425,300.5,293.3,298.1,298.1,78486.0
782,2018-10-12,297.2,300.475,292.2,293.075,293.075,45156.0
781,2018-10-11,293.5,312.35,287.525,295.0,295.0,129046.0
780,2018-10-10,288.0,297.525,288.0,295.675,295.675,71652.0
779,2018-10-09,288.4,290.5,278.05,287.2,287.2,269918.0
778,2018-10-08,286.525,293.775,280.15,286.875,286.875,114662.0
777,2018-10-05,299.325,299.325,287.5,289.025,289.025,215226.0
776,2018-10-04,297.0,301.475,288.4,299.875,299.875,91922.0
775,2018-10-03,298.725,302.875,295.5,300.425,300.425,109826.0
774,2018-10-01,302.45,306.85,293.0,298.725,298.725,125120.0
773,2018-09-28,303.525,310.5,290.0,300.375,300.375,178312.0
772,2018-09-27,310.05,313.5,301.725,304.575,304.575,55596.0
771,2018-09-26,312.025,317.5,308.6,311.9,311.9,64880.0
770,2018-09-25,307.9,316.0,303.0,311.4,311.4,130764.0
769,2018-09-24,320.0,320.1,306.0,308.675,308.675,99712.0
768,2018-09-21,312.0,327.35,304.45,321.075,321.075,404168.0
767,2018-09-19,320.0,329.0,306.125,311.05,311.05,414240.0
766,2018-09-18,317.0,324.95,313.975,318.75,318.75,487938.0
765,2018-09-17,309.9,318.5,306.975,314.95,314.95,251868.0
764,2018-09-14,306.475,312.4,304.025,310.35,310.35,162308.0
763,2018-09-12,305.0,305.75,300.125,301.85,301.85,85626.0
762,2018-09-11,307.475,312.25,303.525,306.1,306.1,88028.0
761,2018-09-10,309.5,317.0,305.15,307.275,307.275,2166388.0
760,2018-09-07,311.65,317.0,302.775,308.125,308.125,143924.0
759,2018-09-06,312.45,317.9,298.925,311.875,311.875,373088.0
758,2018-09-05,301.0,312.5,300.5,311.05,311.05,694972.0
757,2018-09-04,298.95,302.975,296.5,300.575,300.575,159860.0
756,2018-09-03,299.475,312.5,296.25,299.775,299.775,929660.0
755,2018-08-31,296.0,298.75,295.225,297.45,297.45,194276.0
754,2018-08-30,296.175,298.8,294.475,295.225,295.225,49584.0
753,2018-08-29,296.95,300.275,295.0,295.625,295.625,42498.0
752,2018-08-28,297.375,304.0,296.35,298.275,298.275,139404.0
751,2018-08-27,296.5,300.5,296.5,299.0,299.0,30974.0
750,2018-08-24,299.475,302.0,293.175,296.45,296.45,77466.0
749,2018-08-23,299.5,302.5,298.075,299.125,299.125,90564.0
748,2018-08-21,294.1,299.5,292.5,297.55,297.55,125658.0
747,2018-08-20,290.5,297.5,290.5,295.0,295.0,121292.0
746,2018-08-17,288.825,293.0,288.7,290.275,290.275,54534.0
745,2018-08-16,282.75,289.125,282.75,288.175,288.175,28582.0
744,2018-08-14,285.0,288.5,277.5,287.5,287.5,391660.0
743,2018-08-13,289.0,291.275,284.05,285.25,285.25,59548.0
742,2018-08-10,296.175,297.675,288.55,289.125,289.125,48792.0
741,2018-08-09,290.25,298.275,289.675,296.125,296.125,140248.0
740,2018-08-08,289.75,292.5,287.7,289.575,289.575,635172.0
739,2018-08-07,298.0,299.125,289.025,289.75,289.75,107056.0
738,2018-08-06,301.9,302.475,295.5,297.7,297.7,35926.0
737,2018-08-03,299.8,303.95,298.75,299.675,299.675,91954.0
736,2018-08-02,300.825,300.95,296.0,299.625,299.625,236730.0
735,2018-08-01,298.3,300.75,295.225,300.125,300.125,44968.0
734,2018-07-31,299.4,299.4,295.0,297.775,297.775,56124.0
733,2018-07-30,293.1,298.5,291.825,297.475,297.475,76200.0
732,2018-07-27,290.5,297.25,288.625,290.925,290.925,118638.0
731,2018-07-26,287.5,291.25,282.5,288.6,288.6,206854.0
730,2018-07-25,300.9,300.9,291.25,293.675,293.675,330754.0
729,2018-07-24,301.875,303.0,296.5,298.275,298.275,202120.0
728,2018-07-23,300.925,306.5,298.05,299.65,299.65,127142.0
727,2018-07-20,300.425,304.45,297.275,298.7,298.7,299622.0
726,2018-07-19,304.0,304.0,297.0,300.425,300.425,27372.0
725,2018-07-18,299.25,304.0,298.525,300.9,300.9,94856.0
724,2018-07-17,297.05,302.65,297.05,298.975,298.975,64084.0
723,2018-07-16,304.4,304.4,297.0,301.125,300.125,97838.0
722,2018-07-13,301.0,305.875,296.05,302.475,301.4705,145596.0
721,2018-07-12,303.0,303.925,297.5,299.075,298.0818,74994.0
720,2018-07-11,300.1,306.0,299.65,301.875,300.8725,72294.0
719,2018-07-10,298.175,303.0,298.175,300.45,299.4523,104240.0
718,2018-07-09,301.0,303.5,297.625,298.775,297.7828,50758.0
717,2018-07-06,303.7,303.7,297.575,300.525,299.527,91108.0
716,2018-07-05,302.8,305.375,299.75,301.7,300.6981,71486.0
715,2018-07-04,308.0,309.425,298.675,302.8,301.7944,118310.0
714,2018-07-03,296.1,312.2,293.575,305.5,304.4855,172094.0
713,2018-07-02,307.25,307.25,295.075,297.0,296.0137,67320.0
712,2018-06-29,298.0,307.475,293.175,304.975,303.9622,150074.0
711,2018-06-28,290.275,299.3,287.625,294.7,293.7213,161558.0
710,2018-06-27,289.1,295.0,285.5,292.425,291.4539,140462.0
709,2018-06-26,290.65,291.85,286.4,289.175,288.2147,53636.0
708,2018-06-25,295.9,297.35,289.75,290.4,289.4356,127680.0
707,2018-06-22,296.325,297.875,293.5,294.375,293.3974,65872.0
706,2018-06-21,298.7,302.5,295.0,296.425,295.4406,129958.0
705,2018-06-20,304.5,304.5,295.75,298.35,297.3592,354516.0
704,2018-06-19,294.8,302.5,292.0,301.35,300.3493,208802.0
703,2018-06-18,292.0,297.0,291.075,295.2,294.2197,150344.0
702,2018-06-15,293.0,300.8,289.75,292.15,291.1798,330164.0
701,2018-06-14,295.0,297.95,291.5,292.625,291.6532,178114.0
700,2018-06-13,292.5,304.5,292.5,296.7,295.7147,259496.0
