,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,85.3,85.6,83.2,83.5,83.5,187390.0
4223,2019-06-13,86.0,86.0,84.45,85.05,85.05,159273.0
4222,2019-06-12,86.6,86.9,85.5,86.25,86.25,120890.0
4221,2019-06-11,87.0,87.85,86.35,86.6,86.6,213215.0
4220,2019-06-10,72.0,89.75,72.0,86.65,86.65,693327.0
4219,2019-06-07,89.0,89.7,87.75,88.7,88.7,189947.0
4218,2019-06-06,91.15,91.35,89.0,89.25,89.25,211575.0
4217,2019-06-04,90.9,92.95,90.75,91.15,91.15,376405.0
4216,2019-06-03,89.75,92.25,89.15,90.9,90.9,372321.0
4215,2019-05-31,90.05,90.9,89.0,89.75,89.75,171227.0
4214,2019-05-30,91.2,91.2,89.55,89.7,89.7,135103.0
4213,2019-05-29,92.25,93.0,91.0,91.2,91.2,191309.0
4212,2019-05-28,92.15,93.65,91.5,91.85,91.85,258172.0
4211,2019-05-27,89.9,92.7,89.55,91.5,91.5,330055.0
4210,2019-05-24,88.1,89.9,88.1,89.4,89.4,209259.0
4209,2019-05-23,90.05,91.8,87.35,88.1,88.1,181928.0
4208,2019-05-22,89.25,89.65,87.55,89.2,89.2,153429.0
4207,2019-05-21,90.95,91.85,88.65,89.25,89.25,172799.0
4206,2019-05-20,88.65,92.45,86.5,90.85,90.85,730234.0
4205,2019-05-17,87.35,89.35,86.2,87.65,86.15,452414.0
4204,2019-05-16,86.75,91.6,84.3,87.85,86.3466,882937.0
4203,2019-05-15,84.55,88.0,83.95,85.35,83.8894,237313.0
4202,2019-05-14,84.55,85.25,82.05,83.75,82.3167,203676.0
4201,2019-05-13,87.2,87.5,84.0,84.3,82.8573,134456.0
4200,2019-05-10,86.0,86.8,85.65,85.95,84.4791,86505.0
4199,2019-05-09,85.4,86.65,84.65,86.05,84.5774,118405.0
4198,2019-05-08,86.9,86.9,84.6,85.6,84.1351,97458.0
4197,2019-05-07,87.9,87.9,85.5,85.75,84.2825,105604.0
4196,2019-05-06,86.2,87.3,85.8,86.85,85.3637,95589.0
4195,2019-05-03,88.75,88.8,86.5,86.85,85.3637,159465.0
4194,2019-05-02,89.2,89.2,87.5,87.85,86.3466,141789.0
4193,2019-04-30,90.25,90.65,88.55,89.0,87.4769,164809.0
4192,2019-04-26,90.2,91.45,90.2,90.5,88.9512,155425.0
4191,2019-04-25,90.65,91.5,90.5,90.7,89.1478,161836.0
4190,2019-04-24,91.5,92.1,90.65,91.2,89.6392,196421.0
4189,2019-04-23,92.5,93.35,90.4,91.0,89.4427,257840.0
4188,2019-04-22,94.0,95.4,92.05,92.6,91.0153,1186690.0
4187,2019-04-18,93.2,93.2,91.4,92.0,90.4256,145230.0
4186,2019-04-16,92.95,93.8,92.3,92.9,91.3102,175572.0
4185,2019-04-15,93.7,93.7,92.2,92.5,90.917,223461.0
4184,2019-04-12,91.9,93.1,91.4,92.45,90.8679,310327.0
4183,2019-04-11,91.5,92.25,90.6,91.9,90.3273,187549.0
4182,2019-04-10,91.1,92.3,90.8,91.1,89.541,117104.0
4181,2019-04-09,91.7,91.8,90.15,91.1,89.541,137086.0
4180,2019-04-08,92.7,92.7,90.8,91.15,89.5901,144382.0
4179,2019-04-05,91.9,92.8,91.0,91.85,90.2781,193163.0
4178,2019-04-04,93.25,93.4,90.1,90.8,89.2461,259672.0
4177,2019-04-03,93.75,95.3,92.5,92.75,91.1627,206103.0
4176,2019-04-02,93.0,95.65,92.55,93.7,92.0965,593313.0
4175,2019-04-01,90.6,93.25,90.6,92.55,90.9661,350788.0
4174,2019-03-28,90.2,91.2,89.55,89.85,88.3123,227435.0
4173,2019-03-27,89.8,91.8,89.4,90.1,88.5581,277348.0
4172,2019-03-26,90.85,91.5,89.1,89.8,88.2632,234841.0
4171,2019-03-25,92.5,92.5,90.05,90.25,88.7055,240571.0
4170,2019-03-22,94.2,94.7,92.65,92.9,91.3102,220406.0
4169,2019-03-20,96.7,96.7,94.0,94.3,92.6862,186141.0
4168,2019-03-19,93.7,97.1,93.15,95.9,94.2588,807036.0
4167,2019-03-18,94.1,95.5,93.0,93.6,91.9982,166496.0
4166,2019-03-15,95.4,96.95,94.0,94.25,92.6371,298968.0
4165,2019-03-14,92.0,99.65,92.0,95.5,93.8657,1674647.0
4164,2019-03-13,93.25,93.8,91.6,92.15,90.573,176107.0
4163,2019-03-12,93.4,94.8,92.7,93.05,91.4576,298978.0
4162,2019-03-11,91.0,95.95,91.0,92.6,91.0153,551878.0
4161,2019-03-08,92.0,93.0,90.25,90.95,89.3935,393997.0
4160,2019-03-07,91.5,91.95,89.8,90.2,88.6564,192267.0
4159,2019-03-06,91.05,93.6,89.5,91.2,89.6392,339810.0
4158,2019-03-05,86.1,90.0,86.1,89.55,88.0175,442789.0
4157,2019-03-01,84.0,86.0,83.75,85.8,84.3317,161829.0
4156,2019-02-28,84.2,84.4,83.5,83.9,82.4642,59001.0
4155,2019-02-27,85.2,85.6,83.1,83.7,82.2676,131852.0
4154,2019-02-26,85.25,85.25,82.15,84.0,82.5625,198626.0
4153,2019-02-25,84.9,86.4,83.5,85.2,83.7419,186269.0
4152,2019-02-22,83.15,85.1,82.9,84.15,82.7099,163846.0
4151,2019-02-21,82.1,84.75,81.7,83.1,81.6779,253488.0
4150,2019-02-20,81.7,82.5,81.1,81.7,80.3018,99165.0
4149,2019-02-19,81.2,82.0,80.55,81.45,80.0561,122999.0
4148,2019-02-18,82.45,82.45,81.0,81.2,79.8104,123132.0
