,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,871.25,880.0,870.0,871.6,871.6,6924.0
4873,2019-06-13,877.55,881.0,873.1,877.5,877.5,5313.0
4872,2019-06-12,884.8,886.25,876.1,877.55,877.55,3125.0
4871,2019-06-11,883.05,887.95,880.1,883.1,883.1,10318.0
4870,2019-06-10,875.05,884.95,875.05,880.55,880.55,7856.0
4869,2019-06-07,881.05,884.0,875.0,876.75,876.75,7222.0
4868,2019-06-06,885.0,888.05,879.0,880.6,880.6,5242.0
4867,2019-06-04,898.0,898.0,881.7,882.45,882.45,7152.0
4866,2019-06-03,897.5,897.5,884.55,892.3,892.3,10463.0
4865,2019-05-31,889.35,905.0,885.2,888.65,888.65,25353.0
4864,2019-05-30,889.3,892.45,882.05,887.55,887.55,6973.0
4863,2019-05-29,892.1,892.1,880.0,889.35,889.35,10092.0
4862,2019-05-28,879.0,898.0,876.0,892.1,892.1,41082.0
4861,2019-05-27,885.0,891.95,872.05,882.95,882.95,21381.0
4860,2019-05-24,867.9,882.5,862.05,876.6,876.6,11623.0
4859,2019-05-23,874.9,883.0,860.0,862.5,862.5,11960.0
4858,2019-05-22,863.35,878.95,860.2,863.65,863.65,5794.0
4857,2019-05-21,865.0,880.0,860.05,860.5,860.5,7706.0
4856,2019-05-20,869.0,879.0,857.05,868.2,868.2,19666.0
4855,2019-05-17,862.4,865.7,854.0,860.7,860.7,4992.0
4854,2019-05-16,854.0,873.6,849.95,865.7,865.7,13741.0
4853,2019-05-15,856.55,856.8,851.0,853.85,853.85,7506.0
4852,2019-05-14,849.95,859.4,842.0,849.35,849.35,16346.0
4851,2019-05-13,857.0,858.95,847.0,851.6,851.6,13911.0
4850,2019-05-10,855.0,860.0,852.05,855.8,855.8,3988.0
4849,2019-05-09,858.0,863.95,850.05,858.4,858.4,34017.0
4848,2019-05-08,854.05,862.0,849.1,859.4,859.4,11347.0
4847,2019-05-07,861.0,861.0,850.15,853.75,853.75,5309.0
4846,2019-05-06,857.0,861.0,852.05,856.5,856.5,8873.0
4845,2019-05-03,856.5,860.0,853.1,857.95,857.95,5087.0
4844,2019-05-02,844.05,861.0,844.05,856.4,856.4,9083.0
