,Date,Open,High,Low,Close,Adj Close,Volume
396,2019-06-14,395.3,397.3,388.0,392.6,392.6,29734.0
395,2019-06-13,400.0,400.0,390.05,395.3,395.3,14621.0
394,2019-06-12,395.95,399.5,386.2,395.15,395.15,50566.0
393,2019-06-11,394.4,397.0,390.0,392.8,392.8,28501.0
392,2019-06-10,386.0,395.95,386.0,388.4,388.4,11593.0
391,2019-06-07,394.05,396.95,381.55,385.4,385.4,185087.0
390,2019-06-06,399.0,399.0,389.95,394.8,394.8,32204.0
389,2019-06-04,392.0,398.0,384.3,395.25,395.25,33033.0
388,2019-06-03,398.0,398.0,383.0,386.35,386.35,12079.0
387,2019-05-31,390.7,394.45,381.2,389.4,389.4,28296.0
386,2019-05-30,390.5,398.75,383.2,388.55,388.55,19615.0
385,2019-05-29,390.05,397.0,387.7,395.0,395.0,225665.0
384,2019-05-28,395.0,398.95,386.7,394.55,394.55,72981.0
383,2019-05-27,401.0,401.0,391.5,396.5,396.5,67321.0
382,2019-05-24,384.1,402.95,379.85,398.85,398.85,76209.0
381,2019-05-23,381.9,387.0,372.0,378.05,378.05,43279.0
380,2019-05-22,385.0,385.0,378.05,379.8,379.8,68428.0
379,2019-05-21,385.75,387.5,370.05,383.8,383.8,46194.0
378,2019-05-20,384.0,388.35,375.35,387.1,387.1,46984.0
377,2019-05-17,377.7,382.0,371.2,379.65,379.65,26785.0
376,2019-05-16,376.0,384.0,366.0,375.5,375.5,45830.0
375,2019-05-15,379.0,379.0,370.0,370.95,370.95,5046.0
374,2019-05-14,367.75,376.0,365.65,372.1,372.1,20578.0
373,2019-05-13,371.65,372.95,365.0,371.35,371.35,162071.0
372,2019-05-10,368.0,373.75,366.1,371.65,371.65,15153.0
371,2019-05-09,376.6,376.6,365.0,368.0,368.0,120447.0
370,2019-05-08,366.1,374.85,362.1,371.05,371.05,76839.0
369,2019-05-07,375.95,378.05,365.55,368.8,368.8,43552.0
368,2019-05-06,379.95,379.95,365.0,370.25,370.25,88646.0
367,2019-05-03,371.05,380.0,370.0,374.45,374.45,46576.0
366,2019-05-02,396.9,396.9,370.55,374.1,374.1,67967.0
365,2019-04-30,380.0,385.0,367.0,380.4,380.4,18162.0
364,2019-04-26,377.2,382.0,376.35,380.1,380.1,23930.0
363,2019-04-25,375.05,381.65,374.0,379.05,379.05,32714.0
362,2019-04-24,379.3,384.4,373.2,379.3,379.3,19531.0
361,2019-04-23,354.2,385.85,354.2,381.95,381.95,108484.0
360,2019-04-22,375.0,375.0,355.0,359.9,359.9,29933.0
359,2019-04-18,378.55,378.55,369.1,372.3,372.3,22839.0
358,2019-04-16,375.0,380.0,374.15,378.55,378.55,29005.0
357,2019-04-15,373.3,378.8,370.0,376.15,376.15,27011.0
356,2019-04-12,378.15,378.65,372.5,373.6,373.6,10107.0
355,2019-04-11,378.75,381.55,375.5,377.35,377.35,9979.0
354,2019-04-10,379.65,381.85,374.4,376.05,376.05,13473.0
353,2019-04-09,394.95,394.95,377.25,382.05,382.05,19303.0
352,2019-04-08,399.9,399.9,387.6,391.25,391.25,16220.0
351,2019-04-05,393.95,396.5,388.7,393.25,393.25,28829.0
350,2019-04-04,391.0,393.0,381.0,390.4,390.4,52521.0
349,2019-04-03,381.35,398.0,381.35,385.25,385.25,83939.0
348,2019-04-02,388.15,395.2,383.0,387.65,387.65,28917.0
347,2019-04-01,385.0,394.0,376.0,389.0,389.0,31347.0
346,2019-03-28,367.05,388.25,364.1,383.25,383.25,148683.0
345,2019-03-27,382.45,382.5,363.5,372.65,372.65,280764.0
344,2019-03-26,363.0,382.55,363.0,378.25,378.25,392463.0
