,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,1296.05,1297.95,1277.1,1281.9,1281.9,873952.0
4873,2019-06-13,1283.0,1298.25,1276.4,1295.45,1295.45,1734153.0
4872,2019-06-12,1284.95,1292.7,1277.55,1288.85,1288.85,1456438.0
4871,2019-06-11,1278.0,1288.0,1266.8,1284.95,1284.95,1782094.0
4870,2019-06-10,1274.65,1289.2,1270.0,1277.0,1277.0,1516266.0
4869,2019-06-07,1274.95,1274.95,1254.0,1268.95,1268.95,1381956.0
4868,2019-06-06,1255.0,1273.65,1244.65,1269.45,1269.45,2345134.0
4867,2019-06-04,1267.0,1276.85,1243.8,1248.0,1248.0,1378780.0
4866,2019-06-03,1239.0,1269.0,1227.5,1266.25,1266.25,1627758.0
4865,2019-05-31,1248.0,1250.65,1227.0,1235.75,1235.75,1213810.0
4864,2019-05-30,1234.0,1249.8,1225.0,1240.6,1240.6,1081863.0
4863,2019-05-29,1232.0,1237.7,1224.2,1234.65,1234.65,918488.0
4862,2019-05-28,1243.0,1244.9,1222.7,1231.55,1231.55,1811869.0
4861,2019-05-27,1226.5,1243.5,1203.5,1240.95,1240.95,1380441.0
4860,2019-05-24,1221.0,1229.95,1194.45,1219.9,1219.9,2423569.0
4859,2019-05-23,1259.25,1262.8,1216.25,1220.25,1220.25,2494025.0
4858,2019-05-22,1245.95,1250.9,1226.35,1241.1,1241.1,1972398.0
4857,2019-05-21,1239.0,1251.65,1233.35,1244.4,1244.4,3218291.0
4856,2019-05-20,1214.0,1238.0,1205.0,1231.65,1231.65,2881354.0
4855,2019-05-17,1184.0,1203.0,1180.0,1190.5,1190.5,3265842.0
4854,2019-05-16,1162.7,1195.0,1159.95,1186.45,1186.45,2948769.0
4853,2019-05-15,1160.0,1167.5,1152.35,1163.0,1163.0,2476357.0
4852,2019-05-14,1140.0,1163.0,1122.95,1154.75,1154.75,2894382.0
4851,2019-05-13,1125.3,1152.8,1124.05,1144.7,1144.7,2695155.0
4850,2019-05-10,1108.0,1137.85,1094.3,1132.1,1132.1,3032624.0
4849,2019-05-09,1100.0,1110.0,1088.7,1104.45,1104.45,4362293.0
4848,2019-05-08,1090.0,1100.0,1067.85,1088.7,1088.7,3336769.0
4847,2019-05-07,1097.8,1105.0,1083.0,1086.5,1086.5,2605628.0
4846,2019-05-06,1142.8,1142.8,1075.1,1082.85,1082.85,4064781.0
4845,2019-05-03,1145.0,1154.8,1135.05,1145.05,1145.05,1146869.0
4844,2019-05-02,1159.0,1160.0,1135.6,1138.15,1138.15,1517989.0
4843,2019-04-30,1140.0,1161.75,1133.5,1158.55,1158.55,1469889.0
4842,2019-04-26,1146.7,1149.5,1131.0,1137.5,1137.5,846570.0
4841,2019-04-25,1155.0,1165.0,1135.4,1141.3,1141.3,3579153.0
4840,2019-04-24,1128.0,1152.0,1125.55,1149.15,1149.15,1809133.0
4839,2019-04-23,1124.0,1136.7,1120.05,1129.55,1129.55,1237289.0
4838,2019-04-22,1125.0,1132.0,1119.1,1123.7,1123.7,1307412.0
4837,2019-04-18,1125.95,1129.5,1113.5,1125.4,1125.4,1609911.0
4836,2019-04-16,1093.1,1124.75,1092.4,1120.05,1120.05,2144260.0
4835,2019-04-15,1102.0,1102.0,1088.0,1090.15,1090.15,1116346.0
4834,2019-04-12,1107.0,1107.95,1094.0,1097.0,1097.0,1499571.0
4833,2019-04-11,1106.95,1106.95,1090.1,1105.05,1105.05,1412462.0
4832,2019-04-10,1099.4,1105.0,1083.5,1100.2,1100.2,1612236.0
4831,2019-04-09,1109.0,1109.95,1091.5,1098.55,1098.55,1288739.0
4830,2019-04-08,1109.0,1115.0,1092.0,1104.4,1104.4,1672293.0
4829,2019-04-05,1123.0,1129.7,1101.45,1106.4,1106.4,4108366.0
4828,2019-04-04,1112.7,1122.6,1094.3,1106.1,1106.1,2463998.0
4827,2019-04-03,1117.0,1127.2,1098.05,1100.5,1100.5,1553200.0
4826,2019-04-02,1125.0,1131.15,1108.4,1111.9,1111.9,1469173.0
4825,2019-04-01,1140.0,1148.0,1116.8,1120.35,1120.35,1703651.0
4824,2019-03-28,1120.0,1139.55,1111.45,1134.25,1134.25,2292966.0
4823,2019-03-27,1125.0,1125.0,1106.0,1116.5,1116.5,1668427.0
4822,2019-03-26,1105.0,1120.0,1088.35,1115.75,1115.75,1851505.0
4821,2019-03-25,1102.0,1106.5,1090.4,1100.1,1100.1,909855.0
4820,2019-03-22,1103.6,1124.4,1093.7,1102.55,1102.55,2486418.0
4819,2019-03-20,1111.0,1115.0,1098.0,1102.35,1102.35,1295061.0
4818,2019-03-19,1102.0,1112.0,1098.6,1109.05,1109.05,1376594.0
4817,2019-03-18,1105.0,1108.9,1092.1,1101.3,1101.3,1856664.0
4816,2019-03-15,1087.0,1113.8,1082.0,1097.25,1097.25,5318660.0
4815,2019-03-14,1078.9,1089.0,1063.15,1086.35,1086.35,1193296.0
4814,2019-03-13,1087.4,1093.9,1065.1,1078.3,1078.3,2024554.0
4813,2019-03-12,1074.95,1095.95,1072.0,1086.45,1086.45,3418782.0
4812,2019-03-11,1058.0,1074.6,1057.6,1069.2,1069.2,2837644.0
4811,2019-03-08,1044.75,1059.55,1037.0,1053.2,1053.2,2179863.0
4810,2019-03-07,1069.0,1069.0,1039.0,1043.3,1043.3,2584721.0
4809,2019-03-06,1038.0,1060.9,1028.3,1055.95,1055.95,2758056.0
4808,2019-03-05,1023.6,1039.95,1016.2,1035.0,1035.0,1577329.0
4807,2019-03-01,1031.9,1036.0,1017.1,1021.35,1021.35,1967656.0
4806,2019-02-28,1018.0,1033.8,1002.05,1025.2,1025.2,5080712.0
4805,2019-02-27,1042.9,1047.15,1013.95,1016.25,1016.25,1897310.0
4804,2019-02-26,1039.0,1041.9,1016.05,1038.35,1038.35,1906268.0
4803,2019-02-25,1038.0,1055.0,1035.6,1043.0,1043.0,1691809.0
4802,2019-02-22,1035.5,1044.0,1030.3,1041.6,1041.6,1298608.0
4801,2019-02-21,1039.9,1045.0,1031.25,1042.5,1042.5,1220939.0
4800,2019-02-20,1030.0,1044.4,1027.5,1032.75,1032.75,1506583.0
4799,2019-02-19,1030.45,1049.8,1025.3,1028.8,1028.8,1551617.0
4798,2019-02-18,1040.1,1040.65,1021.3,1027.35,1027.35,1023065.0
4797,2019-02-15,1035.0,1052.0,1016.8,1039.0,1039.0,2566210.0
4796,2019-02-14,1063.95,1063.95,1030.5,1042.25,1042.25,2182379.0
4795,2019-02-12,1058.0,1073.95,1050.1,1066.25,1066.25,3075801.0
4794,2019-02-11,1059.0,1063.5,1045.2,1056.4,1056.4,1057548.0
4793,2019-02-08,1058.5,1076.85,1047.6,1053.25,1053.25,2576054.0
4792,2019-02-07,1059.8,1067.05,1050.0,1056.8,1056.8,1293109.0
4791,2019-02-06,1066.0,1072.0,1050.5,1059.05,1059.05,2449722.0
4790,2019-02-05,1026.95,1074.0,1020.0,1066.7,1066.7,7144200.0
4789,2019-02-04,1025.0,1050.0,1009.05,1025.75,1025.75,9556052.0
4788,2019-02-01,1003.0,1005.0,985.1,991.55,991.55,3424938.0
4787,2019-01-31,968.2,1000.0,966.5,995.8,995.8,2306391.0
4786,2019-01-30,966.1,974.95,960.05,968.9,968.9,1468812.0
4785,2019-01-29,955.2,970.0,945.0,966.1,966.1,1411027.0
4784,2019-01-28,978.0,981.2,955.2,958.65,958.65,1499181.0
4783,2019-01-25,972.0,984.0,969.15,978.0,978.0,1985833.0
4782,2019-01-24,960.2,972.3,955.9,969.65,969.65,1246903.0
4781,2019-01-23,987.4,987.4,957.6,962.15,962.15,1574247.0
4780,2019-01-22,962.15,986.4,958.7,982.65,982.65,2797244.0
4779,2019-01-21,960.1,965.8,957.0,962.75,962.75,1035360.0
4778,2019-01-18,961.55,965.0,954.05,960.95,960.95,1168989.0
4777,2019-01-17,961.35,965.0,951.55,961.55,961.55,1303576.0
4776,2019-01-16,965.3,970.4,959.3,961.2,961.2,1118736.0
4775,2019-01-15,956.0,970.7,955.1,968.3,968.3,1452136.0
4774,2019-01-14,958.0,961.35,949.0,957.5,957.5,864306.0
4773,2019-01-11,965.25,969.5,956.8,959.3,959.3,1535995.0
4772,2019-01-10,950.4,969.4,948.55,966.7,966.7,2450895.0
4771,2019-01-09,949.0,955.35,945.35,952.95,952.95,2115974.0
4770,2019-01-08,944.2,950.0,938.55,946.15,946.15,2039160.0
4769,2019-01-07,950.0,964.0,934.1,944.05,944.05,5337211.0
4768,2019-01-04,934.0,938.9,920.2,928.45,928.45,2340304.0
4767,2019-01-03,936.0,944.95,928.0,931.2,931.2,3292918.0
4766,2019-01-02,923.3,937.0,923.3,932.15,932.15,2672587.0
4765,2019-01-01,931.75,934.2,923.0,928.0,928.0,2064502.0
4764,2018-12-31,926.0,939.5,920.35,931.0,931.0,4917511.0
4763,2018-12-28,904.0,925.75,898.8,922.7,922.7,8067914.0
4762,2018-12-27,896.0,897.8,881.5,887.65,887.65,2160188.0
4761,2018-12-26,879.0,900.0,868.2,889.15,889.15,3840772.0
4760,2018-12-24,900.1,902.8,874.0,879.85,879.85,2554749.0
4759,2018-12-21,927.85,927.85,897.25,900.05,900.05,2972085.0
4758,2018-12-20,928.0,933.0,922.2,926.75,926.75,1630740.0
4757,2018-12-19,933.1,941.55,927.5,929.2,929.2,2237859.0
4756,2018-12-18,932.5,938.75,930.8,933.0,933.0,2222788.0
4755,2018-12-17,931.75,937.2,925.4,935.3,935.3,2284630.0
4754,2018-12-14,943.65,951.7,928.45,931.5,931.5,2558651.0
4753,2018-12-13,932.1,961.25,924.25,944.15,944.15,4821052.0
4752,2018-12-12,937.5,938.1,921.0,929.95,929.95,3256275.0
4751,2018-12-11,899.0,936.95,894.15,933.15,933.15,2792386.0
4750,2018-12-10,905.0,916.0,898.0,907.1,907.1,1508069.0
4749,2018-12-07,911.0,921.45,893.3,916.6,916.6,2750589.0
4748,2018-12-06,913.0,920.0,902.0,905.75,905.75,1425935.0
4747,2018-12-05,921.0,925.65,901.55,920.25,920.25,3020688.0
4746,2018-12-04,935.0,940.15,921.5,923.8,923.8,1424621.0
4745,2018-12-03,932.55,939.8,920.5,936.25,936.25,2044427.0
4744,2018-11-30,929.95,931.0,918.0,927.1,927.1,2738673.0
4743,2018-11-29,929.05,933.9,913.0,931.4,931.4,1991914.0
4742,2018-11-28,916.0,931.0,915.0,922.95,922.95,2434110.0
4741,2018-11-27,914.0,918.0,906.0,914.3,914.3,1126278.0
4740,2018-11-26,913.1,920.5,892.6,916.4,916.4,2116814.0
4739,2018-11-22,929.0,933.4,911.8,915.75,915.75,1617491.0
4738,2018-11-21,917.5,929.9,909.55,926.55,926.55,1855760.0
4737,2018-11-20,919.0,925.2,908.85,915.45,915.45,1540046.0
4736,2018-11-19,922.0,927.0,915.05,920.55,920.55,2104102.0
4735,2018-11-16,921.0,928.7,912.7,921.35,921.35,2769698.0
4734,2018-11-15,892.25,924.0,889.0,920.8,920.8,4711756.0
4733,2018-11-14,897.05,897.5,883.0,892.2,892.2,2606605.0
4732,2018-11-13,889.2,899.65,879.1,897.5,897.5,4432001.0
4731,2018-11-12,857.0,901.5,843.2,894.75,894.75,13985301.0
4730,2018-11-09,855.0,865.0,844.0,847.65,847.65,3528039.0
4729,2018-11-07,855.0,855.95,847.6,850.15,850.15,331169.0
4728,2018-11-06,869.0,877.6,840.2,846.25,846.25,2504504.0
4727,2018-11-05,870.0,872.4,856.55,863.7,863.7,1903690.0
4726,2018-11-02,860.0,884.0,857.9,871.0,871.0,3078543.0
4725,2018-11-01,844.6,862.9,834.4,854.45,854.45,2485725.0
4724,2018-10-31,837.5,847.9,818.5,844.6,844.6,2435865.0
4723,2018-10-30,829.0,841.4,819.4,830.5,830.5,1876874.0
4722,2018-10-29,813.0,834.45,807.65,829.75,829.75,2473393.0
4721,2018-10-26,790.0,820.0,786.65,806.9,806.9,3738778.0
4720,2018-10-25,785.0,796.0,777.8,791.25,791.25,1681346.0
4719,2018-10-24,785.35,794.8,772.25,791.6,791.6,2060580.0
4718,2018-10-23,771.9,787.0,766.15,778.2,778.2,2239883.0
4717,2018-10-22,793.4,795.9,773.2,774.8,774.8,2766247.0
4716,2018-10-19,810.0,810.0,782.5,788.7,788.7,2892515.0
4715,2018-10-17,817.1,823.3,792.55,800.1,800.1,2975579.0
4714,2018-10-16,811.0,819.65,808.0,810.6,810.6,2347048.0
4713,2018-10-15,805.2,812.0,788.75,807.2,807.2,2234430.0
4712,2018-10-12,784.0,809.75,777.1,805.15,805.15,4322158.0
4711,2018-10-11,764.0,798.0,754.55,778.9,778.9,3766505.0
4710,2018-10-10,746.0,796.35,740.0,788.55,788.55,7285084.0
4709,2018-10-09,818.95,820.95,732.3,749.5,749.5,8683946.0
4708,2018-10-08,792.0,819.0,774.7,813.55,813.55,3961739.0
4707,2018-10-05,788.25,815.7,784.0,792.1,792.1,7398167.0
4706,2018-10-04,785.0,797.5,760.3,776.7,776.7,4579535.0
4705,2018-10-03,811.5,813.0,791.2,794.5,794.5,3478716.0
