,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,7030.0,7030.0,6930.0,6998.8501,6998.8501,7790.0
4223,2019-06-13,7070.0,7071.75,6990.0,7003.6499,7003.6499,1468.0
4222,2019-06-12,7120.0,7120.0,7050.0,7055.3999,7055.3999,1628.0
4221,2019-06-11,7143.0,7161.0,7100.0498,7139.8999,7139.8999,1628.0
4220,2019-06-10,7164.7998,7189.9502,7120.0,7143.0498,7143.0498,1362.0
4219,2019-06-07,7262.0,7262.0,7115.0,7167.25,7167.25,2062.0
4218,2019-06-06,7265.0,7299.0,7183.7998,7256.6001,7256.6001,3287.0
4217,2019-06-04,7147.9502,7340.0,7147.9502,7217.5,7217.5,3898.0
4216,2019-06-03,7119.9502,7158.0,7057.1499,7138.7002,7138.7002,1648.0
4215,2019-05-31,7221.0,7248.1499,7098.0,7127.8501,7127.8501,5272.0
4214,2019-05-30,7211.0,7281.1001,7105.0,7244.8501,7244.8501,3665.0
4213,2019-05-29,7300.0498,7400.0,7200.0,7280.8501,7280.8501,7422.0
4212,2019-05-28,7280.0,7300.0,7200.0,7264.3501,7264.3501,5276.0
4211,2019-05-27,7301.1001,7339.9502,7250.0,7296.7002,7296.7002,1511.0
4210,2019-05-24,7234.75,7366.0,7234.75,7311.9502,7311.9502,2217.0
4209,2019-05-23,7497.7998,7497.7998,7140.0,7208.2002,7208.2002,2154.0
4208,2019-05-22,7449.9502,7499.0,7301.1001,7353.1001,7353.1001,2156.0
4207,2019-05-21,7168.7998,7439.0,7151.0,7378.1001,7378.1001,8933.0
4206,2019-05-20,7125.0,7270.0,7085.1001,7121.8501,7121.8501,4024.0
4205,2019-05-17,7149.2002,7150.0,7051.0,7125.0,7125.0,2663.0
4204,2019-05-16,7212.0,7273.0,7130.0,7156.6001,7156.6001,2203.0
4203,2019-05-15,7494.7998,7598.1499,7101.3501,7282.2002,7282.2002,15239.0
4202,2019-05-14,6816.5,6894.8799,6733.3301,6846.75,6846.75,4657.0
4201,2019-05-13,6708.21,6831.6699,6694.4199,6803.8301,6803.8301,2984.0
4200,2019-05-10,6657.3301,6689.21,6575.04,6664.46,6664.46,1799.0
4199,2019-05-09,6633.3301,6666.6201,6541.6699,6574.8799,6574.8799,2092.0
4198,2019-05-08,6757.3301,6774.9199,6585.04,6623.6699,6623.6699,3191.0
4197,2019-05-07,6800.0,6855.9199,6708.3301,6728.1699,6728.1699,4079.0
4196,2019-05-06,6718.3301,6865.0,6658.3301,6755.0,6755.0,3743.0
4195,2019-05-03,6775.8301,6784.75,6700.0,6719.04,6719.04,1990.0
4194,2019-05-02,6865.0,6865.0,6726.3799,6769.9199,6769.9199,1810.0
4193,2019-04-30,6906.6699,6906.6699,6747.29,6831.6201,6831.6201,2196.0
4192,2019-04-26,6836.4199,6915.8301,6775.8301,6849.96,6849.96,2586.0
4191,2019-04-25,6812.5,6925.0,6796.29,6857.5,6857.5,2276.0
4190,2019-04-24,6780.0,6851.6699,6780.0,6789.96,6789.96,1212.0
4189,2019-04-23,6916.6699,6929.1201,6721.25,6819.8301,6819.8301,2778.0
4188,2019-04-22,6918.5801,6999.0,6883.3301,6892.5,6892.5,1896.0
4187,2019-04-18,7026.0801,7055.0,6917.46,6945.1201,6945.1201,3623.0
4186,2019-04-16,7082.3301,7108.3301,7000.0,7026.0801,7026.0801,2378.0
4185,2019-04-15,7016.6699,7100.0,6991.6699,7052.8301,7052.8301,2618.0
4184,2019-04-12,7008.1201,7103.3301,6967.1201,7005.8301,7005.8301,5130.0
4183,2019-04-11,7043.54,7070.6699,6979.29,6996.29,6996.29,6012.0
4182,2019-04-10,7074.0,7082.5,7000.8301,7046.3799,7046.3799,2216.0
4181,2019-04-09,7112.3301,7112.3301,6929.29,7035.5,7035.5,2868.0
4180,2019-04-08,7094.1699,7147.96,7058.5,7080.6699,7080.6699,2868.0
4179,2019-04-05,6943.4199,7225.0,6943.4199,7147.96,7147.96,8746.0
4178,2019-04-04,7058.3799,7091.6699,6899.0,6988.5801,6988.5801,5452.0
