,Date,Open,High,Low,Close,Adj Close,Volume
3074,2019-06-14,27.05,27.7,26.6,27.15,27.15,7520987.0
3073,2019-06-13,27.9,27.95,26.45,27.25,27.25,5586005.0
3072,2019-06-12,27.75,28.45,27.45,27.8,27.8,3423432.0
3071,2019-06-11,26.5,28.0,26.15,27.85,27.85,4711525.0
3070,2019-06-10,27.45,27.85,26.25,26.7,26.7,5499724.0
3069,2019-06-07,27.5,27.75,26.8,27.25,27.25,4317160.0
3068,2019-06-06,28.75,29.05,27.4,27.5,27.5,5740340.0
3067,2019-06-04,27.75,29.3,27.7,29.0,29.0,4535880.0
3066,2019-06-03,28.0,28.3,27.5,28.05,28.05,2990475.0
3065,2019-05-31,29.35,29.55,27.8,27.9,27.9,3768451.0
3064,2019-05-30,29.6,29.8,28.8,29.2,29.2,3546674.0
3063,2019-05-29,29.85,29.85,29.1,29.5,29.5,2924555.0
3062,2019-05-28,30.4,30.85,29.65,29.85,29.85,3839500.0
3061,2019-05-27,30.7,30.85,30.1,30.35,30.35,3686056.0
3060,2019-05-24,29.25,30.5,28.8,30.3,30.3,4653193.0
3059,2019-05-23,29.8,30.15,28.9,29.25,29.25,4382348.0
3058,2019-05-22,28.65,29.55,28.15,29.25,29.25,3056858.0
3057,2019-05-21,29.05,29.4,28.4,28.65,28.65,3515928.0
3056,2019-05-20,28.5,29.2,27.7,28.85,28.85,6193236.0
3055,2019-05-17,26.8,27.4,26.55,27.2,27.2,3774434.0
3054,2019-05-16,27.15,27.35,26.2,26.75,26.75,5193431.0
3053,2019-05-15,28.75,28.75,27.0,27.2,27.2,4488843.0
3052,2019-05-14,27.75,28.55,26.95,28.15,28.15,6926764.0
3051,2019-05-13,29.45,29.55,27.4,27.7,27.7,5544466.0
3050,2019-05-10,28.95,29.55,28.95,29.4,29.4,2924136.0
3049,2019-05-09,29.6,29.9,28.7,28.95,28.95,3902696.0
3048,2019-05-08,30.15,30.55,29.05,29.7,29.7,7372825.0
3047,2019-05-07,31.25,32.0,29.85,30.4,30.4,7970818.0
3046,2019-05-06,31.05,31.55,30.7,31.15,31.15,3129967.0
