,Date,Open,High,Low,Close,Adj Close,Volume
3258,2019-06-14,40.5,41.45,40.0,40.15,40.15,3774799.0
3257,2019-06-13,41.4,42.5,40.2,40.55,40.55,5904496.0
3256,2019-06-12,43.0,43.0,41.05,41.45,41.45,6199273.0
3255,2019-06-11,44.9,44.95,42.25,42.55,42.55,5452080.0
3254,2019-06-10,46.6,46.6,44.1,44.7,44.7,5001134.0
3253,2019-06-07,46.3,46.3,44.35,45.25,45.25,4474155.0
3252,2019-06-06,42.0,44.5,40.65,44.2,44.2,9741221.0
3251,2019-06-04,44.3,44.9,40.9,41.4,41.4,6966119.0
3250,2019-06-03,46.1,48.4,44.2,45.05,45.05,7919729.0
3249,2019-05-31,49.5,49.5,47.0,47.25,47.25,4143380.0
3248,2019-05-30,49.0,49.5,46.55,48.1,48.1,4351142.0
3247,2019-05-29,49.5,49.9,48.7,48.85,48.85,3168440.0
3246,2019-05-28,49.95,50.1,49.05,49.5,49.5,2995426.0
3245,2019-05-27,49.7,51.4,49.4,49.95,49.95,5908583.0
3244,2019-05-24,49.5,50.6,48.2,49.9,49.9,5307896.0
3243,2019-05-23,50.95,50.95,48.6,48.9,48.9,4160676.0
3242,2019-05-22,49.9,50.4,48.15,48.8,48.8,4159256.0
3241,2019-05-21,52.3,52.9,49.25,49.85,49.85,4554153.0
3240,2019-05-20,51.8,52.7,50.0,51.85,51.85,6342948.0
3239,2019-05-17,48.85,50.95,47.6,48.9,48.9,5672957.0
3238,2019-05-16,47.5,51.5,45.0,48.9,48.9,9245046.0
3237,2019-05-15,56.4,56.45,45.15,46.75,46.75,13198201.0
3236,2019-05-14,56.45,56.8,55.3,55.85,55.85,3483215.0
3235,2019-05-13,56.0,58.2,55.1,56.75,56.75,7090165.0
3234,2019-05-10,59.4,60.7,57.25,57.95,57.95,4300180.0
3233,2019-05-09,57.1,59.8,56.65,58.45,58.45,4060219.0
3232,2019-05-08,59.6,60.1,56.1,57.1,57.1,4895955.0
3231,2019-05-07,62.2,63.0,59.85,60.4,60.4,4068576.0
3230,2019-05-06,62.9,63.75,61.45,62.0,62.0,4089032.0
3229,2019-05-03,64.4,65.2,62.2,63.15,63.15,7233828.0
3228,2019-05-02,63.3,66.25,63.1,63.9,63.9,13202647.0
3227,2019-04-30,60.6,65.05,60.6,62.7,62.7,18808041.0
3226,2019-04-26,62.0,62.6,59.0,60.1,60.1,5292856.0
3225,2019-04-25,58.4,63.3,57.2,61.85,61.85,10769507.0
3224,2019-04-24,60.3,61.8,57.2,58.35,58.35,5816722.0
3223,2019-04-23,62.45,63.25,60.0,60.25,60.25,3963428.0
3222,2019-04-22,63.9,64.85,62.15,62.4,62.4,4071589.0
3221,2019-04-18,63.1,65.4,62.5,63.8,63.8,7239093.0
3220,2019-04-16,64.6,65.3,62.0,63.0,63.0,8700642.0
3219,2019-04-15,67.5,70.4,62.35,64.65,64.65,19097894.0
3218,2019-04-12,66.25,71.0,66.2,67.0,67.0,27246341.0
3217,2019-04-11,57.1,68.2,57.05,65.9,65.9,37162257.0
3216,2019-04-10,56.2,57.6,56.2,56.85,56.85,5065870.0
3215,2019-04-09,54.6,56.4,54.1,56.05,56.05,6185852.0
3214,2019-04-08,53.55,56.3,53.25,54.25,54.25,7414583.0
3213,2019-04-05,52.7,54.25,52.4,53.15,53.15,7980582.0
3212,2019-04-04,52.0,52.65,51.15,51.95,51.95,2362146.0
3211,2019-04-03,52.85,53.5,51.65,51.85,51.85,4739709.0
3210,2019-04-02,51.35,53.1,50.8,52.55,52.55,7916461.0
3209,2019-04-01,50.55,52.65,50.55,51.15,51.15,4504694.0
3208,2019-03-28,50.25,51.5,50.1,50.8,50.8,2911289.0
3207,2019-03-27,51.5,51.85,50.15,50.65,50.65,4786342.0
3206,2019-03-26,52.0,52.3,50.8,50.95,50.95,4408912.0
3205,2019-03-25,52.4,52.7,51.25,51.7,51.7,5795685.0
3204,2019-03-22,51.25,55.0,50.75,52.95,52.95,10526863.0
3203,2019-03-20,51.2,51.9,50.4,51.25,51.25,3342482.0
3202,2019-03-19,51.5,52.2,50.75,50.9,50.9,3747992.0
3201,2019-03-18,50.5,51.1,50.35,50.6,50.6,2500128.0
3200,2019-03-15,51.0,51.9,49.5,50.6,50.6,9225671.0
3199,2019-03-14,49.9,51.8,49.8,51.1,51.1,5490302.0
3198,2019-03-13,50.0,50.45,48.8,49.7,49.7,4554687.0
3197,2019-03-12,51.5,52.0,50.05,50.35,50.35,4788224.0
3196,2019-03-11,52.0,53.2,50.5,51.15,51.15,7376547.0
3195,2019-03-08,49.45,53.25,48.6,51.85,51.85,13548555.0
3194,2019-03-07,48.75,49.75,47.75,49.15,49.15,7255258.0
3193,2019-03-06,50.0,50.2,46.6,48.45,48.45,12983650.0
3192,2019-03-05,43.1,47.55,42.0,47.55,47.55,15003825.0
3191,2019-03-01,44.05,44.45,43.0,43.25,43.25,2564528.0
3190,2019-02-28,43.5,44.45,43.05,43.7,43.7,5755780.0
3189,2019-02-27,41.2,44.0,40.0,42.8,42.8,10116516.0
3188,2019-02-26,40.95,41.7,39.5,40.85,40.85,6541092.0
3187,2019-02-25,42.0,42.2,40.55,41.0,41.0,3068399.0
3186,2019-02-22,42.0,42.15,41.0,41.2,41.2,1700079.0
3185,2019-02-21,42.0,42.75,41.5,42.0,42.0,4804685.0
3184,2019-02-20,42.9,43.0,41.35,41.85,41.85,2609140.0
3183,2019-02-19,42.85,43.7,42.1,42.4,42.4,2395833.0
3182,2019-02-18,42.1,43.35,40.4,42.75,42.75,5743749.0
3181,2019-02-15,43.45,43.85,42.1,42.55,42.55,2296024.0
3180,2019-02-14,43.7,44.75,42.7,43.7,43.7,3300750.0
3179,2019-02-12,45.8,46.0,44.25,44.4,44.4,3820281.0
3178,2019-02-11,44.05,46.0,42.7,44.9,44.9,4708984.0
3177,2019-02-08,45.95,45.95,44.0,44.2,44.2,4249648.0
3176,2019-02-07,44.45,47.1,44.05,46.0,46.0,11812496.0
3175,2019-02-06,43.8,44.4,40.9,43.5,43.5,7298999.0
3174,2019-02-05,44.0,44.75,42.6,42.6,42.6,5981011.0
3173,2019-02-04,47.3,47.3,43.0,44.8,44.8,19854611.0
3172,2019-02-01,45.05,45.05,45.05,45.05,45.05,594701.0
3171,2019-01-31,42.95,42.95,42.95,42.95,42.95,1209017.0
3170,2019-01-30,38.8,40.95,38.5,40.95,40.95,11671991.0
3169,2019-01-29,39.0,39.4,39.0,39.0,39.0,5982938.0
3168,2019-01-28,41.75,42.15,41.05,41.05,41.05,4965498.0
3167,2019-01-25,44.1,45.75,42.8,43.2,43.2,9052094.0
3166,2019-01-24,47.8,48.2,44.7,44.7,44.7,8644809.0
3165,2019-01-23,44.3,47.65,43.75,47.05,47.05,19525991.0
3164,2019-01-22,45.9,47.7,45.6,45.6,45.6,15249170.0
3163,2019-01-21,53.0,53.0,48.0,48.0,48.0,30490109.0
3162,2019-01-18,50.5,50.5,49.5,50.5,50.5,5952830.0
3161,2019-01-17,47.9,48.1,47.0,48.1,48.1,5815427.0
3160,2019-01-16,44.7,45.85,44.3,45.85,45.85,10040224.0
3159,2019-01-15,42.2,43.7,41.35,43.7,43.7,9334298.0
3158,2019-01-14,41.15,41.65,39.2,41.65,41.65,15767772.0
3157,2019-01-11,39.7,39.7,39.7,39.7,39.7,3911497.0
3156,2019-01-10,37.85,37.85,37.85,37.85,37.85,1801343.0
3155,2019-01-09,37.7,37.8,35.85,36.05,36.05,4459739.0
3154,2019-01-08,37.9,37.9,36.8,37.2,37.2,11681243.0
3153,2019-01-07,35.7,36.1,35.4,36.1,36.1,1801398.0
3152,2019-01-04,34.1,34.9,33.7,34.4,34.4,4181473.0
3151,2019-01-03,35.9,36.05,34.25,34.3,34.3,5243782.0
3150,2019-01-02,35.4,36.65,35.1,36.05,36.05,7519295.0
3149,2019-01-01,33.4,34.95,33.4,34.95,34.95,5335533.0
3148,2018-12-31,34.7,35.15,32.75,33.3,33.3,5169551.0
3147,2018-12-28,35.6,35.65,34.25,34.45,34.45,3358942.0
3146,2018-12-27,35.9,36.4,35.05,35.2,35.2,3143797.0
3145,2018-12-26,35.35,36.0,34.3,35.2,35.2,7947160.0
