,Date,Open,High,Low,Close,Adj Close,Volume
227,2019-06-14,475.35,479.55,472.1,475.4,475.4,19258.0
226,2019-06-13,482.1,487.0,470.05,478.8,478.8,213907.0
225,2019-06-12,484.25,493.0,476.75,481.9,481.9,230557.0
224,2019-06-11,478.85,480.9,473.05,475.4,475.4,97223.0
223,2019-06-10,461.9,476.95,461.9,471.8,471.8,57799.0
222,2019-06-07,485.25,495.0,454.0,458.15,458.15,557949.0
221,2019-06-06,490.0,516.8,484.0,485.2,485.2,177078.0
220,2019-06-04,506.0,513.5,488.0,490.35,490.35,81302.0
219,2019-06-03,520.0,520.0,506.4,507.4,507.4,26557.0
218,2019-05-31,527.0,529.7,507.05,514.35,514.35,60719.0
217,2019-05-30,531.0,531.0,515.05,521.15,521.15,56651.0
216,2019-05-29,527.0,548.45,520.25,524.25,524.25,258272.0
215,2019-05-28,524.0,528.0,520.0,523.55,523.55,244488.0
214,2019-05-27,500.6,523.7,499.2,516.35,516.35,327542.0
213,2019-05-24,489.0,503.7,475.2,495.9,495.9,181772.0
212,2019-05-23,498.75,504.5,477.0,481.55,481.55,20226.0
211,2019-05-22,489.95,496.0,483.0,485.35,485.35,13903.0
210,2019-05-21,485.0,497.5,485.0,486.8,486.8,10261.0
209,2019-05-20,495.5,505.0,489.0,491.65,491.65,24493.0
208,2019-05-17,481.0,495.45,481.0,487.85,487.85,20136.0
207,2019-05-16,502.0,502.0,478.0,480.65,480.65,20480.0
206,2019-05-15,487.0,504.55,487.0,495.85,495.85,56416.0
205,2019-05-14,493.25,503.95,487.45,498.0,498.0,12540.0
204,2019-05-13,503.0,509.45,488.15,493.25,493.25,54023.0
203,2019-05-10,511.1,516.3,507.4,509.4,509.4,15934.0
202,2019-05-09,520.35,530.1,511.1,512.7,512.7,13566.0
201,2019-05-08,530.15,538.0,517.2,520.3,520.3,14878.0
200,2019-05-07,546.7,546.7,530.0,530.65,530.65,9045.0
199,2019-05-06,535.05,549.0,535.05,538.6,538.6,12819.0
198,2019-05-03,549.9,549.9,535.0,539.65,539.65,36541.0
197,2019-05-02,550.0,556.35,540.0,542.0,542.0,13300.0
196,2019-04-30,562.15,566.0,549.0,550.9,550.9,23009.0
195,2019-04-26,569.3,572.8,565.0,566.35,566.35,13497.0
194,2019-04-25,573.9,577.95,568.0,569.3,569.3,21837.0
193,2019-04-24,568.55,576.15,565.0,568.1,568.1,20372.0
192,2019-04-23,574.0,578.0,565.1,567.6,567.6,25542.0
191,2019-04-22,575.8,575.8,562.0,570.9,570.9,30483.0
190,2019-04-18,589.1,594.95,575.85,577.0,577.0,24331.0
189,2019-04-16,585.05,597.0,580.0,588.85,588.85,38008.0
188,2019-04-15,582.8,586.0,575.0,579.95,579.95,29813.0
187,2019-04-12,580.45,588.0,575.25,577.35,577.35,38048.0
186,2019-04-11,585.1,599.0,577.1,579.5,579.5,38262.0
185,2019-04-10,588.0,595.0,581.3,585.05,585.05,42399.0
184,2019-04-09,596.8,596.8,583.95,585.5,585.5,44127.0
183,2019-04-08,605.8,609.45,591.3,594.95,594.95,87925.0
182,2019-04-05,601.9,625.0,587.0,603.0,603.0,285470.0
181,2019-04-04,581.0,654.5,574.1,601.6,601.6,2056479.0
180,2019-04-03,592.9,596.0,579.0,579.95,579.95,22458.0
179,2019-04-02,595.95,599.0,584.2,587.5,587.5,111950.0
178,2019-04-01,585.0,598.0,581.6,591.55,591.55,51868.0
177,2019-03-28,599.45,599.45,588.0,589.55,589.55,24907.0
176,2019-03-27,597.25,600.55,590.0,591.8,591.8,11316.0
175,2019-03-26,597.0,603.0,591.15,597.25,597.25,8621.0
174,2019-03-25,598.2,602.25,590.35,597.9,597.9,7249.0
173,2019-03-22,605.0,605.0,598.0,602.35,602.35,42416.0
172,2019-03-20,606.0,606.0,594.95,598.2,598.2,33603.0
171,2019-03-19,605.6,622.45,594.05,599.25,599.25,21293.0
170,2019-03-18,621.0,621.95,602.55,616.75,616.75,8533.0
169,2019-03-15,625.0,631.5,615.2,618.1,618.1,10814.0
168,2019-03-14,634.0,639.45,621.0,625.65,625.65,4823.0
167,2019-03-13,642.05,647.9,631.1,633.6,633.6,7730.0
166,2019-03-12,655.0,655.0,638.45,644.6,644.6,24591.0
165,2019-03-11,643.0,651.9,639.3,645.6,645.6,33324.0
164,2019-03-08,654.55,659.95,643.0,643.55,643.55,5912.0
163,2019-03-07,649.0,653.95,645.0,649.6,649.6,29102.0
162,2019-03-06,638.0,662.35,635.0,648.05,648.05,47505.0
161,2019-03-05,602.0,663.95,602.0,633.15,633.15,36780.0
160,2019-03-01,614.95,630.25,600.05,603.8,603.8,141394.0
159,2019-02-28,614.0,620.0,610.0,615.95,615.95,16226.0
158,2019-02-27,602.0,617.0,600.0,600.05,600.05,5672.0
157,2019-02-26,600.0,615.0,595.0,605.3,605.3,11024.0
156,2019-02-25,622.0,622.0,602.7,608.2,608.2,8637.0
155,2019-02-22,613.7,629.8,613.7,619.45,619.45,5628.0
154,2019-02-21,594.95,630.0,589.95,613.0,613.0,14140.0
153,2019-02-20,574.55,594.7,572.65,592.7,592.7,18646.0
