,Date,Open,High,Low,Close,Adj Close,Volume
1016,2019-06-14,295.0,295.1,285.0,288.85,288.85,36009.0
1015,2019-06-13,287.5,293.0,282.5,292.5,292.5,36258.0
1014,2019-06-12,289.9,291.9,285.3,287.25,287.25,14992.0
1013,2019-06-11,287.6,294.0,284.65,288.25,288.25,20942.0
1012,2019-06-10,289.0,294.7,284.2,285.9,285.9,32940.0
1011,2019-06-07,297.0,298.75,287.0,291.55,291.55,46516.0
1010,2019-06-06,289.0,301.4,280.8,297.2,297.2,131425.0
1009,2019-06-04,285.0,288.9,284.15,287.05,287.05,42947.0
1008,2019-06-03,289.75,299.0,280.85,288.35,288.35,316356.0
1007,2019-05-31,292.7,295.1,283.0,285.2,285.2,60515.0
1006,2019-05-30,306.65,306.65,289.45,292.2,292.2,49154.0
1005,2019-05-29,312.55,316.0,302.2,305.0,305.0,319893.0
1004,2019-05-28,280.0,310.0,275.1,301.6,301.6,290797.0
1003,2019-05-27,271.0,294.0,265.55,290.55,290.55,162686.0
1002,2019-05-24,258.95,272.0,258.0,267.5,267.5,36551.0
1001,2019-05-23,263.6,270.9,255.1,258.75,258.75,38263.0
1000,2019-05-22,274.5,274.5,263.0,263.65,263.65,23810.0
999,2019-05-21,266.0,274.5,260.5,265.1,265.1,47238.0
998,2019-05-20,263.95,276.2,249.7,270.75,270.75,278638.0
997,2019-05-17,252.7,252.7,240.4,243.6,243.6,31771.0
996,2019-05-16,260.0,260.9,247.0,248.95,248.95,49089.0
995,2019-05-15,264.0,264.0,251.6,258.45,258.45,35948.0
994,2019-05-14,258.5,264.9,250.05,262.95,262.95,31394.0
993,2019-05-13,259.95,259.95,244.0,254.75,254.75,43644.0
992,2019-05-10,255.3,260.0,254.0,256.75,256.75,5962.0
991,2019-05-09,259.95,260.9,253.1,254.85,254.85,14647.0
990,2019-05-08,255.1,263.35,249.0,259.95,259.95,36998.0
989,2019-05-07,258.0,259.95,253.0,253.95,253.95,10009.0
988,2019-05-06,265.0,265.95,254.8,258.3,258.3,23226.0
987,2019-05-03,272.9,273.0,264.1,265.3,265.3,14962.0
986,2019-05-02,271.0,274.0,267.65,270.9,270.9,11476.0
985,2019-04-30,265.1,274.0,265.1,271.35,271.35,26649.0
984,2019-04-26,270.1,270.95,265.7,267.0,267.0,9743.0
983,2019-04-25,275.3,275.35,267.55,268.7,268.7,38021.0
982,2019-04-24,269.0,275.3,265.95,273.9,273.9,50305.0
981,2019-04-23,266.05,267.2,263.0,265.05,265.05,6573.0
980,2019-04-22,266.9,270.0,265.0,265.35,265.35,22700.0
979,2019-04-18,276.5,276.5,267.85,270.0,270.0,47279.0
978,2019-04-16,276.0,278.0,272.5,275.35,275.35,34819.0
977,2019-04-15,273.0,277.0,271.5,276.8,276.8,28763.0
976,2019-04-12,266.05,277.6,265.1,272.7,272.7,89299.0
975,2019-04-11,266.4,269.8,265.0,266.05,266.05,24050.0
974,2019-04-10,266.0,268.75,266.0,267.05,267.05,6141.0
973,2019-04-09,268.0,269.6,265.7,266.5,266.5,14097.0
972,2019-04-08,270.0,273.05,265.0,267.0,267.0,48178.0
971,2019-04-05,271.6,271.85,266.75,270.25,270.25,22767.0
970,2019-04-04,274.0,275.0,266.6,268.75,268.75,22814.0
969,2019-04-03,281.0,281.2,270.0,271.15,271.15,48713.0
968,2019-04-02,289.95,289.95,278.0,281.15,281.15,67142.0
967,2019-04-01,284.0,292.4,282.0,287.75,287.75,94063.0
966,2019-03-28,276.5,278.6,270.0,276.85,276.85,39333.0
965,2019-03-27,270.0,278.0,267.05,275.9,275.9,92842.0
964,2019-03-26,265.2,271.0,264.5,268.65,268.65,33670.0
963,2019-03-25,270.0,270.0,265.0,265.2,265.2,30817.0
962,2019-03-22,274.0,277.0,266.0,272.4,272.4,49228.0
961,2019-03-20,272.8,276.25,257.0,272.65,272.65,205212.0
960,2019-03-19,272.0,272.15,265.6,268.85,268.85,72523.0
959,2019-03-18,274.0,278.65,269.75,272.15,272.15,30437.0
958,2019-03-15,286.0,287.5,265.5,273.2,273.2,99577.0
957,2019-03-14,281.55,287.5,276.0,285.1,285.1,66542.0
956,2019-03-13,279.0,285.55,267.5,282.55,282.55,195595.0
955,2019-03-12,267.95,276.8,266.0,275.05,275.05,225989.0
954,2019-03-11,254.0,271.3,253.25,267.95,267.95,155174.0
953,2019-03-08,255.0,258.8,251.35,254.3,254.3,107791.0
952,2019-03-07,251.0,258.95,247.55,255.85,255.85,70918.0
951,2019-03-06,254.0,256.0,250.0,251.55,251.55,104381.0
950,2019-03-05,243.0,255.0,243.0,253.1,253.1,138782.0
949,2019-03-01,241.2,244.0,240.0,243.1,243.1,27351.0
948,2019-02-28,241.5,244.0,240.0,242.65,242.65,84788.0
947,2019-02-27,244.95,249.3,237.15,239.95,239.95,86968.0
946,2019-02-26,240.05,248.7,240.05,242.6,242.6,129720.0
945,2019-02-25,247.7,250.35,241.5,243.3,243.3,47621.0
944,2019-02-22,242.8,247.0,240.0,245.1,245.1,446201.0
943,2019-02-21,240.05,247.4,238.05,239.2,239.2,24027.0
942,2019-02-20,241.05,243.7,237.35,238.6,238.6,17537.0
941,2019-02-19,245.0,245.95,240.0,241.3,241.3,14925.0
940,2019-02-18,243.5,243.5,240.0,241.45,241.45,106187.0
939,2019-02-15,248.95,248.95,240.05,240.5,240.5,18500.0
938,2019-02-14,248.75,250.75,240.0,245.35,245.35,40465.0
937,2019-02-12,252.0,255.05,240.65,244.3,244.3,24577.0
936,2019-02-11,252.0,253.9,248.55,249.45,249.45,24345.0
935,2019-02-08,259.0,259.05,252.1,252.85,252.85,25586.0
934,2019-02-07,259.0,264.0,258.0,259.55,259.55,36590.0
933,2019-02-06,260.95,262.15,258.1,259.85,259.85,9416.0
932,2019-02-05,263.05,264.05,260.0,260.6,260.6,6540.0
931,2019-02-04,269.65,270.45,261.1,263.05,263.05,12518.0
930,2019-02-01,272.0,274.95,267.0,268.85,268.85,14294.0
929,2019-01-31,271.0,275.95,265.0,273.5,273.5,24307.0
928,2019-01-30,270.6,274.95,267.0,271.25,271.25,18348.0
927,2019-01-29,260.0,272.0,259.95,268.15,268.15,19439.0
926,2019-01-28,259.55,262.45,259.45,260.0,260.0,43497.0
925,2019-01-25,260.85,263.8,255.0,259.55,259.55,26586.0
924,2019-01-24,273.0,273.0,260.0,260.85,260.85,44789.0
923,2019-01-23,271.05,275.0,269.0,270.75,270.75,14417.0
922,2019-01-22,284.0,284.0,270.1,272.65,272.65,22876.0
921,2019-01-21,290.0,290.0,275.5,281.4,281.4,39123.0
920,2019-01-18,290.0,293.15,286.05,288.7,288.7,46490.0
919,2019-01-17,288.75,290.9,287.0,289.95,289.95,42908.0
918,2019-01-16,288.0,291.0,282.0,288.75,288.75,38161.0
917,2019-01-15,281.0,290.75,279.7,285.5,285.5,50726.0
916,2019-01-14,276.25,284.9,270.25,280.25,280.25,35793.0
915,2019-01-11,286.0,286.0,275.0,276.25,276.25,30476.0
914,2019-01-10,279.1,286.8,275.75,283.55,283.55,29420.0
913,2019-01-09,278.5,280.0,278.0,278.65,278.65,7471.0
912,2019-01-08,279.5,281.65,277.0,279.05,279.05,18317.0
911,2019-01-07,283.6,285.0,278.0,280.2,280.2,12394.0
910,2019-01-04,283.6,286.45,280.5,281.85,281.85,20555.0
909,2019-01-03,289.3,289.3,281.2,282.45,282.45,34466.0
908,2019-01-02,293.15,294.05,286.75,288.25,288.25,10620.0
907,2019-01-01,294.0,296.0,290.4,292.75,292.75,21429.0
906,2018-12-31,291.35,295.8,289.25,293.05,293.05,24250.0
905,2018-12-28,293.9,295.0,288.0,291.35,291.35,38453.0
904,2018-12-27,295.0,296.0,289.25,291.85,291.85,61111.0
903,2018-12-26,286.15,294.7,284.0,292.4,292.4,53825.0
902,2018-12-24,293.8,293.8,285.0,286.05,286.05,41960.0
901,2018-12-21,303.5,307.0,289.0,292.75,292.75,124194.0
900,2018-12-20,299.5,305.95,296.6,303.5,303.5,148727.0
899,2018-12-19,287.0,301.45,287.0,299.5,299.5,177283.0
898,2018-12-18,283.0,286.05,281.8,284.95,284.95,29826.0
897,2018-12-17,280.0,284.05,279.95,281.65,281.65,41501.0
896,2018-12-14,286.0,287.95,278.05,279.1,279.1,24794.0
895,2018-12-13,294.0,296.0,284.3,285.8,285.8,40613.0
894,2018-12-12,284.0,294.6,284.0,293.55,293.55,21373.0
893,2018-12-11,281.6,290.05,277.0,286.2,286.2,20950.0
892,2018-12-10,282.0,286.95,273.5,282.75,282.75,36923.0
891,2018-12-07,285.0,285.0,281.15,283.05,283.05,22744.0
890,2018-12-06,292.9,292.9,283.0,285.45,285.45,49679.0
889,2018-12-05,303.7,303.7,291.5,292.6,292.6,19501.0
888,2018-12-04,303.65,305.45,298.0,301.3,301.3,16345.0
887,2018-12-03,306.8,306.8,298.05,300.7,300.7,42942.0
886,2018-11-30,307.0,307.9,300.15,302.75,302.75,93946.0
885,2018-11-29,308.0,309.9,303.05,306.4,306.4,44747.0
884,2018-11-28,308.45,311.6,303.15,304.45,304.45,41902.0
883,2018-11-27,302.9,319.4,299.0,308.25,308.25,275660.0
882,2018-11-26,309.0,309.0,298.45,300.25,300.25,41291.0
881,2018-11-22,309.0,312.7,302.95,306.25,306.25,58591.0
880,2018-11-21,288.0,314.8,286.9,306.8,306.8,360364.0
879,2018-11-20,292.65,294.0,286.5,288.65,288.65,33344.0
878,2018-11-19,285.05,296.0,285.05,293.65,293.65,32057.0
877,2018-11-16,288.2,294.7,282.0,286.0,286.0,30914.0
876,2018-11-15,293.95,294.65,275.4,289.7,289.7,49723.0
875,2018-11-14,292.1,301.8,292.1,295.6,292.1,42466.0
874,2018-11-13,284.0,296.0,282.0,291.35,287.9003,30367.0
873,2018-11-12,290.0,290.0,282.95,284.7,281.3291,26470.0
872,2018-11-09,285.6,290.0,280.55,286.3,282.9101,15262.0
871,2018-11-07,285.9,287.95,284.1,285.65,282.2678,4870.0
870,2018-11-06,281.0,286.25,275.0,283.95,280.588,52530.0
869,2018-11-05,272.0,282.0,271.0,280.85,277.5247,32061.0
868,2018-11-02,263.0,276.5,261.5,273.75,270.5087,44105.0
867,2018-11-01,258.0,270.0,254.5,261.8,258.7002,34867.0
866,2018-10-31,259.95,259.95,253.0,254.65,251.6349,138602.0
865,2018-10-30,257.65,260.55,255.6,259.15,256.0816,821723.0
864,2018-10-29,255.0,261.95,253.0,259.6,256.5262,22887.0
863,2018-10-26,259.0,259.0,254.0,255.1,252.0795,8754.0
862,2018-10-25,258.25,259.95,254.0,255.75,252.7218,13962.0
861,2018-10-24,253.2,262.9,251.5,259.15,256.0816,20722.0
860,2018-10-23,253.0,254.95,250.3,253.2,250.202,8123.0
859,2018-10-22,250.25,264.0,248.45,252.25,249.2633,44165.0
858,2018-10-19,254.25,255.0,248.7,252.55,249.5597,133246.0
857,2018-10-17,258.0,259.1,253.2,254.25,251.2396,30344.0
856,2018-10-16,258.0,259.6,255.5,256.5,253.463,78321.0
855,2018-10-15,263.0,263.0,255.5,256.5,253.463,159053.0
854,2018-10-12,259.0,269.5,254.0,262.2,259.0955,37402.0
853,2018-10-11,256.0,258.0,253.15,256.25,253.2159,17342.0
852,2018-10-10,257.0,262.0,257.0,259.4,256.3286,147436.0
851,2018-10-09,261.05,265.0,254.75,258.45,255.3899,31707.0
