,Date,Open,High,Low,Close,Adj Close,Volume
2368,2019-06-14,1355.05,1371.0,1355.05,1356.8,1356.8,1521.0
2367,2019-06-13,1347.0,1379.0,1347.0,1374.35,1374.35,3285.0
2366,2019-06-12,1378.6,1385.0,1361.55,1362.3,1362.3,2718.0
2365,2019-06-11,1359.05,1406.85,1358.8,1377.5,1377.5,13247.0
2364,2019-06-10,1373.0,1373.0,1343.0,1359.0,1359.0,4832.0
2363,2019-06-07,1316.9,1380.0,1312.6,1361.95,1361.95,106451.0
2362,2019-06-06,1340.0,1340.0,1317.05,1332.0,1332.0,4462.0
2361,2019-06-04,1306.0,1339.85,1306.0,1329.65,1329.65,3827.0
2360,2019-06-03,1307.0,1325.0,1307.0,1321.1,1321.1,3383.0
2359,2019-05-31,1341.85,1342.0,1309.05,1322.35,1322.35,7575.0
2358,2019-05-30,1344.95,1350.25,1304.2,1339.4,1339.4,12070.0
2357,2019-05-29,1339.5,1348.0,1328.0,1341.65,1341.65,67914.0
2356,2019-05-28,1317.1,1349.0,1292.85,1328.65,1328.65,60300.0
2355,2019-05-27,1280.0,1320.0,1280.0,1307.3,1307.3,4633.0
2354,2019-05-24,1290.0,1299.0,1256.7,1274.7,1274.7,4407.0
2353,2019-05-23,1320.0,1320.0,1266.5,1268.8,1268.8,4035.0
2352,2019-05-22,1274.45,1292.0,1274.45,1288.4,1288.4,2873.0
2351,2019-05-21,1290.0,1299.0,1261.25,1271.8,1271.8,3965.0
2350,2019-05-20,1318.8,1318.8,1271.9,1286.2,1286.2,7003.0
2349,2019-05-17,1297.75,1305.0,1212.0,1271.9,1271.9,141554.0
2348,2019-05-16,1313.1,1320.85,1295.55,1304.3,1304.3,137694.0
2347,2019-05-15,1318.95,1323.0,1298.15,1312.35,1312.35,33877.0
2346,2019-05-14,1280.55,1315.0,1280.55,1302.9,1302.9,8786.0
2345,2019-05-13,1301.35,1304.3,1250.0,1285.6,1285.6,4716.0
2344,2019-05-10,1299.95,1319.5,1293.15,1300.15,1300.15,4419.0
2343,2019-05-09,1300.7,1319.2,1298.0,1306.55,1306.55,5937.0
2342,2019-05-08,1292.0,1304.0,1292.0,1301.2,1301.2,2831.0
2341,2019-05-07,1309.0,1310.15,1300.0,1307.65,1307.65,3922.0
2340,2019-05-06,1290.0,1307.0,1290.0,1301.45,1301.45,2852.0
2339,2019-05-03,1300.0,1312.55,1296.45,1304.45,1304.45,6232.0
2338,2019-05-02,1286.05,1305.1,1286.05,1299.8,1299.8,2907.0
2337,2019-04-30,1280.05,1313.95,1280.05,1308.25,1308.25,8402.0
2336,2019-04-26,1299.95,1305.0,1299.05,1299.85,1299.85,2129.0
2335,2019-04-25,1300.0,1306.75,1298.05,1300.0,1300.0,2218.0
2334,2019-04-24,1309.95,1310.0,1296.25,1299.3,1299.3,2913.0
2333,2019-04-23,1300.4,1307.9,1298.1,1302.05,1302.05,4435.0
2332,2019-04-22,1310.0,1310.0,1295.0,1300.05,1300.05,2187.0
2331,2019-04-18,1301.0,1315.0,1295.0,1302.95,1302.95,2800.0
2330,2019-04-16,1305.1,1313.0,1290.55,1304.75,1304.75,3610.0
2329,2019-04-15,1306.3,1312.0,1298.55,1300.8,1300.8,1987.0
2328,2019-04-12,1301.2,1310.0,1295.95,1306.3,1306.3,1861.0
2327,2019-04-11,1315.2,1316.05,1297.6,1301.2,1301.2,1475.0
2326,2019-04-10,1309.4,1325.0,1306.55,1311.1,1311.1,2553.0
2325,2019-04-09,1311.6,1318.0,1292.2,1311.8,1311.8,3004.0
2324,2019-04-08,1291.1,1310.95,1291.1,1301.25,1301.25,3015.0
2323,2019-04-05,1299.55,1309.75,1296.2,1301.65,1301.65,3898.0
2322,2019-04-04,1319.75,1319.75,1299.8,1301.45,1301.45,2730.0
2321,2019-04-03,1311.35,1332.9,1296.95,1300.25,1300.25,5442.0
