,Date,Open,High,Low,Close,Adj Close,Volume
438,2019-06-14,95.0,95.4,93.75,94.0,94.0,739792.0
437,2019-06-13,96.4,97.3,94.25,95.0,95.0,1270635.0
436,2019-06-12,97.25,97.9,95.8,96.4,96.4,947184.0
435,2019-06-11,96.6,97.7,96.2,97.0,97.0,874061.0
434,2019-06-10,99.7,100.0,96.0,97.1,97.1,1264208.0
433,2019-06-07,98.75,99.9,98.0,99.05,99.05,1137220.0
432,2019-06-06,103.0,103.25,98.15,98.75,98.75,4147716.0
431,2019-06-04,102.5,105.8,102.45,104.1,104.1,3941155.0
430,2019-06-03,99.0,102.8,98.35,102.5,102.5,2104160.0
429,2019-05-31,100.1,100.95,98.3,99.1,99.1,1565654.0
428,2019-05-30,99.35,99.95,98.6,99.55,99.55,1156858.0
427,2019-05-29,102.0,102.05,99.65,99.95,99.95,1042624.0
426,2019-05-28,103.15,103.6,101.1,101.9,101.9,1654046.0
425,2019-05-27,98.35,103.7,98.35,102.75,102.75,4333501.0
424,2019-05-24,98.0,98.5,96.0,97.6,97.6,2130586.0
423,2019-05-23,96.25,98.35,95.5,95.85,95.85,2187218.0
422,2019-05-22,95.0,95.8,94.45,95.05,95.05,993583.0
421,2019-05-21,96.0,97.4,94.25,95.05,95.05,1314905.0
420,2019-05-20,94.0,96.25,92.55,95.3,95.3,1960673.0
419,2019-05-17,91.45,92.0,90.5,90.85,90.85,1244036.0
418,2019-05-16,93.2,94.2,90.5,91.45,91.45,1555108.0
417,2019-05-15,95.0,96.35,92.05,92.85,92.85,1413822.0
416,2019-05-14,94.5,95.75,93.1,94.4,94.4,1390425.0
415,2019-05-13,97.9,98.35,94.6,95.0,95.0,1824704.0
414,2019-05-10,97.05,98.25,96.8,98.0,98.0,1095037.0
413,2019-05-09,98.0,98.2,96.45,96.75,96.75,2310385.0
412,2019-05-08,99.7,99.75,98.0,98.6,98.6,3021121.0
411,2019-05-07,102.0,102.45,99.25,100.35,100.35,2009126.0
410,2019-05-06,102.4,103.8,100.3,101.15,101.15,4985827.0
409,2019-05-03,100.0,102.4,99.15,101.5,101.5,3417045.0
408,2019-05-02,97.7,101.15,96.55,100.0,100.0,2444327.0
407,2019-04-30,99.2,99.35,97.35,97.75,97.75,1394287.0
406,2019-04-26,98.35,99.6,97.95,99.2,99.2,1632867.0
405,2019-04-25,98.8,99.8,98.05,98.25,98.25,1181631.0
404,2019-04-24,98.65,99.9,97.9,98.45,98.45,3510113.0
403,2019-04-23,99.0,100.2,98.45,98.55,98.55,1238095.0
402,2019-04-22,100.0,100.8,98.25,99.0,99.0,2179726.0
401,2019-04-18,101.3,101.4,98.75,100.05,100.05,2163097.0
400,2019-04-16,102.85,102.9,100.65,101.05,101.05,2292659.0
399,2019-04-15,98.85,103.95,98.5,102.1,102.1,6275985.0
398,2019-04-12,98.7,99.25,97.65,98.3,98.3,1561038.0
397,2019-04-11,96.95,99.5,95.5,98.4,98.4,3466638.0
396,2019-04-10,97.3,98.3,96.4,96.65,96.65,1407939.0
395,2019-04-09,97.95,98.7,96.5,97.0,97.0,2111427.0
394,2019-04-08,100.0,100.6,97.3,97.85,97.85,4683415.0
393,2019-04-05,99.0,100.85,98.55,99.65,99.65,2569157.0
392,2019-04-04,100.65,101.0,98.0,98.35,98.35,2877367.0
391,2019-04-03,103.0,103.8,99.7,100.3,100.3,2722460.0
390,2019-04-02,104.5,104.9,100.45,103.0,103.0,5280831.0
389,2019-04-01,97.45,104.5,97.45,103.35,103.35,7750265.0
388,2019-03-28,101.5,101.8,97.6,98.55,98.55,5154877.0
387,2019-03-27,102.0,103.25,99.5,100.9,100.9,5005683.0
386,2019-03-26,99.0,102.85,99.0,101.65,101.65,3924933.0
385,2019-03-25,101.0,101.6,98.55,99.7,99.7,3286365.0
384,2019-03-22,105.0,105.95,102.15,102.65,102.65,2444596.0
383,2019-03-20,104.8,107.35,104.25,104.9,104.9,4784060.0
382,2019-03-19,102.7,107.95,102.3,104.55,104.55,12014826.0
381,2019-03-18,98.9,102.7,98.1,101.35,101.35,5071721.0
380,2019-03-15,96.75,100.45,96.05,99.5,99.5,16933643.0
379,2019-03-14,96.55,98.5,94.8,95.9,95.9,2281306.0
378,2019-03-13,99.5,100.45,95.85,96.25,96.25,2427675.0
377,2019-03-12,100.85,100.9,98.35,99.2,99.2,3668398.0
376,2019-03-11,100.0,101.0,99.6,99.95,99.95,2961720.0
375,2019-03-08,98.4,101.0,98.25,100.0,100.0,3025599.0
374,2019-03-07,100.0,102.75,97.8,98.5,98.5,3375216.0
373,2019-03-06,100.6,101.5,99.3,99.8,99.8,3118084.0
372,2019-03-05,96.7,100.4,96.1,99.5,99.5,4948459.0
371,2019-03-01,92.5,96.5,92.35,95.95,95.95,3111358.0
370,2019-02-28,92.0,93.45,91.1,91.9,91.9,1661177.0
369,2019-02-27,88.2,93.65,88.0,90.95,90.95,5018607.0
368,2019-02-26,86.75,88.5,84.7,87.5,87.5,2729662.0
367,2019-02-25,88.1,89.8,87.5,88.7,88.7,3864761.0
366,2019-02-22,81.6,88.0,81.55,86.8,86.8,5751258.0
365,2019-02-21,82.0,83.0,81.65,81.95,81.95,2638740.0
364,2019-02-20,80.65,82.4,80.65,81.65,81.65,2442672.0
363,2019-02-19,81.3,82.35,80.3,80.6,80.6,1982936.0
362,2019-02-18,81.25,82.3,79.7,81.5,81.5,3471575.0
361,2019-02-15,78.5,81.65,77.75,80.4,80.4,3313525.0
360,2019-02-14,78.5,79.0,77.5,78.5,78.5,1739909.0
359,2019-02-12,79.4,80.25,79.0,79.9,79.9,1139394.0
358,2019-02-11,82.0,82.3,79.0,79.1,79.1,1539262.0
357,2019-02-08,83.55,83.6,81.1,81.6,81.6,1208528.0
356,2019-02-07,82.55,84.05,81.7,83.55,83.55,2066108.0
355,2019-02-06,83.15,83.75,81.55,82.35,82.35,3250195.0
354,2019-02-05,82.5,84.6,80.1,81.85,81.85,1821702.0
353,2019-02-04,82.5,84.1,81.35,82.5,82.5,2691815.0
352,2019-02-01,81.1,81.45,79.2,80.5,80.5,5545273.0
351,2019-01-31,82.9,83.0,80.2,81.0,81.0,2286803.0
