,Date,Open,High,Low,Close,Adj Close,Volume
1453,2019-06-14,212.0,216.0,208.3,210.4,210.4,177006.0
1452,2019-06-13,216.85,218.7,212.5,213.9,213.9,421670.0
1451,2019-06-12,221.5,221.5,215.15,217.8,217.8,212740.0
1450,2019-06-11,218.0,221.65,218.0,220.35,220.35,189969.0
1449,2019-06-10,217.1,222.5,216.0,220.5,220.5,614270.0
1448,2019-06-07,216.1,224.7,215.2,218.2,218.2,458982.0
1447,2019-06-06,215.1,220.0,214.15,219.1,219.1,271615.0
1446,2019-06-04,214.3,220.0,214.3,217.85,217.85,433871.0
1445,2019-06-03,209.4,219.85,209.4,218.85,218.85,579889.0
1444,2019-05-31,220.1,221.0,208.8,210.95,210.95,613276.0
1443,2019-05-30,211.5,219.05,211.5,218.05,218.05,622306.0
1442,2019-05-29,210.0,214.95,206.6,211.65,211.65,447178.0
1441,2019-05-28,210.7,214.8,207.0,211.15,211.15,728314.0
1440,2019-05-27,203.0,211.0,202.95,209.5,209.5,453173.0
1439,2019-05-24,196.0,203.45,194.05,202.6,202.6,320065.0
1438,2019-05-23,205.0,205.05,191.4,193.8,193.8,553377.0
1437,2019-05-22,204.0,206.95,199.75,202.75,202.75,239411.0
1436,2019-05-21,203.8,205.9,201.5,203.0,203.0,465754.0
1435,2019-05-20,202.5,204.1,196.2,201.95,201.95,594573.0
1434,2019-05-17,195.55,199.25,189.35,197.55,197.55,984614.0
1433,2019-05-16,188.0,200.8,179.7,194.5,194.5,3873211.0
1432,2019-05-15,212.0,212.35,188.8,192.8,192.8,3271035.0
1431,2019-05-14,201.55,212.8,201.55,210.2,210.2,455411.0
1430,2019-05-13,210.4,210.4,200.25,203.35,203.35,319289.0
1429,2019-05-10,207.0,213.0,206.05,210.35,210.35,405305.0
1428,2019-05-09,207.15,210.0,203.5,208.9,208.9,295010.0
1427,2019-05-08,207.95,209.7,204.6,207.15,207.15,329716.0
1426,2019-05-07,209.5,210.4,204.35,209.0,209.0,448973.0
1425,2019-05-06,205.5,210.0,205.1,209.8,209.8,303086.0
1424,2019-05-03,207.55,210.5,204.25,207.0,207.0,458408.0
1423,2019-05-02,215.45,215.75,207.8,209.0,209.0,346776.0
1422,2019-04-30,210.5,218.0,206.85,215.75,215.75,657684.0
1421,2019-04-26,217.0,218.5,206.85,210.3,210.3,547222.0
1420,2019-04-25,217.0,220.15,214.15,216.5,216.5,884316.0
1419,2019-04-24,212.55,219.45,212.4,216.85,216.85,871604.0
1418,2019-04-23,220.1,220.7,212.55,213.4,213.4,1628679.0
1417,2019-04-22,220.0,222.85,216.6,220.1,220.1,289575.0
1416,2019-04-18,221.6,223.0,216.0,221.2,221.2,604428.0
1415,2019-04-16,222.2,224.2,220.1,222.35,222.35,272936.0
1414,2019-04-15,227.1,228.0,222.0,223.15,223.15,204265.0
1413,2019-04-12,222.0,227.75,221.3,226.65,226.65,372441.0
1412,2019-04-11,220.8,223.9,220.0,222.6,222.6,328636.0
1411,2019-04-10,221.65,224.0,219.5,222.7,222.7,728505.0
1410,2019-04-09,215.0,220.0,210.0,218.15,218.15,328800.0
1409,2019-04-08,219.0,219.75,214.6,215.95,215.95,274908.0
1408,2019-04-05,221.6,222.2,218.0,219.0,219.0,277528.0
1407,2019-04-04,219.7,221.5,218.1,220.05,220.05,480266.0
1406,2019-04-03,220.0,221.65,218.1,219.7,219.7,332435.0
1405,2019-04-02,224.5,225.0,219.3,219.95,219.95,995657.0
1404,2019-04-01,222.3,228.0,221.75,224.4,224.4,408108.0
