,Date,Open,High,Low,Close,Adj Close,Volume
951,2019-06-14,235.45,239.6,229.1,233.2,233.2,302437.0
950,2019-06-13,223.5,239.8,222.0,234.5,234.5,295373.0
949,2019-06-12,228.5,229.0,222.25,222.95,222.95,37862.0
948,2019-06-11,226.0,230.5,224.75,228.5,228.5,91151.0
947,2019-06-10,224.0,229.2,221.8,224.95,224.95,48964.0
946,2019-06-07,228.05,232.05,222.0,222.6,222.6,107018.0
945,2019-06-06,232.8,235.75,227.95,228.05,228.05,98038.0
944,2019-06-04,236.3,238.0,231.0,231.8,231.8,57830.0
943,2019-06-03,236.4,237.0,231.5,235.7,235.7,88802.0
942,2019-05-31,234.85,243.0,231.95,235.9,235.9,245628.0
941,2019-05-30,234.1,238.75,230.4,233.75,233.75,236209.0
940,2019-05-29,242.0,252.7,232.35,236.7,236.7,510344.0
939,2019-05-28,224.7,246.7,223.55,241.55,241.55,1425980.0
938,2019-05-27,228.5,229.0,221.15,222.6,222.6,88593.0
937,2019-05-24,227.5,233.45,226.6,227.5,227.5,167598.0
936,2019-05-23,235.0,244.95,220.0,225.75,225.75,778739.0
935,2019-05-22,231.0,231.0,225.95,228.7,228.7,112786.0
934,2019-05-21,225.0,231.7,222.7,225.8,225.8,143765.0
933,2019-05-20,220.0,226.85,215.0,224.0,224.0,334597.0
932,2019-05-17,208.25,209.35,204.55,205.4,205.4,42758.0
931,2019-05-16,210.7,212.45,206.7,207.75,207.75,31800.0
930,2019-05-15,208.05,214.8,208.05,210.7,210.7,48353.0
929,2019-05-14,205.0,213.0,202.3,211.6,211.6,110286.0
928,2019-05-13,208.3,214.3,206.65,207.65,207.65,58644.0
927,2019-05-10,207.4,211.9,206.0,208.25,208.25,46675.0
926,2019-05-09,205.0,209.0,202.8,205.5,205.5,35322.0
925,2019-05-08,207.25,212.45,204.0,206.0,206.0,66922.0
924,2019-05-07,215.1,220.0,209.45,211.1,211.1,62355.0
923,2019-05-06,215.0,216.55,213.55,214.95,214.95,29306.0
922,2019-05-03,213.05,222.0,213.05,216.4,216.4,92113.0
921,2019-05-02,219.9,220.0,214.05,216.9,216.9,74870.0
920,2019-04-30,217.4,223.8,210.65,219.05,219.05,69041.0
919,2019-04-26,222.3,222.3,216.3,218.2,218.2,35739.0
918,2019-04-25,219.65,229.6,219.45,220.6,220.6,118347.0
917,2019-04-24,217.5,222.0,217.5,219.75,219.75,33805.0
916,2019-04-23,221.6,223.7,215.0,217.5,217.5,54957.0
915,2019-04-22,223.75,226.7,219.2,220.95,220.95,67489.0
914,2019-04-18,229.1,230.0,221.55,224.35,224.35,283329.0
913,2019-04-16,222.9,232.85,222.0,230.1,230.1,454737.0
912,2019-04-15,223.1,225.0,222.0,222.6,222.6,75455.0
911,2019-04-12,219.05,223.7,219.05,221.45,221.45,184368.0
910,2019-04-11,217.0,219.95,215.75,218.0,218.0,50031.0
909,2019-04-10,222.9,223.35,216.0,216.8,216.8,65891.0
908,2019-04-09,219.55,226.0,217.5,222.85,222.85,160069.0
907,2019-04-08,220.0,221.75,216.2,218.9,218.9,54306.0
906,2019-04-05,222.3,223.75,219.0,219.7,219.7,51032.0
905,2019-04-04,219.45,222.3,219.0,221.8,221.8,79401.0
904,2019-04-03,223.7,223.95,218.0,218.4,218.4,77280.0
903,2019-04-02,222.0,224.3,219.0,222.4,222.4,120223.0
902,2019-04-01,218.9,224.3,218.85,220.15,220.15,170645.0
901,2019-03-28,208.3,218.9,208.3,217.75,217.75,157719.0
900,2019-03-27,217.85,219.2,210.6,212.0,212.0,113065.0
899,2019-03-26,216.9,222.5,213.7,216.95,216.95,162274.0
