,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,970.6,975.0,928.4,960.3,960.3,932581.0
4223,2019-06-13,993.8,994.65,973.55,979.55,979.55,240755.0
4222,2019-06-12,990.65,1004.55,983.4,992.3,992.3,322116.0
4221,2019-06-11,1024.8,1024.8,984.5,996.55,996.55,472659.0
4220,2019-06-10,1006.8,1030.0,1001.7,1019.65,1019.65,186241.0
4219,2019-06-07,1009.75,1015.9,976.2,1001.65,1001.65,346872.0
4218,2019-06-06,1030.0,1042.1,1003.3,1009.5,1009.5,423588.0
4217,2019-06-04,1055.75,1076.0,1030.0,1032.65,1032.65,385914.0
4216,2019-06-03,1045.0,1051.2,1030.05,1048.0,1048.0,239541.0
4215,2019-05-31,1041.4,1049.9,1031.2,1045.55,1045.55,274551.0
4214,2019-05-30,1037.85,1044.3,1023.4,1040.0,1040.0,184805.0
4213,2019-05-29,1034.5,1044.5,1022.5,1032.45,1032.45,137245.0
4212,2019-05-28,1053.05,1066.0,1031.6,1038.65,1038.65,285528.0
4211,2019-05-27,1048.85,1057.05,1035.2,1051.6,1051.6,221439.0
4210,2019-05-24,1009.15,1044.95,1007.15,1039.25,1039.25,169474.0
4209,2019-05-23,1033.65,1039.0,1005.2,1008.9,1008.9,150346.0
4208,2019-05-22,1012.1,1029.9,1004.55,1025.65,1025.65,195035.0
4207,2019-05-21,1035.0,1044.0,1005.35,1016.25,1016.25,271207.0
4206,2019-05-20,1041.55,1054.95,1007.6,1026.9,1026.9,467152.0
4205,2019-05-17,1040.0,1040.0,1015.1,1026.0,1026.0,214428.0
4204,2019-05-16,1049.0,1052.0,1020.95,1036.4,1036.4,202476.0
4203,2019-05-15,1057.25,1093.15,1036.0,1045.2,1045.2,508358.0
4202,2019-05-14,1033.25,1060.0,1032.15,1054.25,1054.25,173550.0
4201,2019-05-13,1066.0,1068.0,1034.0,1043.8,1043.8,162163.0
4200,2019-05-10,1070.95,1082.0,1056.05,1068.35,1068.35,290847.0
4199,2019-05-09,1050.0,1069.9,1048.5,1064.4,1064.4,191893.0
4198,2019-05-08,1048.0,1064.9,1043.0,1057.95,1057.95,202055.0
4197,2019-05-07,1075.0,1080.0,1046.0,1051.4,1051.4,352776.0
4196,2019-05-06,1030.0,1075.0,1028.45,1067.7,1067.7,606570.0
4195,2019-05-03,1060.0,1084.65,1041.0,1051.7,1051.7,686186.0
4194,2019-05-02,970.0,1089.4,970.0,1072.9,1072.9,2810694.0
4193,2019-04-30,1032.65,1035.0,984.0,990.4,990.4,323047.0
4192,2019-04-26,1025.2,1037.3,1006.3,1026.65,1026.65,437260.0
4191,2019-04-25,1022.0,1046.0,1022.0,1029.9,1029.9,251012.0
4190,2019-04-24,1029.05,1039.5,1016.0,1023.35,1023.35,118471.0
4189,2019-04-23,1013.0,1038.0,1009.0,1028.05,1028.05,615035.0
4188,2019-04-22,1020.0,1020.0,1001.25,1015.0,1015.0,197332.0
4187,2019-04-18,1043.0,1043.0,1018.9,1027.0,1027.0,745277.0
4186,2019-04-16,1031.0,1050.0,1028.05,1032.6,1032.6,428766.0
4185,2019-04-15,1020.5,1030.0,1019.5,1027.15,1027.15,137548.0
4184,2019-04-12,1017.85,1029.4,1014.65,1019.55,1019.55,221188.0
4183,2019-04-11,1018.4,1022.0,1009.0,1014.65,1014.65,130582.0
4182,2019-04-10,1017.0,1023.95,1008.55,1013.9,1013.9,212712.0
4181,2019-04-09,1020.05,1025.9,1008.0,1021.2,1021.2,119349.0
4180,2019-04-08,1029.2,1037.0,1010.6,1019.05,1019.05,150824.0
4179,2019-04-05,1025.0,1036.5,1015.85,1026.0,1026.0,194247.0
4178,2019-04-04,1023.7,1030.0,1008.75,1020.75,1020.75,143511.0
4177,2019-04-03,1032.5,1039.75,1016.15,1023.4,1023.4,160471.0
4176,2019-04-02,1046.0,1047.45,1021.6,1032.4,1032.4,221973.0
4175,2019-04-01,1038.1,1050.0,1028.55,1034.9,1034.9,171635.0
4174,2019-03-28,1008.0,1030.8,1005.3,1025.4,1025.4,308064.0
4173,2019-03-27,1014.8,1024.0,979.1,1000.95,1000.95,322229.0
4172,2019-03-26,998.8,1019.05,998.8,1010.95,1010.95,232476.0
4171,2019-03-25,1002.0,1009.7,986.2,996.75,996.75,333817.0
4170,2019-03-22,1024.9,1033.0,999.35,1006.2,1006.2,423459.0
4169,2019-03-20,1031.0,1042.0,1016.75,1021.05,1021.05,424849.0
4168,2019-03-19,1019.8,1048.8,1019.0,1030.8,1030.8,606977.0
4167,2019-03-18,1015.05,1042.0,1010.15,1016.75,1016.75,371535.0
4166,2019-03-15,1031.9,1044.7,1009.65,1014.2,1014.2,336768.0
4165,2019-03-14,1009.1,1034.2,998.0,1026.85,1026.85,475164.0
4164,2019-03-13,1047.5,1057.0,1004.25,1012.3,1012.3,659796.0
4163,2019-03-12,990.0,1059.0,990.0,1043.05,1043.05,1794844.0
4162,2019-03-11,961.85,990.0,960.6,986.15,986.15,443013.0
4161,2019-03-08,971.9,972.0,945.5,956.4,956.4,950296.0
4160,2019-03-07,992.0,994.4,967.0,973.45,973.45,322181.0
4159,2019-03-06,997.4,1003.45,984.15,991.95,991.95,368274.0
4158,2019-03-05,995.7,1001.45,987.1,992.45,992.45,441054.0
4157,2019-03-01,988.0,996.0,981.25,987.05,987.05,472765.0
4156,2019-02-28,999.55,1015.0,961.05,978.9,978.9,564838.0
4155,2019-02-27,1001.0,1019.0,986.0,996.45,996.45,584323.0
4154,2019-02-26,957.0,1007.5,954.4,999.4,999.4,642117.0
4153,2019-02-25,984.25,990.0,965.0,972.1,972.1,341286.0
4152,2019-02-22,994.85,1005.0,981.0,984.25,984.25,314119.0
4151,2019-02-21,977.8,1005.65,972.0,992.1,992.1,579345.0
4150,2019-02-20,957.95,976.9,950.0,970.65,970.65,310199.0
4149,2019-02-19,973.0,973.9,946.2,954.1,954.1,846578.0
4148,2019-02-18,974.95,983.75,952.25,967.85,967.85,678163.0
4147,2019-02-15,984.0,992.95,966.0,974.25,974.25,441647.0
4146,2019-02-14,973.0,995.9,956.0,983.7,983.7,386328.0
4145,2019-02-12,1002.5,1020.1,982.55,1008.7,1008.7,1237487.0
4144,2019-02-11,930.0,1015.0,924.35,1002.85,1002.85,1269473.0
4143,2019-02-08,969.8,976.0,952.3,960.9,960.9,586610.0
4142,2019-02-07,939.55,979.0,931.5,963.95,963.95,803486.0
4141,2019-02-06,922.0,942.0,903.0,930.55,930.55,986269.0
4140,2019-02-05,958.4,965.0,920.25,924.75,924.75,697589.0
4139,2019-02-04,980.0,995.5,951.1,959.55,959.55,823508.0
4138,2019-02-01,1025.0,1030.9,976.6,982.8,982.8,801470.0
4137,2019-01-31,1035.0,1075.0,1009.0,1020.65,1020.65,1573401.0
4136,2019-01-30,1094.0,1107.8,1065.9,1088.85,1088.85,563045.0
4135,2019-01-29,1127.85,1128.9,1082.75,1090.8,1090.8,487884.0
4134,2019-01-28,1134.4,1140.0,1083.8,1133.55,1133.55,273215.0
4133,2019-01-25,1165.0,1165.0,1121.45,1126.85,1126.85,250199.0
4132,2019-01-24,1171.0,1176.45,1152.4,1164.65,1164.65,153019.0
4131,2019-01-23,1170.0,1192.0,1157.15,1165.4,1165.4,399472.0
