,Date,Open,High,Low,Close,Adj Close,Volume
855,2019-06-14,1805.0,1831.2,1771.25,1819.6,1819.6,29459.0
854,2019-06-13,1792.35,1815.15,1760.0,1799.75,1799.75,24944.0
853,2019-06-12,1783.0,1820.0,1783.0,1792.35,1792.35,10175.0
852,2019-06-11,1782.45,1816.0,1782.45,1811.05,1811.05,19200.0
851,2019-06-10,1817.7,1824.55,1782.35,1796.8,1796.8,12223.0
850,2019-06-07,1767.5,1844.0,1753.4,1817.7,1817.7,31918.0
849,2019-06-06,1767.3,1775.0,1746.2,1760.45,1760.45,30616.0
848,2019-06-04,1778.0,1790.0,1754.95,1760.25,1760.25,29896.0
847,2019-06-03,1776.4,1804.9,1765.0,1772.7,1772.7,15548.0
846,2019-05-31,1820.0,1820.0,1765.1,1794.35,1794.35,72681.0
845,2019-05-30,1726.2,1799.0,1720.5,1760.15,1760.15,157294.0
844,2019-05-29,1722.0,1734.0,1712.65,1729.15,1729.15,5936.0
843,2019-05-28,1733.0,1739.45,1711.0,1729.85,1729.85,4827.0
842,2019-05-27,1710.0,1732.0,1705.65,1725.4,1725.4,9556.0
841,2019-05-24,1683.1,1715.0,1680.05,1711.0,1711.0,13442.0
840,2019-05-23,1698.95,1710.35,1676.05,1681.95,1681.95,8571.0
839,2019-05-22,1694.9,1708.25,1685.1,1691.35,1691.35,6641.0
838,2019-05-21,1700.2,1721.85,1685.0,1692.45,1692.45,8815.0
837,2019-05-20,1700.0,1735.0,1675.05,1720.9,1720.9,18395.0
836,2019-05-17,1678.3,1702.75,1675.05,1691.95,1691.95,18338.0
835,2019-05-16,1713.15,1713.15,1678.05,1686.75,1686.75,7052.0
834,2019-05-15,1728.8,1728.8,1690.95,1712.95,1712.95,41247.0
833,2019-05-14,1703.5,1735.15,1703.5,1719.95,1719.95,35987.0
832,2019-05-13,1702.55,1739.0,1702.55,1712.05,1712.05,15285.0
831,2019-05-10,1716.45,1739.9,1700.5,1735.9,1735.9,14415.0
830,2019-05-09,1678.7,1742.25,1670.45,1725.1,1725.1,30799.0
829,2019-05-08,1684.05,1987.2,1680.0,1687.15,1687.15,20667.0
828,2019-05-07,1712.1,1714.25,1670.0,1684.05,1684.05,21185.0
827,2019-05-06,1712.5,1716.5,1676.1,1710.85,1710.85,21823.0
826,2019-05-03,1727.95,1727.95,1701.55,1704.1,1704.1,12632.0
825,2019-05-02,1709.75,1727.5,1709.75,1720.9,1720.9,11453.0
824,2019-04-30,1720.0,1723.7,1701.3,1718.35,1718.35,12412.0
823,2019-04-26,1704.85,1729.0,1695.1,1710.1,1710.1,34599.0
822,2019-04-25,1727.05,1734.0,1700.0,1703.45,1703.45,741693.0
821,2019-04-24,1733.9,1740.0,1713.0,1722.2,1722.2,19153.0
820,2019-04-23,1734.5,1743.0,1725.0,1725.8,1725.8,20939.0
819,2019-04-22,1722.0,1739.15,1714.55,1725.85,1725.85,17843.0
818,2019-04-18,1713.0,1729.9,1710.05,1721.15,1721.15,27692.0
817,2019-04-16,1757.0,1760.0,1705.25,1715.85,1715.85,60519.0
816,2019-04-15,1760.0,1775.0,1752.0,1754.25,1754.25,22086.0
815,2019-04-12,1748.55,1762.85,1746.0,1755.85,1755.85,19420.0
814,2019-04-11,1750.0,1760.0,1728.9,1757.35,1757.35,26910.0
813,2019-04-10,1734.5,1762.35,1730.0,1742.2,1742.2,47515.0
812,2019-04-09,1750.0,1768.85,1720.0,1734.5,1734.5,84798.0
811,2019-04-08,1755.0,1760.3,1737.45,1743.65,1743.65,48309.0
810,2019-04-05,1765.7,1773.55,1750.0,1751.55,1751.55,48463.0
809,2019-04-04,1748.0,1762.0,1734.5,1756.9,1756.9,46718.0
808,2019-04-03,1744.0,1747.0,1727.15,1739.3,1739.3,52369.0
807,2019-04-02,1752.0,1756.0,1730.0,1736.45,1736.45,54925.0
806,2019-04-01,1762.0,1783.95,1743.05,1747.45,1747.45,62734.0
805,2019-03-28,1757.0,1768.8,1735.4,1741.7,1741.7,65921.0
804,2019-03-27,1775.0,1780.4,1749.0,1750.35,1750.35,45278.0
803,2019-03-26,1746.0,1785.0,1716.1,1775.35,1775.35,68288.0
802,2019-03-25,1715.25,1754.0,1690.0,1738.05,1738.05,51703.0
801,2019-03-22,1763.1,1765.7,1710.0,1717.7,1717.7,36224.0
800,2019-03-20,1780.0,1794.0,1745.0,1754.35,1754.35,36040.0
799,2019-03-19,1783.6,1816.0,1750.0,1772.9,1772.9,67295.0
798,2019-03-18,1751.0,1804.75,1751.0,1783.55,1783.55,35640.0
797,2019-03-15,1728.2,1781.0,1728.2,1760.4,1760.4,349087.0
796,2019-03-14,1739.0,1739.0,1702.0,1719.6,1719.6,46849.0
795,2019-03-13,1743.0,1753.0,1730.0,1734.9,1734.9,22051.0
794,2019-03-12,1753.0,1763.85,1731.05,1736.25,1736.25,71286.0
793,2019-03-11,1758.75,1762.0,1741.1,1748.75,1748.75,107320.0
792,2019-03-08,1752.55,1767.7,1745.95,1750.0,1750.0,41793.0
791,2019-03-07,1758.95,1758.95,1745.0,1750.15,1750.15,31521.0
790,2019-03-06,1756.0,1778.0,1740.0,1746.8,1746.8,52958.0
789,2019-03-05,1785.0,1796.75,1745.0,1750.25,1750.25,71686.0
788,2019-03-01,1759.9,1787.9,1751.15,1780.05,1780.05,16378.0
787,2019-02-28,1760.05,1774.9,1736.9,1743.8,1743.8,26812.0
786,2019-02-27,1798.0,1800.0,1747.65,1758.8,1758.8,24921.0
785,2019-02-26,1759.05,1783.9,1755.0,1758.35,1758.35,30072.0
784,2019-02-25,1814.65,1821.05,1761.1,1779.4,1779.4,119469.0
783,2019-02-22,1805.3,1839.15,1800.0,1809.65,1809.65,37759.0
782,2019-02-21,1836.95,1845.2,1793.45,1803.3,1803.3,128991.0
781,2019-02-20,1855.3,1855.3,1828.0,1835.8,1835.8,11486.0
780,2019-02-19,1840.2,1860.0,1825.25,1847.2,1847.2,15294.0
779,2019-02-18,1776.0,1849.0,1776.0,1838.7,1838.7,32556.0
778,2019-02-15,1821.95,1821.95,1785.0,1796.7,1796.7,23429.0
777,2019-02-14,1815.05,1845.0,1804.7,1810.65,1802.65,27053.0
776,2019-02-12,1896.3,1897.9,1835.0,1839.95,1831.8204,19310.0
775,2019-02-11,1860.0,1914.7,1859.95,1891.7,1883.3418,29265.0
774,2019-02-08,1879.4,1915.0,1876.15,1903.6,1895.1893,33996.0
773,2019-02-07,1889.45,1904.2,1867.0,1887.35,1879.0111,95793.0
772,2019-02-06,1918.9,1918.9,1838.0,1889.45,1881.1018,51750.0
771,2019-02-05,1900.35,1919.35,1890.05,1899.65,1891.2568,14334.0
770,2019-02-04,1888.0,1929.0,1873.7,1900.35,1891.9536,16686.0
769,2019-02-01,1878.55,1908.0,1872.3,1888.45,1880.1062,8300.0
768,2019-01-31,1840.0,1912.95,1840.0,1883.2,1874.8794,63904.0
767,2019-01-30,1893.95,1895.15,1865.0,1869.5,1861.24,13331.0
766,2019-01-29,1899.0,1899.0,1870.05,1893.95,1885.5819,8026.0
765,2019-01-28,1880.55,1899.9,1852.75,1877.1,1868.8064,6747.0
764,2019-01-25,1900.65,1912.2,1877.25,1889.65,1881.3009,9149.0
763,2019-01-24,1866.5,1909.9,1866.5,1900.65,1892.2523,10897.0
762,2019-01-23,1891.35,1911.9,1872.0,1878.45,1870.1504,7378.0
761,2019-01-22,1895.8,1912.8,1877.05,1881.55,1873.2368,4639.0
760,2019-01-21,1912.45,1913.9,1889.5,1902.25,1893.8452,11228.0
759,2019-01-18,1890.9,1969.0,1877.0,1897.25,1888.8673,46132.0
758,2019-01-17,1881.0,1905.0,1875.1,1890.15,1881.7987,7336.0
757,2019-01-16,1926.1,1932.0,1880.0,1887.45,1879.1106,14051.0
756,2019-01-15,1949.9,1949.9,1907.0,1921.45,1912.9603,6329.0
755,2019-01-14,1928.0,1951.8,1896.1,1941.65,1933.0712,23641.0
754,2019-01-11,1967.2,1977.5,1955.05,1967.3,1958.6079,7144.0
753,2019-01-10,1957.35,1984.7,1955.0,1969.95,1961.2461,5277.0
752,2019-01-09,1955.0,1992.0,1955.0,1975.45,1966.7218,11998.0
751,2019-01-08,1964.2,1978.9,1949.6,1954.7,1946.0635,12197.0
750,2019-01-07,1950.05,1973.35,1948.0,1964.2,1955.5215,12309.0
749,2019-01-04,1970.0,1970.0,1918.1,1950.05,1941.4341,35398.0
748,2019-01-03,1957.95,1969.8,1941.0,1962.4,1953.7295,17059.0
747,2019-01-02,1925.0,1975.0,1925.0,1951.05,1942.4297,33809.0
746,2019-01-01,1957.0,1957.0,1915.0,1940.3,1931.7272,25417.0
745,2018-12-31,1912.0,1958.2,1888.3,1949.2,1940.5878,40878.0
744,2018-12-28,1879.0,1913.0,1863.15,1905.1,1896.6826,21623.0
743,2018-12-27,1855.15,1884.9,1855.15,1862.65,1854.4203,21154.0
742,2018-12-26,1865.0,1884.0,1840.0,1874.55,1866.2677,16728.0
741,2018-12-24,1856.0,1870.0,1844.95,1855.15,1846.9534,9778.0
740,2018-12-21,1870.0,1874.0,1850.1,1852.35,1844.1658,31556.0
739,2018-12-20,1855.0,1887.5,1840.2,1866.15,1857.9048,38809.0
738,2018-12-19,1866.0,1895.0,1860.0,1867.9,1859.6471,34635.0
737,2018-12-18,1878.2,1890.0,1866.0,1873.0,1864.7245,34460.0
736,2018-12-17,1893.6,1893.6,1875.5,1877.3,1869.0055,12156.0
735,2018-12-14,1898.8,1922.0,1868.0,1878.85,1870.5486,71934.0
734,2018-12-13,1912.05,1933.95,1880.1,1898.8,1890.4105,55679.0
733,2018-12-12,1920.05,1949.0,1884.95,1896.85,1888.4691,23128.0
732,2018-12-11,1928.6,1932.0,1907.3,1930.75,1922.2194,5253.0
731,2018-12-10,1900.0,1938.0,1877.05,1916.65,1908.1816,24599.0
730,2018-12-07,1893.1,1908.85,1890.0,1894.0,1885.6317,12078.0
729,2018-12-06,1901.1,1925.0,1889.0,1908.85,1900.4161,282834.0
728,2018-12-05,1891.05,1935.0,1891.05,1916.15,1907.6838,11232.0
727,2018-12-04,1899.0,1950.0,1893.05,1907.75,1899.3209,53182.0
726,2018-12-03,1912.0,1920.0,1872.0,1902.65,1894.2435,59256.0
725,2018-11-30,1860.0,1919.95,1852.0,1912.65,1904.1993,86680.0
724,2018-11-29,1929.0,1934.95,1836.8,1893.0,1884.6361,148800.0
723,2018-11-28,1920.85,1930.0,1901.55,1919.25,1910.7701,59146.0
722,2018-11-27,1925.1,1938.75,1916.5,1920.1,1911.6163,13994.0
721,2018-11-26,1948.35,1950.0,1916.0,1920.7,1912.2137,177354.0
720,2018-11-22,1945.05,1958.95,1930.0,1938.4,1929.8356,4833.0
719,2018-11-21,1936.1,1970.0,1930.0,1945.05,1936.4562,10121.0
718,2018-11-20,1940.05,1962.15,1917.2,1947.75,1939.1443,9224.0
717,2018-11-19,1949.95,1967.0,1935.55,1947.5,1938.8954,16383.0
716,2018-11-16,1915.0,1970.0,1915.0,1948.9,1940.2892,9655.0
715,2018-11-15,1979.0,1979.0,1931.25,1945.15,1936.5558,26009.0
714,2018-11-14,1989.0,1989.0,1919.95,1935.8,1927.2471,5325.0
713,2018-11-13,1960.0,1974.6,1935.15,1969.6,1960.8977,19023.0
712,2018-11-12,1912.6,1974.15,1905.0,1962.35,1953.6797,91888.0
711,2018-11-09,1911.8,1928.95,1893.85,1912.75,1904.2988,30941.0
710,2018-11-07,1909.95,1914.0,1890.05,1900.05,1891.655,991.0
709,2018-11-06,1912.1,1914.95,1874.0,1880.75,1872.4403,139047.0
708,2018-11-05,1877.0,1928.95,1845.2,1911.85,1903.4028,44394.0
707,2018-11-02,1914.0,1938.95,1860.0,1908.9,1900.4659,63742.0
706,2018-11-01,1914.8,1933.95,1882.7,1899.05,1890.6594,52142.0
705,2018-10-31,1918.6,1931.1,1900.0,1906.85,1898.4249,10454.0
704,2018-10-30,1925.0,1943.3,1901.0,1918.6,1910.123,27349.0
703,2018-10-29,1936.35,1960.3,1903.0,1924.6,1916.0964,11037.0
702,2018-10-26,1945.5,1969.5,1925.05,1940.3,1931.7272,97983.0
701,2018-10-25,1930.0,1974.0,1923.0,1949.45,1940.8367,33714.0
700,2018-10-24,1951.05,1951.05,1925.0,1940.55,1931.9761,8563.0
699,2018-10-23,1933.75,1950.0,1915.5,1949.3,1940.6874,37058.0
698,2018-10-22,1950.95,1974.5,1936.0,1949.8,1941.1852,12735.0
697,2018-10-19,1922.0,1981.0,1922.0,1952.85,1944.2217,125014.0
696,2018-10-17,1977.0,1986.95,1935.5,1981.25,1972.4962,11370.0
695,2018-10-16,1973.65,1979.25,1950.0,1974.1,1965.3778,6664.0
