,Date,Open,High,Low,Close,Adj Close,Volume
2138,2019-06-14,142.5,142.5,138.0,140.05,140.05,125277.0
2137,2019-06-13,138.0,143.45,135.95,141.55,141.55,189426.0
2136,2019-06-12,141.9,143.5,138.5,139.2,139.2,82498.0
2135,2019-06-11,140.15,142.55,134.3,139.55,139.55,1163757.0
2134,2019-06-10,145.7,145.7,138.25,140.15,140.15,125660.0
2133,2019-06-07,143.05,143.95,140.6,142.65,142.65,102518.0
2132,2019-06-06,146.0,146.0,142.1,143.2,143.2,172442.0
2131,2019-06-04,146.4,147.25,142.0,144.95,144.95,184334.0
2130,2019-06-03,144.0,148.45,142.0,146.95,146.95,194022.0
2129,2019-05-31,148.7,150.8,142.05,142.85,142.85,760698.0
2128,2019-05-30,153.3,155.0,145.25,146.75,146.75,738496.0
2127,2019-05-29,144.95,154.85,140.55,149.3,149.3,732154.0
2126,2019-05-28,146.0,149.8,142.05,144.15,144.15,888283.0
2125,2019-05-27,129.6,146.9,129.5,145.05,145.05,1600481.0
2124,2019-05-24,122.55,130.85,122.55,127.95,127.95,721310.0
2123,2019-05-23,121.1,126.9,120.2,121.7,121.7,1991619.0
2122,2019-05-22,121.8,121.8,119.1,119.7,119.7,146848.0
2121,2019-05-21,122.0,122.1,118.05,121.1,121.1,442985.0
2120,2019-05-20,119.0,134.9,118.95,120.85,120.85,1820109.0
2119,2019-05-17,113.0,115.1,110.4,114.3,114.3,194960.0
2118,2019-05-16,115.2,115.35,110.05,111.6,111.6,103291.0
2117,2019-05-15,117.55,119.05,114.75,115.2,115.2,32842.0
2116,2019-05-14,117.15,117.95,115.35,117.0,117.0,38332.0
2115,2019-05-13,117.95,119.7,116.75,117.15,117.15,46832.0
2114,2019-05-10,115.5,118.0,114.35,117.45,117.45,43958.0
2113,2019-05-09,115.45,117.0,114.8,115.3,115.3,33182.0
2112,2019-05-08,117.0,120.45,115.0,115.45,115.45,67803.0
2111,2019-05-07,118.0,124.15,117.45,118.1,118.1,68450.0
2110,2019-05-06,117.5,118.35,115.75,116.05,116.05,43555.0
2109,2019-05-03,120.7,121.0,118.65,119.25,119.25,56830.0
2108,2019-05-02,124.2,124.25,120.1,120.7,120.7,79144.0
