,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,87.6,88.8,87.2,87.65,87.65,11148808.0
4223,2019-06-13,89.05,89.2,87.05,88.1,88.1,14580983.0
4222,2019-06-12,90.6,91.3,88.85,89.25,89.25,13506820.0
4221,2019-06-11,90.9,91.75,89.75,91.2,91.2,14535974.0
4220,2019-06-10,91.45,91.6,89.25,90.7,90.7,15352497.0
4219,2019-06-07,91.15,91.75,89.1,90.0,90.0,16922481.0
4218,2019-06-06,93.05,93.15,90.4,91.3,91.3,19319345.0
4217,2019-06-04,91.85,93.75,91.35,93.05,93.05,24114157.0
4216,2019-06-03,88.85,92.3,87.8,91.85,91.85,34358814.0
4215,2019-05-31,90.45,90.55,87.65,88.85,88.85,20759367.0
4214,2019-05-30,89.9,90.75,89.2,90.45,90.45,19711797.0
4213,2019-05-29,90.8,91.0,89.05,89.7,89.7,15951343.0
4212,2019-05-28,92.0,93.85,90.8,91.2,91.2,30575742.0
4211,2019-05-27,91.7,91.75,89.55,91.15,91.15,37249413.0
4210,2019-05-24,88.85,95.0,88.85,93.8,93.8,53728065.0
4209,2019-05-23,90.0,91.85,88.4,88.85,88.85,31464067.0
4208,2019-05-22,88.85,89.0,85.9,87.85,87.85,18235187.0
4207,2019-05-21,88.4,89.8,87.2,88.25,88.25,27443220.0
4206,2019-05-20,87.8,88.3,86.2,87.55,87.55,34895381.0
4205,2019-05-17,83.1,85.05,82.6,84.5,84.5,13305907.0
4204,2019-05-16,81.95,83.95,81.4,82.9,82.9,14994353.0
4203,2019-05-15,85.0,85.8,81.45,81.95,81.95,17950986.0
4202,2019-05-14,83.0,85.6,82.05,84.6,84.6,18328116.0
4201,2019-05-13,85.8,86.5,82.6,83.0,83.0,13918199.0
4200,2019-05-10,84.85,86.25,84.85,85.9,85.9,13767863.0
4199,2019-05-09,85.6,85.95,83.0,84.85,84.85,22648198.0
4198,2019-05-08,85.35,86.4,84.95,85.95,85.95,13038488.0
4197,2019-05-07,88.7,88.8,85.6,85.95,85.95,14500613.0
4196,2019-05-06,88.95,89.4,87.75,88.05,88.05,12211735.0
4195,2019-05-03,90.0,91.0,88.6,89.6,89.6,23708069.0
4194,2019-05-02,87.1,91.8,85.8,89.55,89.55,58223470.0
4193,2019-04-30,87.9,88.35,85.3,86.95,86.95,19935462.0
4192,2019-04-26,89.75,90.15,88.1,88.5,88.5,16125203.0
4191,2019-04-25,91.45,92.5,89.55,89.85,89.85,23972672.0
4190,2019-04-24,91.6,92.5,90.55,91.25,91.25,17671024.0
4189,2019-04-23,92.5,93.25,91.2,91.55,91.55,19425738.0
4188,2019-04-22,95.8,95.85,91.8,92.15,92.15,19341457.0
4187,2019-04-18,97.0,97.2,94.05,95.75,95.75,19780948.0
4186,2019-04-16,96.1,97.75,95.6,96.35,96.35,25209332.0
4185,2019-04-15,97.0,97.3,95.1,95.75,95.75,29805368.0
4184,2019-04-12,94.4,96.3,93.4,95.65,95.65,26390565.0
4183,2019-04-11,91.6,95.0,91.3,94.5,94.5,40272653.0
4182,2019-04-10,91.9,92.3,90.4,91.55,91.55,28021324.0
4181,2019-04-09,87.3,92.8,86.2,91.7,91.7,41766873.0
4180,2019-04-08,88.25,88.95,86.8,87.25,87.25,14834678.0
4179,2019-04-05,87.9,88.5,86.9,87.75,87.75,14721025.0
4178,2019-04-04,87.5,88.8,87.0,87.45,87.45,19328175.0
4177,2019-04-03,89.8,90.8,87.5,87.8,87.8,19962585.0
4176,2019-04-02,90.8,91.25,88.6,89.55,89.55,19323952.0
4175,2019-04-01,92.2,92.9,90.1,90.35,90.35,26616287.0
