,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1430.0,1431.75,1411.0,1412.75,1412.75,546076.0
4223,2019-06-13,1429.0,1438.9,1422.2,1429.45,1429.45,1572520.0
4222,2019-06-12,1429.95,1439.9,1421.0,1425.45,1417.7999,874293.0
4221,2019-06-11,1428.0,1433.35,1409.5,1425.5,1417.8497,743047.0
4220,2019-06-10,1429.0,1442.0,1418.5,1422.6,1414.9652,800967.0
4219,2019-06-07,1429.0,1439.85,1413.05,1418.35,1410.738,878470.0
4218,2019-06-06,1434.95,1461.85,1424.9,1428.55,1420.8834,1985857.0
4217,2019-06-04,1455.0,1455.0,1417.05,1421.5,1413.8712,1493226.0
4216,2019-06-03,1431.95,1464.95,1430.0,1459.25,1451.4186,2867897.0
4215,2019-05-31,1381.0,1428.0,1381.0,1407.3,1399.7474,2559888.0
4214,2019-05-30,1365.0,1392.0,1353.9,1374.6,1367.2229,1032259.0
4213,2019-05-29,1360.8,1366.95,1347.1,1358.25,1350.9606,582768.0
4212,2019-05-28,1369.95,1388.85,1360.0,1364.35,1357.0278,1562891.0
4211,2019-05-27,1386.9,1390.7,1362.7,1366.85,1359.5144,782730.0
4210,2019-05-24,1392.0,1400.45,1376.15,1384.5,1377.0697,980933.0
4209,2019-05-23,1389.0,1389.0,1357.7,1367.75,1360.4097,1527569.0
4208,2019-05-22,1360.5,1373.75,1348.05,1368.45,1361.1058,840075.0
4207,2019-05-21,1384.0,1384.0,1352.7,1357.75,1350.4633,1166297.0
4206,2019-05-20,1340.0,1378.4,1335.0,1373.95,1366.5763,976630.0
4205,2019-05-17,1305.0,1330.75,1301.0,1320.0,1312.9159,860934.0
4204,2019-05-16,1312.0,1314.0,1295.85,1304.4,1297.3997,726485.0
4203,2019-05-15,1326.0,1329.0,1301.7,1305.95,1298.9413,996276.0
4202,2019-05-14,1330.0,1334.75,1302.1,1320.25,1313.1646,2167873.0
4201,2019-05-13,1341.05,1345.25,1323.65,1332.5,1325.3488,862130.0
4200,2019-05-10,1314.1,1350.0,1314.1,1341.05,1333.853,3476379.0
4199,2019-05-09,1384.95,1393.65,1346.55,1354.2,1346.9323,2628463.0
4198,2019-05-08,1382.0,1395.0,1362.6,1385.7,1378.2633,1414591.0
4197,2019-05-07,1426.8,1426.8,1376.35,1387.8,1380.3521,2863939.0
4196,2019-05-06,1434.95,1448.6,1408.55,1412.8,1405.2179,1161960.0
4195,2019-05-03,1443.8,1456.0,1432.2,1438.55,1430.8297,1020007.0
4194,2019-05-02,1465.0,1472.9,1430.1,1436.6,1428.8901,774788.0
4193,2019-04-30,1456.0,1477.0,1455.3,1463.15,1455.2977,1525776.0
4192,2019-04-26,1450.0,1459.35,1436.0,1448.75,1440.975,704193.0
4191,2019-04-25,1450.0,1460.0,1438.1,1447.95,1440.1792,1161847.0
4190,2019-04-24,1436.0,1459.4,1431.0,1450.05,1442.2679,1154712.0
4189,2019-04-23,1449.0,1454.9,1425.9,1431.0,1423.3202,601653.0
4188,2019-04-22,1459.95,1459.95,1435.0,1443.35,1435.6039,737603.0
4187,2019-04-18,1464.0,1479.9,1460.3,1469.6,1461.713,1425676.0
4186,2019-04-16,1442.75,1464.9,1440.25,1459.0,1451.1699,1463057.0
4185,2019-04-15,1447.95,1451.45,1427.0,1431.55,1423.8673,791389.0
4184,2019-04-12,1432.75,1444.8,1425.8,1438.65,1430.9292,1510649.0
4183,2019-04-11,1409.7,1431.95,1408.0,1423.15,1415.5123,1494450.0
4182,2019-04-10,1449.8,1451.0,1405.35,1409.85,1402.2837,2608319.0
4181,2019-04-09,1464.7,1474.9,1437.2,1444.85,1437.0958,2642226.0
4180,2019-04-08,1514.0,1514.0,1486.0,1496.35,1488.3195,925518.0
4179,2019-04-05,1520.0,1523.65,1503.0,1514.45,1506.3223,1129222.0
4178,2019-04-04,1504.8,1525.0,1503.0,1519.0,1510.8479,1409222.0
4177,2019-04-03,1521.25,1529.85,1493.0,1497.6,1489.5627,1606692.0
4176,2019-04-02,1493.0,1523.45,1484.55,1519.3,1511.1464,1326634.0
4175,2019-04-01,1496.75,1504.0,1490.0,1492.75,1484.7388,707570.0
4174,2019-03-28,1473.5,1508.95,1473.5,1497.0,1488.9659,1353947.0
4173,2019-03-27,1494.0,1496.95,1463.5,1472.05,1464.1499,1387002.0
4172,2019-03-26,1460.5,1492.25,1460.5,1485.05,1477.0802,1630147.0
4171,2019-03-25,1465.1,1475.6,1451.5,1457.55,1449.7278,848078.0
4170,2019-03-22,1459.0,1479.9,1452.6,1471.25,1463.3541,1380404.0
4169,2019-03-20,1462.0,1466.0,1448.5,1456.15,1448.3352,764625.0
4168,2019-03-19,1442.0,1459.85,1440.0,1453.9,1446.0973,886660.0
4167,2019-03-18,1446.0,1460.6,1436.6,1445.6,1437.8418,1148000.0
4166,2019-03-15,1434.0,1457.0,1428.65,1432.55,1424.8619,1667627.0
4165,2019-03-14,1437.6,1446.95,1420.0,1434.75,1427.05,1113700.0
4164,2019-03-13,1439.4,1439.4,1417.0,1428.3,1420.6348,708227.0
4163,2019-03-12,1422.0,1445.35,1421.2,1428.1,1420.4358,1333909.0
4162,2019-03-11,1389.2,1423.0,1385.0,1419.8,1412.1803,1342007.0
4161,2019-03-08,1393.75,1394.65,1380.0,1382.35,1374.9313,524331.0
4160,2019-03-07,1398.6,1405.5,1392.0,1395.45,1387.9609,746742.0
4159,2019-03-06,1408.0,1410.0,1386.55,1393.7,1386.2203,720335.0
4158,2019-03-05,1393.5,1409.75,1382.7,1403.85,1396.3159,1214257.0
4157,2019-03-01,1409.0,1417.95,1388.1,1392.35,1384.8776,783876.0
4156,2019-02-28,1414.8,1415.0,1401.45,1405.2,1397.6586,1230935.0
4155,2019-02-27,1404.0,1430.85,1395.0,1405.7,1398.1559,1462017.0
4154,2019-02-26,1396.9,1407.0,1378.6,1402.0,1394.4758,1147218.0
4153,2019-02-25,1399.95,1405.8,1391.35,1398.25,1390.746,711217.0
4152,2019-02-22,1399.0,1407.75,1384.2,1397.8,1390.2985,801380.0
4151,2019-02-21,1399.0,1407.85,1390.3,1397.8,1390.2985,677142.0
4150,2019-02-20,1380.0,1398.8,1376.0,1396.9,1389.4032,843469.0
4149,2019-02-19,1372.05,1396.95,1371.0,1377.85,1370.4554,697530.0
4148,2019-02-18,1401.7,1401.7,1345.0,1380.05,1372.6437,1460282.0
4147,2019-02-15,1400.8,1404.95,1372.1,1393.6,1386.1209,1113223.0
4146,2019-02-14,1417.65,1423.15,1396.5,1399.2,1391.6908,915441.0
4145,2019-02-12,1438.5,1456.9,1435.25,1452.1,1444.3069,947583.0
4144,2019-02-11,1447.9,1457.3,1427.0,1437.1,1429.3875,728051.0
4143,2019-02-08,1468.0,1480.0,1445.0,1448.8,1441.0247,1018518.0
4142,2019-02-07,1467.05,1476.8,1457.0,1472.45,1464.5477,697412.0
4141,2019-02-06,1457.85,1476.2,1452.3,1469.4,1461.5142,1088914.0
4140,2019-02-05,1444.95,1466.9,1443.1,1450.35,1442.5663,786962.0
4139,2019-02-04,1444.0,1452.8,1434.0,1446.35,1438.5878,735159.0
4138,2019-02-01,1412.4,1469.65,1408.2,1457.2,1449.3795,2077539.0
4137,2019-01-31,1400.0,1415.0,1391.05,1412.6,1405.0189,1256050.0
4136,2019-01-30,1394.0,1416.8,1372.1,1390.4,1382.9381,1313152.0
4135,2019-01-29,1377.0,1400.0,1373.2,1393.3,1385.8225,1061762.0
4134,2019-01-28,1375.0,1391.0,1366.85,1379.5,1372.0966,1590764.0
