,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1890.75,1900.0,1888.05,1893.85,1893.85,2095.0
4223,2019-06-13,1884.3,1899.95,1863.55,1890.75,1890.75,8558.0
4222,2019-06-12,1885.05,1900.0,1870.2,1878.1,1878.1,3095.0
4221,2019-06-11,1904.8,1910.0,1865.05,1877.1,1877.1,5391.0
4220,2019-06-10,1859.0,1901.9,1850.25,1889.5,1889.5,8712.0
4219,2019-06-07,1820.55,1925.55,1820.55,1858.25,1858.25,29827.0
4218,2019-06-06,1925.95,1938.95,1839.0,1845.3,1845.3,25051.0
4217,2019-06-04,1950.0,1975.0,1922.4,1925.95,1925.95,6128.0
4216,2019-06-03,1970.0,1985.0,1935.15,1944.9,1944.9,11136.0
4215,2019-05-31,1990.05,2012.1,1950.0,1969.2,1969.2,20617.0
4214,2019-05-30,1985.7,2027.95,1980.25,1989.3,1989.3,8937.0
4213,2019-05-29,1989.0,2039.7,1981.1,1985.65,1985.65,18871.0
4212,2019-05-28,2010.0,2048.8999,1962.0,1999.15,1999.15,81400.0
4211,2019-05-27,2155.0,2173.3999,1990.0,2010.35,2010.35,44168.0
4210,2019-05-24,2243.3,2267.25,2182.5,2204.95,2204.95,10224.0
4209,2019-05-23,2249.0,2280.0,2205.05,2225.3501,2225.3501,13973.0
4208,2019-05-22,2229.75,2238.95,2180.0,2207.8501,2207.8501,11305.0
4207,2019-05-21,2282.05,2329.0,2195.1001,2210.45,2210.45,16835.0
4206,2019-05-20,2397.7,2397.7,2238.95,2282.0,2282.0,22631.0
4205,2019-05-17,2261.8999,2366.0,2232.45,2338.8501,2338.8501,31533.0
4204,2019-05-16,2279.7,2320.95,2207.55,2244.2,2244.2,14838.0
4203,2019-05-15,2189.95,2280.0,2181.0,2257.2,2257.2,16890.0
4202,2019-05-14,2138.0,2194.0,2120.0,2166.7,2166.7,12192.0
4201,2019-05-13,2220.0,2239.0,2109.0,2137.3501,2137.3501,10738.0
4200,2019-05-10,2206.1001,2259.95,2167.75,2220.8,2220.8,13899.0
4199,2019-05-09,2107.0,2195.0,2097.25,2184.25,2184.25,13054.0
4198,2019-05-08,2311.0,2311.95,2078.95,2157.8999,2157.8999,16967.0
4197,2019-05-07,2329.8,2364.0,2295.0,2313.8501,2313.8501,8669.0
4196,2019-05-06,2332.1001,2384.2,2301.0,2312.8501,2312.8501,12653.0
4195,2019-05-03,2288.05,2349.7,2288.05,2336.3501,2336.3501,8102.0
4194,2019-05-02,2350.0,2350.0,2284.0,2288.05,2288.05,6977.0
4193,2019-04-30,2316.0,2395.0,2284.0,2358.0,2358.0,33244.0
4192,2019-04-26,2267.55,2339.0,2241.0,2313.45,2313.45,7590.0
4191,2019-04-25,2255.1001,2272.0,2245.0,2267.55,2267.55,5120.0
4190,2019-04-24,2226.75,2262.0,2220.0,2251.45,2251.45,5819.0
4189,2019-04-23,2240.0,2264.6499,2212.25,2221.7,2221.7,3968.0
4188,2019-04-22,2270.0,2284.0,2233.05,2245.6001,2245.6001,6515.0
