,Date,Open,High,Low,Close,Adj Close,Volume
2863,2019-06-14,507.3,512.95,503.05,509.85,509.85,58493.0
2862,2019-06-13,507.85,513.0,500.0,507.3,507.3,62080.0
2861,2019-06-12,510.1,510.5,504.2,507.85,507.85,59421.0
2860,2019-06-11,516.8,518.1,498.35,509.95,509.95,113695.0
2859,2019-06-10,520.25,526.15,512.0,513.9,513.9,72394.0
2858,2019-06-07,529.5,529.5,516.05,519.55,519.55,59899.0
2857,2019-06-06,534.85,538.75,525.5,528.4,528.4,147966.0
2856,2019-06-04,538.0,542.0,532.2,532.9,532.9,53674.0
2855,2019-06-03,542.2,549.4,533.1,537.85,537.85,137232.0
2854,2019-05-31,542.0,546.95,530.0,537.4,537.4,190590.0
2853,2019-05-30,544.95,549.0,539.05,542.6,542.6,294223.0
2852,2019-05-29,541.3,556.8,538.65,543.7,543.7,192108.0
2851,2019-05-28,538.5,547.95,535.5,544.35,544.35,107068.0
2850,2019-05-27,550.4,553.7,536.3,537.85,537.85,110950.0
2849,2019-05-24,551.95,562.7,542.3,549.65,549.65,322210.0
2848,2019-05-23,557.0,562.75,546.55,549.8,549.8,167463.0
2847,2019-05-22,563.7,574.0,545.0,550.7,550.7,604401.0
2846,2019-05-21,550.0,563.4,546.05,560.95,560.95,211457.0
2845,2019-05-20,541.0,553.25,532.6,547.5,547.5,170959.0
2844,2019-05-17,534.0,536.95,530.0,530.25,530.25,83824.0
2843,2019-05-16,535.6,538.5,530.0,532.25,532.25,74969.0
2842,2019-05-15,543.5,546.55,531.0,535.3,535.3,77513.0
2841,2019-05-14,536.1,548.0,529.55,537.8,537.8,122005.0
2840,2019-05-13,539.9,543.85,531.05,541.55,541.55,98236.0
2839,2019-05-10,528.0,545.0,521.6,540.9,540.9,177917.0
2838,2019-05-09,531.0,535.4,525.5,531.85,531.85,81531.0
2837,2019-05-08,561.0,561.0,530.0,534.45,534.45,160037.0
2836,2019-05-07,561.0,565.0,552.05,557.75,557.75,68237.0
2835,2019-05-06,556.25,568.2,544.75,557.85,557.85,85872.0
2834,2019-05-03,565.55,570.45,555.1,559.5,559.5,47694.0
2833,2019-05-02,571.85,571.85,557.5,565.5,565.5,69526.0
2832,2019-04-30,570.0,574.5,550.65,571.85,571.85,109448.0
2831,2019-04-26,569.8,577.5,566.0,570.3,570.3,159906.0
2830,2019-04-25,564.7,572.8,562.8,568.9,568.9,119404.0
2829,2019-04-24,560.7,573.7,560.0,563.45,563.45,243918.0
2828,2019-04-23,569.0,569.95,556.7,560.7,560.7,428917.0
2827,2019-04-22,561.25,578.0,553.7,564.5,564.5,208147.0
2826,2019-04-18,580.0,580.05,563.2,566.85,566.85,160547.0
2825,2019-04-16,575.0,587.7,572.0,578.35,578.35,378747.0
2824,2019-04-15,555.0,582.5,555.0,571.7,571.7,376838.0
2823,2019-04-12,548.55,557.9,542.25,556.25,556.25,205054.0
2822,2019-04-11,550.0,551.8,538.2,548.55,548.55,131727.0
2821,2019-04-10,541.0,553.95,541.0,550.05,550.05,223876.0
2820,2019-04-09,533.4,543.8,528.05,541.0,541.0,178220.0
2819,2019-04-08,544.0,547.8,529.9,532.5,532.5,141004.0
2818,2019-04-05,549.0,551.25,539.5,544.6,544.6,122496.0
2817,2019-04-04,551.0,553.65,535.0,538.3,538.3,182579.0
2816,2019-04-03,567.95,580.0,542.55,549.25,549.25,375621.0
2815,2019-04-02,553.45,575.2,540.25,565.85,565.85,696846.0
2814,2019-04-01,563.05,564.7,547.3,551.2,551.2,302971.0
2813,2019-03-28,565.0,571.8,561.5,566.55,566.55,325935.0
2812,2019-03-27,538.0,567.0,535.15,559.5,559.5,745455.0
2811,2019-03-26,528.0,543.85,526.0,534.35,534.35,346777.0
2810,2019-03-25,513.15,540.9,509.45,524.9,524.9,421780.0
2809,2019-03-22,526.4,526.4,516.95,522.85,522.85,136767.0
2808,2019-03-20,523.5,529.45,522.1,526.5,526.5,214204.0
2807,2019-03-19,514.3,527.3,508.5,522.35,522.35,491929.0
2806,2019-03-18,517.2,520.7,506.2,509.8,509.8,324523.0
2805,2019-03-15,507.1,529.05,504.0,516.5,516.5,469422.0
2804,2019-03-14,506.6,509.4,503.0,506.2,506.2,169268.0
2803,2019-03-13,509.0,511.5,497.0,503.05,503.05,261481.0
2802,2019-03-12,504.5,510.0,500.05,507.5,507.5,195934.0
2801,2019-03-11,493.9,503.0,491.15,501.85,501.85,359288.0
2800,2019-03-08,488.0,492.0,482.0,490.4,490.4,341184.0
2799,2019-03-07,474.0,483.5,471.5,481.4,481.4,224725.0
2798,2019-03-06,480.95,484.0,473.05,476.9,476.9,253932.0
2797,2019-03-05,455.0,482.2,453.65,478.6,478.6,385775.0
2796,2019-03-01,456.0,459.0,449.15,453.6,453.6,211484.0
2795,2019-02-28,452.0,458.05,448.4,453.0,453.0,79305.0
2794,2019-02-27,455.7,465.5,445.0,449.55,449.55,239222.0
2793,2019-02-26,456.0,459.5,446.0,452.7,452.7,114714.0
2792,2019-02-25,464.6,470.0,460.0,462.6,462.6,207679.0
2791,2019-02-22,460.0,467.4,455.2,458.25,458.25,238146.0
2790,2019-02-21,438.15,463.9,437.05,458.45,458.45,507535.0
2789,2019-02-20,437.95,447.3,434.05,436.85,436.85,203459.0
2788,2019-02-19,431.4,439.0,429.0,434.05,434.05,192901.0
2787,2019-02-18,442.0,444.9,428.0,430.2,430.2,133185.0
2786,2019-02-15,439.0,444.65,424.2,441.55,441.55,383888.0
2785,2019-02-14,458.9,459.9,437.0,440.0,440.0,406415.0
2784,2019-02-12,479.9,484.9,459.2,463.95,463.95,438611.0
2783,2019-02-11,483.85,486.0,471.1,479.85,479.85,301228.0
2782,2019-02-08,516.8,524.8,475.95,482.1,482.1,876290.0
2781,2019-02-07,476.95,519.85,475.6,515.15,515.15,1720218.0
2780,2019-02-06,474.85,478.0,465.0,476.6,476.6,61399.0
2779,2019-02-05,478.7,479.55,471.3,474.85,474.85,82038.0
2778,2019-02-04,467.5,478.0,462.05,474.0,474.0,109887.0
2777,2019-02-01,460.0,470.0,458.0,467.0,467.0,158772.0
2776,2019-01-31,451.05,468.0,447.35,458.2,458.2,287725.0
2775,2019-01-30,429.0,464.0,428.95,456.7,456.7,189241.0
2774,2019-01-29,435.7,435.7,416.35,426.85,426.85,192629.0
2773,2019-01-28,454.0,454.65,433.1,436.95,436.95,101760.0
2772,2019-01-25,459.0,464.95,452.05,454.65,454.65,72027.0
2771,2019-01-24,465.75,467.0,457.0,459.05,459.05,60074.0
2770,2019-01-23,469.6,474.4,457.9,464.0,464.0,82875.0
2769,2019-01-22,468.0,476.1,465.55,468.65,468.65,67102.0
2768,2019-01-21,468.0,478.9,466.1,470.45,470.45,95619.0
2767,2019-01-18,473.25,473.25,464.4,468.6,468.6,89186.0
2766,2019-01-17,479.7,481.75,469.65,470.45,470.45,156500.0
2765,2019-01-16,484.7,484.7,477.5,479.7,479.7,61811.0
2764,2019-01-15,482.15,485.25,474.0,481.3,481.3,98749.0
2763,2019-01-14,481.9,483.9,476.0,479.75,479.75,86849.0
2762,2019-01-11,490.25,490.95,481.25,484.05,484.05,89920.0
2761,2019-01-10,488.1,493.9,485.0,488.25,488.25,80695.0
2760,2019-01-09,491.7,494.0,481.3,489.35,489.35,116853.0
2759,2019-01-08,496.95,496.95,488.0,489.7,489.7,227160.0
2758,2019-01-07,492.7,496.7,488.15,494.05,494.05,146116.0
2757,2019-01-04,498.25,501.8,484.6,490.05,490.05,126892.0
2756,2019-01-03,507.0,508.8,497.0,497.75,497.75,83117.0
2755,2019-01-02,510.05,511.8,502.15,506.35,506.35,145547.0
2754,2019-01-01,506.5,521.4,500.1,513.55,513.55,322326.0
2753,2018-12-31,501.5,512.5,501.45,504.5,504.5,406908.0
2752,2018-12-28,496.15,504.85,493.25,497.4,497.4,207605.0
2751,2018-12-27,508.7,514.8,491.0,494.4,494.4,277928.0
2750,2018-12-26,501.4,502.55,488.0,495.4,495.4,93936.0
2749,2018-12-24,508.4,512.0,500.0,503.35,503.35,85639.0
2748,2018-12-21,521.1,526.5,503.05,506.5,506.5,227073.0
2747,2018-12-20,506.7,522.0,506.65,517.0,517.0,197903.0
2746,2018-12-19,510.1,525.4,506.6,510.75,510.75,280355.0
2745,2018-12-18,508.8,515.95,502.15,509.8,509.8,130090.0
2744,2018-12-17,516.7,518.0,506.05,509.4,509.4,107976.0
2743,2018-12-14,502.0,516.0,495.0,513.0,513.0,487751.0
2742,2018-12-13,477.0,507.75,477.0,503.5,503.5,501055.0
2741,2018-12-12,471.8,484.35,471.55,474.75,474.75,146444.0
2740,2018-12-11,453.35,472.8,452.0,470.35,470.35,98140.0
2739,2018-12-10,467.9,472.9,462.75,466.05,466.05,136367.0
2738,2018-12-07,471.8,482.0,470.25,472.35,472.35,177874.0
2737,2018-12-06,469.9,480.0,459.1,468.9,468.9,172172.0
2736,2018-12-05,474.15,475.0,470.05,472.8,472.8,105575.0
2735,2018-12-04,474.3,478.9,474.3,476.5,476.5,83976.0
2734,2018-12-03,474.0,478.7,472.0,473.4,473.4,92007.0
