,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1437.0,1450.0,1420.1,1426.85,1426.85,457800.0
4223,2019-06-13,1427.0,1441.0,1422.55,1437.25,1437.25,583516.0
4222,2019-06-12,1420.9,1443.85,1417.2,1429.35,1429.35,1091679.0
4221,2019-06-11,1425.0,1429.55,1409.0,1420.85,1420.85,912042.0
4220,2019-06-10,1375.0,1424.95,1374.75,1420.75,1420.75,1357222.0
4219,2019-06-07,1391.0,1399.0,1362.15,1379.1,1379.1,613759.0
4218,2019-06-06,1380.0,1399.0,1358.95,1390.7,1390.7,838108.0
4217,2019-06-04,1372.0,1389.2,1365.0,1374.6,1374.6,1092980.0
4216,2019-06-03,1330.0,1370.25,1316.6,1362.8,1362.8,935788.0
4215,2019-05-31,1323.55,1334.0,1318.05,1324.9,1324.9,453350.0
4214,2019-05-30,1318.5,1334.0,1311.05,1321.5,1321.5,719213.0
4213,2019-05-29,1319.0,1329.85,1313.25,1317.35,1317.35,746389.0
4212,2019-05-28,1346.3,1349.95,1307.6,1314.0,1314.0,1028764.0
4211,2019-05-27,1366.3,1373.7,1311.6,1338.05,1338.05,2491189.0
4210,2019-05-24,1374.9,1374.9,1329.0,1339.75,1339.75,987097.0
4209,2019-05-23,1399.0,1399.0,1363.0,1365.5,1365.5,576662.0
4208,2019-05-22,1384.4,1395.8,1373.5,1384.85,1384.85,558589.0
4207,2019-05-21,1360.0,1391.5,1360.0,1378.6,1378.6,610783.0
4206,2019-05-20,1400.0,1404.55,1349.05,1357.8,1357.8,571029.0
4205,2019-05-17,1342.0,1377.9,1333.0,1374.8,1374.8,805301.0
4204,2019-05-16,1324.5,1350.9,1317.1,1342.05,1342.05,659367.0
4203,2019-05-15,1306.0,1337.5,1300.7,1328.05,1328.05,1012860.0
4202,2019-05-14,1360.0,1367.95,1300.6,1310.25,1310.25,1267075.0
4201,2019-05-13,1349.0,1384.1,1346.7,1361.8,1361.8,822008.0
4200,2019-05-10,1361.0,1363.0,1328.6,1349.65,1349.65,672164.0
4199,2019-05-09,1354.0,1374.8,1345.65,1351.25,1351.25,950364.0
4198,2019-05-08,1345.1,1366.0,1333.25,1347.9,1347.9,610792.0
4197,2019-05-07,1370.0,1375.8,1350.0,1353.55,1353.55,1225645.0
4196,2019-05-06,1425.0,1440.4,1367.3,1373.45,1373.45,1202111.0
4195,2019-05-03,1467.0,1479.95,1435.25,1441.6,1441.6,826063.0
4194,2019-05-02,1454.0,1470.8,1447.6,1466.75,1466.75,399193.0
4193,2019-04-30,1454.0,1462.8,1435.15,1454.0,1454.0,478285.0
4192,2019-04-26,1465.85,1469.7,1443.0,1446.55,1446.55,421194.0
4191,2019-04-25,1464.0,1473.5,1455.0,1465.85,1465.85,547790.0
4190,2019-04-24,1443.15,1469.2,1439.4,1464.2,1464.2,1101109.0
4189,2019-04-23,1414.0,1452.9,1407.0,1445.55,1445.55,996932.0
4188,2019-04-22,1414.05,1421.95,1407.1,1411.0,1411.0,251883.0
4187,2019-04-18,1431.0,1438.0,1418.1,1421.2,1421.2,534153.0
4186,2019-04-16,1414.4,1438.5,1408.2,1430.8,1430.8,754278.0
4185,2019-04-15,1413.55,1419.0,1403.0,1413.85,1413.85,455743.0
4184,2019-04-12,1389.0,1412.95,1389.0,1408.05,1408.05,1076689.0
4183,2019-04-11,1392.5,1392.5,1367.05,1382.9,1382.9,586165.0
4182,2019-04-10,1404.0,1407.45,1389.35,1392.6,1392.6,381272.0
4181,2019-04-09,1395.6,1413.95,1383.6,1399.9,1399.9,479950.0
4180,2019-04-08,1401.0,1416.0,1388.0,1397.55,1397.55,475431.0
4179,2019-04-05,1410.0,1424.45,1403.6,1415.6,1415.6,991756.0
4178,2019-04-04,1396.3,1405.5,1385.1,1401.3,1401.3,454117.0
4177,2019-04-03,1382.5,1409.85,1381.45,1397.35,1397.35,605476.0
4176,2019-04-02,1390.05,1398.75,1375.25,1383.0,1383.0,580623.0
4175,2019-04-01,1405.0,1420.0,1383.7,1387.35,1387.35,570286.0
4174,2019-03-28,1375.3,1427.15,1367.7,1413.4,1413.4,1513755.0
4173,2019-03-27,1359.25,1387.0,1358.0,1371.55,1371.55,898728.0
4172,2019-03-26,1332.0,1356.75,1332.0,1352.75,1352.75,601572.0
4171,2019-03-25,1361.0,1361.0,1324.05,1328.6,1328.6,864602.0
4170,2019-03-22,1349.9,1369.8,1346.0,1361.65,1361.65,535750.0
4169,2019-03-20,1343.3,1357.35,1332.95,1351.75,1351.75,758746.0
4168,2019-03-19,1341.0,1361.8,1330.0,1340.75,1340.75,717522.0
4167,2019-03-18,1373.5,1373.5,1327.1,1339.3,1339.3,829855.0
4166,2019-03-15,1364.0,1386.6,1358.3,1374.2,1374.2,1920819.0
4165,2019-03-14,1351.0,1372.8,1338.8,1364.3,1364.3,889086.0
4164,2019-03-13,1365.1,1367.95,1341.5,1345.0,1345.0,527804.0
4163,2019-03-12,1345.0,1374.0,1341.0,1368.25,1368.25,1017271.0
4162,2019-03-11,1331.05,1348.95,1325.1,1340.15,1340.15,546913.0
4161,2019-03-08,1348.0,1350.45,1324.65,1328.95,1328.95,746047.0
4160,2019-03-07,1345.0,1358.0,1338.55,1349.45,1349.45,1130700.0
4159,2019-03-06,1310.0,1348.6,1292.65,1344.35,1344.35,1547417.0
4158,2019-03-05,1280.05,1310.0,1275.0,1305.65,1305.65,657363.0
4157,2019-03-01,1290.25,1297.25,1271.25,1280.05,1280.05,761639.0
4156,2019-02-28,1306.8,1306.8,1274.0,1288.8,1288.8,1326780.0
4155,2019-02-27,1315.0,1321.0,1290.05,1297.45,1297.45,764760.0
4154,2019-02-26,1280.3,1314.0,1280.3,1310.3,1310.3,1370995.0
4153,2019-02-25,1318.9,1329.9,1301.25,1311.5,1311.5,1660247.0
4152,2019-02-22,1284.25,1320.0,1284.2,1313.0,1313.0,1568922.0
4151,2019-02-21,1268.0,1285.5,1265.05,1282.75,1282.75,873596.0
4150,2019-02-20,1265.1,1274.0,1255.55,1269.2,1269.2,658587.0
4149,2019-02-19,1266.05,1278.0,1260.5,1264.05,1264.05,698817.0
4148,2019-02-18,1265.0,1288.8,1257.1,1266.05,1266.05,1581618.0
4147,2019-02-15,1259.0,1271.8,1238.75,1254.75,1254.75,1118186.0
4146,2019-02-14,1270.0,1282.65,1251.6,1258.9,1258.9,1801064.0
4145,2019-02-12,1193.0,1205.0,1182.3,1190.65,1190.65,1262776.0
4144,2019-02-11,1189.0,1209.0,1176.95,1188.4,1188.4,1012637.0
4143,2019-02-08,1190.0,1216.35,1184.05,1190.85,1190.85,937173.0
4142,2019-02-07,1203.0,1210.5,1188.15,1195.5,1195.5,554886.0
4141,2019-02-06,1180.0,1204.0,1165.0,1200.65,1200.65,720610.0
4140,2019-02-05,1190.65,1194.0,1170.4,1177.9,1177.9,712476.0
4139,2019-02-04,1145.95,1195.0,1136.6,1185.65,1185.65,982691.0
4138,2019-02-01,1115.65,1153.95,1115.65,1143.95,1143.95,447755.0
4137,2019-01-31,1107.6,1126.85,1087.1,1118.6,1118.6,568576.0
4136,2019-01-30,1106.1,1118.0,1080.75,1103.8,1103.8,574214.0
4135,2019-01-29,1090.3,1112.0,1090.3,1103.5,1103.5,370828.0
4134,2019-01-28,1124.25,1137.25,1087.7,1097.85,1097.85,679107.0
4133,2019-01-25,1150.9,1163.25,1116.05,1124.2,1124.2,479782.0
4132,2019-01-24,1165.1,1167.75,1144.15,1152.85,1152.85,334775.0
4131,2019-01-23,1148.1,1175.75,1145.45,1160.95,1160.95,841527.0
4130,2019-01-22,1138.0,1156.1,1138.0,1147.75,1147.75,501678.0
4129,2019-01-21,1159.9,1159.9,1143.2,1147.55,1147.55,311638.0
4128,2019-01-18,1156.8,1162.75,1148.0,1155.85,1155.85,273012.0
4127,2019-01-17,1165.0,1168.15,1138.35,1152.25,1152.25,555003.0
4126,2019-01-16,1162.15,1173.9,1161.5,1165.05,1165.05,352173.0
4125,2019-01-15,1162.5,1177.75,1160.0,1167.3,1167.3,819711.0
4124,2019-01-14,1148.5,1166.4,1147.45,1162.5,1162.5,440400.0
4123,2019-01-11,1165.0,1166.85,1151.0,1153.8,1153.8,603904.0
4122,2019-01-10,1148.0,1169.9,1143.55,1165.5,1165.5,1108076.0
4121,2019-01-09,1134.0,1152.45,1126.3,1148.2,1148.2,1099623.0
4120,2019-01-08,1126.0,1134.75,1114.0,1131.45,1131.45,486912.0
4119,2019-01-07,1125.0,1136.8,1122.0,1125.1,1125.1,740031.0
4118,2019-01-04,1121.0,1125.05,1094.0,1116.5,1116.5,737834.0
4117,2019-01-03,1112.0,1128.45,1108.0,1113.0,1113.0,573624.0
4116,2019-01-02,1120.4,1135.0,1108.0,1112.05,1112.05,493851.0
4115,2019-01-01,1133.0,1137.8,1120.45,1126.05,1126.05,314687.0
4114,2018-12-31,1135.0,1144.9,1126.0,1134.3,1134.3,585584.0
4113,2018-12-28,1135.0,1144.0,1125.0,1136.8,1136.8,1213059.0
4112,2018-12-27,1102.1,1136.95,1102.1,1129.9,1129.9,1529162.0
4111,2018-12-26,1107.9,1107.9,1075.25,1096.65,1096.65,665666.0
4110,2018-12-24,1124.0,1128.85,1101.45,1109.0,1109.0,1159490.0
4109,2018-12-21,1106.0,1139.0,1102.2,1118.7,1118.7,1802170.0
4108,2018-12-20,1107.0,1116.5,1101.65,1106.8,1106.8,631415.0
4107,2018-12-19,1096.0,1127.9,1092.0,1116.45,1116.45,1371418.0
4106,2018-12-18,1082.25,1102.7,1082.25,1098.15,1098.15,638077.0
4105,2018-12-17,1091.15,1104.8,1087.0,1092.4,1092.4,643986.0
4104,2018-12-14,1075.15,1104.0,1074.15,1091.3,1091.3,856295.0
4103,2018-12-13,1086.4,1094.8,1076.0,1086.65,1086.65,846676.0
4102,2018-12-12,1075.0,1087.0,1066.6,1081.0,1081.0,1468624.0
4101,2018-12-11,1007.35,1080.0,1000.55,1071.55,1071.55,1313190.0
4100,2018-12-10,1044.0,1048.0,1011.4,1015.8,1015.8,801135.0
4099,2018-12-07,1042.3,1074.0,1040.05,1059.9,1059.9,1279061.0
4098,2018-12-06,1046.0,1049.0,1032.0,1039.75,1039.75,497411.0
4097,2018-12-05,1045.0,1058.9,1041.6,1051.35,1051.35,607938.0
4096,2018-12-04,1063.0,1075.35,1048.45,1059.3,1059.3,1042001.0
4095,2018-12-03,1046.3,1069.5,1046.3,1063.8,1063.8,1716616.0
4094,2018-11-30,1001.1,1049.9,1000.0,1043.3,1043.3,2093515.0
4093,2018-11-29,1002.0,1016.0,995.0,1001.45,1001.45,989863.0
4092,2018-11-28,1007.0,1026.4,991.1,999.15,999.15,1228582.0
4091,2018-11-27,967.0,1007.25,967.0,1004.25,1004.25,2018983.0
4090,2018-11-26,955.3,975.2,943.65,971.45,971.45,960630.0
4089,2018-11-22,976.1,979.4,951.0,958.4,958.4,759416.0
4088,2018-11-21,981.9,989.95,967.0,975.6,975.6,786086.0
4087,2018-11-20,994.0,999.9,980.0,984.85,984.85,380682.0
4086,2018-11-19,1010.0,1010.0,984.6,994.85,994.85,770724.0
4085,2018-11-16,1004.9,1012.05,995.0,1003.95,1003.95,410517.0
4084,2018-11-15,999.0,1011.0,992.5,1000.3,1000.3,471062.0
4083,2018-11-14,1017.5,1023.0,992.0,998.6,998.6,686576.0
4082,2018-11-13,1018.0,1024.8,1004.05,1010.6,1010.6,739958.0
4081,2018-11-12,1028.25,1037.0,1009.3,1016.8,1016.8,709903.0
4080,2018-11-09,1008.0,1037.55,1002.5,1028.25,1028.25,1037429.0
4079,2018-11-07,1019.6,1019.6,1010.25,1014.25,1014.25,86889.0
4078,2018-11-06,1000.75,1026.0,1000.75,1010.95,1010.95,1388239.0
4077,2018-11-05,1005.0,1011.35,982.65,1000.55,1000.55,999517.0
4076,2018-11-02,1019.0,1027.65,987.35,1006.65,1006.65,2118491.0
4075,2018-11-01,975.0,1018.05,962.5,1015.4,1015.4,2536840.0
4074,2018-10-31,948.9,983.0,943.1,974.5,974.5,1286649.0
4073,2018-10-30,935.7,954.55,921.85,939.55,939.55,917806.0
4072,2018-10-29,910.0,943.0,903.0,935.4,935.4,1208719.0
4071,2018-10-26,928.0,932.0,904.3,908.95,908.95,1054016.0
4070,2018-10-25,863.5,931.95,863.5,923.15,923.15,2683269.0
4069,2018-10-24,871.0,887.9,857.55,880.5,880.5,759758.0
4068,2018-10-23,869.0,875.0,833.1,858.35,858.35,1721717.0
4067,2018-10-22,899.0,901.4,858.6,872.75,872.75,850295.0
4066,2018-10-19,911.0,916.8,884.3,894.55,894.55,606377.0
4065,2018-10-17,949.0,954.75,905.1,911.35,911.35,761943.0
4064,2018-10-16,944.6,944.6,932.0,941.0,941.0,609443.0
4063,2018-10-15,926.6,935.0,911.05,929.5,929.5,714715.0
4062,2018-10-12,910.85,943.85,910.05,921.05,921.05,1503189.0
4061,2018-10-11,880.0,917.4,848.95,901.7,901.7,943829.0
4060,2018-10-10,870.05,918.75,870.0,908.7,908.7,1075566.0
4059,2018-10-09,905.0,909.95,860.5,865.85,865.85,1609266.0
4058,2018-10-08,862.0,898.9,844.05,893.8,893.8,1683421.0
4057,2018-10-05,867.0,876.5,852.6,860.3,860.3,1210299.0
4056,2018-10-04,890.0,908.0,861.5,867.85,867.85,1819895.0
4055,2018-10-03,967.85,970.05,911.0,915.3,915.3,1547225.0
4054,2018-10-01,973.0,974.95,940.5,967.9,967.9,843242.0
4053,2018-09-28,991.8,995.9,964.45,970.3,970.3,1621208.0
4052,2018-09-27,960.2,990.2,960.2,983.55,983.55,1835778.0
4051,2018-09-26,966.0,967.85,948.5,956.5,956.5,603206.0
4050,2018-09-25,968.0,973.75,933.0,960.85,960.85,850683.0
4049,2018-09-24,974.0,976.95,947.0,970.15,970.15,782447.0
4048,2018-09-21,991.35,1002.0,930.5,973.55,973.55,1030412.0
4047,2018-09-19,1008.0,1017.1,975.1,987.4,987.4,855073.0
4046,2018-09-18,990.0,1015.25,986.0,1003.7,1003.7,1056508.0
4045,2018-09-17,1021.75,1032.8,988.8,997.0,997.0,1210121.0
4044,2018-09-14,1047.0,1063.0,1034.55,1040.75,1040.75,1521137.0
4043,2018-09-12,1020.55,1041.9,1002.35,1037.55,1037.55,883172.0
4042,2018-09-11,1038.0,1043.05,1016.55,1020.1,1020.1,491327.0
4041,2018-09-10,1059.7,1059.7,1033.8,1037.15,1037.15,464671.0
4040,2018-09-07,1049.1,1069.9,1039.85,1056.25,1056.25,790700.0
4039,2018-09-06,1062.5,1065.0,1032.85,1049.35,1049.35,720692.0
4038,2018-09-05,1038.9,1062.0,1015.5,1057.2,1057.2,923602.0
4037,2018-09-04,1065.05,1071.0,1022.85,1032.4,1032.4,853123.0
4036,2018-09-03,1078.0,1098.5,1058.0,1064.1,1064.1,681515.0
4035,2018-08-31,1087.7,1099.15,1069.2,1082.4,1082.4,645525.0
4034,2018-08-30,1100.0,1103.6,1079.3,1087.2,1087.2,745043.0
4033,2018-08-29,1107.2,1115.7,1089.3,1096.25,1096.25,1288742.0
4032,2018-08-28,1064.0,1108.9,1055.95,1099.6,1099.6,1354443.0
4031,2018-08-27,1070.5,1081.0,1061.05,1064.75,1064.75,691721.0
4030,2018-08-24,1075.2,1088.0,1060.65,1074.6,1074.6,1287461.0
4029,2018-08-23,1032.2,1082.4,1030.0,1076.5,1076.5,2027317.0
4028,2018-08-21,1030.1,1040.75,1024.8,1034.0,1034.0,746840.0
4027,2018-08-20,1013.55,1034.5,1008.1,1030.1,1030.1,1072872.0
4026,2018-08-17,1009.5,1024.9,1006.9,1013.75,1013.75,1009857.0
4025,2018-08-16,1000.0,1011.5,985.55,1007.05,1007.05,1134404.0
4024,2018-08-14,984.0,1008.95,982.0,1004.55,1004.55,2027310.0
4023,2018-08-13,973.4,987.0,965.35,981.85,981.85,1440391.0
4022,2018-08-10,955.4,978.8,944.85,975.8,975.8,2399528.0
4021,2018-08-09,952.1,961.0,941.25,954.35,954.35,454577.0
4020,2018-08-08,958.55,967.4,945.65,949.7,949.7,1099483.0
4019,2018-08-07,937.0,963.0,932.15,958.9,958.9,1717090.0
4018,2018-08-06,940.0,941.5,927.55,934.25,934.25,571282.0
4017,2018-08-03,932.8,942.45,931.0,938.25,938.25,506373.0
4016,2018-08-02,944.0,951.5,926.75,932.8,932.8,1409464.0
4015,2018-08-01,910.5,945.0,907.1,941.15,941.15,1663781.0
4014,2018-07-31,916.25,917.95,906.3,908.9,908.9,409807.0
4013,2018-07-30,915.0,925.0,906.0,918.25,918.25,550530.0
4012,2018-07-27,922.0,931.5,912.6,916.3,916.3,1255469.0
4011,2018-07-26,892.6,919.4,891.95,915.4,915.4,1610870.0
4010,2018-07-25,898.0,898.95,877.5,892.6,892.6,1039242.0
4009,2018-07-24,909.8,911.85,894.9,897.7,897.7,1523417.0
4008,2018-07-23,875.0,909.7,856.0,904.0,904.0,6979431.0
4007,2018-07-20,834.5,845.9,829.45,842.4,842.4,1769736.0
4006,2018-07-19,831.0,838.0,818.35,828.6,828.6,856936.0
4005,2018-07-18,849.8,849.8,824.05,827.7,827.7,949354.0
4004,2018-07-17,818.9,846.0,815.3,841.5,841.5,1213290.0
4003,2018-07-16,822.7,831.85,813.1,818.7,818.7,788585.0
4002,2018-07-13,840.95,841.25,815.95,819.65,819.65,760079.0
4001,2018-07-12,835.3,847.0,832.5,835.55,835.55,832365.0
4000,2018-07-11,845.0,849.8,829.8,834.2,834.2,835400.0
3999,2018-07-10,842.0,853.05,835.0,842.5,842.5,1043667.0
3998,2018-07-09,832.8,843.0,831.0,838.95,834.95,985879.0
3997,2018-07-06,836.0,843.9,827.8,830.1,822.1613,741248.0
3996,2018-07-05,831.0,843.95,831.0,835.35,827.3611,867737.0
3995,2018-07-04,836.95,846.8,826.2,828.7,820.7747,1060828.0
