,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1119.7,1124.75,1100.0,1102.5,1102.5,46851.0
4223,2019-06-13,1134.75,1138.5,1111.0,1118.95,1118.95,57412.0
4222,2019-06-12,1139.0,1148.75,1130.0,1135.35,1135.35,24880.0
4221,2019-06-11,1160.0,1166.8,1135.0,1139.65,1139.65,65126.0
4220,2019-06-10,1139.9,1160.0,1139.85,1156.7,1156.7,87295.0
4219,2019-06-07,1130.0,1147.95,1118.5,1132.05,1132.05,35645.0
4218,2019-06-06,1150.0,1158.8,1130.0,1132.45,1132.45,45637.0
4217,2019-06-04,1145.1,1179.0,1145.0,1149.15,1149.15,51708.0
4216,2019-06-03,1162.9,1179.8,1155.0,1158.5,1158.5,89553.0
4215,2019-05-31,1166.0,1192.0,1140.0,1156.5,1156.5,274478.0
4214,2019-05-30,1150.0,1183.0,1144.35,1161.4,1161.4,152403.0
4213,2019-05-29,1134.0,1162.0,1116.35,1148.8,1148.8,236792.0
4212,2019-05-28,1154.0,1163.9,1115.0,1127.85,1127.85,121033.0
4211,2019-05-27,1145.0,1186.0,1142.0,1146.45,1146.45,397828.0
4210,2019-05-24,1120.0,1169.9,1120.0,1135.9,1135.9,166100.0
4209,2019-05-23,1150.0,1197.85,1100.35,1119.45,1119.45,129899.0
4208,2019-05-22,1144.95,1144.95,1115.0,1119.25,1119.25,45396.0
4207,2019-05-21,1163.0,1178.1,1136.25,1139.85,1139.85,31229.0
4206,2019-05-20,1150.0,1184.5,1142.4,1159.4,1159.4,53690.0
4205,2019-05-17,1138.0,1146.35,1115.0,1123.75,1123.75,42812.0
4204,2019-05-16,1164.0,1164.0,1130.0,1132.5,1132.5,23189.0
4203,2019-05-15,1156.5,1184.0,1151.2,1155.3,1155.3,25796.0
4202,2019-05-14,1176.0,1182.65,1136.0,1160.75,1160.75,48960.0
4201,2019-05-13,1173.45,1182.0,1156.0,1162.7,1162.7,26030.0
4200,2019-05-10,1184.95,1188.9,1170.0,1173.45,1173.45,53056.0
4199,2019-05-09,1180.0,1200.0,1171.0,1178.15,1178.15,45304.0
4198,2019-05-08,1191.0,1195.0,1175.35,1182.35,1182.35,22462.0
4197,2019-05-07,1201.5,1219.95,1191.0,1194.9,1194.9,85501.0
4196,2019-05-06,1201.5,1224.9,1195.0,1200.05,1200.05,180293.0
4195,2019-05-03,1241.6,1259.95,1223.95,1227.1,1227.1,46755.0
4194,2019-05-02,1250.0,1273.35,1226.45,1231.25,1231.25,50467.0
4193,2019-04-30,1276.4,1279.45,1190.35,1246.65,1246.65,106146.0
4192,2019-04-26,1290.0,1290.0,1263.15,1271.55,1271.55,16480.0
4191,2019-04-25,1283.0,1294.7,1280.0,1287.1,1287.1,20223.0
4190,2019-04-24,1276.0,1286.9,1265.5,1281.15,1281.15,21272.0
4189,2019-04-23,1292.75,1302.4,1263.0,1272.15,1272.15,28698.0
4188,2019-04-22,1315.0,1329.95,1280.2,1289.05,1289.05,54682.0
4187,2019-04-18,1347.45,1350.0,1306.0,1315.9,1315.9,54403.0
4186,2019-04-16,1316.0,1374.95,1312.0,1338.05,1338.05,132929.0
4185,2019-04-15,1288.55,1337.7,1286.65,1313.0,1313.0,165566.0
4184,2019-04-12,1273.0,1291.0,1273.0,1283.9,1283.9,34287.0
4183,2019-04-11,1290.0,1290.0,1270.55,1273.8,1273.8,14359.0
4182,2019-04-10,1284.8,1294.75,1277.0,1283.7,1283.7,26451.0
4181,2019-04-09,1280.0,1289.1,1270.6,1285.55,1285.55,26623.0
4180,2019-04-08,1292.0,1303.85,1271.0,1285.15,1285.15,45362.0
4179,2019-04-05,1295.0,1300.55,1280.15,1284.6,1284.6,46975.0
4178,2019-04-04,1284.0,1301.85,1273.0,1293.05,1293.05,47214.0
4177,2019-04-03,1298.0,1310.15,1267.15,1278.65,1278.65,67877.0
4176,2019-04-02,1306.5,1311.45,1283.15,1297.75,1297.75,45621.0
4175,2019-04-01,1305.0,1324.65,1300.1,1303.3,1303.3,44642.0
4174,2019-03-28,1291.95,1313.9,1265.0,1283.55,1283.55,114341.0
4173,2019-03-27,1264.0,1298.0,1257.6,1285.85,1285.85,288399.0
4172,2019-03-26,1254.25,1265.0,1238.2,1256.2,1256.2,91868.0
4171,2019-03-25,1256.05,1273.95,1238.0,1247.7,1247.7,52516.0
4170,2019-03-22,1295.0,1298.95,1267.0,1271.55,1271.55,54664.0
4169,2019-03-20,1313.95,1314.2,1289.05,1294.45,1294.45,31858.0
4168,2019-03-19,1316.7,1325.95,1301.1,1308.05,1308.05,67647.0
4167,2019-03-18,1318.85,1355.0,1301.1,1312.55,1312.55,91698.0
4166,2019-03-15,1334.95,1343.0,1304.0,1311.8,1311.8,61121.0
4165,2019-03-14,1338.0,1347.0,1317.05,1331.55,1331.55,68019.0
4164,2019-03-13,1368.0,1368.85,1326.95,1333.2,1333.2,153204.0
4163,2019-03-12,1294.7,1374.0,1289.95,1362.05,1362.05,443023.0
4162,2019-03-11,1258.0,1293.0,1255.1,1284.65,1284.65,136508.0
4161,2019-03-08,1275.05,1276.7,1244.0,1251.6,1251.6,65025.0
4160,2019-03-07,1287.7,1288.95,1263.5,1275.05,1275.05,68296.0
4159,2019-03-06,1280.45,1315.0,1260.0,1282.2,1282.2,246593.0
4158,2019-03-05,1225.0,1282.5,1202.0,1275.65,1275.65,222060.0
4157,2019-03-01,1193.0,1233.0,1193.0,1219.55,1219.55,85912.0
4156,2019-02-28,1204.7,1210.95,1185.0,1192.35,1192.35,44937.0
4155,2019-02-27,1219.95,1237.95,1192.0,1197.75,1197.75,120746.0
4154,2019-02-26,1241.15,1266.0,1205.0,1210.9,1210.9,214667.0
4153,2019-02-25,1208.0,1247.8,1204.0,1241.15,1241.15,166505.0
4152,2019-02-22,1214.0,1225.0,1195.0,1200.55,1200.55,75150.0
4151,2019-02-21,1225.0,1237.0,1207.1,1213.9,1213.9,56543.0
4150,2019-02-20,1196.1,1242.25,1196.05,1216.65,1216.65,83187.0
4149,2019-02-19,1174.15,1205.4,1174.15,1199.55,1199.55,55880.0
4148,2019-02-18,1191.0,1200.0,1176.65,1183.1,1183.1,24226.0
4147,2019-02-15,1191.0,1212.5,1191.0,1200.9,1200.9,44562.0
4146,2019-02-14,1180.35,1205.5,1180.0,1200.15,1200.15,43237.0
4145,2019-02-12,1180.2,1204.75,1180.0,1198.2,1198.2,119430.0
4144,2019-02-11,1198.0,1198.0,1177.25,1183.45,1183.45,41966.0
4143,2019-02-08,1190.0,1214.35,1174.0,1202.35,1202.35,89806.0
4142,2019-02-07,1188.1,1209.9,1178.25,1194.75,1194.75,51160.0
4141,2019-02-06,1177.3,1190.05,1163.85,1183.55,1183.55,51761.0
4140,2019-02-05,1180.1,1205.0,1170.0,1173.4,1173.4,57040.0
4139,2019-02-04,1207.7,1209.9,1170.0,1192.3,1192.3,111441.0
4138,2019-02-01,1209.9,1223.0,1189.05,1205.95,1205.95,66041.0
4137,2019-01-31,1207.9,1219.0,1201.1,1205.25,1205.25,64027.0
4136,2019-01-30,1212.0,1229.7,1186.2,1195.9,1195.9,68877.0
4135,2019-01-29,1172.0,1214.35,1172.0,1207.7,1207.7,156652.0
4134,2019-01-28,1215.0,1223.7,1165.0,1184.6,1184.6,116985.0
4133,2019-01-25,1219.7,1245.0,1201.2,1213.95,1213.95,156750.0
4132,2019-01-24,1221.8,1239.75,1203.55,1209.35,1209.35,234998.0
4131,2019-01-23,1226.0,1289.95,1201.1,1208.0,1208.0,1024207.0
4130,2019-01-22,1215.2,1244.75,1212.15,1221.1,1221.1,41526.0
4129,2019-01-21,1255.5,1265.0,1225.0,1228.05,1228.05,74821.0
4128,2019-01-18,1255.0,1272.0,1245.0,1252.2,1252.2,54583.0
4127,2019-01-17,1271.0,1280.0,1246.0,1251.35,1251.35,61966.0
4126,2019-01-16,1281.95,1307.45,1266.25,1274.7,1274.7,88548.0
4125,2019-01-15,1275.0,1298.0,1266.0,1280.95,1280.95,76271.0
4124,2019-01-14,1279.0,1279.95,1260.1,1268.95,1268.95,45774.0
