,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,330.0,331.05,326.3,327.75,327.75,383895.0
4223,2019-06-13,333.5,334.95,328.5,329.7,329.7,1248595.0
4222,2019-06-12,328.55,336.7,327.85,330.55,330.55,1504790.0
4221,2019-06-11,330.0,331.3,326.6,328.4,328.4,820720.0
4220,2019-06-10,328.85,329.65,324.55,327.9,327.9,894748.0
4219,2019-06-07,328.8,331.25,323.35,326.25,326.25,1352555.0
4218,2019-06-06,329.0,333.85,325.1,329.7,329.7,2743074.0
4217,2019-06-04,327.0,332.35,322.3,323.35,323.35,1527521.0
4216,2019-06-03,331.15,332.6,326.35,327.55,327.55,1913601.0
4215,2019-05-31,302.9,335.0,302.9,330.3,330.3,7474477.0
4214,2019-05-30,302.95,303.3,297.25,300.55,300.55,1087556.0
4213,2019-05-29,303.9,304.5,296.3,301.3,301.3,1333377.0
4212,2019-05-28,310.4,310.7,302.5,303.25,303.25,937887.0
4211,2019-05-27,310.0,316.0,308.0,309.6,309.6,992087.0
4210,2019-05-24,312.15,313.8,307.55,310.5,310.5,1067383.0
4209,2019-05-23,316.0,316.0,305.75,307.45,307.45,327611.0
4208,2019-05-22,314.8,314.8,305.55,310.5,310.5,599060.0
4207,2019-05-21,315.4,317.55,308.6,311.85,311.85,748812.0
4206,2019-05-20,302.5,314.05,302.5,313.3,313.3,487004.0
4205,2019-05-17,296.25,302.35,295.65,300.35,300.35,417736.0
4204,2019-05-16,297.1,299.15,292.05,296.15,296.15,316205.0
4203,2019-05-15,294.8,300.85,294.4,297.65,297.65,396280.0
4202,2019-05-14,300.5,300.5,294.0,296.3,296.3,509197.0
4201,2019-05-13,301.0,304.35,298.2,299.5,299.5,355513.0
4200,2019-05-10,302.4,304.0,295.65,301.6,301.6,758899.0
4199,2019-05-09,302.25,306.8,298.85,302.3,302.3,556439.0
4198,2019-05-08,303.0,306.7,298.35,303.7,303.7,628049.0
4197,2019-05-07,312.9,313.8,303.3,304.7,304.7,425669.0
4196,2019-05-06,310.0,314.15,309.5,311.35,311.35,294132.0
4195,2019-05-03,314.8,317.8,310.5,311.9,311.9,536848.0
4194,2019-05-02,320.4,320.4,310.05,315.35,315.35,665886.0
4193,2019-04-30,322.0,325.0,315.0,318.95,318.95,662988.0
4192,2019-04-26,323.2,326.35,317.5,319.95,319.95,511931.0
4191,2019-04-25,322.1,325.65,320.1,323.1,323.1,298683.0
4190,2019-04-24,320.0,324.5,318.2,322.8,322.8,327270.0
4189,2019-04-23,321.0,322.1,314.05,318.05,318.05,539965.0
4188,2019-04-22,325.5,325.9,321.0,322.5,322.5,523950.0
