,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,630.5,637.0,626.3,631.4,631.4,23798.0
4223,2019-06-13,634.0,636.55,620.3,631.85,631.85,38775.0
4222,2019-06-12,636.9,639.5,625.35,632.15,632.15,34687.0
4221,2019-06-11,645.95,649.55,629.45,636.9,636.9,43126.0
4220,2019-06-10,653.0,659.85,634.4,641.15,641.15,44544.0
4219,2019-06-07,645.0,659.9,628.3,652.25,652.25,64104.0
4218,2019-06-06,657.4,658.65,611.6,646.95,646.95,86008.0
4217,2019-06-04,672.8,678.8,650.25,654.3,654.3,102194.0
4216,2019-06-03,650.0,674.7,650.0,669.55,669.55,76329.0
4215,2019-05-31,663.5,670.95,646.1,652.85,652.85,82756.0
4214,2019-05-30,665.5,677.0,661.6,663.5,663.5,53403.0
4213,2019-05-29,677.0,680.9,658.1,670.95,670.95,51232.0
4212,2019-05-28,668.0,684.0,663.0,676.0,676.0,145972.0
4211,2019-05-27,625.0,672.25,618.85,664.95,664.95,173889.0
4210,2019-05-24,613.95,625.0,605.0,620.5,620.5,114594.0
4209,2019-05-23,594.9,616.0,590.1,608.05,608.05,162043.0
4208,2019-05-22,590.0,596.4,580.55,583.95,583.95,39858.0
4207,2019-05-21,590.0,614.0,572.8,587.95,587.95,191187.0
4206,2019-05-20,569.75,595.0,551.0,590.55,590.55,142129.0
4205,2019-05-17,560.9,563.6,539.95,541.4,541.4,52085.0
4204,2019-05-16,575.0,575.95,555.0,558.35,558.35,43783.0
4203,2019-05-15,551.0,574.9,551.0,570.4,570.4,154078.0
4202,2019-05-14,520.0,562.0,520.0,555.3,555.3,158959.0
4201,2019-05-13,549.35,551.05,528.5,530.4,530.4,52144.0
4200,2019-05-10,542.55,549.85,541.3,546.7,546.7,51720.0
4199,2019-05-09,548.9,557.95,540.0,542.1,542.1,105625.0
4198,2019-05-08,554.0,557.9,540.05,548.05,548.05,142550.0
4197,2019-05-07,528.0,558.9,528.0,553.5,553.5,428433.0
4196,2019-05-06,500.6,532.25,500.6,527.45,527.45,582843.0
4195,2019-05-03,505.0,506.95,496.15,500.15,500.15,65980.0
4194,2019-05-02,504.0,508.95,497.55,504.55,504.55,63644.0
4193,2019-04-30,495.9,513.0,495.9,502.9,502.9,170338.0
4192,2019-04-26,505.5,515.4,491.1,493.55,493.55,283049.0
4191,2019-04-25,515.0,526.0,500.0,504.4,504.4,215917.0
4190,2019-04-24,511.05,515.0,502.0,513.8,513.8,30918.0
4189,2019-04-23,513.0,520.0,505.2,511.6,511.6,38621.0
4188,2019-04-22,519.55,519.55,508.0,509.7,509.7,83024.0
4187,2019-04-18,522.6,528.0,516.0,519.55,519.55,101629.0
4186,2019-04-16,513.4,524.9,508.25,521.3,521.3,91758.0
4185,2019-04-15,510.0,514.7,508.85,509.25,509.25,22857.0
4184,2019-04-12,512.0,519.3,507.0,510.7,510.7,57898.0
4183,2019-04-11,502.2,514.0,500.0,510.05,510.05,61900.0
4182,2019-04-10,505.0,510.0,500.6,504.85,504.85,50178.0
4181,2019-04-09,512.3,519.1,496.1,504.65,504.65,51845.0
4180,2019-04-08,521.3,525.0,511.0,514.9,514.9,35504.0
4179,2019-04-05,539.95,539.95,515.0,520.6,520.6,35377.0
4178,2019-04-04,519.0,525.0,513.0,522.2,522.2,60183.0
4177,2019-04-03,521.9,530.0,509.0,515.1,515.1,56839.0
4176,2019-04-02,530.2,533.0,518.2,525.1,525.1,47666.0
4175,2019-04-01,530.0,541.0,524.0,532.65,532.65,227319.0
4174,2019-03-28,520.9,525.0,514.0,524.5,524.5,66743.0
4173,2019-03-27,515.1,524.0,512.45,517.65,517.65,78547.0
4172,2019-03-26,505.5,522.0,505.0,514.75,514.75,46047.0
4171,2019-03-25,508.0,510.55,501.1,505.3,505.3,27448.0
4170,2019-03-22,529.0,534.1,507.45,511.6,511.6,56543.0
4169,2019-03-20,532.55,539.0,524.0,525.9,525.9,49016.0
4168,2019-03-19,531.6,535.15,529.05,532.55,532.55,46725.0
4167,2019-03-18,540.0,540.0,527.25,531.6,531.6,47508.0
4166,2019-03-15,535.05,547.15,531.0,537.85,537.85,62067.0
4165,2019-03-14,540.0,545.0,532.4,534.9,534.9,41823.0
4164,2019-03-13,545.6,549.85,539.0,540.65,540.65,181932.0
4163,2019-03-12,535.4,549.0,532.0,542.1,542.1,229026.0
4162,2019-03-11,500.0,538.0,500.0,531.4,531.4,769500.0
4161,2019-03-08,546.0,581.0,526.0,565.1,565.1,195001.0
4160,2019-03-07,549.85,559.0,540.0,546.2,546.2,82180.0
4159,2019-03-06,542.65,561.0,523.0,550.4,550.4,151580.0
4158,2019-03-05,505.3,539.95,505.3,536.1,536.1,373641.0
4157,2019-03-01,466.1,509.5,466.1,505.0,505.0,253621.0
4156,2019-02-28,468.0,473.0,462.5,464.45,464.45,30710.0
4155,2019-02-27,459.0,481.75,458.65,463.3,463.3,184343.0
4154,2019-02-26,464.1,470.0,457.0,461.4,461.4,87403.0
4153,2019-02-25,460.0,476.5,457.5,467.05,467.05,131386.0
4152,2019-02-22,450.2,463.9,450.2,460.15,460.15,47666.0
4151,2019-02-21,458.0,462.0,448.0,451.75,451.75,31748.0
4150,2019-02-20,446.05,460.0,446.05,459.4,459.4,34413.0
4149,2019-02-19,442.55,454.65,442.55,446.3,446.3,19138.0
4148,2019-02-18,452.0,456.5,440.95,445.15,445.15,28224.0
4147,2019-02-15,456.65,456.65,450.0,454.7,454.7,18524.0
4146,2019-02-14,452.0,460.0,448.0,455.15,455.15,22720.0
4145,2019-02-12,473.85,473.85,453.0,455.55,455.55,28353.0
4144,2019-02-11,473.05,478.0,458.1,473.65,473.65,18460.0
4143,2019-02-08,481.0,491.0,468.0,471.05,471.05,36487.0
4142,2019-02-07,451.0,481.0,451.0,478.95,478.95,47226.0
