,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,16950.5,16999.0,16841.0,16911.4004,16911.4004,5422.0
4223,2019-06-13,16925.1992,17049.9004,16815.0,17012.4004,17012.4004,9516.0
4222,2019-06-12,17138.0,17290.0,16864.0,16901.1992,16901.1992,7922.0
4221,2019-06-11,17106.5996,17297.0,17085.0,17138.3008,17138.3008,6762.0
4220,2019-06-10,17118.8008,17430.0,16970.1992,17085.4004,17085.4004,11388.0
4219,2019-06-07,17388.0,17388.0,16978.5996,17052.0,17052.0,10975.0
4218,2019-06-06,17540.0,17679.8008,17153.1992,17268.4004,17268.4004,13042.0
4217,2019-06-04,17419.3008,17799.9004,17270.5996,17401.3008,17401.3008,18088.0
4216,2019-06-03,17750.0,17877.0,17370.0,17404.8008,17404.8008,15636.0
4215,2019-05-31,17213.1992,17800.0,17204.0996,17722.8008,17722.8008,26187.0
4214,2019-05-30,17025.0,17480.0,16976.0,17213.1992,17213.1992,19995.0
4213,2019-05-29,17050.0,17067.4004,16926.4004,17017.6992,17017.6992,6240.0
4212,2019-05-28,16970.0,17089.9004,16863.3008,16926.1992,16926.1992,39129.0
4211,2019-05-27,17005.0,17249.0,16850.0996,16924.8008,16924.8008,12614.0
4210,2019-05-24,16954.0,17040.0,16764.3008,16972.5,16972.5,15106.0
4209,2019-05-23,17100.0,17100.0,16700.0,16785.8008,16785.8008,32061.0
4208,2019-05-22,17300.0996,17373.9004,16750.0,16809.3008,16809.3008,31915.0
4207,2019-05-21,17622.0,17683.0996,16950.0,17410.6992,17410.6992,56544.0
4206,2019-05-20,17550.0,17713.0,17181.0996,17621.8008,17621.8008,10948.0
4205,2019-05-17,16970.0,17389.9004,16970.0,17230.8008,17230.8008,11099.0
4204,2019-05-16,17019.8008,17150.8008,16857.0996,16967.8008,16967.8008,8071.0
4203,2019-05-15,16899.0,17100.0,16818.3008,17004.8008,17004.8008,14937.0
4202,2019-05-14,17100.0996,17185.9004,16629.5996,16791.5996,16791.5996,16433.0
4201,2019-05-13,17250.0,17482.6992,17042.1992,17200.1992,17200.1992,15378.0
4200,2019-05-10,17162.0,17351.3008,17113.8008,17244.3008,17244.3008,11292.0
4199,2019-05-09,17292.8008,17299.9004,17002.0,17160.8008,17160.8008,12275.0
4198,2019-05-08,17701.1992,17830.0,17017.5996,17328.8008,17328.8008,22326.0
4197,2019-05-07,18022.0,18073.9004,17572.8008,17784.6992,17784.6992,25690.0
4196,2019-05-06,17960.0,18066.0,17920.4004,18020.8008,18020.8008,6476.0
4195,2019-05-03,18099.1992,18099.1992,17874.1992,18023.4004,18023.4004,6131.0
4194,2019-05-02,17925.0,18035.9004,17665.3008,17985.9004,17985.9004,20578.0
4193,2019-04-30,17952.0,18198.6992,17900.0,18018.9004,18018.9004,21101.0
4192,2019-04-26,17996.3008,18099.1992,17862.8008,18018.5996,18018.5996,5333.0
4191,2019-04-25,18010.0,18193.9004,17900.0,17996.3008,17996.3008,29378.0
4190,2019-04-24,17960.0996,18098.9004,17851.0996,18005.8008,18005.8008,8862.0
4189,2019-04-23,18100.0,18146.1992,17910.0,17946.4004,17946.4004,5583.0
4188,2019-04-22,18140.0,18170.8008,17950.0,18097.9004,18097.9004,6574.0
4187,2019-04-18,18444.9004,18444.9004,18071.5996,18173.5,18173.5,11005.0
4186,2019-04-16,18149.1992,18352.0,18051.0,18273.4004,18273.4004,12691.0
4185,2019-04-15,18000.0,18099.0,17918.9004,18051.5996,18051.5996,8112.0
4184,2019-04-12,17810.0,18025.0,17810.0,17980.5996,17980.5996,6742.0
4183,2019-04-11,17800.0,17951.9004,17732.0,17831.4004,17831.4004,9027.0
4182,2019-04-10,17840.0,17882.6992,17750.0,17788.6992,17788.6992,8167.0
4181,2019-04-09,18014.9004,18015.0,17729.9004,17856.8008,17856.8008,8785.0
4180,2019-04-08,18095.0,18095.0,17905.1992,17994.9004,17994.9004,7904.0
4179,2019-04-05,17901.0,18100.0,17809.4004,17994.8008,17994.8008,17558.0
4178,2019-04-04,18030.0,18052.0996,17775.9004,17832.3008,17832.3008,24726.0
4177,2019-04-03,17950.0,18080.0,17947.0996,18005.9004,18005.9004,16319.0
4176,2019-04-02,18060.5,18178.4004,17901.1992,17946.1992,17946.1992,17086.0
4175,2019-04-01,18300.0,18300.0,18051.1992,18105.8008,18105.8008,8461.0
4174,2019-03-28,17915.1992,18000.0,17817.5996,17886.1992,17886.1992,25602.0
4173,2019-03-27,18200.0,18201.9004,17900.0,17959.3008,17959.3008,22614.0
4172,2019-03-26,18257.0,18257.0,18075.0,18182.5996,18182.5996,17010.0
4171,2019-03-25,18256.0,18300.0,18069.0996,18182.5996,18182.5996,7894.0
4170,2019-03-22,18363.0,18450.0,18220.0,18287.0996,18287.0996,10908.0
4169,2019-03-20,18441.1992,18500.0,18354.5,18392.8008,18392.8008,10493.0
4168,2019-03-19,18498.0,18526.4004,18326.0,18441.1992,18441.1992,8466.0
4167,2019-03-18,18480.0,18510.4004,18365.1992,18470.3008,18470.3008,6788.0
4166,2019-03-15,18689.9004,18689.9004,18305.5996,18365.1992,18365.1992,30082.0
4165,2019-03-14,18730.0,18745.0,18265.0,18559.5,18559.5,28714.0
4164,2019-03-13,19200.0,19200.0,18503.0,18608.9004,18608.9004,22948.0
4163,2019-03-12,19150.0,19421.9004,19005.0996,19082.6992,19082.6992,14924.0
4162,2019-03-11,18500.0,19170.0,18489.0,19100.3008,19100.3008,18632.0
4161,2019-03-08,18487.0,18517.1992,18200.0,18429.8008,18429.8008,11836.0
4160,2019-03-07,18875.1992,18937.9004,18405.0,18486.1992,18486.1992,22652.0
4159,2019-03-06,19000.0,19039.3008,18728.0,18875.1992,18875.1992,12834.0
4158,2019-03-05,18700.0,18991.0,18665.1992,18923.3008,18923.3008,18202.0
4157,2019-03-01,19000.0,19000.0,18701.0,18749.8008,18749.8008,11992.0
4156,2019-02-28,18818.0,19285.0,18817.8008,19026.3008,19026.3008,27618.0
4155,2019-02-27,18780.0,19050.0,18531.3008,18817.8008,18817.8008,22036.0
4154,2019-02-26,18240.0,18888.0,18060.0996,18763.9004,18763.9004,37919.0
4153,2019-02-25,18100.0996,18411.0,18100.0996,18340.6992,18340.6992,21822.0
4152,2019-02-22,17915.0,18184.0,17751.5,18120.8008,18120.8008,38884.0
4151,2019-02-21,18270.0,18294.5,17930.3008,18048.5996,18048.5996,8542.0
4150,2019-02-20,17900.0,18224.9004,17755.0,18175.6992,18175.6992,10625.0
4149,2019-02-19,17770.0,17910.5996,17564.1992,17761.3008,17761.3008,14644.0
4148,2019-02-18,18150.0,18150.0,17650.0,17717.0996,17717.0996,12603.0
4147,2019-02-15,18151.0,18227.0,17801.0,18154.9004,18154.9004,21066.0
4146,2019-02-14,17988.0,18503.0,17901.0,18084.3008,18084.3008,45120.0
4145,2019-02-12,18780.0996,18780.0996,18500.0996,18592.1992,18592.1992,12840.0
4144,2019-02-11,18880.0,18975.0,18614.0,18798.6992,18798.6992,16064.0
4143,2019-02-08,19275.0,19316.4004,18850.0,18920.3008,18920.3008,9120.0
4142,2019-02-07,19171.0,19298.6992,19150.0996,19224.8008,19224.8008,8422.0
4141,2019-02-06,19160.0,19299.0,19041.8008,19248.1992,19248.1992,10117.0
4140,2019-02-05,19100.0,19219.9004,18950.3008,19056.4004,19056.4004,9772.0
4139,2019-02-04,19265.0,19494.0,18925.0,19048.0996,19048.0996,9148.0
4138,2019-02-01,18930.0,19396.0,18734.9004,19316.1992,19316.1992,14994.0
4137,2019-01-31,18600.0,18920.0,18430.0,18851.6992,18851.6992,21091.0
4136,2019-01-30,18449.0,18580.0,18194.8008,18454.0996,18454.0996,18985.0
4135,2019-01-29,18284.0,18284.1992,17922.8008,18171.9004,18171.9004,7895.0
4134,2019-01-28,18550.0,18550.0,17901.3008,18262.4004,18262.4004,13237.0
4133,2019-01-25,19085.0,19227.8008,18307.1992,18526.1992,18526.1992,19282.0
4132,2019-01-24,19093.0,19239.9004,18960.0996,19155.4004,19155.4004,9082.0
4131,2019-01-23,19208.3008,19277.9004,19020.0,19090.1992,19090.1992,5495.0
4130,2019-01-22,19095.0,19321.0,18990.0996,19208.3008,19208.3008,7505.0
4129,2019-01-21,19160.0,19274.4004,19014.5,19046.0,19046.0,5432.0
4128,2019-01-18,19234.0,19290.0,19019.5996,19210.4004,19210.4004,7530.0
4127,2019-01-17,19150.0,19230.0,18965.0,19150.5996,19150.5996,7450.0
4126,2019-01-16,19206.5,19299.9004,19051.0996,19089.4004,19089.4004,6336.0
4125,2019-01-15,19165.0,19290.0,19042.8008,19130.0996,19130.0996,8369.0
4124,2019-01-14,19470.0,19470.0,19029.8008,19116.0996,19116.0996,18658.0
4123,2019-01-11,19603.0996,19700.0,19450.0,19517.8008,19517.8008,11700.0
4122,2019-01-10,19440.0,19739.9004,19390.0,19704.0,19704.0,8856.0
4121,2019-01-09,19360.0,19574.5996,19270.0996,19476.3008,19476.3008,8981.0
4120,2019-01-08,19515.0,19544.9004,19250.3008,19300.5996,19300.5996,6385.0
4119,2019-01-07,19510.0,19590.0,19427.1992,19510.4004,19510.4004,8827.0
4118,2019-01-04,19300.0,19493.1992,19217.3008,19438.8008,19438.8008,6798.0
4117,2019-01-03,19510.0,19701.5996,19211.0996,19299.8008,19299.8008,18865.0
4116,2019-01-02,19515.0,19628.9004,19431.8008,19477.8008,19477.8008,10810.0
4115,2019-01-01,19689.6992,19720.0,19490.8008,19576.5,19576.5,4603.0
4114,2018-12-31,19666.0,19793.0,19560.6992,19611.1992,19611.1992,9793.0
4113,2018-12-28,19395.0,19678.0,19270.1992,19629.8008,19629.8008,8290.0
4112,2018-12-27,19598.5996,19739.1992,19251.4004,19409.1992,19409.1992,30265.0
4111,2018-12-26,19450.0,19640.0,19170.8008,19526.5996,19526.5996,10735.0
4110,2018-12-24,19860.0,19887.9004,19330.0996,19415.5,19415.5,14555.0
4109,2018-12-21,19690.0,19990.0,19483.1992,19898.1992,19898.1992,31018.0
4108,2018-12-20,19500.0,19762.0,19199.9004,19607.0996,19607.0996,60826.0
4107,2018-12-19,19984.0,20000.0,19590.0,19624.0,19624.0,56190.0
4106,2018-12-18,19663.0,19880.0,19503.0996,19861.5996,19861.5996,31179.0
4105,2018-12-17,19750.0,19833.0,19581.0,19661.9004,19661.9004,25278.0
4104,2018-12-14,19603.0,19763.0,19414.0996,19691.3008,19691.3008,19324.0
4103,2018-12-13,19270.0,19749.0,19250.0996,19621.0996,19621.0996,25703.0
4102,2018-12-12,19196.4004,19300.0,19034.0,19172.0996,19172.0996,27868.0
4101,2018-12-11,18449.9004,19226.8008,18425.0,19105.5996,19105.5996,72553.0
4100,2018-12-10,18400.0,18579.8008,18310.0,18483.8008,18483.8008,15029.0
4099,2018-12-07,18480.0,18584.0996,18400.0,18533.0996,18533.0996,11688.0
4098,2018-12-06,18370.0,18640.0,18300.0,18385.0996,18385.0996,23837.0
4097,2018-12-05,18518.9004,18860.0,18292.9004,18352.9004,18352.9004,49108.0
4096,2018-12-04,19209.9004,19274.5996,18462.0996,18513.8008,18513.8008,63880.0
4095,2018-12-03,19019.1992,19388.9004,19000.0,19204.0,19204.0,22537.0
4094,2018-11-30,18900.0,19043.1992,18650.0,18973.1992,18973.1992,31941.0
4093,2018-11-29,18749.0,18999.0,18687.1992,18782.6992,18782.6992,62651.0
4092,2018-11-28,18455.0,18728.9004,18444.9004,18687.1992,18687.1992,17806.0
4091,2018-11-27,18750.0,19057.0,18280.0,18347.6992,18347.6992,64225.0
4090,2018-11-26,19050.0,19125.0,18671.1992,18697.8008,18697.8008,29569.0
4089,2018-11-22,18755.0,19125.0,18755.0,19033.0996,19033.0996,16656.0
4088,2018-11-21,18650.0,19093.4004,18472.3008,18714.8008,18714.8008,32426.0
4087,2018-11-20,18790.0,18950.0,18505.0996,18595.3008,18595.3008,29951.0
4086,2018-11-19,19000.0,19396.3008,18680.0,18706.8008,18706.8008,48818.0
4085,2018-11-16,19365.0,19365.0,18551.0,18724.0996,18724.0996,45744.0
4084,2018-11-15,19280.0,19393.6992,19080.0,19220.9004,19220.9004,16236.0
4083,2018-11-14,19700.0,19868.0,19032.8008,19194.8008,19194.8008,27968.0
4082,2018-11-13,19610.0,19845.0,19501.5,19655.1992,19655.1992,8195.0
4081,2018-11-12,19919.0,19950.0,19510.0,19620.8008,19620.8008,13690.0
4080,2018-11-09,19550.0,19909.0996,19497.0996,19846.1992,19846.1992,14064.0
4079,2018-11-07,19435.0,19566.0,19406.8008,19482.1992,19482.1992,1555.0
4078,2018-11-06,19450.0,19621.1992,19277.0996,19376.8008,19376.8008,11241.0
4077,2018-11-05,19780.0,19945.0,19150.0,19408.3008,19408.3008,63766.0
