,Date,Open,High,Low,Close,Adj Close,Volume
580,2019-06-14,618.7,618.7,613.0,613.8,613.8,77640.0
579,2019-06-13,614.75,615.65,612.05,613.3,613.3,45270.0
578,2019-06-12,614.1,616.75,612.0,615.0,615.0,31824.0
577,2019-06-11,613.5,618.8,611.55,612.2,612.2,50130.0
576,2019-06-10,617.3,621.35,611.8,612.75,612.75,51722.0
575,2019-06-07,619.55,621.0,615.4,616.3,616.3,45176.0
574,2019-06-06,624.5,627.0,616.25,617.55,617.55,48280.0
573,2019-06-04,620.95,626.45,618.6,624.2,624.2,138602.0
572,2019-06-03,620.0,621.0,613.8,618.7,618.7,57841.0
571,2019-05-31,618.0,621.55,615.6,619.2,619.2,100251.0
570,2019-05-30,619.95,619.95,614.55,618.05,618.05,46808.0
569,2019-05-29,620.0,621.0,613.45,615.0,615.0,57895.0
568,2019-05-28,611.25,620.55,606.15,620.0,620.0,141227.0
567,2019-05-27,604.0,614.8,599.5,610.4,610.4,115805.0
566,2019-05-24,601.0,604.15,595.0,601.6,601.6,72133.0
565,2019-05-23,605.0,605.35,598.0,600.1,600.1,75011.0
564,2019-05-22,604.95,605.0,600.0,604.3,604.3,56944.0
563,2019-05-21,596.15,605.5,594.6,602.1,602.1,128887.0
562,2019-05-20,606.0,613.15,592.5,596.15,596.15,218016.0
561,2019-05-17,596.0,598.35,589.0,590.95,590.95,136719.0
560,2019-05-16,599.75,600.0,594.0,595.5,595.5,78775.0
559,2019-05-15,601.0,605.5,596.1,597.05,597.05,85183.0
558,2019-05-14,599.0,600.0,593.2,599.35,599.35,74676.0
557,2019-05-13,608.9,610.0,596.2,598.55,598.55,123968.0
556,2019-05-10,614.95,618.95,607.15,609.8,609.8,74466.0
555,2019-05-09,615.0,618.0,610.9,612.75,612.75,79069.0
554,2019-05-08,620.0,623.6,611.0,614.85,614.85,351828.0
553,2019-05-07,640.75,648.0,635.0,637.15,637.15,137417.0
552,2019-05-06,635.05,642.15,632.0,635.65,635.65,101581.0
551,2019-05-03,634.4,636.4,628.35,633.9,633.9,249339.0
550,2019-05-02,622.6,644.8,620.5,629.75,629.75,308264.0
549,2019-04-30,617.0,621.5,615.4,620.7,620.7,88718.0
548,2019-04-26,617.5,620.05,616.4,618.45,618.45,72182.0
547,2019-04-25,618.05,620.1,615.05,616.5,616.5,41414.0
546,2019-04-24,618.0,618.95,614.8,617.8,617.8,104531.0
