,Date,Open,High,Low,Close,Adj Close,Volume
1223,2019-06-14,437.5,445.0,421.95,424.4,424.4,35874.0
1222,2019-06-13,416.5,440.0,416.5,434.75,434.75,88529.0
1221,2019-06-12,421.0,423.4,414.1,416.35,416.35,12560.0
1220,2019-06-11,431.9,432.05,421.0,423.8,423.8,14972.0
1219,2019-06-10,440.5,440.5,425.0,430.8,430.8,25907.0
1218,2019-06-07,455.4,459.2,423.0,437.35,437.35,90174.0
1217,2019-06-06,447.5,466.9,445.05,454.6,454.6,180551.0
1216,2019-06-04,434.0,457.85,429.05,447.5,447.5,200019.0
1215,2019-06-03,409.0,439.8,404.5,430.8,430.8,161392.0
1214,2019-05-31,413.0,419.3,401.0,403.65,403.65,18683.0
1213,2019-05-30,420.0,420.0,411.9,413.4,413.4,10126.0
1212,2019-05-29,419.85,425.35,414.0,416.95,416.95,22321.0
1211,2019-05-28,430.0,440.0,418.1,419.85,419.85,43705.0
1210,2019-05-27,400.0,440.0,397.7,428.95,428.95,117763.0
1209,2019-05-24,382.0,405.0,381.25,397.7,397.7,60525.0
1208,2019-05-23,402.85,410.95,380.25,382.6,382.6,61181.0
1207,2019-05-22,367.45,419.9,358.65,397.65,397.65,404312.0
1206,2019-05-21,379.0,381.8,363.45,364.35,364.35,15605.0
1205,2019-05-20,365.0,384.65,360.3,372.9,372.9,31118.0
1204,2019-05-17,331.0,366.0,331.0,360.3,360.3,63816.0
1203,2019-05-16,0.0,0.0,0.0,0.0,0.0,0.0
1202,2019-05-15,0.0,0.0,0.0,0.0,0.0,0.0
1201,2019-05-14,0.0,0.0,0.0,0.0,0.0,0.0
1200,2019-05-13,0.0,0.0,0.0,0.0,0.0,0.0
1199,2019-05-10,0.0,0.0,0.0,0.0,0.0,0.0
1198,2019-05-09,0.0,0.0,0.0,0.0,0.0,0.0
1197,2019-05-08,0.0,0.0,0.0,0.0,0.0,0.0
1196,2019-05-07,0.0,0.0,0.0,0.0,0.0,0.0
