,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,346.0,349.8,343.45,346.1,346.1,19244.0
4223,2019-06-13,355.85,355.85,346.0,346.6,346.6,27749.0
4222,2019-06-12,360.0,362.5,353.85,354.95,354.95,38066.0
4221,2019-06-11,365.0,365.05,358.05,359.0,359.0,33525.0
4220,2019-06-10,365.0,374.15,360.0,368.95,368.95,305887.0
4219,2019-06-07,365.6,369.95,363.65,366.8,366.8,14261.0
4218,2019-06-06,370.5,374.45,366.1,366.95,366.95,335847.0
4217,2019-06-04,373.0,376.5,373.0,374.65,374.65,14144.0
4216,2019-06-03,375.0,381.0,373.55,376.5,376.5,22145.0
4215,2019-05-31,378.65,382.95,363.35,376.6,376.6,83159.0
4214,2019-05-30,375.2,377.45,374.05,376.05,376.05,61350.0
4213,2019-05-29,375.0,381.65,375.0,378.3,378.3,229640.0
4212,2019-05-28,378.95,384.9,370.55,378.95,378.95,884611.0
4211,2019-05-27,368.0,379.5,364.3,375.6,375.6,277497.0
4210,2019-05-24,354.0,366.15,354.0,365.4,365.4,114377.0
4209,2019-05-23,354.6,357.95,348.75,353.4,353.4,98180.0
4208,2019-05-22,356.2,359.95,351.2,353.95,353.95,24435.0
4207,2019-05-21,365.05,365.75,357.1,359.95,359.95,36724.0
4206,2019-05-20,357.5,371.5,357.5,370.05,370.05,59809.0
4205,2019-05-17,356.95,360.0,351.95,358.55,358.55,14921.0
4204,2019-05-16,360.7,362.7,346.5,359.35,359.35,96236.0
4203,2019-05-15,353.05,370.0,352.35,362.05,362.05,470114.0
4202,2019-05-14,352.15,359.0,345.0,352.9,352.9,39291.0
4201,2019-05-13,352.0,356.85,350.55,354.05,354.05,82213.0
4200,2019-05-10,354.05,355.95,353.3,354.05,354.05,6505.0
4199,2019-05-09,354.0,356.45,353.45,355.1,355.1,13111.0
4198,2019-05-08,361.0,361.0,352.85,354.7,354.7,60039.0
4197,2019-05-07,354.0,362.0,351.95,359.05,359.05,141307.0
4196,2019-05-06,353.0,355.0,350.0,354.8,354.8,27477.0
4195,2019-05-03,354.45,359.8,351.0,355.15,355.15,68802.0
4194,2019-05-02,361.1,361.1,350.65,358.45,358.45,107115.0
4193,2019-04-30,369.0,369.0,358.05,360.0,360.0,40363.0
4192,2019-04-26,368.7,377.9,364.0,370.35,370.35,136299.0
4191,2019-04-25,375.0,375.0,367.0,368.15,368.15,17116.0
4190,2019-04-24,373.05,375.5,371.0,372.85,372.85,11467.0
4189,2019-04-23,372.6,376.9,364.2,372.85,372.85,292525.0
4188,2019-04-22,370.25,373.75,369.0,372.6,372.6,24380.0
4187,2019-04-18,377.7,377.7,369.0,373.85,373.85,21773.0
4186,2019-04-16,378.0,379.55,372.55,373.75,373.75,13667.0
4185,2019-04-15,381.0,381.0,376.0,376.95,376.95,13878.0
4184,2019-04-12,381.25,381.25,376.75,379.25,379.25,90645.0
4183,2019-04-11,378.15,382.5,375.0,379.85,379.85,12622.0
4182,2019-04-10,382.05,382.35,375.25,380.0,380.0,160504.0
4181,2019-04-09,386.75,387.0,379.0,381.15,381.15,462338.0
4180,2019-04-08,387.95,396.0,382.35,388.2,388.2,42416.0
4179,2019-04-05,391.9,391.9,382.55,385.3,385.3,15072.0
4178,2019-04-04,397.8,397.8,386.5,389.2,389.2,32183.0
4177,2019-04-03,403.15,409.5,392.5,395.05,395.05,55474.0
4176,2019-04-02,410.0,412.4,401.5,406.05,406.05,30696.0
4175,2019-04-01,409.65,415.15,396.0,412.8,412.8,158881.0
4174,2019-03-28,386.0,391.9,380.75,388.45,388.45,84327.0
4173,2019-03-27,379.2,389.0,373.15,385.1,385.1,122359.0
4172,2019-03-26,379.0,381.3,367.65,379.25,379.25,552237.0
4171,2019-03-25,368.0,379.8,362.25,376.9,376.9,268737.0
4170,2019-03-22,365.0,371.65,361.1,369.0,369.0,114310.0
4169,2019-03-20,360.0,369.3,356.9,358.75,358.75,2092306.0
4168,2019-03-19,371.2,371.2,360.5,361.9,361.9,221089.0
4167,2019-03-18,382.05,383.25,368.0,369.05,369.05,23848.0
4166,2019-03-15,378.1,385.0,372.2,381.4,381.4,30880.0
4165,2019-03-14,382.5,387.0,376.55,377.2,377.2,16366.0
4164,2019-03-13,383.05,384.0,381.1,382.05,382.05,23529.0
4163,2019-03-12,391.0,392.8,383.4,388.2,388.2,140880.0
4162,2019-03-11,384.0,395.85,382.0,390.3,390.3,90684.0
4161,2019-03-08,381.9,386.8,376.0,383.8,383.8,46724.0
4160,2019-03-07,380.0,384.9,380.0,382.0,382.0,61882.0
4159,2019-03-06,389.0,389.0,381.15,382.1,382.1,25728.0
4158,2019-03-05,377.7,388.1,375.6,386.75,386.75,58363.0
4157,2019-03-01,369.9,391.0,367.25,380.85,380.85,106060.0
4156,2019-02-28,363.0,373.8,359.05,371.95,371.95,121467.0
4155,2019-02-27,352.0,365.0,345.0,359.55,359.55,150684.0
4154,2019-02-26,344.0,351.0,342.9,349.85,349.85,18248.0
4153,2019-02-25,344.75,348.0,343.3,345.65,345.65,11693.0
4152,2019-02-22,345.05,346.55,345.0,345.05,345.05,17407.0
4151,2019-02-21,345.05,347.15,344.0,345.7,345.7,17432.0
4150,2019-02-20,347.95,349.5,345.0,345.15,345.15,9344.0
4149,2019-02-19,349.0,349.4,348.0,348.0,348.0,9131.0
4148,2019-02-18,346.9,349.0,344.45,348.15,348.15,25171.0
4147,2019-02-15,348.0,348.45,345.0,346.15,346.15,9292.0
4146,2019-02-14,347.9,349.95,342.0,348.55,348.55,14438.0
4145,2019-02-12,343.05,345.05,338.0,340.8,340.8,51387.0
4144,2019-02-11,351.0,352.35,341.25,346.05,344.55,39149.0
4143,2019-02-08,351.8,355.5,346.0,354.45,352.9136,11815.0
4142,2019-02-07,338.45,351.9,334.2,350.5,348.9807,55733.0
4141,2019-02-06,343.5,343.5,336.3,338.2,336.734,28581.0
4140,2019-02-05,347.2,350.4,342.4,344.3,342.8076,19896.0
4139,2019-02-04,351.4,354.45,346.55,348.4,346.8898,21819.0
