,Date,Open,High,Low,Close,Adj Close,Volume
3719,2019-06-14,258.9,259.0,256.85,258.2,258.2,4073.0
3718,2019-06-13,259.7,260.0,255.35,257.15,257.15,142043.0
3717,2019-06-12,257.05,260.0,257.05,259.15,259.15,7516.0
3716,2019-06-11,258.85,260.3,258.0,258.35,258.35,23497.0
3715,2019-06-10,259.0,265.85,257.9,259.4,259.4,218841.0
3714,2019-06-07,259.0,262.35,258.7,260.5,260.5,12289.0
3713,2019-06-06,263.05,266.95,257.5,262.45,262.45,94177.0
3712,2019-06-04,259.9,266.15,259.9,265.05,265.05,37050.0
3711,2019-06-03,254.05,260.0,253.3,257.8,257.8,53919.0
3710,2019-05-31,265.1,265.25,255.5,257.1,257.1,16439.0
3709,2019-05-30,261.6,265.45,261.6,264.65,264.65,7849.0
3708,2019-05-29,266.95,270.7,263.65,264.5,264.5,20535.0
3707,2019-05-28,269.35,272.0,264.2,265.9,265.9,30005.0
3706,2019-05-27,270.0,273.65,268.1,268.6,268.6,22675.0
3705,2019-05-24,269.05,273.0,260.1,268.85,268.85,132555.0
3704,2019-05-23,273.7,273.7,262.05,268.45,268.45,20351.0
3703,2019-05-22,265.0,270.0,260.35,264.55,264.55,21186.0
3702,2019-05-21,259.7,266.0,249.6,264.5,264.5,202092.0
3701,2019-05-20,264.0,264.0,255.8,259.5,259.5,70456.0
3700,2019-05-17,257.95,258.7,255.0,256.65,256.65,31882.0
3699,2019-05-16,259.3,261.25,252.9,255.75,255.75,71415.0
3698,2019-05-15,259.0,263.2,256.65,259.4,259.4,35901.0
3697,2019-05-14,266.0,267.0,258.05,259.95,259.95,67477.0
3696,2019-05-13,272.65,272.65,269.6,270.05,270.05,36017.0
3695,2019-05-10,264.6,271.0,261.0,270.25,270.25,143446.0
3694,2019-05-09,263.0,266.95,257.9,264.6,264.6,190540.0
3693,2019-05-08,258.05,260.0,255.55,259.95,259.95,25724.0
3692,2019-05-07,255.2,260.0,255.0,258.45,258.45,19062.0
3691,2019-05-06,259.5,259.5,255.0,255.45,255.45,19440.0
3690,2019-05-03,257.3,259.9,257.3,258.45,258.45,17421.0
3689,2019-05-02,260.4,260.4,259.0,259.45,259.45,17815.0
3688,2019-04-30,259.45,260.0,257.35,258.9,258.9,39427.0
3687,2019-04-26,259.0,263.5,256.25,259.25,259.25,1334671.0
3686,2019-04-25,259.5,261.7,254.2,256.1,256.1,24340.0
3685,2019-04-24,263.65,264.25,258.25,259.7,259.7,85418.0
3684,2019-04-23,256.15,260.0,256.15,259.55,259.55,23937.0
3683,2019-04-22,268.0,268.0,256.75,257.65,257.65,41509.0
3682,2019-04-18,270.0,270.0,265.0,266.85,266.85,20611.0
3681,2019-04-16,273.75,273.75,268.0,270.0,270.0,37107.0
3680,2019-04-15,271.2,272.0,268.3,269.95,269.95,63214.0
3679,2019-04-12,275.0,275.0,269.8,271.2,271.2,178917.0
