,Date,Open,High,Low,Close,Adj Close,Volume
2801,2019-06-14,936.6,942.25,924.15,925.75,925.75,514203.0
2800,2019-06-13,959.0,959.25,920.6,931.9,931.9,1052999.0
2799,2019-06-12,978.0,982.55,955.0,958.25,958.25,504062.0
2798,2019-06-11,969.0,978.85,954.0,974.2,974.2,370261.0
2797,2019-06-10,983.9,983.9,958.2,961.5,961.5,594099.0
2796,2019-06-07,997.0,999.55,970.05,973.45,973.45,562910.0
2795,2019-06-06,1016.0,1022.8,987.65,991.1,991.1,688310.0
2794,2019-06-04,989.7,1017.5,985.6,1012.55,1012.55,916621.0
2793,2019-06-03,981.0,999.8,975.0,984.45,984.45,551735.0
2792,2019-05-31,1002.0,1019.55,973.0,979.8,979.8,776926.0
2791,2019-05-30,1005.0,1005.0,989.0,997.15,997.15,352014.0
2790,2019-05-29,1005.0,1017.6,989.0,1000.0,1000.0,442081.0
2789,2019-05-28,1028.9,1039.0,996.25,1000.5,1000.5,494939.0
2788,2019-05-27,1032.1,1054.5,1016.3,1019.4,1019.4,496700.0
2787,2019-05-24,991.5,1052.1,980.0,1040.1,1040.1,859883.0
2786,2019-05-23,1009.5,1021.0,978.0,982.75,982.75,608139.0
2785,2019-05-22,989.0,1000.9,972.1,993.55,993.55,431741.0
2784,2019-05-21,1007.0,1018.5,979.05,983.3,983.3,439245.0
2783,2019-05-20,970.0,1015.0,963.45,1008.25,1008.25,586288.0
2782,2019-05-17,949.7,964.9,939.0,950.35,950.35,555094.0
2781,2019-05-16,960.3,966.0,935.5,945.5,945.5,489503.0
2780,2019-05-15,992.0,1011.0,958.0,964.65,964.65,671201.0
2779,2019-05-14,985.0,999.0,962.0,987.15,987.15,517221.0
2778,2019-05-13,995.0,1000.0,985.0,986.6,986.6,497599.0
2777,2019-05-10,1020.0,1025.9,990.0,993.4,993.4,823746.0
2776,2019-05-09,1057.0,1057.0,1006.05,1016.85,1016.85,1189211.0
2775,2019-05-08,1026.0,1065.0,1026.0,1056.85,1056.85,2289447.0
2774,2019-05-07,1041.5,1053.9,1031.0,1037.2,1037.2,557280.0
2773,2019-05-06,1046.75,1054.25,1037.05,1041.5,1041.5,334704.0
2772,2019-05-03,1046.5,1061.5,1045.0,1053.25,1053.25,364167.0
2771,2019-05-02,1051.0,1057.7,1027.6,1052.6,1052.6,439871.0
2770,2019-04-30,1083.5,1087.3,1047.05,1054.0,1054.0,407824.0
2769,2019-04-26,1082.0,1087.45,1070.0,1082.0,1082.0,240655.0
2768,2019-04-25,1093.5,1096.5,1081.25,1088.6,1088.6,332595.0
2767,2019-04-24,1095.0,1099.0,1081.0,1089.45,1089.45,320292.0
2766,2019-04-23,1085.8,1098.0,1071.2,1089.0,1089.0,451484.0
2765,2019-04-22,1106.0,1107.0,1081.0,1090.25,1090.25,357601.0
2764,2019-04-18,1127.0,1133.0,1101.0,1113.55,1113.55,333560.0
2763,2019-04-16,1126.0,1127.75,1114.1,1123.95,1123.95,295330.0
2762,2019-04-15,1113.9,1136.0,1109.55,1120.75,1120.75,578416.0
2761,2019-04-12,1094.95,1118.1,1094.95,1109.4,1109.4,641927.0
2760,2019-04-11,1092.3,1098.0,1073.0,1091.2,1091.2,700260.0
2759,2019-04-10,1092.0,1108.95,1086.6,1098.6,1098.6,354096.0
2758,2019-04-09,1097.15,1102.2,1075.0,1093.65,1093.65,613392.0
2757,2019-04-08,1127.0,1133.6,1095.0,1105.15,1105.15,385364.0
2756,2019-04-05,1118.75,1130.0,1096.25,1124.45,1124.45,403382.0
2755,2019-04-04,1100.0,1118.45,1100.0,1111.85,1111.85,382596.0
2754,2019-04-03,1126.0,1131.3,1091.0,1100.55,1100.55,503960.0
2753,2019-04-02,1140.05,1145.75,1125.25,1130.55,1130.55,357966.0
2752,2019-04-01,1132.7,1153.4,1122.2,1140.05,1140.05,509579.0
2751,2019-03-28,1078.8,1100.0,1070.05,1090.3,1090.3,432436.0
