,Date,Open,High,Low,Close,Adj Close,Volume
3265,2019-06-14,166.5,167.3,162.8,163.7,163.7,34048.0
3264,2019-06-13,164.0,167.9,161.0,166.05,166.05,83388.0
3263,2019-06-12,163.1,163.9,162.15,163.05,163.05,83003.0
3262,2019-06-11,165.0,165.0,161.15,163.1,163.1,107288.0
3261,2019-06-10,167.75,169.5,163.6,164.6,164.6,63510.0
3260,2019-06-07,167.1,168.9,164.7,167.25,167.25,90377.0
3259,2019-06-06,172.3,173.2,167.3,168.55,168.55,75818.0
3258,2019-06-04,175.0,175.0,171.15,172.3,172.3,75342.0
3257,2019-06-03,172.0,174.75,172.0,173.75,173.75,96755.0
3256,2019-05-31,173.7,174.5,169.55,170.85,170.85,129728.0
3255,2019-05-30,168.4,174.85,168.0,171.6,171.6,128067.0
3254,2019-05-29,174.4,175.0,169.55,170.3,170.3,163932.0
3253,2019-05-28,166.3,176.0,164.0,173.25,173.25,511668.0
3252,2019-05-27,170.0,171.0,165.0,166.15,166.15,300832.0
3251,2019-05-24,162.7,170.1,161.55,169.7,169.7,182022.0
3250,2019-05-23,169.9,172.5,160.1,161.05,161.05,328925.0
3249,2019-05-22,169.0,170.55,164.25,165.9,165.9,64908.0
3248,2019-05-21,171.0,171.95,167.0,168.8,168.8,93344.0
3247,2019-05-20,171.0,172.1,167.0,170.7,170.7,245024.0
3246,2019-05-17,163.1,165.0,162.5,163.05,163.05,63255.0
3245,2019-05-16,163.25,168.75,162.05,164.65,164.65,106079.0
3244,2019-05-15,165.0,167.8,162.95,163.9,163.9,74893.0
3243,2019-05-14,162.85,168.0,159.0,163.85,163.85,66616.0
3242,2019-05-13,162.6,163.9,160.1,162.85,162.85,86953.0
3241,2019-05-10,163.0,164.9,160.0,160.5,160.5,249043.0
3240,2019-05-09,161.0,161.6,158.0,160.5,160.5,86821.0
3239,2019-05-08,161.7,164.0,160.9,161.3,161.3,100234.0
3238,2019-05-07,169.2,171.6,160.4,163.15,163.15,197259.0
3237,2019-05-06,167.0,171.0,165.0,168.95,168.95,182916.0
3236,2019-05-03,162.55,173.2,162.55,168.75,168.75,327125.0
3235,2019-05-02,173.9,176.5,164.35,164.9,164.9,213760.0
3234,2019-04-30,179.0,179.15,172.9,173.35,173.35,169323.0
3233,2019-04-26,182.0,182.0,178.05,179.15,179.15,41457.0
3232,2019-04-25,182.0,183.2,180.65,181.4,181.4,73769.0
3231,2019-04-24,182.25,183.0,178.05,182.05,182.05,71985.0
3230,2019-04-23,183.0,184.95,179.75,180.45,180.45,127420.0
3229,2019-04-22,188.0,188.0,180.9,182.6,182.6,112710.0
3228,2019-04-18,188.5,190.95,184.25,185.7,185.7,74554.0
3227,2019-04-16,190.0,191.9,188.0,189.0,189.0,93570.0
3226,2019-04-15,187.1,190.95,187.1,188.9,188.9,149836.0
3225,2019-04-12,188.25,190.3,185.55,187.55,187.55,303348.0
3224,2019-04-11,193.5,194.75,187.65,188.25,188.25,283385.0
3223,2019-04-10,198.0,198.9,193.5,194.5,194.5,517037.0
3222,2019-04-09,207.0,207.0,201.5,203.1,203.1,252455.0
3221,2019-04-08,212.0,222.4,201.5,204.05,204.05,865021.0
3220,2019-04-05,205.0,215.2,204.8,213.45,213.45,154935.0
3219,2019-04-04,210.4,210.4,202.1,205.65,205.65,101432.0
3218,2019-04-03,218.9,219.0,206.4,209.75,209.75,81164.0
3217,2019-04-02,217.9,221.0,216.0,217.8,217.8,167231.0
3216,2019-04-01,212.0,220.0,209.3,216.8,216.8,230675.0
3215,2019-03-28,200.4,203.7,198.35,201.55,201.55,138967.0
3214,2019-03-27,197.0,202.0,196.8,200.4,200.4,155352.0
3213,2019-03-26,196.0,200.35,196.0,198.65,198.65,126713.0
3212,2019-03-25,198.0,199.7,194.05,195.8,195.8,110363.0
3211,2019-03-22,202.45,206.2,198.65,200.65,200.65,278384.0
3210,2019-03-20,204.1,204.1,198.7,200.65,200.65,132784.0
3209,2019-03-19,199.0,206.0,196.65,203.9,203.9,315231.0
3208,2019-03-18,194.2,201.95,185.95,199.45,199.45,181690.0
3207,2019-03-15,192.0,197.5,192.0,193.25,193.25,179366.0
3206,2019-03-14,195.0,195.85,189.8,191.85,191.85,82331.0
3205,2019-03-13,197.7,197.75,192.85,194.8,194.8,148571.0
3204,2019-03-12,196.0,199.1,193.1,196.0,196.0,215716.0
3203,2019-03-11,188.95,194.0,188.65,193.3,193.3,187737.0
3202,2019-03-08,187.5,188.85,184.55,187.7,187.7,119738.0
3201,2019-03-07,188.95,188.95,184.1,187.5,187.5,106625.0
3200,2019-03-06,187.0,190.0,185.25,187.35,187.35,155895.0
3199,2019-03-05,181.0,186.9,180.5,185.65,185.65,276007.0
3198,2019-03-01,167.0,183.0,167.0,181.55,181.55,916459.0
3197,2019-02-28,165.0,168.5,164.1,167.35,167.35,82837.0
3196,2019-02-27,162.2,169.0,162.1,163.45,163.45,133163.0
3195,2019-02-26,165.15,165.2,161.1,161.6,161.6,125604.0
3194,2019-02-25,163.0,167.35,161.55,165.8,165.8,111887.0
3193,2019-02-22,161.05,164.7,161.05,162.2,162.2,79293.0
3192,2019-02-21,161.95,163.0,158.15,159.85,159.85,70181.0
3191,2019-02-20,160.65,161.95,160.05,160.55,160.55,31322.0
3190,2019-02-19,162.1,164.3,160.0,160.65,160.65,65333.0
3189,2019-02-18,163.0,164.75,160.0,160.7,160.7,47050.0
3188,2019-02-15,163.45,163.95,160.85,162.15,162.15,55563.0
3187,2019-02-14,161.1,166.45,161.1,162.5,162.5,75436.0
3186,2019-02-12,166.0,168.35,164.05,164.65,164.65,73748.0
3185,2019-02-11,169.1,171.95,165.05,166.5,166.5,76178.0
3184,2019-02-08,171.0,174.9,169.05,170.65,170.65,159313.0
3183,2019-02-07,162.75,170.95,161.75,169.6,169.6,144819.0
3182,2019-02-06,162.55,169.0,162.1,162.75,162.75,86194.0
3181,2019-02-05,162.95,170.75,156.85,162.15,162.15,375441.0
3180,2019-02-04,165.1,165.75,161.0,162.15,162.15,63414.0
3179,2019-02-01,163.45,169.5,163.4,167.45,167.45,93493.0
3178,2019-01-31,163.5,164.8,162.0,162.45,162.45,71589.0
3177,2019-01-30,165.55,166.9,162.15,164.3,164.3,47704.0
3176,2019-01-29,163.95,167.95,161.1,165.5,165.5,83612.0
3175,2019-01-28,165.15,167.55,159.0,164.25,164.25,72339.0
3174,2019-01-25,167.95,170.45,165.0,166.15,166.15,109964.0
3173,2019-01-24,170.0,171.85,167.05,167.95,167.95,81070.0
3172,2019-01-23,170.75,173.0,169.35,170.7,170.7,91892.0
3171,2019-01-22,174.0,174.5,170.0,170.75,170.75,67358.0
3170,2019-01-21,179.15,179.9,172.6,173.65,173.65,73251.0
3169,2019-01-18,183.15,184.75,178.05,179.15,179.15,65676.0
3168,2019-01-17,182.8,185.5,181.5,184.8,184.8,146986.0
3167,2019-01-16,181.0,184.4,179.6,182.9,182.9,216982.0
3166,2019-01-15,183.1,183.1,178.55,180.15,180.15,105751.0
3165,2019-01-14,184.0,188.9,181.55,182.95,182.95,177716.0
3164,2019-01-11,184.9,186.55,180.45,185.0,185.0,377173.0
3163,2019-01-10,176.25,185.65,174.0,184.55,184.55,503189.0
3162,2019-01-09,174.6,176.7,173.35,175.1,175.1,1087901.0
3161,2019-01-08,171.2,176.75,170.5,173.55,173.55,1265249.0
3160,2019-01-07,172.9,173.75,172.0,172.75,172.75,91297.0
3159,2019-01-04,172.0,174.95,169.0,171.3,171.3,221693.0
3158,2019-01-03,175.0,176.3,171.0,171.65,171.65,80818.0
3157,2019-01-02,175.6,178.0,174.0,174.9,174.9,345481.0
3156,2019-01-01,175.75,178.75,175.45,176.45,176.45,138994.0
3155,2018-12-31,177.65,180.5,176.1,177.85,177.85,489464.0
3154,2018-12-28,174.3,178.4,173.4,177.0,177.0,275271.0
3153,2018-12-27,172.6,175.2,170.65,173.75,173.75,402359.0
3152,2018-12-26,173.1,173.95,170.0,171.7,171.7,165729.0
3151,2018-12-24,176.0,178.35,173.75,174.3,174.3,181509.0
3150,2018-12-21,181.8,184.45,177.45,178.6,178.6,131664.0
3149,2018-12-20,184.0,186.5,181.7,183.25,183.25,219926.0
3148,2018-12-19,181.0,186.0,181.0,184.8,184.8,389888.0
3147,2018-12-18,181.45,183.9,174.75,177.6,177.6,287362.0
3146,2018-12-17,185.55,187.4,182.25,183.4,183.4,52445.0
3145,2018-12-14,187.0,188.75,184.05,185.55,185.55,134536.0
3144,2018-12-13,189.7,190.55,182.4,184.2,184.2,103136.0
3143,2018-12-12,184.15,189.3,184.15,188.3,188.3,475812.0
3142,2018-12-11,175.1,185.45,175.1,184.15,184.15,188745.0
3141,2018-12-10,175.0,181.5,174.0,180.45,180.45,242792.0
3140,2018-12-07,180.0,189.3,180.0,183.0,183.0,1073712.0
3139,2018-12-06,176.35,182.0,172.5,179.75,179.75,235317.0
3138,2018-12-05,177.0,184.45,176.05,177.6,177.6,363303.0
3137,2018-12-04,175.0,179.55,174.15,178.05,178.05,158835.0
3136,2018-12-03,174.15,177.8,169.4,176.6,176.6,145458.0
3135,2018-11-30,180.0,180.0,172.5,174.35,174.35,130013.0
3134,2018-11-29,172.5,178.0,172.5,177.45,177.45,172842.0
3133,2018-11-28,169.0,173.8,168.55,173.35,173.35,186818.0
3132,2018-11-27,169.6,171.8,168.85,170.0,170.0,315883.0
3131,2018-11-26,166.65,169.9,166.0,169.2,169.2,245595.0
3130,2018-11-22,165.0,170.75,164.1,168.35,168.35,534226.0
3129,2018-11-21,163.6,165.35,162.6,164.1,164.1,73967.0
3128,2018-11-20,164.1,166.95,162.15,163.85,163.85,96763.0
3127,2018-11-19,166.15,166.9,163.1,165.75,165.75,107060.0
3126,2018-11-16,165.55,169.2,165.55,166.6,166.6,111753.0
3125,2018-11-15,166.95,168.8,165.0,167.1,167.1,103709.0
3124,2018-11-14,172.25,173.75,166.55,166.95,166.95,229562.0
3123,2018-11-13,171.8,172.75,170.0,171.7,171.7,131481.0
3122,2018-11-12,178.9,178.95,171.1,172.3,172.3,150205.0
3121,2018-11-09,173.55,183.65,173.0,177.0,177.0,673431.0
3120,2018-11-07,173.0,175.0,172.0,174.3,174.3,30074.0
3119,2018-11-06,175.0,176.05,170.0,171.45,171.45,151571.0
3118,2018-11-05,179.95,182.65,170.1,174.7,174.7,602246.0
3117,2018-11-02,180.4,184.9,178.0,179.25,179.25,289827.0
3116,2018-11-01,175.2,182.15,175.2,178.6,178.6,176616.0
3115,2018-10-31,172.0,176.4,171.25,175.05,175.05,133150.0
3114,2018-10-30,169.65,175.95,169.0,173.85,173.85,160755.0
3113,2018-10-29,167.55,173.0,167.55,171.55,171.55,147516.0
3112,2018-10-26,168.8,174.7,166.1,169.2,169.2,158893.0
3111,2018-10-25,167.5,171.2,164.6,169.9,169.9,169457.0
3110,2018-10-24,168.0,171.8,165.1,169.95,169.95,205653.0
3109,2018-10-23,168.0,171.7,166.0,166.7,166.7,282333.0
3108,2018-10-22,190.1,190.45,167.0,172.25,172.25,472604.0
3107,2018-10-19,186.7,190.85,181.6,189.05,189.05,225112.0
3106,2018-10-17,212.0,214.1,185.0,187.1,187.1,1258306.0
3105,2018-10-16,179.0,211.7,178.45,206.05,206.05,1809002.0
3104,2018-10-15,182.0,185.05,175.0,177.9,177.9,110613.0
3103,2018-10-12,170.05,178.5,170.05,176.4,176.4,217337.0
3102,2018-10-11,160.0,174.0,158.0,169.35,169.35,159325.0
3101,2018-10-10,159.25,174.55,158.65,169.3,169.3,225246.0
3100,2018-10-09,157.0,162.15,155.35,159.35,159.35,332546.0
3099,2018-10-08,158.8,167.7,154.2,159.65,159.65,319610.0
3098,2018-10-05,172.35,172.7,150.0,161.7,161.7,428445.0
3097,2018-10-04,176.0,177.25,171.0,172.75,172.75,194847.0
3096,2018-10-03,175.55,183.0,175.05,178.1,178.1,114800.0
