,Date,Open,High,Low,Close,Adj Close,Volume
2863,2019-06-14,3030.0,3040.0,2994.05,3009.55,3009.55,1313.0
2862,2019-06-13,2974.1001,3040.0,2950.05,3025.55,3025.55,2393.0
2861,2019-06-12,3039.0,3039.8501,2958.1001,2969.45,2969.45,5374.0
2860,2019-06-11,3035.2,3055.0,3003.0,3043.6499,3043.6499,4680.0
2859,2019-06-10,2960.0,3049.7,2960.0,3035.2,3035.2,7053.0
2858,2019-06-07,3018.0,3018.0,2944.95,2961.3501,2961.3501,3370.0
2857,2019-06-06,2942.7,3009.95,2940.3,2983.1001,2983.1001,6551.0
2856,2019-06-04,3000.0,3000.0,2915.55,2942.7,2942.7,5687.0
2855,2019-06-03,3043.3501,3043.3501,2970.3501,2990.2,2990.2,6837.0
2854,2019-05-31,3001.95,3043.3501,2963.3,3006.6499,3006.6499,3769.0
2853,2019-05-30,3002.05,3024.05,2972.8501,3002.05,3002.05,26620.0
2852,2019-05-29,3054.0,3054.0,2956.2,3002.0,3002.0,5922.0
2851,2019-05-28,2995.1499,3060.3501,2952.05,3054.75,3054.75,14758.0
2850,2019-05-27,2900.0,3046.45,2880.05,2995.1499,2995.1499,19511.0
2849,2019-05-24,2800.0,2920.0,2800.0,2900.05,2900.05,39050.0
2848,2019-05-23,2930.0,2951.0,2800.0,2818.8,2818.8,38912.0
2847,2019-05-22,2948.95,2948.95,2850.0,2918.7,2918.7,8037.0
2846,2019-05-21,2938.8999,2938.8999,2882.1001,2920.25,2920.25,1705.0
2845,2019-05-20,2978.0,2978.0,2872.0,2938.8999,2938.8999,8074.0
2844,2019-05-17,2879.5,2925.05,2850.0,2869.1001,2869.1001,2754.0
2843,2019-05-16,2816.0,2875.0,2816.0,2864.05,2864.05,3557.0
2842,2019-05-15,2858.0,2868.0,2830.1499,2849.8,2849.8,10465.0
2841,2019-05-14,2769.95,2885.0,2710.0,2839.8,2839.8,44519.0
2840,2019-05-13,2703.0,2810.0,2669.25,2771.5,2771.5,2601.0
2839,2019-05-10,2764.7,2764.7,2700.0,2723.6001,2723.6001,3511.0
2838,2019-05-09,2744.05,2777.3501,2701.3,2752.8,2752.8,1926.0
2837,2019-05-08,2769.1499,2807.95,2736.0,2763.8501,2763.8501,2361.0
2836,2019-05-07,2814.0,2817.6001,2753.8501,2766.2,2766.2,1034.0
2835,2019-05-06,2790.6499,2825.05,2760.0,2813.8999,2813.8999,3842.0
2834,2019-05-03,2782.7,2828.0,2760.2,2819.3,2819.3,2016.0
2833,2019-05-02,2829.0,2837.1001,2750.0,2764.7,2764.7,2535.0
2832,2019-04-30,2850.0,2850.05,2780.0,2799.95,2799.95,3532.0
2831,2019-04-26,2850.05,2867.0,2815.1499,2842.3501,2842.3501,2896.0
2830,2019-04-25,2850.1001,2855.0,2813.1001,2848.1499,2848.1499,3713.0
2829,2019-04-24,2828.0,2878.45,2826.0,2859.25,2859.25,2002.0
2828,2019-04-23,2774.45,2899.05,2766.95,2847.3999,2847.3999,3145.0
2827,2019-04-22,2819.8999,2830.0,2779.55,2822.55,2822.55,3209.0
2826,2019-04-18,2780.0,2821.0,2780.0,2799.75,2799.75,3003.0
2825,2019-04-16,2819.95,2835.0,2775.1499,2809.1001,2809.1001,1898.0
2824,2019-04-15,2780.05,2852.0,2760.0,2808.2,2808.2,4425.0
