,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,31.8,31.9,30.3,30.5,30.5,5352644.0
4223,2019-06-13,31.2,32.15,30.8,31.8,31.8,6625989.0
4222,2019-06-12,32.65,33.1,31.2,31.6,31.6,7013309.0
4221,2019-06-11,32.45,32.95,31.05,32.65,32.65,10949631.0
4220,2019-06-10,32.85,33.5,31.25,32.35,32.35,5940283.0
4219,2019-06-07,34.2,34.95,32.0,32.55,32.55,7036664.0
4218,2019-06-06,35.55,35.9,33.0,34.3,34.3,9333003.0
4217,2019-06-04,36.2,36.6,35.1,35.5,35.5,5627718.0
4216,2019-06-03,35.65,36.0,34.65,35.8,35.8,4327311.0
4215,2019-05-31,36.45,36.7,34.7,35.45,35.45,5540056.0
4214,2019-05-30,36.8,37.05,35.35,36.35,36.35,6839565.0
4213,2019-05-29,38.0,38.1,36.45,36.7,36.7,7182009.0
4212,2019-05-28,38.35,39.25,37.9,38.15,38.15,6667562.0
4211,2019-05-27,39.25,39.7,37.7,38.05,38.05,6220253.0
4210,2019-05-24,38.3,39.5,37.65,39.2,39.2,5155530.0
4209,2019-05-23,39.4,39.9,37.85,38.15,38.15,6426117.0
4208,2019-05-22,38.3,39.4,37.1,38.9,38.9,7432002.0
4207,2019-05-21,39.0,39.05,37.4,37.9,37.9,5208837.0
4206,2019-05-20,36.55,39.2,36.45,38.85,38.85,10168008.0
4205,2019-05-17,35.75,36.4,35.0,35.6,35.6,5466626.0
4204,2019-05-16,35.85,37.0,34.75,35.6,35.6,5858127.0
4203,2019-05-15,37.15,37.5,35.2,35.45,35.45,6669587.0
4202,2019-05-14,35.2,37.95,34.65,37.05,37.05,11977059.0
4201,2019-05-13,37.3,37.7,34.8,35.2,35.2,7407413.0
4200,2019-05-10,37.0,38.35,36.6,37.25,37.25,10977331.0
4199,2019-05-09,38.9,39.4,36.4,37.0,37.0,16821849.0
4198,2019-05-08,35.8,41.6,35.25,39.2,39.2,44815870.0
4197,2019-05-07,36.0,38.45,34.0,36.85,36.85,46975730.0
4196,2019-05-06,36.25,38.0,35.95,37.7,37.7,7401078.0
4195,2019-05-03,36.45,38.1,36.2,36.9,36.9,12589503.0
4194,2019-05-02,37.5,38.0,36.45,36.6,36.6,5647665.0
4193,2019-04-30,39.0,39.2,37.25,37.6,37.6,5793876.0
4192,2019-04-26,39.75,41.3,38.9,39.25,39.25,21783367.0
4191,2019-04-25,37.75,39.6,37.45,39.25,39.25,20295184.0
4190,2019-04-24,34.95,38.15,34.85,37.55,37.55,18288647.0
4189,2019-04-23,34.45,35.75,33.3,35.0,35.0,19917331.0
4188,2019-04-22,36.5,36.5,34.15,34.35,34.35,6690640.0
4187,2019-04-18,38.55,38.9,36.5,36.9,36.9,9521953.0
4186,2019-04-16,38.95,39.3,38.1,38.65,38.65,6497648.0
4185,2019-04-15,39.15,39.5,38.65,38.75,38.75,7518495.0
4184,2019-04-12,40.05,40.4,38.75,39.05,39.05,12885333.0
4183,2019-04-11,38.55,40.15,37.4,39.85,39.85,11516454.0
4182,2019-04-10,39.0,39.45,38.4,38.5,38.5,4333592.0
4181,2019-04-09,38.9,39.5,38.05,39.2,39.2,5036134.0
4180,2019-04-08,38.65,40.0,38.4,38.7,38.7,8099152.0
4179,2019-04-05,39.8,40.0,38.5,38.65,38.65,6112729.0
4178,2019-04-04,40.5,40.95,39.3,39.6,39.6,7646415.0
4177,2019-04-03,41.05,41.5,39.75,40.15,40.15,7530077.0
4176,2019-04-02,40.5,42.45,40.2,40.8,40.8,10698157.0
4175,2019-04-01,42.95,43.45,40.4,40.75,40.75,9284182.0
4174,2019-03-28,42.7,44.1,42.35,43.4,43.4,7817114.0
4173,2019-03-27,44.3,44.3,42.55,42.75,42.75,6728741.0
4172,2019-03-26,44.2,44.8,43.6,43.8,43.8,6221101.0
4171,2019-03-25,43.5,45.0,43.15,44.15,44.15,11635581.0
4170,2019-03-22,45.6,46.25,44.1,44.4,44.4,11465776.0
4169,2019-03-20,46.9,47.35,45.1,45.45,45.45,19398656.0
4168,2019-03-19,45.25,47.2,44.75,46.65,46.65,26915355.0
4167,2019-03-18,44.0,45.1,43.55,44.65,44.65,15700336.0
4166,2019-03-15,42.1,45.2,41.8,43.95,43.95,37210991.0
4165,2019-03-14,41.5,42.9,40.7,42.15,42.15,18824270.0
4164,2019-03-13,42.1,43.1,40.5,41.8,41.8,33725879.0
4163,2019-03-12,39.5,43.4,37.4,42.65,42.65,59668149.0
4162,2019-03-11,34.9,39.45,34.25,38.65,38.65,45621214.0
4161,2019-03-08,36.3,36.9,35.75,36.2,36.2,7241162.0
