,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,174.55,174.6,167.1,169.35,169.35,158115.0
4223,2019-06-13,180.7,180.7,174.0,175.2,175.2,177531.0
4222,2019-06-12,186.7,187.5,180.0,180.95,180.95,187361.0
4221,2019-06-11,189.1,191.45,186.0,187.0,187.0,214827.0
4220,2019-06-10,193.1,195.0,186.0,188.75,188.75,472182.0
4219,2019-06-07,186.3,194.0,183.2,191.15,191.15,898278.0
4218,2019-06-06,179.5,185.0,177.0,184.0,184.0,307075.0
4217,2019-06-04,180.4,185.7,179.0,180.5,180.5,236831.0
4216,2019-06-03,191.2,191.2,181.05,181.95,181.95,211794.0
4215,2019-05-31,188.8,191.85,186.0,189.4,189.4,392299.0
4214,2019-05-30,186.9,189.7,182.5,188.3,188.3,321239.0
4213,2019-05-29,186.2,192.4,185.05,186.65,186.65,1152816.0
4212,2019-05-28,173.4,187.5,172.0,182.95,182.95,794959.0
4211,2019-05-27,170.5,174.9,167.55,173.3,173.3,361323.0
4210,2019-05-24,164.1,171.6,163.05,170.15,170.15,535688.0
4209,2019-05-23,166.05,168.0,160.2,162.6,162.6,350420.0
4208,2019-05-22,161.8,165.8,158.5,165.2,165.2,231647.0
4207,2019-05-21,167.15,167.25,159.8,161.3,161.3,186639.0
4206,2019-05-20,163.1,173.65,163.1,168.15,168.15,697638.0
4205,2019-05-17,142.75,164.25,140.25,162.55,162.55,3429415.0
4204,2019-05-16,138.95,147.4,138.8,142.75,142.75,1243208.0
4203,2019-05-15,140.4,141.45,138.0,138.95,138.95,88156.0
4202,2019-05-14,136.25,140.4,136.25,138.8,138.8,104140.0
4201,2019-05-13,141.85,143.0,136.4,137.6,137.6,120905.0
4200,2019-05-10,141.5,143.9,139.35,141.85,141.85,194498.0
4199,2019-05-09,144.15,144.85,141.0,142.1,142.1,89628.0
4198,2019-05-08,152.0,152.0,142.35,144.4,144.4,158688.0
4197,2019-05-07,152.05,153.6,148.55,149.7,149.7,213689.0
4196,2019-05-06,153.45,156.1,151.0,151.15,151.15,85521.0
4195,2019-05-03,155.0,156.4,154.05,155.0,155.0,31186.0
4194,2019-05-02,154.9,158.85,151.25,154.95,154.95,110670.0
4193,2019-04-30,158.3,159.3,154.5,155.2,155.2,77936.0
4192,2019-04-26,160.0,161.15,158.2,159.0,159.0,397177.0
4191,2019-04-25,160.1,162.1,159.05,159.5,159.5,394884.0
4190,2019-04-24,161.0,163.85,159.0,159.45,159.45,81423.0
4189,2019-04-23,163.0,163.85,159.4,160.2,160.2,64891.0
4188,2019-04-22,163.65,164.95,162.0,162.25,162.25,57475.0
4187,2019-04-18,167.15,167.95,165.0,166.15,166.15,1193546.0
4186,2019-04-16,170.0,171.2,167.55,168.65,168.65,160033.0
4185,2019-04-15,168.05,173.25,166.85,170.25,170.25,317553.0
4184,2019-04-12,168.5,168.6,165.1,165.7,165.7,568569.0
4183,2019-04-11,168.0,171.85,166.0,169.0,169.0,417462.0
4182,2019-04-10,162.55,166.45,162.0,165.05,165.05,303823.0
4181,2019-04-09,162.9,163.55,161.9,162.7,162.7,191353.0
4180,2019-04-08,163.1,164.65,162.0,162.9,162.9,216780.0
4179,2019-04-05,166.0,168.35,162.0,162.5,162.5,132448.0
4178,2019-04-04,165.7,167.0,162.95,165.9,165.9,216747.0
4177,2019-04-03,164.95,167.0,161.55,165.15,165.15,362021.0
4176,2019-04-02,166.25,166.65,162.8,163.5,163.5,150044.0
4175,2019-04-01,168.0,169.0,165.15,166.2,166.2,92601.0
4174,2019-03-28,172.0,174.0,168.25,169.3,169.3,194691.0
4173,2019-03-27,166.0,171.8,164.15,170.25,170.25,390349.0
4172,2019-03-26,161.85,165.45,160.5,164.75,164.75,210776.0
4171,2019-03-25,158.4,160.75,156.45,160.0,160.0,129354.0
