,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,213.7,214.25,208.55,210.05,210.05,325114.0
4223,2019-06-13,217.9,219.45,212.5,214.6,214.6,453457.0
4222,2019-06-12,212.5,217.65,210.3,216.7,216.7,401138.0
4221,2019-06-11,214.0,215.85,205.0,211.45,211.45,1223222.0
4220,2019-06-10,215.6,217.45,212.2,214.25,214.25,328168.0
4219,2019-06-07,213.0,221.0,210.15,217.05,217.05,415977.0
4218,2019-06-06,220.0,221.4,214.05,215.45,215.45,226781.0
4217,2019-06-04,224.2,227.4,218.05,219.05,219.05,344210.0
4216,2019-06-03,224.4,227.5,220.0,223.25,223.25,544718.0
4215,2019-05-31,222.45,227.8,217.7,220.85,220.85,445137.0
4214,2019-05-30,226.75,226.75,216.6,220.3,220.3,648439.0
4213,2019-05-29,230.9,230.9,224.7,225.6,225.6,207073.0
4212,2019-05-28,225.55,234.75,224.4,231.2,231.2,717172.0
4211,2019-05-27,218.5,225.0,217.0,223.4,223.4,586912.0
4210,2019-05-24,213.3,219.0,208.35,217.95,217.95,795429.0
4209,2019-05-23,211.25,216.0,208.05,208.95,208.95,396284.0
4208,2019-05-22,206.5,212.75,206.5,210.15,210.15,365263.0
4207,2019-05-21,214.4,216.15,206.05,207.0,207.0,363779.0
4206,2019-05-20,217.5,219.75,210.5,213.35,213.35,1472322.0
4205,2019-05-17,211.0,214.75,205.8,213.45,213.45,842233.0
4204,2019-05-16,210.25,212.85,204.65,210.3,210.3,607174.0
4203,2019-05-15,218.8,221.6,208.2,209.2,209.2,550960.0
4202,2019-05-14,220.6,220.6,212.3,217.7,217.7,548698.0
4201,2019-05-13,229.55,231.9,219.0,220.9,220.9,462763.0
4200,2019-05-10,236.0,237.9,229.1,230.7,230.7,435186.0
4199,2019-05-09,241.0,243.5,230.6,235.2,235.2,946343.0
4198,2019-05-08,245.0,254.05,241.0,242.6,242.6,1286577.0
4197,2019-05-07,251.6,256.0,240.2,246.85,246.85,1154376.0
4196,2019-05-06,250.0,256.4,248.25,253.5,253.5,233728.0
4195,2019-05-03,258.0,259.2,249.8,252.6,252.6,337858.0
4194,2019-05-02,253.0,257.55,249.35,254.8,254.8,252344.0
4193,2019-04-30,259.45,259.65,247.4,253.55,253.55,326786.0
4192,2019-04-26,258.5,260.9,255.0,256.3,256.3,202350.0
4191,2019-04-25,256.1,264.0,254.7,257.55,257.55,336628.0
4190,2019-04-24,255.4,261.0,250.8,258.6,258.6,332003.0
4189,2019-04-23,255.25,256.95,250.1,251.85,251.85,360627.0
4188,2019-04-22,256.55,262.0,255.4,258.65,258.65,331865.0
4187,2019-04-18,266.0,268.25,261.05,262.45,262.45,316820.0
4186,2019-04-16,263.6,269.5,260.15,264.5,264.5,549487.0
4185,2019-04-15,262.6,264.05,259.75,262.3,262.3,168910.0
4184,2019-04-12,257.0,261.0,256.05,260.05,260.05,248504.0
4183,2019-04-11,253.0,257.75,252.15,256.25,256.25,159423.0
4182,2019-04-10,253.45,258.0,252.0,254.75,254.75,204109.0
4181,2019-04-09,249.0,257.0,246.25,254.1,254.1,1116471.0
4180,2019-04-08,261.0,263.7,251.5,252.45,252.45,392397.0
4179,2019-04-05,263.75,266.8,262.05,263.15,263.15,237302.0
4178,2019-04-04,261.85,265.0,258.0,263.75,263.75,320590.0
4177,2019-04-03,269.45,273.0,260.2,261.7,261.7,329319.0
4176,2019-04-02,274.9,274.9,267.65,269.45,269.45,352742.0
4175,2019-04-01,274.8,278.3,272.55,275.3,275.3,443733.0
4174,2019-03-28,257.5,268.0,257.5,264.75,264.75,245723.0
4173,2019-03-27,265.25,266.55,258.15,260.0,260.0,374216.0
4172,2019-03-26,255.0,266.2,255.0,263.65,263.65,622226.0
4171,2019-03-25,260.0,260.0,252.55,255.25,255.25,297175.0
4170,2019-03-22,269.6,269.6,258.5,260.2,260.2,276761.0
4169,2019-03-20,270.0,271.6,264.5,266.1,266.1,308756.0
4168,2019-03-19,268.5,273.9,257.15,269.5,269.5,412853.0
4167,2019-03-18,265.6,269.9,264.15,268.1,268.1,386412.0
4166,2019-03-15,265.0,270.25,261.55,263.55,263.55,598433.0
4165,2019-03-14,265.0,266.8,260.8,263.95,263.95,339454.0
4164,2019-03-13,263.0,267.75,257.9,265.5,265.5,509781.0
4163,2019-03-12,262.0,268.75,260.7,263.0,263.0,484066.0
4162,2019-03-11,255.9,265.8,255.0,262.05,262.05,488878.0
4161,2019-03-08,258.5,258.7,251.95,254.7,254.7,304481.0
4160,2019-03-07,256.95,261.2,255.1,257.25,257.25,387999.0
4159,2019-03-06,257.7,262.6,253.7,256.0,256.0,522205.0
4158,2019-03-05,240.0,258.0,238.2,256.1,256.1,1170228.0
4157,2019-03-01,232.0,242.4,230.1,240.85,240.85,1106743.0
4156,2019-02-28,223.95,229.5,222.0,228.25,228.25,587592.0
4155,2019-02-27,227.0,229.0,221.0,222.7,222.7,833931.0
4154,2019-02-26,218.0,228.5,212.5,227.05,227.05,849949.0
4153,2019-02-25,214.0,221.85,214.0,219.75,219.75,777574.0
4152,2019-02-22,217.9,219.95,212.25,214.4,214.4,870690.0
4151,2019-02-21,207.7,218.5,205.85,217.15,217.15,1375793.0
4150,2019-02-20,204.5,209.55,204.0,206.6,206.6,697140.0
4149,2019-02-19,204.0,209.25,200.95,202.45,202.45,623789.0
4148,2019-02-18,202.3,207.65,196.8,204.7,204.7,1033867.0
4147,2019-02-15,210.0,217.95,202.25,204.65,204.65,1185717.0
4146,2019-02-14,211.15,214.95,207.5,212.15,212.15,731580.0
4145,2019-02-12,216.25,219.4,214.05,216.65,216.65,293198.0
4144,2019-02-11,221.1,221.9,213.1,217.15,217.15,504283.0
4143,2019-02-08,232.0,232.4,219.0,222.35,222.35,885542.0
4142,2019-02-07,230.7,238.7,225.3,232.4,232.4,989723.0
4141,2019-02-06,232.0,232.7,226.0,229.55,229.55,385187.0
4140,2019-02-05,231.0,233.25,225.5,230.85,230.85,530238.0
