,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,296.8,301.25,289.5,291.35,291.35,1033919.0
4223,2019-06-13,1481.0,1484.65,1438.3,1471.2,1471.2,370098.0
4222,2019-06-12,1516.95,1516.95,1470.0,1482.0,1482.0,279403.0
4221,2019-06-11,1465.9,1527.0,1458.0,1513.5,1513.5,273246.0
4220,2019-06-10,1484.0,1495.0,1451.0,1466.5,1466.5,227972.0
4219,2019-06-07,1466.9,1496.95,1453.45,1477.1,1477.1,341940.0
4218,2019-06-06,1511.0,1520.0,1458.2,1467.15,1467.15,345560.0
4217,2019-06-04,1520.1,1548.6,1518.0,1523.2,1523.2,206271.0
4216,2019-06-03,1539.95,1544.45,1520.9,1532.4,1532.4,177518.0
4215,2019-05-31,1513.25,1555.0,1506.1,1532.7,1532.7,569481.0
4214,2019-05-30,1478.0,1525.7,1475.0,1507.4,1507.4,392740.0
4213,2019-05-29,1496.5,1496.5,1463.25,1469.2,1469.2,256287.0
4212,2019-05-28,1520.0,1544.5,1484.95,1495.95,1495.95,371855.0
4211,2019-05-27,1495.05,1519.5,1490.05,1513.05,1513.05,288436.0
4210,2019-05-24,1425.0,1525.0,1413.25,1484.8,1484.8,516426.0
4209,2019-05-23,1440.0,1475.0,1412.25,1418.75,1418.75,411795.0
4208,2019-05-22,1412.4,1427.15,1353.25,1418.0,1418.0,550257.0
4207,2019-05-21,1434.8,1452.2,1381.45,1419.5,1419.5,353293.0
4206,2019-05-20,1425.0,1478.7,1370.15,1427.6,1427.6,381739.0
4205,2019-05-17,1295.25,1357.5,1294.0,1350.85,1350.85,456847.0
4204,2019-05-16,1281.2,1310.8,1266.55,1299.95,1299.95,225960.0
4203,2019-05-15,1275.0,1304.0,1265.85,1287.15,1287.15,215218.0
4202,2019-05-14,1251.85,1302.7,1245.2,1276.45,1276.45,415461.0
4201,2019-05-13,1295.95,1304.4,1240.5,1247.8,1247.8,266539.0
4200,2019-05-10,1318.85,1329.6,1287.65,1293.95,1293.95,283138.0
4199,2019-05-09,1277.0,1325.8,1263.65,1320.95,1320.95,352601.0
4198,2019-05-08,1288.0,1305.95,1276.85,1282.1,1282.1,170601.0
4197,2019-05-07,1298.95,1332.0,1296.0,1304.55,1304.55,337552.0
4196,2019-05-06,1303.45,1314.0,1273.3,1293.65,1293.65,454076.0
4195,2019-05-03,1344.4,1352.75,1310.0,1317.25,1317.25,448826.0
4194,2019-05-02,1387.0,1389.85,1332.5,1338.7,1338.7,372640.0
4193,2019-04-30,1426.45,1431.65,1376.0,1388.8,1388.8,581250.0
4192,2019-04-26,1416.05,1432.45,1390.6,1407.7,1407.7,168401.0
4191,2019-04-25,1429.85,1445.5,1415.5,1421.95,1421.95,182133.0
