,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1428.0,1428.2,1397.35,1409.9,1409.9,21913.0
4223,2019-06-13,1473.05,1473.9,1425.0,1427.15,1427.15,8579.0
4222,2019-06-12,1485.0,1485.0,1462.35,1470.15,1470.15,7045.0
4221,2019-06-11,1512.0,1526.1,1475.3,1484.2,1484.2,9632.0
4220,2019-06-10,1504.0,1532.95,1493.75,1522.65,1522.65,14872.0
4219,2019-06-07,1509.95,1515.0,1489.95,1504.0,1504.0,6489.0
4218,2019-06-06,1482.05,1510.0,1475.35,1498.3,1498.3,5669.0
4217,2019-06-04,1507.9,1507.9,1482.1,1499.6,1499.6,6538.0
4216,2019-06-03,1469.5,1512.0,1455.65,1499.65,1499.65,22431.0
4215,2019-05-31,1469.95,1484.55,1446.75,1457.95,1457.95,8989.0
4214,2019-05-30,1482.0,1482.0,1448.05,1463.75,1463.75,7016.0
4213,2019-05-29,1447.0,1489.15,1440.0,1482.6,1482.6,14331.0
4212,2019-05-28,1494.0,1500.0,1440.1,1455.0,1455.0,30045.0
4211,2019-05-27,1460.0,1493.3,1445.0,1488.2,1488.2,13103.0
4210,2019-05-24,1454.95,1456.9,1435.0,1452.65,1452.65,13471.0
4209,2019-05-23,1449.95,1455.0,1421.0,1434.4,1434.4,14097.0
4208,2019-05-22,1439.95,1439.95,1417.6,1428.1,1428.1,3848.0
4207,2019-05-21,1417.0,1435.0,1397.45,1432.9,1432.9,8589.0
4206,2019-05-20,1419.85,1420.0,1399.65,1403.95,1403.95,5357.0
4205,2019-05-17,1368.0,1400.0,1362.4,1393.7,1393.7,5476.0
4204,2019-05-16,1400.0,1400.0,1357.1,1359.5,1359.5,9579.0
4203,2019-05-15,1410.95,1410.95,1381.05,1386.15,1386.15,6199.0
4202,2019-05-14,1405.0,1412.25,1380.0,1389.35,1389.35,8351.0
4201,2019-05-13,1419.0,1419.0,1400.0,1401.25,1401.25,2654.0
4200,2019-05-10,1417.8,1417.8,1399.5,1402.65,1402.65,2093.0
4199,2019-05-09,1420.0,1420.0,1399.25,1401.75,1401.75,10803.0
4198,2019-05-08,1435.7,1439.95,1402.25,1420.15,1420.15,4385.0
4197,2019-05-07,1450.0,1450.0,1429.0,1441.5,1441.5,6367.0
4196,2019-05-06,1419.9,1444.85,1419.9,1434.55,1434.55,3090.0
4195,2019-05-03,1431.5,1450.0,1431.5,1441.55,1435.55,5494.0
4194,2019-05-02,1426.1,1449.0,1417.3,1431.5,1425.5419,5706.0
4193,2019-04-30,1454.95,1454.95,1421.25,1433.55,1427.5834,9433.0
4192,2019-04-26,1460.9,1464.95,1440.2,1443.1,1437.0935,11679.0
4191,2019-04-25,1470.0,1470.0,1451.0,1458.9,1452.8278,3860.0
4190,2019-04-24,1479.95,1483.2,1450.0,1460.65,1454.5706,9534.0
4189,2019-04-23,1481.6,1492.75,1467.0,1473.5,1467.3671,6271.0
4188,2019-04-22,1489.4,1489.4,1446.5,1478.3,1472.1471,13933.0
4187,2019-04-18,1551.3,1590.0,1484.55,1496.45,1490.2214,48186.0
4186,2019-04-16,1570.55,1620.0,1568.85,1615.55,1608.8258,28590.0
4185,2019-04-15,1545.0,1574.0,1535.35,1568.85,1562.3201,12250.0
4184,2019-04-12,1522.5,1545.7,1515.2,1540.55,1534.1379,11223.0
4183,2019-04-11,1490.0,1525.35,1490.0,1522.5,1516.1631,18864.0
