,Date,Open,High,Low,Close,Adj Close,Volume
761,2019-06-14,233.4,237.05,230.3,232.6,232.6,109273.0
760,2019-06-13,240.0,240.0,232.1,233.95,233.95,252117.0
759,2019-06-12,249.0,250.0,240.0,240.05,240.05,870378.0
758,2019-06-11,244.8,249.45,243.55,248.15,248.15,758666.0
757,2019-06-10,241.95,245.5,241.5,243.9,243.9,400988.0
756,2019-06-07,242.0,243.95,237.65,240.55,240.55,2250447.0
755,2019-06-06,248.1,248.1,238.8,240.6,240.6,160518.0
754,2019-06-04,243.45,251.8,243.4,248.1,248.1,1070005.0
753,2019-06-03,237.75,246.4,237.75,243.2,243.2,1046729.0
752,2019-05-31,237.6,239.0,234.1,237.7,237.7,234562.0
751,2019-05-30,236.8,240.85,234.7,236.6,236.6,380983.0
750,2019-05-29,237.3,237.9,232.5,236.8,236.8,519625.0
749,2019-05-28,233.55,239.7,233.5,236.6,236.6,1383966.0
748,2019-05-27,226.8,240.8,225.0,232.9,232.9,1414489.0
747,2019-05-24,223.65,225.0,221.0,223.45,223.45,421570.0
746,2019-05-23,220.0,224.8,218.1,221.05,221.05,1039808.0
745,2019-05-22,227.95,229.95,214.4,219.0,219.0,1752614.0
744,2019-05-21,228.0,228.0,222.0,223.1,223.1,162003.0
743,2019-05-20,219.8,229.4,214.65,228.45,228.45,579724.0
742,2019-05-17,213.65,215.9,212.2,214.2,214.2,538453.0
741,2019-05-16,215.7,215.7,210.5,212.05,212.05,201282.0
740,2019-05-15,221.9,223.0,213.0,214.2,214.2,721360.0
739,2019-05-14,217.85,225.05,212.25,220.1,220.1,237518.0
738,2019-05-13,223.6,223.6,217.2,218.1,218.1,213895.0
737,2019-05-10,228.45,228.45,221.75,223.15,223.15,161851.0
736,2019-05-09,226.4,228.5,222.15,227.2,227.2,146185.0
735,2019-05-08,219.25,227.8,216.35,225.65,225.65,232538.0
734,2019-05-07,230.1,231.85,219.8,222.1,222.1,138586.0
733,2019-05-06,228.0,232.0,227.0,229.95,229.95,391314.0
732,2019-05-03,233.75,233.9,229.4,231.75,231.75,327253.0
731,2019-05-02,237.4,237.85,231.05,235.3,235.3,195707.0
730,2019-04-30,229.6,238.5,224.3,237.65,237.65,480189.0
729,2019-04-26,234.65,235.95,228.15,230.45,230.45,147441.0
728,2019-04-25,235.3,236.2,233.75,235.05,235.05,329424.0
727,2019-04-24,237.25,238.7,231.0,234.15,234.15,372557.0
726,2019-04-23,233.6,239.65,233.6,237.25,237.25,722065.0
725,2019-04-22,235.5,236.25,231.15,233.7,233.7,230997.0
724,2019-04-18,232.75,239.9,231.95,237.35,237.35,734012.0
723,2019-04-16,236.0,237.9,229.0,232.8,232.8,370531.0
722,2019-04-15,232.95,237.75,229.8,234.8,234.8,1661953.0
721,2019-04-12,234.0,237.9,231.2,232.3,232.3,444114.0
