,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,219.0,219.0,216.0,216.95,216.95,346603.0
4223,2019-06-13,216.5,217.75,216.5,217.1,217.1,1049169.0
4222,2019-06-12,217.4,218.0,215.6,217.05,217.05,510874.0
4221,2019-06-11,216.0,218.0,215.15,217.0,217.0,659284.0
4220,2019-06-10,217.0,217.2,214.05,216.2,216.2,357013.0
4219,2019-06-07,217.0,217.0,214.3,215.75,215.75,296981.0
4218,2019-06-06,214.05,216.0,212.3,215.7,215.7,778664.0
4217,2019-06-04,213.85,217.0,212.2,216.2,216.2,813560.0
4216,2019-06-03,211.95,215.2,210.5,214.0,214.0,1237398.0
4215,2019-05-31,212.9,215.0,211.1,212.0,212.0,754072.0
4214,2019-05-30,213.0,213.25,211.25,212.3,212.3,354115.0
4213,2019-05-29,216.0,216.75,214.1,214.95,214.95,212843.0
4212,2019-05-28,216.0,218.5,215.05,216.5,216.5,899152.0
4211,2019-05-27,212.6,217.0,212.6,216.15,216.15,798056.0
4210,2019-05-24,214.9,217.35,211.1,212.6,212.6,843018.0
4209,2019-05-23,210.2,216.5,208.5,214.7,214.7,2525752.0
4208,2019-05-22,209.0,210.0,205.5,208.95,208.95,1021515.0
4207,2019-05-21,203.45,209.9,202.1,209.1,209.1,1794063.0
4206,2019-05-20,201.0,205.2,200.0,204.7,204.7,1403887.0
4205,2019-05-17,196.3,200.8,196.3,199.0,199.0,958910.0
4204,2019-05-16,196.2,198.25,195.45,196.25,196.25,244727.0
4203,2019-05-15,195.75,196.8,194.75,196.3,196.3,350057.0
4202,2019-05-14,195.4,198.0,194.9,195.75,195.75,306358.0
4201,2019-05-13,199.05,200.25,195.5,196.75,196.75,556455.0
4200,2019-05-10,199.95,200.6,198.3,199.55,199.55,676603.0
4199,2019-05-09,196.3,200.0,194.25,199.25,199.25,526032.0
4198,2019-05-08,196.85,200.0,193.2,197.4,197.4,602373.0
4197,2019-05-07,197.25,198.25,195.5,197.8,197.8,544610.0
4196,2019-05-06,197.0,199.45,196.1,196.8,196.8,254513.0
4195,2019-05-03,199.85,201.5,197.25,197.65,197.65,309495.0
4194,2019-05-02,202.7,202.8,198.0,199.1,199.1,352846.0
4193,2019-04-30,200.3,204.0,198.25,202.8,202.8,826314.0
4192,2019-04-26,202.45,205.5,197.6,200.7,200.7,1475377.0
4191,2019-04-25,203.75,204.85,198.45,201.5,201.5,690736.0
4190,2019-04-24,205.05,206.5,201.0,205.85,205.85,998300.0
4189,2019-04-23,200.75,206.5,200.25,204.45,204.45,2149119.0
4188,2019-04-22,202.75,204.5,197.95,200.2,200.2,2440561.0
4187,2019-04-18,201.0,203.0,201.0,202.05,202.05,545526.0
4186,2019-04-16,197.0,203.0,197.0,199.75,199.75,554665.0
4185,2019-04-15,198.75,199.75,196.7,197.15,197.15,360275.0
4184,2019-04-12,197.5,199.6,197.4,198.1,198.1,252481.0
4183,2019-04-11,200.4,200.4,197.1,197.7,197.7,406281.0
4182,2019-04-10,200.4,201.95,198.55,200.05,200.05,338792.0
4181,2019-04-09,199.9,202.5,198.0,200.7,200.7,237607.0
4180,2019-04-08,203.25,204.25,199.1,199.95,199.95,539063.0
4179,2019-04-05,203.25,204.0,198.85,202.4,202.4,1006524.0
4178,2019-04-04,200.2,204.0,196.2,203.25,203.25,649044.0
4177,2019-04-03,203.0,203.95,196.5,199.3,199.3,731215.0
4176,2019-04-02,206.55,207.0,200.05,202.5,202.5,774492.0
4175,2019-04-01,206.0,208.45,202.1,206.5,206.5,1175708.0
4174,2019-03-28,202.25,202.95,200.3,201.35,201.35,398563.0
4173,2019-03-27,200.0,205.45,199.95,201.1,201.1,1097213.0
4172,2019-03-26,200.65,202.75,199.0,200.45,200.45,434287.0
4171,2019-03-25,200.0,202.95,197.9,200.1,200.1,1170887.0
4170,2019-03-22,191.55,201.1,191.55,200.55,200.55,2242993.0
4169,2019-03-20,193.0,193.0,189.6,192.55,192.55,327607.0
4168,2019-03-19,191.55,193.4,188.6,192.45,192.45,532411.0
4167,2019-03-18,189.0,193.7,188.5,190.0,190.0,1749934.0
4166,2019-03-15,187.0,189.4,185.55,188.7,188.7,1469835.0
4165,2019-03-14,187.1,187.45,186.15,186.65,186.65,432273.0
4164,2019-03-13,188.7,190.2,186.7,187.95,187.95,1342432.0
4163,2019-03-12,189.4,189.4,187.2,188.4,188.4,620904.0
4162,2019-03-11,188.9,189.0,186.15,188.1,188.1,781466.0
4161,2019-03-08,187.0,189.65,184.5,186.15,186.15,861180.0
4160,2019-03-07,190.0,190.5,186.0,187.05,187.05,230510.0
4159,2019-03-06,186.65,191.75,186.65,189.75,189.75,1511961.0
4158,2019-03-05,188.0,191.0,185.7,186.7,186.7,1260018.0
4157,2019-03-01,182.7,188.5,181.05,187.95,187.95,360429.0
4156,2019-02-28,181.0,185.0,177.9,183.45,183.45,1216311.0
4155,2019-02-27,180.0,180.85,177.1,179.75,179.75,1376230.0
4154,2019-02-26,175.5,180.95,175.5,178.25,178.25,585100.0
4153,2019-02-25,179.3,179.75,175.5,177.1,177.1,413347.0
4152,2019-02-22,178.9,179.95,176.4,178.8,178.8,351668.0
4151,2019-02-21,177.0,179.7,175.6,178.2,178.2,179361.0
4150,2019-02-20,178.2,179.95,176.55,176.9,176.9,220002.0
4149,2019-02-19,179.1,180.5,177.9,178.1,178.1,125531.0
4148,2019-02-18,181.5,181.85,179.0,179.75,179.75,453932.0
4147,2019-02-15,181.05,183.0,180.0,180.15,180.15,215309.0
4146,2019-02-14,186.0,186.0,178.4,182.15,182.15,543101.0
4145,2019-02-12,186.1,188.0,186.1,186.7,186.7,194760.0
4144,2019-02-11,186.2,188.9,186.1,187.25,187.25,151501.0
4143,2019-02-08,188.95,188.95,185.65,186.6,186.6,164621.0
4142,2019-02-07,186.9,190.5,185.55,189.25,189.25,219587.0
4141,2019-02-06,187.1,188.0,185.0,185.5,185.5,350520.0
4140,2019-02-05,189.85,189.85,187.25,188.05,188.05,437974.0
4139,2019-02-04,190.95,190.95,187.5,188.6,188.6,448316.0
4138,2019-02-01,192.6,192.6,188.5,189.45,189.45,1712175.0
4137,2019-01-31,194.0,194.75,189.8,191.0,191.0,674779.0
