,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,745.0,767.0,744.0,763.8,763.8,354582.0
4223,2019-06-13,748.1,753.95,742.5,745.85,745.85,381810.0
4222,2019-06-12,760.0,761.9,746.25,752.15,752.15,396240.0
4221,2019-06-11,774.3,775.0,762.0,764.15,764.15,135792.0
4220,2019-06-10,765.2,783.35,765.2,773.7,773.7,214328.0
4219,2019-06-07,774.0,776.0,757.15,763.9,763.9,275004.0
4218,2019-06-06,777.0,788.5,768.4,771.2,771.2,498732.0
4217,2019-06-04,766.2,784.3,766.2,778.1,778.1,331838.0
4216,2019-06-03,785.1,794.7,767.3,772.4,772.4,305759.0
4215,2019-05-31,767.0,801.05,760.65,790.05,790.05,1052607.0
4214,2019-05-30,760.0,772.0,751.1,763.15,763.15,442380.0
4213,2019-05-29,794.0,794.0,761.55,766.1,766.1,227871.0
4212,2019-05-28,791.1,799.8,777.0,796.0,796.0,652924.0
4211,2019-05-27,750.0,791.0,747.05,788.45,788.45,1025360.0
4210,2019-05-24,724.6,761.45,723.05,757.85,757.85,1023069.0
4209,2019-05-23,730.0,746.0,715.65,720.95,720.95,815182.0
4208,2019-05-22,745.95,745.95,723.6,729.15,729.15,290108.0
4207,2019-05-21,760.1,762.0,741.6,745.4,745.4,260421.0
4206,2019-05-20,720.0,771.0,716.55,766.05,766.05,958987.0
4205,2019-05-17,697.0,713.8,696.55,709.85,709.85,176988.0
4204,2019-05-16,700.0,707.75,692.65,696.85,696.85,140474.0
4203,2019-05-15,700.0,710.0,697.5,701.05,701.05,123829.0
4202,2019-05-14,688.25,706.0,682.35,697.75,697.75,193371.0
4201,2019-05-13,703.9,703.95,685.75,691.15,691.15,367480.0
4200,2019-05-10,702.5,707.95,698.0,699.85,699.85,100645.0
4199,2019-05-09,698.1,706.3,696.7,700.75,700.75,148422.0
4198,2019-05-08,703.95,706.95,695.75,700.1,700.1,264029.0
4197,2019-05-07,714.15,715.3,699.05,703.15,703.15,254971.0
4196,2019-05-06,710.0,718.0,705.95,710.85,710.85,153585.0
4195,2019-05-03,706.0,723.0,704.8,715.1,715.1,260527.0
4194,2019-05-02,725.0,725.0,696.25,704.75,704.75,536875.0
4193,2019-04-30,750.0,750.0,723.3,726.65,726.65,204392.0
4192,2019-04-26,737.9,749.0,728.3,746.95,746.95,230789.0
4191,2019-04-25,735.0,740.9,730.2,733.7,733.7,187105.0
4190,2019-04-24,741.6,749.8,718.75,739.0,739.0,598989.0
4189,2019-04-23,723.9,748.0,713.1,741.6,741.6,541271.0
4188,2019-04-22,742.0,742.0,717.0,721.2,721.2,140938.0
4187,2019-04-18,732.5,749.5,724.05,739.75,739.75,267126.0
4186,2019-04-16,756.95,757.0,731.55,734.1,734.1,418706.0
4185,2019-04-15,748.0,755.9,745.0,750.95,750.95,147965.0
4184,2019-04-12,743.0,751.55,740.8,749.9,749.9,339295.0
4183,2019-04-11,748.05,749.9,735.2,743.3,743.3,322924.0
4182,2019-04-10,738.6,750.9,727.25,747.65,747.65,402937.0
4181,2019-04-09,713.85,745.2,708.0,740.5,740.5,702939.0
4180,2019-04-08,717.9,731.95,706.65,709.45,709.45,458895.0
4179,2019-04-05,719.9,726.75,707.6,714.8,714.8,584714.0
4178,2019-04-04,733.5,744.25,714.8,715.85,715.85,566742.0
4177,2019-04-03,746.45,754.0,725.5,728.25,728.25,380637.0
4176,2019-04-02,748.15,758.85,743.2,745.35,745.35,466069.0
4175,2019-04-01,752.0,759.4,746.7,749.0,749.0,368891.0
4174,2019-03-28,744.9,749.95,736.1,740.3,740.3,585224.0
4173,2019-03-27,730.5,745.95,730.0,741.4,741.4,506819.0
4172,2019-03-26,719.0,730.5,716.2,727.75,727.75,523654.0
4171,2019-03-25,747.0,747.0,715.0,719.4,719.4,334159.0
4170,2019-03-22,746.0,758.9,740.5,753.2,753.2,337835.0
4169,2019-03-20,751.0,757.3,742.5,745.7,745.7,341162.0
