,Date,Open,High,Low,Close,Adj Close,Volume
3117,2019-06-14,235.35,236.0,231.3,233.5,233.5,900622.0
3116,2019-06-13,237.95,239.0,231.8,235.35,235.35,1499979.0
3115,2019-06-12,238.4,239.9,237.5,238.1,238.1,678969.0
3114,2019-06-11,239.0,239.25,236.8,238.0,238.0,874656.0
3113,2019-06-10,241.95,242.0,236.15,238.15,238.15,1983194.0
3112,2019-06-07,234.5,241.7,231.15,240.75,240.75,2976535.0
3111,2019-06-06,239.4,242.0,233.25,234.15,234.15,3383373.0
3110,2019-06-04,231.6,239.45,231.6,237.85,237.85,2115144.0
3109,2019-06-03,232.0,234.85,230.5,233.2,233.2,669050.0
3108,2019-05-31,234.9,237.0,231.0,233.15,233.15,1685601.0
3107,2019-05-30,230.8,235.5,229.5,234.2,234.2,1327024.0
3106,2019-05-29,232.85,232.85,228.65,229.95,229.95,976643.0
3105,2019-05-28,233.5,234.7,230.1,233.1,233.1,1381128.0
3104,2019-05-27,234.0,235.65,231.0,233.5,233.5,862846.0
3103,2019-05-24,228.0,236.8,227.9,233.65,233.65,1986669.0
3102,2019-05-23,230.2,235.0,226.8,228.0,228.0,1513665.0
3101,2019-05-22,229.0,231.45,227.35,230.25,229.25,1668963.0
3100,2019-05-21,233.5,233.9,227.1,229.2,228.2046,2687868.0
3099,2019-05-20,225.0,231.6,224.05,230.5,229.4989,3756920.0
3098,2019-05-17,220.0,222.5,218.05,221.85,220.8865,1455610.0
3097,2019-05-16,217.05,222.95,213.9,220.4,219.4428,3000153.0
3096,2019-05-15,219.7,224.75,215.2,217.05,216.1073,5711198.0
3095,2019-05-14,211.25,220.0,208.95,217.7,216.7545,3360127.0
3094,2019-05-13,216.0,216.6,210.95,213.55,212.6225,1188155.0
3093,2019-05-10,216.0,217.8,215.25,216.65,215.7091,3307451.0
3092,2019-05-09,211.95,217.0,211.05,215.15,214.2156,2264922.0
3091,2019-05-08,213.0,214.15,210.9,211.9,210.9797,2108201.0
3090,2019-05-07,218.9,219.5,212.85,214.55,213.6182,1981576.0
