,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,535.0,539.65,500.0,503.15,503.15,212652.0
4223,2019-06-13,557.75,559.8,531.6,534.3,534.3,87996.0
4222,2019-06-12,513.25,564.5,513.25,559.1,559.1,424904.0
4221,2019-06-11,520.0,522.45,514.0,519.35,519.35,77300.0
4220,2019-06-10,524.3,535.65,517.0,522.6,522.6,66901.0
4219,2019-06-07,520.0,522.0,505.0,520.1,520.1,111240.0
4218,2019-06-06,530.0,537.35,515.0,519.8,519.8,94843.0
4217,2019-06-04,534.1,562.0,521.0,526.95,526.95,247415.0
4216,2019-06-03,557.0,562.25,521.25,531.45,531.45,123281.0
4215,2019-05-31,584.45,587.3,542.3,555.0,555.0,331419.0
4214,2019-05-30,556.3,584.9,556.3,579.85,579.85,142220.0
4213,2019-05-29,563.2,599.95,544.25,551.1,551.1,265088.0
4212,2019-05-28,617.65,629.95,571.9,580.6,580.6,478765.0
4211,2019-05-27,607.85,623.75,588.65,612.15,612.15,234010.0
4210,2019-05-24,587.7,608.95,587.7,603.6,603.6,235668.0
4209,2019-05-23,626.0,638.5,565.85,582.15,582.15,278463.0
4208,2019-05-22,582.0,619.0,582.0,610.9,610.9,559887.0
4207,2019-05-21,592.5,608.0,571.05,578.85,578.85,535769.0
4206,2019-05-20,580.0,597.0,565.45,589.25,589.25,564778.0
4205,2019-05-17,546.9,570.0,543.0,568.0,568.0,813618.0
4204,2019-05-16,525.0,553.95,510.0,544.3,544.3,634679.0
4203,2019-05-15,505.15,531.65,504.95,525.8,525.8,740645.0
4202,2019-05-14,465.0,507.95,442.25,500.3,500.3,498894.0
4201,2019-05-13,510.6,512.8,449.0,460.3,460.3,254872.0
4200,2019-05-10,498.2,514.5,496.55,508.5,508.5,472409.0
4199,2019-05-09,479.0,504.85,479.0,494.2,494.2,833716.0
4198,2019-05-08,468.6,481.35,467.25,477.7,477.7,417850.0
4197,2019-05-07,462.4,474.9,462.4,467.25,467.25,171928.0
4196,2019-05-06,464.0,476.3,456.05,461.45,461.45,188552.0
4195,2019-05-03,464.0,469.4,458.0,465.7,465.7,184076.0
4194,2019-05-02,478.2,485.0,453.1,462.55,462.55,684943.0
4193,2019-04-30,424.8,437.4,418.0,434.95,434.95,181215.0
4192,2019-04-26,414.95,429.9,414.7,421.5,421.5,259273.0
4191,2019-04-25,402.5,422.9,402.0,411.6,411.6,362226.0
4190,2019-04-24,404.95,406.4,400.0,403.8,403.8,30416.0
4189,2019-04-23,395.0,404.7,392.5,398.65,398.65,58404.0
4188,2019-04-22,402.7,411.0,391.0,396.85,396.85,147913.0
4187,2019-04-18,401.0,404.95,396.05,398.4,398.4,53022.0
4186,2019-04-16,397.0,404.9,396.0,401.75,401.75,74242.0
4185,2019-04-15,396.0,411.9,392.2,396.1,396.1,149038.0
4184,2019-04-12,397.7,397.75,393.0,394.1,394.1,34668.0
4183,2019-04-11,401.1,406.0,394.0,394.85,394.85,47790.0
4182,2019-04-10,408.0,408.8,403.0,404.15,404.15,29431.0
4181,2019-04-09,407.9,408.0,401.1,406.3,406.3,63309.0
4180,2019-04-08,405.0,410.6,403.0,404.5,404.5,78157.0
4179,2019-04-05,407.5,411.9,404.2,407.35,407.35,114946.0
4178,2019-04-04,409.2,410.7,404.3,407.45,407.45,80616.0
4177,2019-04-03,411.6,413.7,404.65,408.55,408.55,68268.0
4176,2019-04-02,414.0,416.0,408.05,409.55,409.55,122909.0
4175,2019-04-01,417.5,419.95,409.0,410.9,410.9,103852.0
4174,2019-03-28,413.5,419.4,409.1,411.7,411.7,216541.0
4173,2019-03-27,418.9,418.9,406.55,411.7,411.7,90159.0
4172,2019-03-26,406.65,424.0,401.45,415.75,415.75,239476.0
4171,2019-03-25,413.0,416.95,403.0,406.9,406.9,140380.0
4170,2019-03-22,415.0,419.45,405.0,412.1,412.1,122957.0
4169,2019-03-20,428.0,428.0,414.2,417.85,417.85,62031.0
4168,2019-03-19,430.0,434.0,419.0,425.6,425.6,131909.0
4167,2019-03-18,445.0,452.5,430.05,433.4,433.4,158711.0
4166,2019-03-15,470.0,484.9,423.25,443.8,443.8,235146.0
4165,2019-03-14,464.0,480.0,457.0,467.2,467.2,403719.0
4164,2019-03-13,454.0,458.0,430.55,450.65,450.65,142730.0
4163,2019-03-12,451.8,460.0,450.0,452.1,452.1,59417.0
4162,2019-03-11,452.0,466.8,448.25,450.75,450.75,87972.0
4161,2019-03-08,450.0,470.2,441.8,458.55,458.55,150849.0
4160,2019-03-07,477.0,482.7,451.4,457.5,457.5,172580.0
4159,2019-03-06,465.95,500.0,460.05,476.95,476.95,530330.0
4158,2019-03-05,413.0,465.9,410.8,453.35,453.35,290670.0
4157,2019-03-01,402.4,415.0,400.0,412.65,412.65,242165.0
4156,2019-02-28,365.5,399.05,365.5,392.15,392.15,265632.0
4155,2019-02-27,381.9,394.9,365.05,366.95,366.95,141934.0
4154,2019-02-26,390.0,390.0,372.0,378.5,378.5,122358.0
4153,2019-02-25,369.0,398.6,366.5,393.95,393.95,423697.0
4152,2019-02-22,360.2,369.5,360.2,365.55,365.55,29633.0
4151,2019-02-21,370.85,373.0,357.05,361.05,361.05,92874.0
4150,2019-02-20,348.0,365.0,348.0,363.1,363.1,81633.0
4149,2019-02-19,343.55,356.85,343.55,348.55,348.55,47388.0
4148,2019-02-18,342.8,349.95,342.45,347.2,347.2,27634.0
4147,2019-02-15,350.0,358.6,343.85,346.3,346.3,54422.0
4146,2019-02-14,352.5,355.0,349.05,353.95,353.95,87869.0
4145,2019-02-12,333.6,344.4,333.6,340.85,340.85,30710.0
4144,2019-02-11,350.0,350.25,336.25,339.25,339.25,47441.0
4143,2019-02-08,350.15,356.5,340.7,350.25,350.25,72534.0
4142,2019-02-07,340.8,362.1,335.35,350.15,350.15,55373.0
4141,2019-02-06,345.4,348.5,340.1,344.8,340.6,37729.0
4140,2019-02-05,338.0,346.0,338.0,343.05,338.8713,73274.0
4139,2019-02-04,337.0,338.3,326.0,335.05,330.9688,42515.0
4138,2019-02-01,335.0,344.35,331.35,336.7,332.5987,53312.0
4137,2019-01-31,327.95,339.0,327.95,335.6,331.5121,100648.0
4136,2019-01-30,317.0,336.85,311.25,327.25,323.2638,480616.0
4135,2019-01-29,303.0,314.6,275.0,304.8,301.0872,65277.0
4134,2019-01-28,316.0,318.35,293.6,303.2,299.5067,50663.0
4133,2019-01-25,325.05,332.2,310.0,315.05,311.2124,50561.0
4132,2019-01-24,334.5,338.0,325.05,327.65,323.6589,35952.0
4131,2019-01-23,336.1,343.9,332.0,333.55,329.487,30038.0
4130,2019-01-22,349.2,349.2,335.05,336.5,332.4011,24465.0
4129,2019-01-21,341.5,346.45,341.5,344.1,339.9085,14214.0
4128,2019-01-18,348.95,352.8,340.0,346.1,341.8842,38184.0
4127,2019-01-17,360.9,362.55,348.35,350.2,345.9342,29000.0
4126,2019-01-16,357.0,362.0,354.6,359.55,355.1703,33760.0
4125,2019-01-15,350.05,359.15,347.7,357.45,353.0959,52544.0
4124,2019-01-14,347.0,351.75,345.65,348.5,344.2549,20856.0
4123,2019-01-11,354.35,356.35,350.0,352.35,348.058,23259.0
4122,2019-01-10,358.8,361.8,348.1,353.25,348.9471,65586.0
4121,2019-01-09,359.8,365.0,355.0,362.3,357.8868,50958.0
4120,2019-01-08,349.15,359.0,349.15,354.8,350.4782,60338.0
4119,2019-01-07,349.1,355.0,348.4,352.05,347.7617,39623.0
4118,2019-01-04,344.0,352.85,343.05,347.6,343.3659,67973.0
4117,2019-01-03,345.9,349.6,341.2,344.15,339.9579,36334.0
4116,2019-01-02,342.0,356.0,339.05,344.2,340.0073,95420.0
4115,2019-01-01,341.65,345.0,336.0,343.05,338.8713,39705.0
4114,2018-12-31,339.9,348.65,335.05,338.4,334.278,60709.0
4113,2018-12-28,334.45,341.9,332.0,339.15,335.0188,83452.0
4112,2018-12-27,348.55,352.75,330.0,331.2,327.1657,128869.0
4111,2018-12-26,339.9,349.25,330.0,347.65,343.4153,53919.0
4110,2018-12-24,338.1,338.1,330.6,335.45,331.3639,44020.0
4109,2018-12-21,354.0,354.5,334.1,337.9,333.784,104833.0
4108,2018-12-20,356.0,359.95,352.15,354.4,350.083,39772.0
4107,2018-12-19,359.0,364.7,356.0,357.55,353.1947,68783.0
4106,2018-12-18,357.0,361.85,350.25,357.15,352.7996,62964.0
4105,2018-12-17,358.0,370.0,356.0,357.8,353.4416,68631.0
4104,2018-12-14,360.25,365.0,355.0,358.15,353.7874,85190.0
4103,2018-12-13,369.25,371.8,359.25,360.55,356.1581,51723.0
4102,2018-12-12,358.0,369.1,358.0,366.35,361.8875,108440.0
4101,2018-12-11,350.0,361.8,350.0,358.0,353.6392,41080.0
4100,2018-12-10,348.8,362.0,342.2,360.15,355.763,119398.0
4099,2018-12-07,351.8,364.0,351.8,358.95,354.5776,105420.0
4098,2018-12-06,344.0,353.8,340.0,350.85,346.5763,47080.0
4097,2018-12-05,359.5,359.5,337.0,345.95,341.736,100347.0
4096,2018-12-04,362.0,369.4,358.8,361.35,356.9484,124380.0
4095,2018-12-03,362.0,364.3,350.85,358.5,354.1331,46224.0
4094,2018-11-30,356.1,368.7,353.2,356.95,352.602,81772.0
4093,2018-11-29,363.0,363.0,349.15,358.4,354.0343,55636.0
4092,2018-11-28,358.0,361.15,351.4,357.45,353.0959,66302.0
4091,2018-11-27,345.0,364.0,345.0,357.75,353.3922,183074.0
4090,2018-11-26,362.7,364.35,342.4,343.95,339.7604,106232.0
4089,2018-11-22,371.6,371.6,355.1,356.6,352.2563,177915.0
4088,2018-11-21,389.9,389.9,366.5,368.15,363.6656,161626.0
4087,2018-11-20,398.8,401.95,382.2,386.15,381.4463,103410.0
4086,2018-11-19,409.0,412.0,401.2,403.8,398.8813,43856.0
4085,2018-11-16,410.1,415.0,406.0,409.1,404.1168,35217.0
4084,2018-11-15,419.0,419.05,408.0,410.75,405.7467,52787.0
4083,2018-11-14,423.95,426.0,410.1,417.7,412.612,85344.0
4082,2018-11-13,425.45,433.9,417.15,421.15,416.02,122391.0
4081,2018-11-12,427.2,448.25,413.35,426.5,421.3048,393523.0
4080,2018-11-09,405.0,427.0,405.0,423.3,418.1438,231184.0
4079,2018-11-07,401.9,406.55,396.0,400.3,395.4239,13111.0
4078,2018-11-06,391.0,403.45,389.5,400.6,395.7203,43833.0
4077,2018-11-05,404.95,405.0,378.4,390.95,386.1879,62302.0
4076,2018-11-02,405.5,417.95,397.95,402.5,397.5972,81422.0
4075,2018-11-01,411.1,415.0,401.2,406.1,401.1533,58481.0
4074,2018-10-31,415.0,419.0,404.05,411.85,406.8333,73440.0
4073,2018-10-30,406.1,423.9,398.25,411.75,406.7345,149397.0
4072,2018-10-29,403.0,419.9,403.0,414.7,409.6486,144289.0
4071,2018-10-26,378.0,404.95,354.1,402.4,397.4984,281305.0
4070,2018-10-25,399.0,402.25,375.0,377.25,372.6547,101643.0
4069,2018-10-24,402.0,412.0,396.1,399.8,394.93,85951.0
4068,2018-10-23,411.0,419.0,390.0,395.6,390.7812,138860.0
4067,2018-10-22,406.5,429.0,406.5,414.5,409.451,278615.0
4066,2018-10-19,383.0,407.9,380.25,401.25,396.3624,228171.0
4065,2018-10-17,434.25,445.0,370.45,383.55,378.878,479880.0
4064,2018-10-16,416.0,453.4,416.0,429.95,424.7128,714008.0
4063,2018-10-15,386.0,421.8,386.0,416.3,411.229,486808.0
4062,2018-10-12,365.1,380.0,365.1,374.75,370.1852,151368.0
4061,2018-10-11,340.0,374.25,326.35,364.0,359.5661,339108.0
4060,2018-10-10,320.55,351.95,320.55,349.05,344.7982,253378.0
4059,2018-10-09,331.6,342.0,315.4,321.25,317.3369,319207.0
4058,2018-10-08,372.0,381.1,320.2,331.6,327.5608,247832.0
4057,2018-10-05,414.0,414.0,362.1,371.0,366.4809,159932.0
4056,2018-10-04,410.0,503.0,402.0,410.95,405.9442,135843.0
4055,2018-10-03,421.55,436.25,347.1,426.25,421.0579,224652.0
4054,2018-10-01,437.9,437.9,419.1,423.25,418.0944,226839.0
4053,2018-09-28,446.0,450.95,428.95,436.0,430.6891,326002.0
4052,2018-09-27,448.0,448.55,440.0,445.7,440.2709,332528.0
4051,2018-09-26,463.0,479.9,440.25,448.25,442.7899,361818.0
4050,2018-09-25,447.7,472.0,436.7,458.7,453.1126,396589.0
4049,2018-09-24,460.0,461.0,425.6,444.1,438.6904,410896.0
4048,2018-09-21,476.1,480.05,423.35,465.25,459.5828,1593157.0
4047,2018-09-19,429.6,484.0,427.55,472.6,466.8433,2362853.0
4046,2018-09-18,416.95,429.0,413.0,423.1,417.9462,1319642.0
4045,2018-09-17,385.1,418.95,384.45,415.3,410.2412,1708749.0
4044,2018-09-14,378.75,409.5,378.35,390.65,385.8915,930711.0
4043,2018-09-12,378.9,384.0,372.2,377.25,372.6547,211454.0
4042,2018-09-11,385.25,388.0,371.85,373.95,369.3949,91658.0
4041,2018-09-10,391.0,396.0,382.05,384.35,379.6682,102439.0
4040,2018-09-07,371.5,396.0,371.0,390.75,385.9903,413872.0
4039,2018-09-06,373.5,376.0,368.05,373.85,369.2961,52378.0
4038,2018-09-05,383.0,384.0,370.0,374.05,369.4937,80032.0
4037,2018-09-04,386.0,386.35,376.45,384.6,379.9152,339204.0
4036,2018-09-03,384.5,388.0,381.25,385.25,380.5573,123133.0
4035,2018-08-31,385.05,386.9,383.0,384.5,379.8164,62581.0
4034,2018-08-30,384.2,387.0,382.05,385.55,380.8536,73471.0
4033,2018-08-29,384.7,385.9,381.05,384.65,379.9646,86723.0
4032,2018-08-28,380.2,387.6,379.05,385.2,380.5079,268847.0
4031,2018-08-27,378.45,381.0,375.0,379.45,374.8279,98835.0
4030,2018-08-24,374.0,381.6,368.9,376.8,372.2102,254895.0
4029,2018-08-23,376.95,382.0,372.25,376.2,371.6175,193503.0
4028,2018-08-21,376.15,376.95,372.1,375.95,371.3706,117159.0
4027,2018-08-20,373.0,377.85,370.25,376.2,371.6175,101051.0
4026,2018-08-17,378.0,378.9,370.05,373.75,369.1974,84272.0
4025,2018-08-16,380.0,382.0,372.5,375.75,371.173,156575.0
4024,2018-08-14,370.0,382.0,365.0,376.7,372.1114,275235.0
4023,2018-08-13,370.0,375.0,361.35,370.55,366.0363,272026.0
4022,2018-08-10,351.5,373.0,348.05,368.45,363.9619,604644.0
4021,2018-08-09,355.4,357.4,342.25,354.2,349.8855,280339.0
4020,2018-08-08,361.05,368.0,350.0,353.05,348.7495,315042.0
4019,2018-08-07,353.2,365.9,352.0,358.4,354.0343,459618.0
4018,2018-08-06,345.0,355.4,343.2,352.55,348.2556,424424.0
4017,2018-08-03,329.4,348.0,325.85,344.7,340.5012,759943.0
4016,2018-08-02,328.0,334.95,325.0,327.0,323.0168,125074.0
4015,2018-08-01,332.3,337.05,330.0,332.65,328.598,238852.0
4014,2018-07-31,330.0,338.7,324.1,329.85,325.8321,715560.0
4013,2018-07-30,331.9,334.5,321.0,329.65,325.6345,155935.0
4012,2018-07-27,330.75,336.05,327.65,329.9,325.8815,352468.0
4011,2018-07-26,333.0,336.5,327.4,330.55,326.5236,66116.0
4010,2018-07-25,337.95,340.55,330.1,333.95,329.8822,125470.0
4009,2018-07-24,332.7,342.0,330.05,338.1,333.9816,207233.0
4008,2018-07-23,357.0,359.3,327.0,336.8,332.6974,305447.0
4007,2018-07-20,346.55,356.5,346.55,354.25,349.1447,366747.0
4006,2018-07-19,348.0,356.1,342.95,350.6,344.7588,394431.0
4005,2018-07-18,350.15,356.25,338.4,353.8,347.9055,520840.0
4004,2018-07-17,324.1,358.95,324.1,350.7,344.8571,748040.0
4003,2018-07-16,330.25,330.25,321.15,327.9,322.437,129363.0
4002,2018-07-13,336.0,336.65,324.0,332.1,326.567,428602.0
4001,2018-07-12,345.1,348.35,331.2,335.6,330.0087,394947.0
4000,2018-07-11,348.0,350.0,340.1,344.45,338.7112,540580.0
3999,2018-07-10,340.5,353.7,332.55,351.7,345.8405,622359.0
3998,2018-07-09,320.55,340.2,319.8,336.0,330.402,497373.0
3997,2018-07-06,314.8,320.0,310.0,316.75,311.4727,314033.0
3996,2018-07-05,311.0,322.8,310.0,313.4,308.1785,702541.0
3995,2018-07-04,299.0,312.0,298.75,310.2,305.0319,362963.0
3994,2018-07-03,289.15,299.7,289.15,295.6,290.6751,127702.0
3993,2018-07-02,297.3,297.3,288.1,292.7,287.8235,171717.0
3992,2018-06-29,280.95,299.0,280.95,296.15,291.2159,222804.0
3991,2018-06-28,280.0,284.45,273.0,279.65,274.9908,294828.0
3990,2018-06-27,280.5,284.55,272.55,281.8,277.105,253164.0
3989,2018-06-26,286.0,289.0,278.15,279.25,274.5975,255011.0
3988,2018-06-25,293.65,295.95,286.45,288.15,283.3492,199904.0
3987,2018-06-22,293.05,295.0,285.5,293.65,288.7576,211047.0
3986,2018-06-21,298.9,299.95,290.1,292.75,287.8726,230790.0
3985,2018-06-20,299.8,307.95,296.0,298.55,293.576,468551.0
3984,2018-06-19,307.0,312.4,295.65,297.9,292.9368,529610.0
3983,2018-06-18,312.05,329.0,311.2,316.65,311.3744,2384108.0
3982,2018-06-15,300.0,311.65,288.2,305.8,300.7051,450248.0
3981,2018-06-14,294.0,300.0,291.0,297.65,292.6909,224084.0
3980,2018-06-13,305.5,308.8,289.5,293.35,288.4626,569858.0
3979,2018-06-12,283.0,308.8,279.0,304.0,298.9352,2719203.0
3978,2018-06-11,269.0,278.0,265.55,271.5,266.9766,184135.0
3977,2018-06-08,269.95,269.95,261.25,265.6,261.1749,99016.0
3976,2018-06-07,270.9,276.2,264.3,270.9,266.3866,173027.0
3975,2018-06-06,259.0,270.4,255.7,267.25,262.7975,313758.0
3974,2018-06-05,261.0,268.4,254.0,257.85,253.5541,392998.0
3973,2018-06-04,278.8,278.8,259.0,260.4,256.0616,177994.0
3972,2018-06-01,284.0,293.5,273.25,276.8,272.1883,462632.0
3971,2018-05-31,275.6,286.0,271.35,283.55,278.8258,283761.0
3970,2018-05-30,279.0,280.0,273.05,274.25,269.6808,103587.0
3969,2018-05-29,285.6,291.25,270.2,282.25,277.5475,623935.0
3968,2018-05-28,266.0,289.5,265.5,283.6,278.875,303800.0
3967,2018-05-25,265.4,272.0,259.0,264.6,260.1916,132316.0
3966,2018-05-24,277.0,278.0,258.1,263.45,259.0608,196139.0
3965,2018-05-23,276.45,279.8,270.0,276.25,271.6475,286651.0
3964,2018-05-22,261.75,279.75,260.0,277.3,272.68,535528.0
3963,2018-05-21,265.1,278.9,256.7,259.35,255.0291,380493.0
3962,2018-05-18,263.5,279.0,257.6,267.7,263.2399,576465.0
3961,2018-05-17,246.0,269.05,244.65,267.2,262.7483,758716.0
3960,2018-05-16,242.0,251.0,237.45,244.6,240.5248,377387.0
3959,2018-05-15,245.0,249.7,237.0,246.0,241.9015,330327.0
3958,2018-05-14,258.0,260.55,240.1,245.6,241.5081,365880.0
3957,2018-05-11,264.9,269.0,256.0,259.15,254.8324,292768.0
3956,2018-05-10,280.0,283.0,262.0,263.1,258.7166,340087.0
3955,2018-05-09,263.9,286.0,257.3,276.3,271.6966,1079821.0
3954,2018-05-08,272.0,274.55,257.2,260.45,256.1107,488961.0
3953,2018-05-07,281.05,284.75,271.0,272.05,267.5175,426922.0
3952,2018-05-04,292.9,301.4,277.05,282.65,277.9409,672937.0
3951,2018-05-03,313.7,319.45,287.0,291.45,286.5942,452957.0
3950,2018-05-02,334.9,335.55,308.45,313.3,308.0802,377215.0
3949,2018-04-30,334.45,339.8,327.65,332.5,326.9603,228680.0
3948,2018-04-27,328.0,340.15,325.6,331.65,326.1245,730857.0
3947,2018-04-26,370.0,373.95,302.0,325.55,320.1261,1911608.0
3946,2018-04-25,400.0,402.0,362.0,369.4,363.2455,1264679.0
3945,2018-04-24,438.5,448.5,431.0,439.15,431.8335,203184.0
3944,2018-04-23,443.9,450.0,435.0,435.85,428.5885,157268.0
3943,2018-04-20,448.3,449.0,438.0,443.3,435.9143,88504.0
3942,2018-04-19,450.45,459.9,446.0,448.3,440.831,164841.0
3941,2018-04-18,433.2,464.0,433.2,446.4,438.9627,509116.0
3940,2018-04-17,427.0,435.0,421.1,426.55,419.4434,183738.0
3939,2018-04-16,426.0,436.8,424.0,426.0,418.9026,95511.0
3938,2018-04-13,441.9,447.25,427.5,431.55,424.36,103782.0
3937,2018-04-12,456.9,457.05,431.55,436.4,429.1293,123106.0
3936,2018-04-11,463.5,465.3,450.1,457.05,449.4352,89952.0
3935,2018-04-10,461.7,469.0,459.0,460.65,452.9753,122756.0
3934,2018-04-09,464.0,474.6,447.0,460.9,453.2211,421601.0
3933,2018-04-06,465.5,470.55,454.1,459.45,451.7953,106272.0
3932,2018-04-05,465.1,473.0,457.3,466.65,458.8753,105879.0
3931,2018-04-04,468.4,470.0,452.05,458.95,451.3036,112061.0
3930,2018-04-03,452.0,468.8,450.1,464.0,456.2694,126258.0
3929,2018-04-02,435.0,453.4,427.0,448.75,441.2735,148116.0
3928,2018-03-28,411.1,426.65,408.55,424.25,417.1817,139617.0
3927,2018-03-27,408.0,422.0,408.0,411.7,404.8408,105404.0
3926,2018-03-26,414.0,419.5,400.0,405.95,399.1866,141442.0
3925,2018-03-23,400.0,419.0,381.05,414.55,407.6433,160073.0
3924,2018-03-22,437.4,437.4,404.1,407.15,400.3666,153564.0
3923,2018-03-21,449.9,453.15,427.0,431.65,424.4584,91074.0
3922,2018-03-20,452.2,452.25,441.05,443.65,436.2585,97986.0
3921,2018-03-19,478.9,481.0,451.2,454.3,446.731,80559.0
3920,2018-03-16,476.2,495.95,472.55,477.0,469.0529,105867.0
3919,2018-03-15,483.9,484.9,471.0,476.05,468.1187,93552.0
3918,2018-03-14,491.0,495.0,478.15,482.25,474.2154,115081.0
3917,2018-03-13,484.7,501.95,479.05,495.65,487.3921,116810.0
3916,2018-03-12,488.4,496.9,471.55,484.7,476.6246,122813.0
3915,2018-03-09,528.55,534.4,477.0,488.95,480.8037,278310.0
3914,2018-03-08,539.0,540.3,512.1,526.65,517.8756,126049.0
3913,2018-03-07,549.1,553.0,530.7,535.0,526.0865,83273.0
3912,2018-03-06,555.2,564.7,550.15,554.35,541.7708,78919.0
3911,2018-03-05,565.0,567.8,548.3,551.2,538.6923,59190.0
3910,2018-03-01,560.0,579.0,559.6,569.05,556.1372,62092.0
3909,2018-02-28,571.8,571.8,550.0,565.75,552.9121,81145.0
3908,2018-02-27,577.0,580.0,570.55,572.8,559.8021,44625.0
3907,2018-02-26,572.0,579.5,572.0,576.85,563.7603,113831.0
3906,2018-02-23,548.1,573.45,548.1,571.2,558.2385,189424.0
3905,2018-02-22,535.0,555.55,533.0,547.2,534.7831,137357.0
3904,2018-02-21,540.0,541.9,530.0,538.65,526.4271,47895.0
3903,2018-02-20,526.9,547.0,523.85,534.55,522.4201,79477.0
3902,2018-02-19,535.0,535.0,521.0,526.95,514.9926,50611.0
3901,2018-02-16,545.2,548.8,526.55,528.95,516.9471,73006.0
3900,2018-02-15,552.0,559.6,540.05,542.3,529.9942,165760.0
3899,2018-02-14,561.65,565.85,547.0,550.25,537.7638,112977.0
3898,2018-02-12,550.0,555.05,549.0,551.05,538.5456,125072.0
3897,2018-02-09,530.0,556.0,530.0,543.4,531.0693,158019.0
3896,2018-02-08,560.0,560.0,541.1,545.95,533.5615,133695.0
3895,2018-02-07,550.0,574.4,538.1,541.3,529.0169,140523.0
3894,2018-02-06,529.0,577.15,529.0,540.45,528.1862,276902.0
3893,2018-02-05,532.1,586.0,526.05,583.2,569.9661,166077.0
3892,2018-02-02,555.0,573.95,536.75,553.45,540.8912,195346.0
3891,2018-02-01,580.0,598.95,547.8,575.2,562.1476,309350.0
3890,2018-01-31,586.0,598.95,570.0,572.8,559.8021,133953.0
3889,2018-01-30,612.0,613.8,578.0,581.4,568.207,175020.0
3888,2018-01-29,600.0,612.9,593.05,609.75,595.9137,327607.0
3887,2018-01-25,595.0,615.0,591.5,595.05,581.5472,267416.0
3886,2018-01-24,590.5,604.0,590.5,595.85,582.3291,179433.0
3885,2018-01-23,595.0,611.95,595.0,598.45,584.8701,288412.0
3884,2018-01-22,579.0,627.0,574.0,595.25,581.7427,1287453.0
3883,2018-01-19,569.0,574.9,563.15,569.1,556.186,240256.0
3882,2018-01-18,570.0,586.0,561.0,568.05,555.16,187783.0
3881,2018-01-17,559.0,574.55,550.1,566.9,554.0361,260038.0
3880,2018-01-16,569.65,569.8,554.0,560.0,547.2926,133922.0
3879,2018-01-15,565.0,572.85,561.7,563.4,550.6154,129239.0
3878,2018-01-12,564.0,569.2,555.3,560.55,547.8301,104029.0
3877,2018-01-11,564.0,566.85,555.95,560.35,547.6346,69144.0
3876,2018-01-10,565.0,575.0,555.5,563.6,550.8109,99166.0
3875,2018-01-09,565.0,567.85,555.0,559.65,546.9506,97158.0
3874,2018-01-08,563.5,578.0,563.5,567.95,555.0621,96091.0
3873,2018-01-05,560.0,570.0,560.0,563.4,550.6154,125445.0
3872,2018-01-04,554.0,563.0,542.05,556.8,544.1652,127097.0
3871,2018-01-03,536.5,551.0,536.5,549.65,537.1775,193628.0
3870,2018-01-02,557.0,557.0,532.0,535.9,523.7395,122438.0
3869,2018-01-01,562.45,566.45,547.5,552.85,540.3048,128604.0
3868,2017-12-29,570.0,576.95,553.25,557.3,544.6538,167049.0
3867,2017-12-28,565.0,580.9,558.4,566.6,553.7428,144672.0
3866,2017-12-27,581.65,581.65,558.2,561.5,548.7585,98720.0
3865,2017-12-26,590.0,595.2,572.5,577.0,563.9069,103811.0
3864,2017-12-22,607.05,608.0,580.1,583.5,570.2593,126335.0
3863,2017-12-21,615.9,622.0,601.2,603.55,589.8543,67797.0
3862,2017-12-20,614.0,624.5,608.1,610.4,596.5489,70829.0
3861,2017-12-19,611.1,628.0,603.95,617.5,603.4878,153925.0
3860,2017-12-18,611.9,620.0,579.1,610.25,596.4023,147758.0
3859,2017-12-15,609.7,624.7,608.0,612.55,598.6501,277805.0
3858,2017-12-14,580.0,620.0,579.35,604.3,590.5873,872849.0
