,Date,Open,High,Low,Close,Adj Close,Volume
4042,2019-06-14,1542.0,1550.0,1495.05,1522.3,1522.3,992500.0
4041,2019-06-13,1539.95,1554.4,1517.0,1546.55,1546.55,597842.0
4040,2019-06-12,1555.8,1560.0,1530.75,1534.55,1534.55,500761.0
4039,2019-06-11,1567.0,1571.85,1552.0,1555.8,1555.8,475514.0
4038,2019-06-10,1562.0,1579.0,1556.05,1561.05,1561.05,363052.0
4037,2019-06-07,1575.0,1580.65,1553.05,1566.25,1566.25,632011.0
4036,2019-06-06,1598.0,1598.0,1554.45,1580.35,1580.35,925968.0
4035,2019-06-04,1610.0,1610.0,1580.4,1586.35,1586.35,803652.0
4034,2019-06-03,1597.25,1621.0,1566.55,1616.25,1616.25,765932.0
4033,2019-05-31,1595.95,1609.8,1583.0,1592.3,1592.3,787381.0
4032,2019-05-30,1599.0,1626.8,1580.8,1585.45,1585.45,925477.0
4031,2019-05-29,1618.0,1624.4,1585.2,1589.1,1589.1,474654.0
4030,2019-05-28,1600.0,1629.0,1585.6,1617.85,1617.85,1231843.0
4029,2019-05-27,1729.5,1730.05,1578.05,1593.45,1593.45,3084161.0
4028,2019-05-24,1742.1,1774.0,1737.0,1765.65,1765.65,572794.0
4027,2019-05-23,1710.0,1744.0,1692.0,1732.45,1732.45,543073.0
4026,2019-05-22,1704.9,1706.2,1670.0,1680.2,1680.2,342013.0
4025,2019-05-21,1658.0,1715.0,1658.0,1696.5,1696.5,494321.0
4024,2019-05-20,1680.0,1690.0,1640.0,1659.7,1659.7,482091.0
4023,2019-05-17,1636.0,1653.0,1622.1,1632.7,1632.7,363216.0
4022,2019-05-16,1612.2,1648.35,1597.9,1640.3,1640.3,494855.0
4021,2019-05-15,1610.5,1654.0,1602.0,1608.85,1608.85,639846.0
4020,2019-05-14,1634.85,1634.85,1594.0,1617.35,1617.35,422106.0
4019,2019-05-13,1652.8,1652.8,1613.9,1625.15,1625.15,255768.0
4018,2019-05-10,1609.2,1657.8,1603.0,1650.35,1650.35,637110.0
4017,2019-05-09,1661.5,1664.75,1615.0,1625.55,1625.55,553836.0
4016,2019-05-08,1686.6,1695.9,1654.1,1668.5,1668.5,443167.0
4015,2019-05-07,1670.0,1706.3,1670.0,1689.15,1689.15,559622.0
4014,2019-05-06,1697.95,1714.1,1690.05,1694.65,1694.65,246788.0
4013,2019-05-03,1718.0,1725.0,1696.25,1701.9,1701.9,344975.0
4012,2019-05-02,1741.4,1771.45,1707.1,1714.3,1714.3,686686.0
4011,2019-04-30,1722.35,1750.0,1707.05,1746.85,1746.85,557187.0
4010,2019-04-26,1733.95,1739.95,1716.15,1722.35,1722.35,333124.0
4009,2019-04-25,1736.25,1742.5,1710.55,1716.3,1716.3,334093.0
4008,2019-04-24,1687.0,1750.0,1687.0,1742.7,1742.7,573966.0
4007,2019-04-23,1703.0,1713.1,1682.2,1686.95,1686.95,340440.0
4006,2019-04-22,1721.0,1737.8,1695.0,1701.5,1701.5,324129.0
4005,2019-04-18,1716.0,1731.75,1713.0,1724.35,1724.35,334997.0
4004,2019-04-16,1748.3,1753.9,1711.3,1714.6,1714.6,530087.0
4003,2019-04-15,1730.0,1749.0,1720.3,1744.85,1744.85,422148.0
4002,2019-04-12,1717.0,1736.75,1713.0,1732.1,1732.1,370739.0
4001,2019-04-11,1715.5,1723.95,1704.05,1718.4,1718.4,357943.0
4000,2019-04-10,1713.85,1732.5,1706.0,1722.55,1722.55,484391.0
3999,2019-04-09,1693.0,1719.75,1685.25,1715.85,1715.85,392667.0
3998,2019-04-08,1714.7,1719.0,1677.2,1684.45,1684.45,461738.0
3997,2019-04-05,1707.0,1722.6,1691.15,1719.0,1719.0,464487.0
3996,2019-04-04,1679.95,1714.0,1675.8,1701.05,1701.05,590246.0
3995,2019-04-03,1707.55,1707.55,1665.45,1675.8,1675.8,393202.0
3994,2019-04-02,1725.5,1734.4,1693.7,1699.05,1699.05,508894.0
3993,2019-04-01,1709.0,1742.0,1709.0,1723.3,1723.3,888473.0
3992,2019-03-28,1669.9,1699.0,1641.5,1654.55,1654.55,1681103.0
3991,2019-03-27,1706.0,1720.0,1661.05,1665.9,1665.9,460961.0
3990,2019-03-26,1710.0,1774.95,1686.65,1707.85,1707.85,509657.0
3989,2019-03-25,1659.8,1710.0,1651.1,1705.75,1705.75,684585.0
3988,2019-03-22,1680.1,1691.6,1655.55,1663.65,1663.65,459571.0
3987,2019-03-20,1694.0,1711.0,1671.25,1675.35,1675.35,426057.0
3986,2019-03-19,1698.0,1713.35,1681.55,1696.0,1696.0,283112.0
3985,2019-03-18,1718.0,1722.55,1684.1,1689.35,1689.35,464384.0
3984,2019-03-15,1697.0,1726.6,1695.0,1708.0,1708.0,830304.0
3983,2019-03-14,1676.65,1704.0,1671.35,1694.5,1694.5,672355.0
3982,2019-03-13,1700.0,1712.25,1661.4,1667.0,1667.0,639516.0
3981,2019-03-12,1700.0,1729.9,1692.65,1699.95,1699.95,885899.0
3980,2019-03-11,1650.1,1695.35,1650.1,1690.65,1690.65,637436.0
3979,2019-03-08,1658.0,1665.9,1636.0,1647.4,1647.4,428683.0
3978,2019-03-07,1707.0,1714.45,1642.0,1650.9,1650.9,800855.0
3977,2019-03-06,1670.0,1725.0,1652.05,1705.9,1705.9,692075.0
3976,2019-03-05,1674.0,1682.95,1659.25,1663.7,1663.7,529749.0
3975,2019-03-01,1650.05,1675.0,1650.05,1669.8,1669.8,480280.0
3974,2019-02-28,1650.0,1663.4,1635.0,1654.25,1654.25,578587.0
3973,2019-02-27,1628.0,1650.0,1618.0,1638.45,1638.45,556471.0
3972,2019-02-26,1570.0,1629.9,1570.0,1621.45,1621.45,857201.0
3971,2019-02-25,1573.0,1604.9,1561.0,1594.75,1594.75,599083.0
3970,2019-02-22,1550.1,1573.45,1546.7,1565.0,1565.0,611185.0
3969,2019-02-21,1553.1,1560.65,1540.0,1550.0,1550.0,799999.0
3968,2019-02-20,1594.9,1594.9,1553.45,1560.55,1560.55,775963.0
3967,2019-02-19,1570.05,1617.7,1525.0,1587.85,1587.85,1840314.0
3966,2019-02-18,1617.9,1621.05,1559.0,1574.75,1574.75,890862.0
3965,2019-02-15,1617.0,1629.4,1530.65,1621.35,1621.35,2159194.0
3964,2019-02-14,1640.0,1648.95,1615.05,1637.45,1637.45,469510.0
3963,2019-02-12,1638.0,1651.2,1613.2,1638.1,1638.1,795159.0
3962,2019-02-11,1677.1,1680.0,1626.0,1635.0,1635.0,880642.0
3961,2019-02-08,1667.0,1700.0,1656.0,1685.1,1685.1,1045291.0
3960,2019-02-07,1645.0,1675.0,1640.05,1670.15,1670.15,753538.0
3959,2019-02-06,1616.15,1659.95,1610.0,1653.25,1653.25,916887.0
3958,2019-02-05,1615.8,1637.0,1610.2,1616.15,1616.15,1031235.0
3957,2019-02-04,1563.95,1619.95,1546.25,1609.45,1609.45,2399611.0
3956,2019-02-01,1511.2,1548.05,1488.65,1532.35,1532.35,609053.0
3955,2019-01-31,1508.9,1519.9,1494.5,1506.2,1506.2,512854.0
3954,2019-01-30,1505.95,1512.95,1492.05,1503.15,1503.15,218871.0
3953,2019-01-29,1475.0,1514.9,1466.0,1504.8,1504.8,424613.0
3952,2019-01-28,1499.4,1499.4,1460.1,1473.45,1473.45,211598.0
3951,2019-01-25,1500.5,1508.0,1487.0,1495.35,1495.35,195017.0
3950,2019-01-24,1508.3,1518.0,1489.6,1493.25,1493.25,365424.0
3949,2019-01-23,1508.0,1512.55,1496.05,1503.3,1503.3,302963.0
3948,2019-01-22,1492.0,1521.8,1485.0,1503.65,1503.65,710962.0
3947,2019-01-21,1515.0,1518.15,1493.65,1497.2,1497.2,351617.0
3946,2019-01-18,1512.75,1520.0,1483.45,1509.15,1509.15,454592.0
3945,2019-01-17,1526.0,1548.0,1499.2,1505.35,1505.35,927211.0
3944,2019-01-16,1526.05,1526.05,1512.65,1519.8,1519.8,362391.0
3943,2019-01-15,1531.0,1535.0,1515.5,1522.2,1522.2,383535.0
3942,2019-01-14,1504.9,1538.85,1504.25,1530.45,1530.45,965710.0
3941,2019-01-11,1519.95,1533.7,1497.85,1505.15,1505.15,1149372.0
3940,2019-01-10,1470.7,1525.55,1467.25,1520.45,1520.45,1072651.0
3939,2019-01-09,1460.85,1477.0,1460.0,1473.25,1473.25,248643.0
3938,2019-01-08,1488.8,1490.0,1455.1,1458.85,1458.85,345960.0
3937,2019-01-07,1470.0,1495.0,1461.35,1486.0,1486.0,456830.0
3936,2019-01-04,1437.9,1471.2,1428.25,1460.5,1460.5,391849.0
3935,2019-01-03,1479.6,1482.8,1432.1,1437.9,1437.9,536515.0
3934,2019-01-02,1476.9,1483.6,1461.4,1470.9,1470.9,247208.0
3933,2019-01-01,1485.0,1491.05,1469.05,1475.45,1475.45,254899.0
3932,2018-12-31,1475.0,1493.5,1465.0,1482.65,1482.65,420785.0
3931,2018-12-28,1475.1,1482.0,1462.05,1467.2,1467.2,305371.0
3930,2018-12-27,1465.0,1480.0,1448.15,1471.15,1471.15,434791.0
3929,2018-12-26,1438.4,1459.0,1428.05,1455.8,1455.8,345177.0
3928,2018-12-24,1489.5,1490.0,1433.55,1447.15,1447.15,849081.0
3927,2018-12-21,1514.95,1519.0,1470.2,1474.8,1474.8,552808.0
3926,2018-12-20,1500.6,1523.9,1500.6,1512.6,1512.6,451924.0
3925,2018-12-19,1505.0,1525.9,1485.0,1516.15,1516.15,650629.0
3924,2018-12-18,1483.9,1501.45,1475.9,1496.4,1496.4,545698.0
3923,2018-12-17,1498.9,1516.9,1475.5,1483.1,1483.1,594795.0
3922,2018-12-14,1518.1,1529.35,1477.25,1491.4,1491.4,793454.0
3921,2018-12-13,1536.0,1553.15,1515.75,1522.0,1522.0,773320.0
3920,2018-12-12,1485.0,1535.0,1483.45,1528.9,1528.9,845326.0
3919,2018-12-11,1456.0,1506.45,1455.0,1478.05,1478.05,648455.0
3918,2018-12-10,1465.1,1485.0,1452.95,1472.65,1472.65,569332.0
3917,2018-12-07,1472.0,1497.9,1455.2,1491.8,1491.8,839928.0
3916,2018-12-06,1480.0,1490.0,1446.2,1459.4,1459.4,679445.0
3915,2018-12-05,1490.1,1502.8,1463.05,1480.35,1480.35,838036.0
3914,2018-12-04,1462.3,1499.9,1451.35,1493.1,1493.1,1136996.0
3913,2018-12-03,1424.7,1469.9,1420.05,1456.75,1456.75,952050.0
3912,2018-11-30,1461.0,1481.1,1420.0,1439.35,1439.35,12273274.0
3911,2018-11-29,1485.0,1490.6,1445.4,1456.55,1456.55,1613812.0
3910,2018-11-28,1520.0,1525.65,1467.0,1480.1,1480.1,772057.0
3909,2018-11-27,1513.95,1530.0,1496.1,1523.15,1523.15,1263798.0
3908,2018-11-26,1534.0,1555.0,1499.15,1506.05,1506.05,1535951.0
3907,2018-11-22,1544.0,1573.0,1510.1,1529.3,1529.3,1282102.0
3906,2018-11-21,1546.9,1552.5,1524.75,1538.6,1538.6,841267.0
3905,2018-11-20,1555.0,1569.0,1530.1,1534.3,1534.3,508270.0
3904,2018-11-19,1565.0,1578.0,1545.0,1562.25,1562.25,755395.0
3903,2018-11-16,1530.8,1575.0,1527.6,1558.7,1558.7,1664868.0
3902,2018-11-15,1509.0,1548.0,1486.2,1530.8,1530.8,1004108.0
3901,2018-11-14,1543.35,1554.7,1484.35,1503.85,1503.85,2290976.0
3900,2018-11-13,1510.0,1537.0,1485.65,1530.6,1530.6,953328.0
3899,2018-11-12,1547.0,1562.95,1497.15,1511.75,1511.75,1464492.0
3898,2018-11-09,1504.9,1562.85,1504.0,1548.95,1548.95,1937340.0
3897,2018-11-07,1490.0,1505.0,1480.9,1497.5,1497.5,138777.0
3896,2018-11-06,1466.0,1484.0,1443.75,1477.8,1477.8,873983.0
3895,2018-11-05,1499.5,1501.55,1454.5,1466.45,1466.45,835508.0
3894,2018-11-02,1512.0,1523.95,1486.15,1499.25,1499.25,924743.0
3893,2018-11-01,1478.0,1516.95,1469.8,1505.55,1505.55,953639.0
3892,2018-10-31,1485.0,1512.0,1463.6,1484.5,1484.5,1801064.0
3891,2018-10-30,1444.25,1500.5,1436.5,1485.75,1485.75,3338430.0
3890,2018-10-29,1330.0,1452.65,1324.85,1440.15,1440.15,5731814.0
3889,2018-10-26,1261.0,1278.4,1236.75,1255.8,1255.8,858836.0
3888,2018-10-25,1238.0,1265.0,1225.2,1253.0,1253.0,1084503.0
3887,2018-10-24,1255.3,1270.0,1212.5,1241.0,1241.0,1237155.0
3886,2018-10-23,1285.0,1311.9,1241.5,1249.7,1249.7,962440.0
3885,2018-10-22,1287.0,1305.0,1277.0,1292.05,1292.05,503682.0
3884,2018-10-19,1310.0,1340.65,1278.4,1285.25,1285.25,1205785.0
3883,2018-10-17,1315.0,1319.45,1291.7,1301.2,1301.2,693098.0
3882,2018-10-16,1306.75,1324.7,1281.0,1307.6,1307.6,815814.0
3881,2018-10-15,1285.95,1312.65,1277.0,1299.75,1299.75,791699.0
3880,2018-10-12,1259.9,1296.75,1259.9,1282.3,1282.3,825580.0
3879,2018-10-11,1260.0,1292.0,1235.3,1250.95,1250.95,675008.0
3878,2018-10-10,1247.0,1305.0,1246.95,1297.75,1297.75,868523.0
3877,2018-10-09,1278.0,1297.2,1235.45,1248.05,1248.05,1206742.0
3876,2018-10-08,1273.9,1294.7,1250.05,1277.45,1277.45,707482.0
3875,2018-10-05,1275.0,1315.0,1268.4,1281.65,1281.65,876772.0
3874,2018-10-04,1304.0,1305.7,1260.25,1283.9,1283.9,1197193.0
3873,2018-10-03,1305.1,1325.9,1283.5,1309.15,1309.15,937244.0
3872,2018-10-01,1314.1,1329.45,1281.0,1319.6,1319.6,842259.0
3871,2018-09-28,1366.05,1383.7,1295.85,1310.9,1310.9,1189157.0
3870,2018-09-27,1386.1,1395.75,1361.1,1365.9,1365.9,645479.0
3869,2018-09-26,1400.0,1425.0,1371.05,1385.35,1385.35,1804070.0
3868,2018-09-25,1365.0,1396.0,1355.1,1388.4,1388.4,1029316.0
3867,2018-09-24,1387.9,1401.6,1348.65,1361.75,1361.75,890761.0
3866,2018-09-21,1407.9,1407.9,1304.05,1387.95,1387.95,1484382.0
3865,2018-09-19,1379.75,1408.0,1370.0,1391.15,1391.15,1346458.0
3864,2018-09-18,1366.0,1393.0,1353.1,1379.8,1379.8,1408422.0
3863,2018-09-17,1328.0,1403.05,1317.05,1364.7,1364.7,4137410.0
3862,2018-09-14,1280.05,1334.0,1275.45,1329.55,1329.55,1525334.0
3861,2018-09-12,1243.0,1290.75,1233.1,1271.55,1271.55,1186268.0
3860,2018-09-11,1278.8,1290.25,1232.8,1244.65,1244.65,837631.0
3859,2018-09-10,1312.9,1329.0,1268.05,1278.8,1278.8,826691.0
3858,2018-09-07,1319.0,1331.4,1300.85,1313.5,1313.5,1139483.0
3857,2018-09-06,1290.0,1324.0,1281.2,1317.0,1317.0,1723420.0
3856,2018-09-05,1269.9,1293.25,1259.05,1278.05,1278.05,811104.0
3855,2018-09-04,1290.0,1297.4,1254.05,1263.65,1263.65,716718.0
3854,2018-09-03,1314.9,1327.0,1278.0,1287.1,1287.1,873820.0
3853,2018-08-31,1298.0,1328.0,1295.0,1305.9,1305.9,1235827.0
3852,2018-08-30,1280.1,1307.0,1266.75,1300.85,1290.85,1028865.0
3851,2018-08-29,1272.0,1313.45,1268.25,1276.75,1266.9353,1565025.0
