,Date,Open,High,Low,Close,Adj Close,Volume
2836,2019-06-14,178.15,182.65,178.15,180.0,180.0,1013929.0
2835,2019-06-13,182.4,182.4,177.4,180.1,180.1,938112.0
2834,2019-06-12,184.45,185.0,180.0,180.95,180.95,681333.0
2833,2019-06-11,182.7,186.7,178.45,185.0,185.0,1529499.0
2832,2019-06-10,183.05,186.5,180.0,181.2,181.2,964778.0
2831,2019-06-07,184.0,184.0,172.7,180.25,180.25,2963089.0
2830,2019-06-06,199.8,199.9,183.1,185.35,185.35,2207254.0
2829,2019-06-04,205.0,210.5,198.55,200.45,200.45,2783768.0
2828,2019-06-03,200.8,207.0,198.25,205.3,205.3,3259493.0
2827,2019-05-31,194.0,205.0,192.75,202.85,202.85,7532786.0
2826,2019-05-30,184.0,193.2,183.1,192.0,192.0,2891054.0
2825,2019-05-29,181.0,184.85,178.55,183.1,183.1,1167508.0
2824,2019-05-28,190.0,190.0,180.45,182.35,182.35,1557458.0
2823,2019-05-27,183.5,189.9,176.05,189.0,189.0,2687024.0
2822,2019-05-24,174.65,184.4,171.9,182.6,182.6,2079847.0
2821,2019-05-23,184.85,187.95,170.05,172.75,172.75,2598139.0
2820,2019-05-22,182.5,184.65,177.45,182.15,182.15,2926923.0
2819,2019-05-21,173.25,183.7,173.25,180.65,180.65,3572850.0
2818,2019-05-20,167.0,172.25,160.1,170.6,170.6,2919353.0
2817,2019-05-17,154.4,158.6,151.65,153.8,153.8,1031987.0
2816,2019-05-16,157.0,157.75,151.2,154.4,154.4,1071832.0
2815,2019-05-15,157.95,163.0,151.0,155.95,155.95,2277632.0
2814,2019-05-14,164.55,165.4,146.05,156.2,156.2,3545246.0
2813,2019-05-13,159.2,165.5,159.05,163.7,163.7,3046831.0
2812,2019-05-10,152.7,159.5,152.55,158.75,158.75,1978384.0
2811,2019-05-09,147.7,153.75,146.6,152.05,152.05,2157081.0
2810,2019-05-08,139.0,150.0,137.25,146.5,146.5,4042359.0
2809,2019-05-07,141.1,142.4,139.0,139.45,139.45,1746651.0
2808,2019-05-06,139.0,143.6,139.0,139.95,139.95,3055941.0
2807,2019-05-03,139.0,144.1,138.5,141.9,141.9,2053100.0
2806,2019-05-02,147.5,148.0,139.0,140.05,140.05,2874347.0
2805,2019-04-30,157.1,157.1,147.45,148.75,148.75,2905216.0
2804,2019-04-26,163.0,165.85,158.4,159.8,159.8,1349646.0
2803,2019-04-25,167.4,169.1,164.0,164.55,164.55,608295.0
2802,2019-04-24,169.0,170.0,162.5,167.35,167.35,1173924.0
2801,2019-04-23,171.0,171.9,166.8,168.2,168.2,1303300.0
2800,2019-04-22,179.05,179.5,170.1,171.8,171.8,884212.0
2799,2019-04-18,182.75,182.75,173.6,179.45,179.45,2299749.0
2798,2019-04-16,177.9,180.9,176.0,179.35,179.35,1055320.0
2797,2019-04-15,179.0,179.95,174.7,175.3,175.3,1106441.0
2796,2019-04-12,183.85,184.05,177.1,178.4,178.4,1149033.0
2795,2019-04-11,188.4,189.5,181.05,183.25,183.25,990983.0
2794,2019-04-10,186.4,190.55,185.55,187.95,187.95,1034380.0
2793,2019-04-09,190.9,191.9,185.5,186.15,186.15,1170023.0
2792,2019-04-08,190.0,194.4,186.15,191.2,191.2,1453996.0
2791,2019-04-05,186.55,193.5,186.25,192.65,192.65,1385673.0
2790,2019-04-04,188.8,189.65,184.15,186.85,186.85,1114958.0
2789,2019-04-03,194.8,195.75,186.35,187.7,187.7,1371875.0
2788,2019-04-02,192.9,195.9,187.5,193.3,193.3,1525617.0
2787,2019-04-01,196.9,198.5,192.0,193.85,193.85,996782.0
2786,2019-03-28,192.0,196.9,189.05,194.2,194.2,3358162.0
2785,2019-03-27,187.0,191.65,186.05,189.55,189.55,3165534.0
2784,2019-03-26,189.0,190.35,184.2,186.6,186.6,2443971.0
2783,2019-03-25,193.2,193.2,183.0,184.6,184.6,2634917.0
2782,2019-03-22,198.0,198.5,194.0,196.7,196.7,1911815.0
2781,2019-03-20,198.4,198.8,193.85,197.5,197.5,2515328.0
2780,2019-03-19,188.0,198.25,187.9,197.7,197.7,5999644.0
2779,2019-03-18,191.0,191.65,185.45,187.5,187.5,2075211.0
2778,2019-03-15,189.0,195.5,186.05,187.85,187.85,5402209.0
2777,2019-03-14,184.2,189.3,184.0,188.0,188.0,4414232.0
2776,2019-03-13,179.8,185.5,174.6,182.45,182.45,3678974.0
2775,2019-03-12,174.1,181.2,172.1,179.7,179.7,5254330.0
2774,2019-03-11,163.5,174.2,163.5,173.25,173.25,5064719.0
2773,2019-03-08,163.1,163.95,161.05,162.5,162.5,2384564.0
