,Date,Open,High,Low,Close,Adj Close,Volume
3174,2019-06-14,338.4,338.4,330.0,331.95,331.95,271123.0
3173,2019-06-13,340.0,340.95,333.7,336.75,336.75,179596.0
3172,2019-06-12,339.7,341.0,337.15,339.45,339.45,105993.0
3171,2019-06-11,343.9,343.9,337.9,339.7,339.7,135209.0
3170,2019-06-10,343.95,345.55,337.1,343.1,343.1,209298.0
3169,2019-06-07,351.0,353.0,340.0,341.3,341.3,179001.0
3168,2019-06-06,346.45,349.45,342.1,347.2,347.2,266282.0
3167,2019-06-04,350.0,352.9,345.0,346.45,346.45,109993.0
3166,2019-06-03,351.0,354.25,348.0,349.35,349.35,155681.0
3165,2019-05-31,345.9,350.95,343.8,348.3,348.3,218844.0
3164,2019-05-30,342.95,346.0,332.95,343.1,343.1,302533.0
3163,2019-05-29,341.75,347.45,340.0,342.75,342.75,526315.0
3162,2019-05-28,350.0,353.0,340.2,341.75,341.75,553644.0
3161,2019-05-27,362.4,370.0,356.1,357.6,357.6,217405.0
3160,2019-05-24,356.55,360.5,356.3,359.7,359.7,176479.0
3159,2019-05-23,359.95,360.55,352.4,356.55,356.55,256150.0
3158,2019-05-22,367.0,368.0,355.25,356.95,356.95,809819.0
3157,2019-05-21,369.5,373.15,356.0,360.35,360.35,214740.0
3156,2019-05-20,372.35,376.35,364.55,367.7,367.7,444223.0
3155,2019-05-17,373.0,380.05,364.05,368.7,368.7,414106.0
3154,2019-05-16,378.9,383.45,372.0,375.25,375.25,276555.0
3153,2019-05-15,362.3,383.4,362.3,378.9,378.9,462910.0
3152,2019-05-14,365.0,368.0,356.2,364.65,364.65,503298.0
3151,2019-05-13,366.0,369.95,355.65,367.05,367.05,176336.0
3150,2019-05-10,367.75,374.9,357.0,367.35,367.35,192802.0
3149,2019-05-09,367.5,370.1,362.0,367.65,367.65,254057.0
3148,2019-05-08,372.0,378.0,365.6,371.05,371.05,250334.0
3147,2019-05-07,382.0,383.5,370.0,374.85,374.85,158483.0
3146,2019-05-06,377.95,380.0,373.05,378.9,378.9,101774.0
3145,2019-05-03,383.15,386.3,376.0,378.75,378.75,147323.0
3144,2019-05-02,385.85,388.35,380.0,383.15,383.15,96743.0
3143,2019-04-30,385.95,392.0,382.0,387.2,387.2,107297.0
3142,2019-04-26,395.0,395.2,385.0,386.5,386.5,116170.0
3141,2019-04-25,393.3,396.0,392.0,394.5,394.5,78677.0
3140,2019-04-24,393.35,396.85,390.65,392.9,392.9,133891.0
3139,2019-04-23,393.7,397.0,389.25,392.85,392.85,328840.0
3138,2019-04-22,394.0,395.15,390.45,391.35,391.35,92205.0
3137,2019-04-18,395.0,397.75,391.2,394.2,394.2,187496.0
3136,2019-04-16,399.95,403.4,390.0,396.85,396.85,573453.0
3135,2019-04-15,403.3,403.95,393.5,398.15,398.15,210214.0
3134,2019-04-12,401.9,406.95,400.2,401.45,401.45,86331.0
3133,2019-04-11,406.2,407.4,399.95,402.45,402.45,141805.0
3132,2019-04-10,402.0,407.9,400.6,406.25,406.25,119254.0
3131,2019-04-09,410.0,411.2,400.0,402.45,402.45,196145.0
3130,2019-04-08,412.8,412.8,408.3,410.1,410.1,100999.0
3129,2019-04-05,409.7,414.65,405.8,412.0,412.0,411925.0
3128,2019-04-04,410.0,414.6,407.5,410.6,410.6,344440.0
3127,2019-04-03,413.9,415.4,405.7,408.9,408.9,434509.0
3126,2019-04-02,405.0,415.0,405.0,410.0,410.0,443970.0
3125,2019-04-01,401.9,409.6,401.05,404.2,404.2,246572.0
3124,2019-03-28,398.4,405.0,396.0,397.75,397.75,167935.0
3123,2019-03-27,396.0,411.6,392.0,397.95,397.95,768136.0
3122,2019-03-26,394.0,396.0,391.05,393.25,393.25,204307.0
3121,2019-03-25,394.7,397.1,390.1,392.15,392.15,252213.0
3120,2019-03-22,397.0,400.0,392.2,397.1,397.1,455986.0
3119,2019-03-20,397.75,401.75,396.0,397.7,397.7,427779.0
3118,2019-03-19,400.1,401.9,395.6,397.75,397.75,241804.0
3117,2019-03-18,396.25,401.0,395.0,397.05,397.05,858441.0
3116,2019-03-15,401.9,402.9,387.0,393.7,393.7,811161.0
3115,2019-03-14,402.15,402.15,397.3,398.85,398.85,139186.0
3114,2019-03-13,402.0,403.45,398.0,399.85,399.85,397616.0
3113,2019-03-12,401.0,407.95,399.25,400.3,400.3,294779.0
3112,2019-03-11,385.1,400.05,383.25,397.7,397.7,957202.0
3111,2019-03-08,392.0,394.85,381.1,383.1,383.1,620653.0
3110,2019-03-07,400.0,402.6,390.25,391.6,391.6,205340.0
3109,2019-03-06,402.0,405.0,397.5,398.75,398.75,131850.0
3108,2019-03-05,394.0,402.0,394.0,399.2,399.2,165397.0
3107,2019-03-01,396.4,402.0,393.15,395.6,395.6,297298.0
3106,2019-02-28,400.0,400.7,388.0,391.75,391.75,973062.0
3105,2019-02-27,400.9,404.5,396.1,399.7,399.7,307874.0
3104,2019-02-26,388.0,406.9,385.5,399.15,399.15,418376.0
3103,2019-02-25,399.9,405.0,397.0,398.6,398.6,260198.0
3102,2019-02-22,396.8,403.0,395.0,399.65,399.65,631883.0
3101,2019-02-21,390.0,410.0,385.45,395.5,395.5,1597468.0
3100,2019-02-20,408.0,412.0,391.0,395.15,395.15,1701426.0
3099,2019-02-19,367.0,416.0,364.05,410.0,410.0,8022072.0
3098,2019-02-18,362.15,369.7,356.0,361.95,361.95,1610659.0
3097,2019-02-15,355.95,362.9,348.0,359.95,359.95,972283.0
3096,2019-02-14,358.0,361.3,350.2,354.2,354.2,396017.0
3095,2019-02-12,368.0,370.75,353.0,359.4,359.4,1883878.0
3094,2019-02-11,380.05,385.7,336.2,369.2,369.2,1813844.0
3093,2019-02-08,395.0,396.7,380.1,383.35,383.35,427932.0
3092,2019-02-07,404.85,405.8,392.7,397.65,397.65,903932.0
3091,2019-02-06,405.7,409.0,400.3,403.4,403.4,274961.0
3090,2019-02-05,409.9,409.9,402.0,405.35,405.35,70860.0
3089,2019-02-04,414.0,414.0,405.1,408.15,408.15,60211.0
3088,2019-02-01,415.0,419.3,408.1,414.5,414.5,111967.0
3087,2019-01-31,421.15,422.5,401.0,410.9,410.9,538960.0
3086,2019-01-30,405.5,424.95,398.3,415.75,415.75,259610.0
3085,2019-01-29,403.2,408.0,395.65,403.4,403.4,205766.0
3084,2019-01-28,422.0,425.0,391.0,405.65,405.65,364195.0
3083,2019-01-25,422.0,428.0,415.3,418.95,418.95,81317.0
3082,2019-01-24,421.0,421.2,413.1,418.8,418.8,63993.0
3081,2019-01-23,426.0,426.5,414.1,417.9,417.9,737527.0
3080,2019-01-22,427.0,428.65,416.1,423.95,423.95,43938.0
3079,2019-01-21,435.6,440.3,422.8,427.55,427.55,54465.0
3078,2019-01-18,437.0,437.3,430.0,433.5,433.5,238313.0
3077,2019-01-17,438.75,439.2,432.0,437.55,437.55,94021.0
3076,2019-01-16,439.9,440.9,432.0,435.85,435.85,54879.0
3075,2019-01-15,427.55,441.9,427.55,439.45,439.45,630693.0
3074,2019-01-14,435.7,447.8,421.0,426.7,426.7,500904.0
3073,2019-01-11,421.1,437.9,421.1,433.05,433.05,348976.0
3072,2019-01-10,421.4,426.85,420.3,423.55,423.55,68315.0
3071,2019-01-09,423.0,425.6,420.35,421.4,421.4,80911.0
3070,2019-01-08,421.0,424.85,418.25,422.75,422.75,167556.0
3069,2019-01-07,420.15,422.0,417.0,418.7,418.7,50930.0
3068,2019-01-04,422.6,423.25,414.0,418.75,418.75,53267.0
3067,2019-01-03,421.6,429.2,419.95,421.85,421.85,115813.0
3066,2019-01-02,421.0,425.5,418.4,422.7,422.7,1138318.0
3065,2019-01-01,418.5,425.5,415.25,418.05,418.05,99409.0
3064,2018-12-31,410.6,425.45,406.3,420.1,420.1,213267.0
3063,2018-12-28,405.4,412.9,404.75,409.15,409.15,120310.0
3062,2018-12-27,406.25,409.85,402.05,405.25,405.25,140756.0
3061,2018-12-26,400.0,408.05,396.0,405.15,405.15,200046.0
3060,2018-12-24,412.5,414.75,400.05,401.85,401.85,498410.0
3059,2018-12-21,425.95,432.85,408.2,412.35,412.35,392330.0
3058,2018-12-20,430.8,430.8,422.2,424.85,424.85,116625.0
3057,2018-12-19,435.55,440.7,428.0,431.45,431.45,120044.0
3056,2018-12-18,438.0,440.5,433.05,435.35,435.35,58478.0
3055,2018-12-17,437.9,441.0,431.0,439.25,439.25,153244.0
3054,2018-12-14,435.95,438.0,429.5,436.3,436.3,82105.0
3053,2018-12-13,437.75,438.9,428.1,435.95,435.95,223748.0
3052,2018-12-12,417.5,437.0,414.85,434.25,434.25,522718.0
3051,2018-12-11,402.0,416.7,399.0,414.5,414.5,93188.0
3050,2018-12-10,402.85,410.0,397.05,403.45,403.45,79335.0
3049,2018-12-07,416.15,424.45,404.0,404.9,404.9,891073.0
3048,2018-12-06,431.0,431.0,411.05,415.85,415.85,441987.0
3047,2018-12-05,439.75,439.75,431.1,434.2,434.2,40604.0
3046,2018-12-04,436.8,445.8,432.2,440.45,440.45,146908.0
3045,2018-12-03,440.0,440.1,432.0,434.4,434.4,136267.0
3044,2018-11-30,439.0,443.95,425.15,437.45,437.45,558754.0
3043,2018-11-29,431.55,443.55,430.8,435.6,435.6,159695.0
3042,2018-11-28,440.35,447.6,425.0,430.7,430.7,245736.0
3041,2018-11-27,438.95,444.0,433.85,440.35,440.35,96705.0
3040,2018-11-26,436.1,441.8,432.05,438.95,438.95,195838.0
3039,2018-11-22,442.45,451.0,430.0,434.85,434.85,1455839.0
3038,2018-11-21,441.3,445.7,433.5,442.45,442.45,251278.0
3037,2018-11-20,456.85,457.9,438.05,444.7,444.7,119029.0
3036,2018-11-19,463.95,465.95,453.55,455.9,455.9,121252.0
3035,2018-11-16,459.9,466.65,452.5,461.3,461.3,136552.0
3034,2018-11-15,434.5,469.7,430.0,460.35,460.35,209819.0
3033,2018-11-14,432.15,440.85,432.05,437.15,437.15,77830.0
3032,2018-11-13,434.0,439.85,417.0,435.55,435.55,1057102.0
3031,2018-11-12,428.0,436.6,419.55,434.1,434.1,121377.0
3030,2018-11-09,429.0,429.0,412.85,419.2,419.2,326134.0
3029,2018-11-07,418.9,423.3,418.9,421.25,421.25,13797.0
3028,2018-11-06,425.0,425.0,415.0,417.15,417.15,84007.0
3027,2018-11-05,425.0,428.95,415.05,425.0,425.0,221218.0
3026,2018-11-02,400.85,425.85,398.65,421.75,421.75,535081.0
3025,2018-11-01,398.85,403.55,394.5,396.35,396.35,343292.0
3024,2018-10-31,397.0,399.1,385.2,395.1,395.1,454417.0
3023,2018-10-30,400.75,418.0,396.1,402.4,402.4,649844.0
3022,2018-10-29,400.05,403.55,395.1,399.65,399.65,92540.0
3021,2018-10-26,404.9,404.9,391.3,396.25,396.25,238579.0
3020,2018-10-25,409.0,415.95,400.45,405.4,405.4,133233.0
3019,2018-10-24,424.0,425.8,408.3,418.25,418.25,891267.0
3018,2018-10-23,419.95,436.8,409.0,422.05,422.05,245162.0
3017,2018-10-22,434.8,434.8,416.0,419.95,419.95,152427.0
3016,2018-10-19,431.0,435.0,415.35,432.4,432.4,262897.0
3015,2018-10-17,449.5,452.5,428.0,431.2,431.2,179059.0
3014,2018-10-16,447.0,450.1,441.1,446.8,446.8,78591.0
3013,2018-10-15,449.0,456.85,442.25,447.35,447.35,125140.0
3012,2018-10-12,443.0,452.5,432.5,443.8,443.8,576261.0
3011,2018-10-11,420.1,445.0,413.6,438.75,438.75,367447.0
3010,2018-10-10,426.35,445.85,407.3,434.3,434.3,565424.0
3009,2018-10-09,455.7,456.0,399.95,422.35,422.35,1263237.0
3008,2018-10-08,444.0,460.0,440.05,452.95,452.95,337439.0
3007,2018-10-05,470.0,470.0,415.0,446.85,446.85,1567636.0
3006,2018-10-04,490.0,494.5,466.0,473.75,473.75,265583.0
3005,2018-10-03,498.45,514.95,491.0,494.8,494.8,199301.0
3004,2018-10-01,497.2,502.45,478.2,498.45,498.45,122440.0
3003,2018-09-28,498.0,509.25,488.0,494.45,494.45,253544.0
3002,2018-09-27,522.0,527.0,475.05,494.0,494.0,431997.0
3001,2018-09-26,511.05,530.15,505.5,522.4,522.4,427090.0
3000,2018-09-25,521.85,521.85,500.15,507.9,507.9,327088.0
2999,2018-09-24,514.75,528.05,504.55,518.85,518.85,142667.0
2998,2018-09-21,537.0,540.0,500.0,505.05,505.05,333671.0
2997,2018-09-19,548.9,553.95,522.2,527.75,527.75,134150.0
2996,2018-09-18,548.0,555.3,543.0,545.6,545.6,121375.0
2995,2018-09-17,549.0,553.5,543.3,547.15,547.15,74398.0
2994,2018-09-14,552.0,560.0,548.6,555.7,555.7,246396.0
2993,2018-09-12,554.0,558.75,537.0,547.2,547.2,156567.0
2992,2018-09-11,558.3,561.2,552.0,554.35,554.35,53972.0
2991,2018-09-10,556.85,568.1,555.15,558.05,558.05,169744.0
2990,2018-09-07,569.5,569.5,554.0,556.3,556.3,100872.0
2989,2018-09-06,566.0,572.5,555.15,566.15,566.15,90203.0
2988,2018-09-05,571.0,572.75,553.1,563.75,563.75,68731.0
2987,2018-09-04,577.4,585.0,565.0,573.35,573.35,467392.0
2986,2018-09-03,567.5,588.0,564.65,578.65,578.65,620799.0
2985,2018-08-31,571.0,578.0,563.0,564.65,564.65,267227.0
2984,2018-08-30,567.0,574.9,561.05,571.65,571.65,285460.0
2983,2018-08-29,554.0,570.0,554.0,565.2,565.2,1982608.0
2982,2018-08-28,551.0,562.0,550.1,553.85,553.85,340385.0
2981,2018-08-27,559.0,563.75,536.1,548.15,548.15,332419.0
2980,2018-08-24,559.95,579.65,550.6,559.7,559.7,1386719.0
2979,2018-08-23,563.0,568.8,558.0,559.15,559.15,266191.0
2978,2018-08-21,563.0,570.0,563.0,566.3,566.3,80825.0
2977,2018-08-20,578.0,578.0,560.0,564.35,564.35,324950.0
2976,2018-08-17,553.5,577.0,553.5,574.3,574.3,341194.0
2975,2018-08-16,570.0,573.0,549.45,551.0,551.0,383196.0
2974,2018-08-14,573.05,580.4,570.5,573.5,573.5,97556.0
2973,2018-08-13,580.0,584.6,570.1,574.85,574.85,165152.0
2972,2018-08-10,583.0,585.2,575.05,578.65,578.65,515519.0
2971,2018-08-09,576.0,584.0,571.5,581.35,581.35,94541.0
2970,2018-08-08,576.8,588.0,572.0,579.75,579.75,368321.0
2969,2018-08-07,576.9,579.65,568.0,572.8,572.8,342094.0
2968,2018-08-06,568.0,578.25,566.15,573.6,573.6,145941.0
2967,2018-08-03,572.5,577.4,564.1,568.55,568.55,328942.0
2966,2018-08-02,567.5,579.25,561.0,568.95,568.95,496327.0
2965,2018-08-01,594.9,599.8,548.0,567.5,567.5,3060524.0
2964,2018-07-31,567.7,595.0,565.15,591.2,591.2,1472713.0
2963,2018-07-30,559.0,568.95,559.0,564.5,564.5,105192.0
2962,2018-07-27,554.6,572.2,552.4,566.65,566.65,201259.0
2961,2018-07-26,552.2,559.75,549.05,554.65,554.65,100700.0
2960,2018-07-25,554.0,560.1,545.8,550.3,550.3,208362.0
2959,2018-07-24,568.0,571.1,545.1,551.95,551.95,160080.0
2958,2018-07-23,562.0,573.95,551.0,566.9,566.9,258146.0
2957,2018-07-20,550.5,569.5,550.0,559.05,559.05,229385.0
2956,2018-07-19,549.9,555.9,545.0,549.2,549.2,168603.0
2955,2018-07-18,531.0,555.0,531.0,550.4,550.4,1156387.0
