,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,117.7,118.15,116.1,116.5,116.5,456006.0
4873,2019-06-13,117.2,118.3,115.55,117.05,117.05,700524.0
4872,2019-06-12,118.95,120.1,117.05,117.65,117.65,1262617.0
4871,2019-06-11,117.5,119.5,115.9,118.85,118.85,1004223.0
4870,2019-06-10,119.0,119.65,116.05,116.7,116.7,695705.0
4869,2019-06-07,117.45,120.2,116.0,118.65,118.65,880966.0
4868,2019-06-06,121.0,122.0,116.75,117.25,117.25,1031323.0
4867,2019-06-04,121.75,122.65,120.55,121.1,121.1,946941.0
4866,2019-06-03,121.6,124.75,118.9,122.75,122.75,1321248.0
4865,2019-05-31,125.65,126.3,120.5,121.6,121.6,1906945.0
4864,2019-05-30,121.75,126.45,121.05,125.05,125.05,3579026.0
4863,2019-05-29,126.0,126.2,121.0,121.9,121.9,918521.0
4862,2019-05-28,127.75,128.3,123.35,125.35,125.35,3118009.0
4861,2019-05-27,121.95,128.7,120.2,127.55,127.55,6122758.0
4860,2019-05-24,117.3,120.65,116.0,120.0,120.0,3772554.0
4859,2019-05-23,115.0,118.65,113.7,115.5,115.5,5656274.0
4858,2019-05-22,113.1,113.8,110.9,113.25,113.25,1135007.0
4857,2019-05-21,115.9,116.0,111.8,112.55,112.55,1391159.0
4856,2019-05-20,114.9,116.0,111.1,115.55,115.55,4746190.0
4855,2019-05-17,107.35,109.15,106.7,108.2,108.2,1049439.0
4854,2019-05-16,105.2,107.45,104.75,106.9,106.9,592278.0
4853,2019-05-15,107.4,109.45,104.5,105.15,105.15,1375482.0
4852,2019-05-14,104.0,108.0,102.5,107.4,107.4,1515394.0
4851,2019-05-13,108.95,108.95,103.3,103.75,103.75,1315005.0
4850,2019-05-10,108.5,109.7,107.5,109.35,109.35,723535.0
4849,2019-05-09,106.7,108.45,105.9,107.95,107.95,855385.0
4848,2019-05-08,107.9,108.25,106.25,106.7,106.7,1087422.0
4847,2019-05-07,109.5,111.05,107.8,108.3,108.3,700789.0
