,Date,Open,High,Low,Close,Adj Close,Volume
482,2019-06-14,500.5,520.0,495.1,499.4,499.4,8353.0
481,2019-06-13,490.0,514.15,490.0,510.0,510.0,36842.0
480,2019-06-12,504.9,504.9,492.65,497.9,497.9,12162.0
479,2019-06-11,503.05,511.0,486.65,499.3,499.3,104837.0
478,2019-06-10,517.0,518.0,495.1,503.1,503.1,13588.0
477,2019-06-07,504.05,520.0,504.0,516.65,516.65,12032.0
476,2019-06-06,506.05,515.0,502.85,513.45,513.45,8003.0
475,2019-06-04,518.8,518.8,506.05,509.9,509.9,17260.0
474,2019-06-03,529.9,529.9,507.05,513.9,513.9,22454.0
473,2019-05-31,521.65,534.0,510.0,524.25,524.25,32569.0
472,2019-05-30,525.0,535.0,513.0,515.0,515.0,27733.0
471,2019-05-29,519.0,530.7,519.0,525.75,525.75,15636.0
470,2019-05-28,506.0,520.0,506.0,518.45,518.45,31727.0
469,2019-05-27,532.0,545.0,501.9,517.1,517.1,50713.0
468,2019-05-24,550.0,559.95,528.1,530.4,530.4,257574.0
467,2019-05-23,573.0,573.5,547.05,549.6,549.6,27947.0
466,2019-05-22,591.5,594.95,563.0,567.35,567.35,191053.0
465,2019-05-21,614.3,614.3,595.25,605.6,605.6,5273.0
464,2019-05-20,610.1,627.15,604.0,614.0,614.0,24423.0
463,2019-05-17,605.1,615.0,602.8,610.05,610.05,3172.0
462,2019-05-16,624.5,624.5,603.75,606.7,606.7,3915.0
461,2019-05-15,624.9,624.9,611.25,617.1,617.1,34900.0
460,2019-05-14,629.85,629.85,610.55,618.85,618.85,47606.0
459,2019-05-13,634.5,634.5,610.0,615.8,615.8,2620.0
458,2019-05-10,614.35,636.15,603.8,629.55,629.55,12120.0
457,2019-05-09,613.0,621.55,598.3,614.6,614.6,5278.0
456,2019-05-08,601.05,607.0,594.8,603.35,603.35,2376.0
455,2019-05-07,612.95,612.95,592.45,601.05,601.05,3114.0
454,2019-05-06,608.0,616.95,607.0,608.6,608.6,2124.0
453,2019-05-03,627.05,628.65,608.2,612.15,612.15,5906.0
452,2019-05-02,623.4,634.75,621.05,625.7,625.7,2751.0
451,2019-04-30,625.0,634.9,620.0,631.95,631.95,10303.0
450,2019-04-26,639.95,639.95,624.0,632.75,632.75,4171.0
449,2019-04-25,630.05,635.0,621.0,633.05,633.05,3780.0
