,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,172.25,174.7,171.15,172.7,172.7,41190.0
4223,2019-06-13,177.0,177.0,172.25,174.1,174.1,32008.0
4222,2019-06-12,181.6,182.4,177.0,177.9,177.9,21115.0
4221,2019-06-11,181.8,183.8,180.8,181.7,181.7,18024.0
4220,2019-06-10,184.35,185.85,181.55,182.4,182.4,43279.0
4219,2019-06-07,181.25,191.0,178.85,187.75,187.75,139089.0
4218,2019-06-06,185.0,188.8,181.65,185.1,185.1,238204.0
4217,2019-06-04,203.0,208.9,202.0,203.1,203.1,584761.0
4216,2019-06-03,198.0,200.0,195.5,199.3,199.3,200892.0
4215,2019-05-31,197.75,200.65,194.15,196.2,196.2,146645.0
4214,2019-05-30,195.85,200.55,195.1,196.15,196.15,208947.0
4213,2019-05-29,188.0,195.7,186.25,194.15,194.15,232606.0
4212,2019-05-28,204.0,204.95,185.6,187.5,187.5,541062.0
4211,2019-05-27,218.0,219.0,201.7,203.6,203.6,612123.0
4210,2019-05-24,188.2,205.0,187.0,198.95,198.95,183227.0
4209,2019-05-23,187.0,190.0,184.5,187.25,187.25,136159.0
4208,2019-05-22,186.0,187.9,173.9,184.3,184.3,236248.0
4207,2019-05-21,169.3,189.0,169.0,181.1,181.1,348171.0
4206,2019-05-20,165.95,173.0,165.95,169.05,169.05,38311.0
4205,2019-05-17,163.0,166.0,162.75,164.45,164.45,13982.0
4204,2019-05-16,163.3,166.1,163.0,163.75,163.75,26542.0
4203,2019-05-15,164.8,167.65,160.8,163.4,163.4,95530.0
4202,2019-05-14,169.9,169.9,163.45,165.0,165.0,45757.0
4201,2019-05-13,167.0,173.0,164.3,165.05,165.05,144652.0
4200,2019-05-10,168.5,169.6,165.05,165.45,165.45,18028.0
4199,2019-05-09,167.5,170.5,166.55,168.05,168.05,39771.0
4198,2019-05-08,166.0,169.85,163.55,167.5,167.5,24569.0
4197,2019-05-07,169.95,170.55,165.05,166.3,166.3,34093.0
4196,2019-05-06,172.1,172.7,168.0,168.95,168.95,43206.0
4195,2019-05-03,171.55,175.3,171.55,173.35,173.35,70585.0
4194,2019-05-02,172.75,176.7,168.55,173.35,173.35,843417.0
4193,2019-04-30,160.5,176.0,154.35,172.75,172.75,440130.0
4192,2019-04-26,162.0,163.6,158.1,158.95,158.95,51466.0
4191,2019-04-25,170.0,171.8,161.0,162.0,162.0,234122.0
4190,2019-04-24,164.0,164.95,162.9,164.2,164.2,11817.0
4189,2019-04-23,163.65,166.0,161.8,162.35,162.35,32489.0
4188,2019-04-22,165.6,171.5,162.05,163.65,163.65,120784.0
4187,2019-04-18,167.8,167.8,163.15,164.15,164.15,17786.0
4186,2019-04-16,166.0,171.85,164.3,166.15,166.15,584050.0
4185,2019-04-15,166.35,168.05,164.05,164.6,164.6,12833.0
