,Date,Open,High,Low,Close,Adj Close,Volume
231,2019-06-14,1443.0,1478.95,1425.0,1442.85,1442.85,26055.0
230,2019-06-13,1474.95,1485.0,1450.05,1459.65,1459.65,6001.0
229,2019-06-12,1500.0,1510.0,1470.0,1479.1,1479.1,4916.0
228,2019-06-11,1497.5,1499.3,1472.45,1480.05,1480.05,45466.0
227,2019-06-10,1505.0,1530.0,1486.25,1494.2,1494.2,17487.0
226,2019-06-07,1526.9,1535.95,1447.0,1490.15,1490.15,13543.0
225,2019-06-06,1594.5,1599.0,1505.5,1516.35,1516.35,16173.0
224,2019-06-04,1582.0,1620.0,1570.0,1577.4,1577.4,14404.0
223,2019-06-03,1559.95,1651.0,1536.6,1584.2,1584.2,23818.0
222,2019-05-31,1501.0,1570.0,1495.0,1546.0,1546.0,20005.0
221,2019-05-30,1489.25,1530.0,1484.75,1498.8,1498.8,9997.0
220,2019-05-29,1450.0,1505.0,1440.0,1489.25,1489.25,5742.0
219,2019-05-28,1467.55,1518.95,1425.1,1472.8,1472.8,17535.0
218,2019-05-27,1519.9,1588.0,1481.75,1498.9,1498.9,19640.0
217,2019-05-24,1440.0,1528.35,1416.15,1500.9,1500.9,19124.0
216,2019-05-23,1448.95,1460.0,1412.5,1431.85,1431.85,8931.0
215,2019-05-22,1418.8,1435.1,1395.0,1421.9,1421.9,29175.0
214,2019-05-21,1389.0,1428.05,1372.45,1381.45,1381.45,7006.0
213,2019-05-20,1419.95,1420.0,1370.0,1382.05,1382.05,3169.0
212,2019-05-17,1358.0,1381.9,1355.0,1363.0,1363.0,6445.0
211,2019-05-16,1368.8,1370.0,1345.05,1362.55,1362.55,3738.0
210,2019-05-15,1354.9,1370.7,1345.1,1350.15,1350.15,4294.0
209,2019-05-14,1345.1,1376.2,1345.1,1350.4,1350.4,2962.0
208,2019-05-13,1385.55,1390.6,1345.1,1355.9,1355.9,2239.0
207,2019-05-10,1380.0,1380.0,1350.5,1370.05,1370.05,2922.0
206,2019-05-09,1348.45,1379.15,1345.1,1360.5,1360.5,3273.0
205,2019-05-08,1415.05,1429.1,1335.0,1366.65,1366.65,16693.0
204,2019-05-07,1425.0,1432.4,1402.0,1419.5,1419.5,3369.0
203,2019-05-06,1436.0,1457.0,1412.75,1421.8,1421.8,8160.0
202,2019-05-03,1429.0,1455.0,1426.35,1435.85,1435.85,7475.0
201,2019-05-02,1389.55,1437.55,1374.95,1428.15,1428.15,10014.0
200,2019-04-30,1389.85,1400.25,1375.0,1389.55,1389.55,4980.0
199,2019-04-26,1398.0,1398.0,1380.0,1389.85,1389.85,3188.0
198,2019-04-25,1404.0,1417.8,1380.0,1390.75,1390.75,6052.0
197,2019-04-24,1332.75,1399.4,1322.0,1383.3,1383.3,21012.0
196,2019-04-23,1321.0,1334.9,1305.1,1320.7,1320.7,4352.0
195,2019-04-22,1305.0,1328.0,1300.2,1302.0,1302.0,3202.0
194,2019-04-18,1340.0,1340.0,1300.2,1308.35,1308.35,5725.0
193,2019-04-16,1317.05,1350.0,1314.4,1346.05,1346.05,7976.0
192,2019-04-15,1293.05,1321.6,1287.2,1317.8,1317.8,5451.0
191,2019-04-12,1310.0,1315.8,1285.55,1295.75,1295.75,2067.0
190,2019-04-11,1307.0,1317.4,1301.1,1309.65,1309.65,1424.0
189,2019-04-10,1331.1,1337.5,1299.7,1307.05,1307.05,2270.0
188,2019-04-09,1310.0,1350.0,1310.0,1339.85,1339.85,14217.0
187,2019-04-08,1329.95,1341.15,1314.0,1321.65,1321.65,3639.0
186,2019-04-05,1320.0,1324.95,1301.85,1314.45,1314.45,2092.0
185,2019-04-04,1339.0,1347.15,1310.0,1315.1,1315.1,3497.0
184,2019-04-03,1325.05,1369.0,1308.95,1333.55,1333.55,28599.0
183,2019-04-02,1286.1,1377.0,1286.0,1321.1,1321.1,32465.0
182,2019-04-01,1240.05,1319.45,1240.05,1291.9,1291.9,8839.0
181,2019-03-28,1265.0,1290.0,1262.0,1268.0,1268.0,1828.0
180,2019-03-27,1226.0,1274.0,1200.05,1267.8,1267.8,5616.0
179,2019-03-26,1257.95,1260.0,1213.1,1227.55,1227.55,3761.0
178,2019-03-25,1243.0,1268.7,1230.15,1257.5,1257.5,11650.0
177,2019-03-22,1285.05,1295.45,1255.0,1260.95,1260.95,2601.0
176,2019-03-20,1319.0,1319.0,1271.0,1276.4,1276.4,15265.0
175,2019-03-19,1307.0,1325.05,1260.0,1310.35,1310.35,26253.0
174,2019-03-18,1233.0,1315.0,1233.0,1291.65,1291.65,23847.0
173,2019-03-15,1175.1,1237.95,1175.1,1231.15,1231.15,5769.0
172,2019-03-14,1175.0,1221.3,1175.0,1195.05,1195.05,1365.0
171,2019-03-13,1221.9,1222.0,1199.0,1203.25,1203.25,4211.0
170,2019-03-12,1181.0,1230.0,1181.0,1204.35,1204.35,16575.0
169,2019-03-11,1229.65,1237.0,1179.0,1186.45,1186.45,5428.0
168,2019-03-08,1199.0,1209.0,1145.2,1200.95,1200.95,206556.0
167,2019-03-07,1168.0,1207.0,1167.15,1201.4,1201.4,5285.0
166,2019-03-06,1142.55,1186.4,1142.55,1180.05,1180.05,12712.0
165,2019-03-05,1139.9,1165.0,1130.1,1148.0,1148.0,17567.0
164,2019-03-01,1134.0,1158.0,1134.0,1136.85,1136.85,7703.0
163,2019-02-28,1127.75,1156.0,1123.5,1145.4,1145.4,2714.0
162,2019-02-27,1117.0,1146.0,1117.0,1131.0,1131.0,6431.0
161,2019-02-26,1118.95,1135.05,1118.95,1125.8,1125.8,1554.0
160,2019-02-25,1154.95,1154.95,1125.0,1129.85,1129.85,1894.0
159,2019-02-22,1111.95,1152.9,1111.95,1148.2,1148.2,4514.0
158,2019-02-21,1112.05,1139.95,1101.2,1124.05,1124.05,3644.0
157,2019-02-20,1110.05,1131.2,1095.05,1127.45,1127.45,2825.0
156,2019-02-19,1108.0,1115.2,1099.0,1102.75,1102.75,1557.0
155,2019-02-18,1145.15,1145.15,1085.35,1110.5,1110.5,2215.0
154,2019-02-15,1130.05,1170.0,1118.0,1145.15,1145.15,5803.0
153,2019-02-14,1122.15,1150.0,1120.1,1130.7,1130.7,5281.0
152,2019-02-12,1100.0,1118.0,1079.0,1085.4,1085.4,2665.0
151,2019-02-11,1061.0,1114.7,1045.1,1101.1,1101.1,4067.0
150,2019-02-08,1108.8,1110.1,1062.15,1080.1,1080.1,3711.0
149,2019-02-07,1072.05,1145.0,1067.7,1092.75,1092.75,6518.0
148,2019-02-06,1056.2,1085.9,1050.05,1066.35,1066.35,1598.0
147,2019-02-05,1082.35,1088.85,1050.0,1052.95,1052.95,2158.0
146,2019-02-04,1090.05,1090.05,1053.05,1070.5,1070.5,4482.0
145,2019-02-01,1129.9,1130.0,1090.0,1099.75,1099.75,2766.0
144,2019-01-31,1044.9,1131.45,1044.9,1117.5,1117.5,25294.0
143,2019-01-30,1030.0,1045.0,1016.05,1033.3,1033.3,11526.0
142,2019-01-29,1060.1,1082.85,1012.0,1028.9,1028.9,4323.0
141,2019-01-28,1120.0,1120.0,1062.0,1067.55,1067.55,11223.0
140,2019-01-25,1141.45,1169.0,1120.0,1125.15,1125.15,6692.0
139,2019-01-24,1168.05,1171.25,1141.0,1148.2,1148.2,2977.0
138,2019-01-23,1133.3,1200.0,1133.3,1168.05,1168.05,116466.0
137,2019-01-22,1146.0,1150.0,1129.9,1144.0,1144.0,6826.0
136,2019-01-21,1155.0,1175.0,1145.25,1146.2,1146.2,3093.0
135,2019-01-18,1185.05,1196.0,1165.1,1170.15,1170.15,66900.0
134,2019-01-17,1188.1,1200.0,1186.0,1193.1,1193.1,2315.0
133,2019-01-16,1188.95,1199.0,1183.0,1183.1,1183.1,1971.0
132,2019-01-15,1188.0,1200.1,1173.05,1186.6,1186.6,5282.0
131,2019-01-14,1204.0,1204.0,1176.25,1186.3,1186.3,1271.0
130,2019-01-11,1190.0,1214.8,1185.0,1190.65,1190.65,2044.0
129,2019-01-10,1199.9,1199.95,1175.2,1179.3,1179.3,1247.0
128,2019-01-09,1160.05,1200.0,1160.05,1198.0,1198.0,4387.0
127,2019-01-08,1182.0,1195.9,1170.05,1177.4,1177.4,2910.0
126,2019-01-07,1212.0,1215.0,1171.1,1174.6,1174.6,12419.0
125,2019-01-04,1211.0,1211.95,1186.6,1203.7,1203.7,2010.0
124,2019-01-03,1196.0,1210.0,1183.0,1200.45,1200.45,3197.0
123,2019-01-02,1219.9,1219.9,1185.0,1202.55,1202.55,4952.0
122,2019-01-01,1199.6,1230.0,1181.0,1212.05,1212.05,12697.0
121,2018-12-31,1181.9,1198.0,1173.05,1188.0,1188.0,2755.0
120,2018-12-28,1197.95,1198.8,1154.0,1176.15,1176.15,2075.0
119,2018-12-27,1177.3,1190.0,1156.45,1177.4,1177.4,3710.0
118,2018-12-26,1189.9,1189.9,1133.3,1168.4,1168.4,8523.0
117,2018-12-24,1155.15,1195.7,1155.15,1167.6,1167.6,5873.0
116,2018-12-21,1239.85,1239.85,1175.0,1183.1,1183.1,8541.0
115,2018-12-20,1193.3,1250.2,1182.9,1217.3,1217.3,96275.0
114,2018-12-19,1174.7,1215.0,1174.7,1197.15,1197.15,5433.0
113,2018-12-18,1170.05,1181.05,1163.05,1174.7,1174.7,2005.0
112,2018-12-17,1187.95,1201.15,1162.1,1171.15,1171.15,3296.0
111,2018-12-14,1179.9,1209.7,1176.0,1178.0,1178.0,1937.0
110,2018-12-13,1207.7,1207.75,1178.85,1189.5,1189.5,5763.0
109,2018-12-12,1148.75,1220.0,1148.75,1200.75,1200.75,8329.0
108,2018-12-11,1130.0,1150.0,1121.7,1145.55,1145.55,5464.0
107,2018-12-10,1165.0,1165.0,1132.55,1140.4,1140.4,3775.0
