,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,308.5,311.55,307.55,308.5,308.5,3959273.0
4873,2019-06-13,310.3,311.8,307.1,308.1,308.1,4076741.0
4872,2019-06-12,307.5,312.5,306.05,310.1,310.1,5657418.0
4871,2019-06-11,309.0,312.0,302.85,306.05,306.05,10093966.0
4870,2019-06-10,319.0,320.0,306.45,307.25,307.25,7120560.0
4869,2019-06-07,317.1,320.9,307.7,313.85,313.85,10176297.0
4868,2019-06-06,335.0,338.65,314.25,316.3,316.3,27978741.0
4867,2019-06-04,356.0,360.35,355.1,358.25,358.25,3121245.0
4866,2019-06-03,362.9,365.4,356.6,357.45,357.45,5344436.0
4865,2019-05-31,360.0,363.1,356.45,361.0,361.0,4580735.0
4864,2019-05-30,355.85,360.5,353.35,359.25,359.25,11515220.0
4863,2019-05-29,350.0,362.1,349.45,353.75,353.75,10595605.0
4862,2019-05-28,353.9,354.7,345.5,348.75,348.75,7007552.0
4861,2019-05-27,343.0,351.0,341.75,348.35,348.35,5400992.0
4860,2019-05-24,338.0,342.6,335.15,341.65,341.65,2542001.0
4859,2019-05-23,342.0,342.65,336.9,337.95,337.95,2040594.0
4858,2019-05-22,338.7,341.75,334.2,336.9,336.9,2579784.0
4857,2019-05-21,350.7,350.8,335.35,338.7,338.7,2503954.0
4856,2019-05-20,340.0,349.3,338.9,345.6,345.6,2679431.0
4855,2019-05-17,331.0,334.1,330.2,333.05,333.05,2085018.0
4854,2019-05-16,333.85,334.4,326.7,329.2,329.2,2821978.0
4853,2019-05-15,343.0,349.4,330.85,331.75,331.75,4159499.0
4852,2019-05-14,332.0,355.3,330.75,345.15,345.15,4563982.0
4851,2019-05-13,341.55,342.8,330.3,332.05,332.05,1673740.0
4850,2019-05-10,341.0,343.8,338.2,341.55,341.55,1859456.0
4849,2019-05-09,337.1,341.45,333.05,340.4,340.4,2761414.0
4848,2019-05-08,341.0,345.15,336.4,337.5,337.5,3681837.0
4847,2019-05-07,348.0,356.95,339.65,340.75,340.75,3456457.0
4846,2019-05-06,341.95,351.15,341.15,346.25,346.25,4334526.0
4845,2019-05-03,346.8,350.9,342.4,345.45,345.45,3652087.0
4844,2019-05-02,353.1,354.85,346.25,347.55,347.55,2823109.0
4843,2019-04-30,351.25,356.85,348.55,355.95,355.95,4601141.0
4842,2019-04-26,342.9,355.3,340.5,353.4,353.4,4241310.0
4841,2019-04-25,346.0,349.0,341.1,343.1,343.1,5132603.0
4840,2019-04-24,341.1,348.0,339.7,346.05,346.05,3445166.0
4839,2019-04-23,337.5,340.9,331.7,339.45,339.45,9101602.0
4838,2019-04-22,351.3,352.4,344.05,344.85,344.85,1444877.0
4837,2019-04-18,354.4,354.4,348.5,351.95,351.95,2694358.0
4836,2019-04-16,356.0,358.2,350.3,351.6,351.6,2529347.0
4835,2019-04-15,356.5,358.3,351.85,354.05,354.05,3307071.0
4834,2019-04-12,343.6,359.45,341.8,356.75,356.75,10551289.0
4833,2019-04-11,338.4,343.55,337.8,342.7,342.7,2242542.0
4832,2019-04-10,343.0,344.35,337.05,337.7,337.7,2548368.0
4831,2019-04-09,343.0,345.0,336.1,343.5,343.5,3304237.0
4830,2019-04-08,350.0,350.65,340.1,341.9,341.9,3505949.0
4829,2019-04-05,348.75,351.55,346.65,348.8,348.8,2035250.0
4828,2019-04-04,354.7,355.0,343.6,346.3,346.3,3496000.0
4827,2019-04-03,362.65,364.4,350.65,352.45,352.45,3516055.0
4826,2019-04-02,356.8,364.85,354.0,362.6,362.6,5093612.0
4825,2019-04-01,352.0,360.6,351.75,354.7,354.7,5703986.0
4824,2019-03-28,354.55,363.0,354.3,358.3,358.3,4661285.0
4823,2019-03-27,359.0,362.0,354.45,355.85,355.85,2653874.0
4822,2019-03-26,352.8,362.0,351.65,359.35,359.35,4617787.0
4821,2019-03-25,348.7,353.0,343.0,351.65,351.65,2810575.0
4820,2019-03-22,356.8,359.35,347.3,348.95,348.95,2588946.0
4819,2019-03-20,362.0,362.7,353.35,354.7,354.7,2853402.0
4818,2019-03-19,362.6,366.5,360.25,362.05,362.05,4686738.0
4817,2019-03-18,362.0,362.9,357.6,359.85,359.85,3485045.0
4816,2019-03-15,355.65,362.0,350.0,359.35,359.35,7463044.0
4815,2019-03-14,352.55,357.0,346.95,353.6,353.6,2859986.0
4814,2019-03-13,354.6,358.2,348.5,351.6,351.6,3749726.0
4813,2019-03-12,354.4,357.5,349.1,353.9,353.9,4205695.0
4812,2019-03-11,350.3,357.9,350.0,351.75,351.75,3873852.0
4811,2019-03-08,345.0,351.0,341.7,349.65,349.65,2717482.0
4810,2019-03-07,344.55,350.35,343.05,344.15,344.15,2724235.0
4809,2019-03-06,348.0,348.9,342.6,345.35,345.35,2534626.0
4808,2019-03-05,343.0,347.4,341.25,346.5,346.5,3921657.0
4807,2019-03-01,343.5,349.3,342.5,343.85,343.85,6020443.0
4806,2019-02-28,339.0,343.95,334.25,342.0,342.0,13009264.0
4805,2019-02-27,336.3,337.7,331.5,335.7,335.7,5429182.0
4804,2019-02-26,324.0,335.4,321.65,333.45,333.45,6031684.0
4803,2019-02-25,326.1,329.5,322.2,327.8,327.8,8724063.0
4802,2019-02-22,335.0,335.0,325.65,327.15,327.15,4200942.0
4801,2019-02-21,332.0,336.6,324.05,331.7,331.7,7308931.0
4800,2019-02-20,324.0,332.6,319.45,329.7,329.7,4540823.0
4799,2019-02-19,317.0,325.75,316.45,320.25,320.25,3180737.0
4798,2019-02-18,318.55,321.0,310.75,317.45,317.45,3410237.0
4797,2019-02-15,309.75,319.15,309.1,317.75,317.75,4963248.0
4796,2019-02-14,316.5,316.8,306.8,307.95,307.95,7893518.0
4795,2019-02-12,322.0,326.55,321.45,325.7,325.7,2836974.0
4794,2019-02-11,334.3,335.4,324.35,328.4,322.15,3272495.0
4793,2019-02-08,337.55,339.5,334.4,336.35,329.9487,2274544.0
4792,2019-02-07,340.2,342.7,335.65,339.95,333.4802,2113465.0
4791,2019-02-06,336.5,340.85,330.3,339.8,333.333,4122658.0
4790,2019-02-05,330.25,339.0,325.55,332.1,325.7796,5703845.0
4789,2019-02-04,331.15,331.8,327.0,329.75,323.4743,1682947.0
4788,2019-02-01,333.3,335.35,326.1,333.5,327.153,3367974.0
4787,2019-01-31,323.0,333.9,322.5,332.15,325.8286,11052707.0
4786,2019-01-30,325.0,327.6,319.9,321.6,315.4794,6159363.0
