,Date,Open,High,Low,Close,Adj Close,Volume
328,2019-06-14,1163.1,1179.95,1162.3,1175.45,1175.45,3567.0
327,2019-06-13,1150.05,1170.9,1150.05,1164.25,1164.25,3032.0
326,2019-06-12,1149.05,1157.0,1134.05,1141.45,1141.45,35189.0
325,2019-06-11,1169.0,1169.0,1127.1,1143.95,1143.95,9249.0
324,2019-06-10,1155.2,1170.0,1143.7,1150.1,1150.1,7530.0
323,2019-06-07,1130.0,1194.0,1130.0,1150.15,1150.15,58183.0
322,2019-06-06,1173.0,1173.0,1100.0,1120.85,1120.85,6251.0
321,2019-06-04,1198.9,1200.0,1170.0,1173.65,1173.65,2958.0
320,2019-06-03,1190.0,1209.0,1175.0,1200.1,1200.1,9420.0
319,2019-05-31,1187.95,1202.85,1144.9,1184.95,1184.95,11152.0
318,2019-05-30,1183.0,1196.15,1128.15,1170.15,1170.15,22122.0
317,2019-05-29,1115.0,1237.95,1114.95,1193.9,1193.9,116417.0
316,2019-05-28,1084.15,1097.0,1071.1,1095.05,1095.05,5929.0
315,2019-05-27,1045.0,1083.45,1045.0,1061.95,1061.95,7842.0
314,2019-05-24,1090.4,1090.5,1054.25,1060.85,1060.85,4196.0
313,2019-05-23,1042.0,1089.85,1042.0,1070.55,1070.55,10341.0
312,2019-05-22,1040.1,1063.75,1040.0,1058.35,1058.35,3434.0
311,2019-05-21,1042.0,1063.0,1030.0,1050.15,1050.15,2589.0
310,2019-05-20,1035.0,1069.95,1005.0,1042.5,1042.5,5981.0
309,2019-05-17,1010.2,1024.0,991.35,1020.35,1020.35,3093.0
308,2019-05-16,999.0,1008.0,994.8,1001.75,1001.75,1523.0
307,2019-05-15,996.05,1013.85,996.05,1004.5,1004.5,1701.0
306,2019-05-14,990.0,1007.45,990.0,1000.1,1000.1,2154.0
305,2019-05-13,1030.0,1030.0,990.0,994.8,994.8,1605.0
304,2019-05-10,1004.05,1024.0,997.15,1016.9,1016.9,7919.0
303,2019-05-09,996.3,1010.0,996.0,1006.35,1006.35,1605.0
302,2019-05-08,995.0,1040.0,985.55,1015.85,1015.85,5018.0
301,2019-05-07,995.1,1009.85,990.0,995.35,995.35,993.0
300,2019-05-06,1001.6,1013.7,994.05,998.05,998.05,957.0
299,2019-05-03,1017.0,1025.0,1010.0,1013.4,1013.4,792.0
298,2019-05-02,1038.15,1040.8,1013.0,1027.3,1027.3,1418.0
297,2019-04-30,992.65,1099.0,980.55,1038.15,1038.15,5915.0
296,2019-04-26,1002.5,1002.55,990.0,992.65,992.65,1560.0
295,2019-04-25,998.05,1009.0,990.05,992.5,992.5,27736.0
294,2019-04-24,1006.6,1006.6,990.0,1000.9,1000.9,21324.0
293,2019-04-23,1006.55,1011.65,1000.0,1003.6,1003.6,1445.0
292,2019-04-22,1028.1,1028.1,1000.05,1009.0,1009.0,47235.0
291,2019-04-18,1025.0,1027.0,1012.05,1012.9,1012.9,2168.0
290,2019-04-16,1046.7,1048.0,1025.1,1029.05,1029.05,3739.0
289,2019-04-15,1034.9,1054.6,1021.0,1046.65,1046.65,5969.0
288,2019-04-12,990.75,1034.8,971.1,1022.55,1022.55,181167.0
