,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,266.5,274.3,264.2,273.35,273.35,213842.0
4223,2019-06-13,270.0,270.05,263.25,264.35,264.35,20368.0
4222,2019-06-12,270.0,273.1,268.0,268.55,268.55,13596.0
4221,2019-06-11,272.2,276.5,269.3,270.85,270.85,32191.0
4220,2019-06-10,269.0,274.5,269.0,270.65,270.65,15629.0
4219,2019-06-07,272.0,273.85,268.4,269.95,269.95,16281.0
4218,2019-06-06,280.8,280.8,271.4,273.3,273.3,21629.0
4217,2019-06-04,281.0,281.55,277.5,278.25,278.25,194688.0
4216,2019-06-03,280.9,290.8,278.0,280.9,280.9,75257.0
4215,2019-05-31,279.65,282.35,279.0,280.3,280.3,16715.0
4214,2019-05-30,282.0,284.5,277.0,279.65,279.65,25053.0
4213,2019-05-29,284.6,289.75,281.0,282.95,282.95,95280.0
4212,2019-05-28,271.4,280.15,266.65,277.55,277.55,63818.0
4211,2019-05-27,261.2,280.45,261.05,273.1,273.1,122920.0
4210,2019-05-24,254.65,261.0,253.55,259.05,259.05,41219.0
4209,2019-05-23,251.0,255.5,246.55,254.0,254.0,134570.0
4208,2019-05-22,249.75,255.15,248.0,251.05,251.05,104573.0
4207,2019-05-21,250.0,250.5,247.7,249.25,249.25,22658.0
4206,2019-05-20,253.95,253.95,245.85,248.55,248.55,29876.0
4205,2019-05-17,242.0,244.5,240.75,241.35,241.35,17725.0
4204,2019-05-16,243.0,248.95,241.0,244.35,244.35,31996.0
4203,2019-05-15,242.45,249.9,241.0,244.05,244.05,68141.0
4202,2019-05-14,256.2,260.25,242.0,244.15,244.15,69782.0
4201,2019-05-13,264.0,265.0,255.0,256.2,256.2,30063.0
4200,2019-05-10,272.4,272.4,263.65,265.25,265.25,19391.0
4199,2019-05-09,266.3,272.5,266.0,270.2,270.2,29924.0
4198,2019-05-08,279.2,279.2,264.7,268.35,268.35,60880.0
4197,2019-05-07,283.9,286.85,275.05,277.15,277.15,899323.0
4196,2019-05-06,280.0,283.15,278.0,278.8,278.8,14263.0
4195,2019-05-03,293.0,293.0,279.3,281.15,281.15,36231.0
4194,2019-05-02,286.55,296.45,286.55,290.8,290.8,353140.0
4193,2019-04-30,285.5,290.5,283.0,288.8,288.8,31380.0
4192,2019-04-26,287.9,287.9,281.9,283.15,283.15,332804.0
4191,2019-04-25,287.0,288.55,284.0,285.6,285.6,116774.0
4190,2019-04-24,290.0,290.0,285.45,286.4,286.4,118925.0
4189,2019-04-23,288.35,294.9,280.8,289.9,289.9,161261.0
4188,2019-04-22,295.25,295.25,287.2,288.45,288.45,10870.0
4187,2019-04-18,300.35,304.0,288.8,291.35,291.35,60445.0
4186,2019-04-16,297.35,301.95,297.0,301.15,301.15,22220.0
4185,2019-04-15,298.15,302.0,294.5,296.25,296.25,34648.0
4184,2019-04-12,300.1,302.35,295.1,297.75,297.75,6786.0
4183,2019-04-11,304.6,304.6,296.5,300.55,300.55,24942.0
4182,2019-04-10,301.0,306.8,299.2,302.8,302.8,109459.0
4181,2019-04-09,286.0,302.0,285.8,300.4,300.4,454039.0
4180,2019-04-08,290.8,293.15,286.0,287.55,287.55,16007.0
4179,2019-04-05,286.35,292.35,285.6,290.8,290.8,26862.0
4178,2019-04-04,289.95,289.95,284.9,286.35,286.35,19440.0
4177,2019-04-03,292.5,295.5,285.0,285.8,285.8,28010.0
4176,2019-04-02,283.2,294.55,283.2,291.15,291.15,58582.0
4175,2019-04-01,285.0,285.9,279.0,285.0,285.0,144718.0
4174,2019-03-28,280.2,285.6,280.2,284.35,284.35,24949.0
4173,2019-03-27,280.1,283.45,280.1,281.15,281.15,14839.0
4172,2019-03-26,284.95,284.95,278.65,280.05,280.05,132107.0
4171,2019-03-25,285.5,290.0,281.4,284.5,284.5,178049.0
4170,2019-03-22,288.2,288.5,285.5,287.3,287.3,60700.0
4169,2019-03-20,291.45,291.45,285.5,286.4,286.4,220783.0
4168,2019-03-19,295.4,295.4,287.0,290.0,290.0,46052.0
4167,2019-03-18,286.4,295.0,284.15,293.05,293.05,39307.0
4166,2019-03-15,288.05,294.1,283.05,284.6,284.6,49618.0
4165,2019-03-14,291.3,293.4,285.75,288.85,288.85,45568.0
4164,2019-03-13,305.0,305.0,293.1,294.55,294.55,27494.0
4163,2019-03-12,295.45,304.95,292.65,302.3,302.3,237745.0
4162,2019-03-11,290.5,295.5,288.05,294.05,294.05,22781.0
4161,2019-03-08,286.7,291.0,285.1,288.1,288.1,45894.0
4160,2019-03-07,287.05,291.0,285.0,286.0,286.0,29399.0
4159,2019-03-06,282.0,294.8,282.0,286.35,286.35,61107.0
4158,2019-03-05,275.2,285.0,275.2,283.05,283.05,41336.0
4157,2019-03-01,270.0,280.5,270.0,278.3,278.3,26944.0
4156,2019-02-28,272.9,273.7,267.5,268.85,268.85,14291.0
4155,2019-02-27,275.5,280.0,267.8,272.05,272.05,40625.0
4154,2019-02-26,278.0,278.6,271.0,274.6,274.6,53408.0
4153,2019-02-25,279.4,282.5,273.0,279.55,279.55,27948.0
4152,2019-02-22,284.4,284.5,280.0,280.8,280.8,28718.0
4151,2019-02-21,275.0,285.5,275.0,281.55,281.55,99927.0
4150,2019-02-20,271.95,276.9,263.1,273.9,273.9,474160.0
4149,2019-02-19,258.2,270.0,257.55,269.0,269.0,50704.0
4148,2019-02-18,268.0,273.95,255.1,259.7,259.7,34163.0
4147,2019-02-15,273.0,274.3,256.15,261.4,261.4,65868.0
4146,2019-02-14,278.9,279.95,271.3,273.3,273.3,32915.0
4145,2019-02-12,289.85,295.9,275.1,281.0,281.0,94784.0
4144,2019-02-11,301.0,301.0,280.1,283.95,283.95,80123.0
4143,2019-02-08,305.4,306.1,295.5,296.6,296.6,77139.0
4142,2019-02-07,297.9,312.0,295.0,303.2,303.2,36392.0
4141,2019-02-06,298.2,303.6,290.05,299.7,299.7,72767.0
4140,2019-02-05,298.2,302.35,291.1,292.65,292.65,19766.0
4139,2019-02-04,300.0,305.5,290.2,300.1,300.1,56684.0
4138,2019-02-01,299.3,302.0,299.3,300.45,300.45,58638.0
4137,2019-01-31,295.55,306.9,290.1,302.75,302.75,48777.0
4136,2019-01-30,280.5,306.25,280.5,302.25,302.25,52434.0
4135,2019-01-29,285.25,285.35,280.5,280.85,280.85,13837.0
4134,2019-01-28,292.45,292.5,282.5,283.65,283.65,23007.0
4133,2019-01-25,292.5,299.0,288.1,289.9,289.9,23991.0
4132,2019-01-24,295.45,295.45,284.25,291.05,291.05,51863.0
4131,2019-01-23,299.7,301.65,289.7,290.7,290.7,49117.0
4130,2019-01-22,310.55,310.55,295.5,297.9,297.9,82717.0
4129,2019-01-21,307.9,315.5,306.05,310.5,310.5,35748.0
4128,2019-01-18,308.7,309.55,301.0,306.0,306.0,16776.0
4127,2019-01-17,306.9,314.9,306.0,308.55,308.55,86392.0
4126,2019-01-16,317.9,317.9,303.0,305.05,305.05,59288.0
4125,2019-01-15,316.3,321.9,314.65,315.95,315.95,33257.0
4124,2019-01-14,316.45,324.5,315.0,315.45,315.45,39633.0
4123,2019-01-11,324.95,329.25,320.0,320.95,320.95,46930.0
4122,2019-01-10,318.0,329.9,315.5,324.95,324.95,333913.0
4121,2019-01-09,317.2,319.9,313.3,317.45,317.45,19698.0
4120,2019-01-08,310.5,321.95,305.1,315.25,315.25,52671.0
4119,2019-01-07,319.5,319.5,308.35,309.3,309.3,42004.0
4118,2019-01-04,319.45,322.5,310.1,319.45,319.45,29284.0
4117,2019-01-03,318.0,319.75,315.95,317.75,317.75,24060.0
4116,2019-01-02,314.95,333.0,311.1,319.95,319.95,100094.0
4115,2019-01-01,315.8,318.45,313.5,314.35,314.35,5539.0
4114,2018-12-31,311.8,318.5,310.7,315.75,315.75,26523.0
4113,2018-12-28,312.0,314.5,308.9,309.85,309.85,15072.0
4112,2018-12-27,318.0,321.85,311.0,312.15,312.15,24676.0
4111,2018-12-26,315.3,322.0,308.0,319.15,319.15,54854.0
4110,2018-12-24,332.9,332.9,315.7,317.25,317.25,133541.0
4109,2018-12-21,340.8,340.8,325.5,329.75,329.75,96939.0
4108,2018-12-20,350.45,350.5,338.0,339.45,339.45,49347.0
4107,2018-12-19,350.0,354.0,346.0,348.6,348.6,631232.0
4106,2018-12-18,344.2,349.85,340.6,343.8,343.8,36316.0
4105,2018-12-17,344.75,350.0,331.0,343.4,343.4,94271.0
4104,2018-12-14,340.0,353.25,336.4,348.75,348.75,355674.0
4103,2018-12-13,328.55,346.25,325.0,340.95,340.95,362892.0
4102,2018-12-12,314.95,329.9,310.9,328.55,328.55,120184.0
4101,2018-12-11,303.6,313.5,301.7,311.9,311.9,37141.0
4100,2018-12-10,297.55,307.05,297.55,305.5,305.5,88022.0
4099,2018-12-07,301.45,306.7,297.6,305.05,305.05,59738.0
4098,2018-12-06,291.65,305.0,290.1,301.75,301.75,89976.0
4097,2018-12-05,288.0,298.85,288.0,291.65,291.65,126443.0
4096,2018-12-04,287.3,296.0,286.85,292.75,292.75,40260.0
4095,2018-12-03,285.0,287.9,283.0,286.3,286.3,124919.0
4094,2018-11-30,284.5,289.95,282.05,284.15,284.15,82699.0
4093,2018-11-29,284.05,286.75,284.0,284.45,284.45,120973.0
4092,2018-11-28,286.75,289.7,281.75,284.95,284.95,358106.0
4091,2018-11-27,281.65,296.7,281.65,287.4,287.4,145862.0
4090,2018-11-26,285.4,286.8,276.2,278.9,278.9,41080.0
4089,2018-11-22,286.25,286.25,282.25,285.1,285.1,19966.0
4088,2018-11-21,285.0,285.95,282.0,283.45,283.45,38367.0
4087,2018-11-20,293.0,293.0,282.05,286.45,286.45,18860.0
4086,2018-11-19,280.4,282.05,278.0,281.45,281.45,17123.0
4085,2018-11-16,280.25,284.5,276.0,280.4,280.4,89479.0
4084,2018-11-15,284.0,285.0,278.45,283.1,283.1,109143.0
4083,2018-11-14,293.65,293.65,282.4,283.75,283.75,62029.0
4082,2018-11-13,291.6,294.85,288.8,290.8,290.8,48419.0
4081,2018-11-12,300.0,300.0,286.5,292.8,292.8,217455.0
4080,2018-11-09,307.0,307.1,295.55,296.25,296.25,26286.0
4079,2018-11-07,302.45,308.8,299.95,306.3,306.3,6089.0
4078,2018-11-06,307.75,308.25,294.05,299.25,299.25,23365.0
4077,2018-11-05,315.95,315.95,304.05,307.75,307.75,351402.0
4076,2018-11-02,310.85,322.45,305.0,310.8,310.8,131396.0
4075,2018-11-01,311.7,313.0,305.05,308.6,308.6,27702.0
4074,2018-10-31,310.1,321.0,300.55,313.25,313.25,89764.0
4073,2018-10-30,304.75,317.4,299.75,307.6,307.6,384341.0
4072,2018-10-29,299.0,304.5,295.3,301.75,301.75,522542.0
4071,2018-10-26,287.5,300.5,284.45,297.0,297.0,749828.0
4070,2018-10-25,292.75,301.5,285.1,287.5,287.5,39094.0
4069,2018-10-24,283.0,298.0,279.2,294.15,294.15,310081.0
4068,2018-10-23,276.0,279.95,272.7,278.0,278.0,35846.0
4067,2018-10-22,280.3,284.85,274.85,275.0,275.0,23524.0
4066,2018-10-19,286.45,291.3,277.5,279.45,279.45,160270.0
4065,2018-10-17,285.7,288.45,282.5,283.05,283.05,12285.0
4064,2018-10-16,292.8,293.5,283.5,285.75,285.75,48315.0
4063,2018-10-15,299.4,300.4,288.4,291.05,291.05,42987.0
4062,2018-10-12,320.0,320.0,295.85,297.15,297.15,128080.0
4061,2018-10-11,295.0,321.95,295.0,314.8,314.8,101762.0
4060,2018-10-10,297.0,344.7,297.0,324.0,324.0,261958.0
4059,2018-10-09,282.65,301.0,280.75,298.55,298.55,53394.0
4058,2018-10-08,282.0,287.2,271.5,283.35,283.35,67323.0
4057,2018-10-05,283.8,287.5,280.65,284.45,284.45,44445.0
4056,2018-10-04,280.0,285.1,277.95,282.15,282.15,79654.0
4055,2018-10-03,276.25,285.5,276.25,280.1,280.1,22063.0
4054,2018-10-01,287.7,287.7,276.15,280.15,280.15,26191.0
4053,2018-09-28,281.05,296.8,276.35,287.7,287.7,63554.0
4052,2018-09-27,284.2,289.0,281.1,284.5,284.5,34654.0
4051,2018-09-26,286.0,289.7,278.0,279.4,279.4,25074.0
4050,2018-09-25,289.4,293.0,286.95,289.1,289.1,25413.0
4049,2018-09-24,302.0,302.0,286.05,287.1,287.1,39002.0
4048,2018-09-21,305.9,312.0,294.4,301.25,301.25,831565.0
4047,2018-09-19,295.0,309.0,295.0,307.05,307.05,61912.0
4046,2018-09-18,292.05,300.0,292.05,295.45,295.45,39261.0
4045,2018-09-17,292.6,298.5,292.6,297.8,297.8,23767.0
4044,2018-09-14,297.0,298.85,292.3,294.45,294.45,14812.0
4043,2018-09-12,294.1,298.85,291.5,295.9,295.9,62471.0
4042,2018-09-11,298.6,298.6,291.55,295.9,295.9,58162.0
4041,2018-09-10,305.5,305.5,295.0,296.2,296.2,64026.0
4040,2018-09-07,308.0,308.25,301.75,303.65,303.65,38100.0
4039,2018-09-06,299.2,309.25,298.6,308.35,308.35,43278.0
4038,2018-09-05,300.0,302.4,297.5,299.2,299.2,21626.0
4037,2018-09-04,307.5,307.5,298.0,301.0,301.0,34331.0
4036,2018-09-03,309.0,309.0,303.8,304.65,304.65,39190.0
4035,2018-08-31,303.0,306.0,300.5,304.8,304.8,78179.0
4034,2018-08-30,293.0,303.0,293.0,301.9,301.9,18266.0
4033,2018-08-29,300.0,300.0,292.4,294.95,294.95,20444.0
4032,2018-08-28,298.3,300.0,296.5,297.8,297.8,120381.0
4031,2018-08-27,290.35,297.55,290.0,296.5,296.5,31224.0
4030,2018-08-24,297.0,297.0,287.5,288.0,288.0,61780.0
4029,2018-08-23,293.5,298.2,293.35,297.0,297.0,24450.0
4028,2018-08-21,286.0,298.0,280.0,293.5,293.5,90812.0
4027,2018-08-20,305.0,305.0,280.35,284.55,284.55,80672.0
4026,2018-08-17,300.9,307.9,300.9,303.1,303.1,28540.0
4025,2018-08-16,311.0,312.7,292.05,299.1,299.1,41397.0
4024,2018-08-14,308.1,315.0,308.0,312.0,312.0,141148.0
4023,2018-08-13,322.0,324.65,308.05,313.35,313.35,37809.0
4022,2018-08-10,323.0,333.0,308.1,327.35,327.35,240156.0
4021,2018-08-09,322.4,325.0,319.1,321.5,321.5,16131.0
4020,2018-08-08,305.0,322.5,305.0,320.4,320.4,45893.0
4019,2018-08-07,306.5,309.9,302.8,306.65,306.65,14610.0
4018,2018-08-06,327.8,327.8,305.25,307.4,307.4,65522.0
4017,2018-08-03,301.35,329.4,300.7,323.2,323.2,195537.0
4016,2018-08-02,298.0,303.5,296.4,301.85,301.85,24322.0
4015,2018-08-01,301.0,308.75,301.0,306.15,298.95,26146.0
4014,2018-07-31,301.4,303.75,298.7,301.95,294.8488,17779.0
4013,2018-07-30,302.95,304.0,299.45,301.4,294.3117,53818.0
4012,2018-07-27,298.4,303.4,289.55,298.4,291.3823,44229.0
4011,2018-07-26,292.0,296.4,289.0,294.1,287.1834,19602.0
4010,2018-07-25,289.5,294.0,289.5,292.25,285.3769,13089.0
4009,2018-07-24,285.7,294.0,276.9,289.5,282.6916,68940.0
4008,2018-07-23,271.5,281.0,271.2,278.0,271.462,20810.0
4007,2018-07-20,270.05,273.0,270.05,271.5,265.1149,30684.0
4006,2018-07-19,270.3,273.4,269.9,270.35,263.9919,17979.0
4005,2018-07-18,274.0,274.95,269.95,270.3,263.9431,15038.0
4004,2018-07-17,269.2,274.0,269.2,272.3,265.8961,19429.0
4003,2018-07-16,281.0,281.0,267.0,269.2,262.869,49848.0
4002,2018-07-13,276.0,279.6,270.15,271.15,264.7731,12729.0
4001,2018-07-12,271.0,280.0,271.0,275.9,269.4114,29056.0
4000,2018-07-11,271.5,273.7,270.0,270.65,264.2849,25465.0
