,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1251.1,1270.0,1251.0,1263.05,1263.05,18472.0
4223,2019-06-13,1268.0,1268.8,1252.0,1258.1,1258.1,17916.0
4222,2019-06-12,1265.85,1270.0,1263.4,1265.65,1265.65,12833.0
4221,2019-06-11,1269.5,1270.0,1264.0,1269.9,1269.9,12710.0
4220,2019-06-10,1275.0,1275.0,1258.0,1270.15,1270.15,21679.0
4219,2019-06-07,1275.0,1280.0,1259.15,1276.75,1276.75,15727.0
4218,2019-06-06,1270.05,1272.05,1260.25,1269.9,1269.9,11911.0
4217,2019-06-04,1272.3,1278.8,1265.6,1270.0,1270.0,23231.0
4216,2019-06-03,1272.25,1279.95,1264.45,1273.95,1273.95,10978.0
4215,2019-05-31,1271.0,1273.4,1262.0,1265.0,1265.0,9638.0
4214,2019-05-30,1276.4,1279.7,1260.4,1269.85,1269.85,15979.0
4213,2019-05-29,1285.0,1285.0,1270.1,1277.1,1277.1,15740.0
4212,2019-05-28,1277.7,1282.45,1275.0,1278.95,1278.95,35010.0
4211,2019-05-27,1278.85,1280.0,1273.0,1279.8,1279.8,16007.0
4210,2019-05-24,1277.0,1280.0,1267.0,1279.65,1279.65,21604.0
4209,2019-05-23,1277.25,1285.45,1265.0,1271.0,1271.0,23685.0
4208,2019-05-22,1277.0,1280.0,1271.0,1278.9,1278.9,24664.0
4207,2019-05-21,1272.0,1283.2,1265.3,1275.6,1275.6,16432.0
4206,2019-05-20,1282.65,1288.9,1269.7,1279.75,1279.75,46415.0
4205,2019-05-17,1277.05,1280.0,1269.0,1278.2,1278.2,13817.0
4204,2019-05-16,1279.6,1280.0,1265.3,1279.75,1279.75,10967.0
4203,2019-05-15,1277.15,1280.2,1266.2,1279.95,1279.95,15030.0
4202,2019-05-14,1278.0,1280.0,1268.0,1279.9,1279.9,12862.0
4201,2019-05-13,1273.95,1280.0,1258.8,1278.1,1278.1,10272.0
4200,2019-05-10,1259.0,1280.0,1250.0,1274.85,1274.85,10870.0
4199,2019-05-09,1270.0,1270.0,1246.6,1259.35,1259.35,18048.0
4198,2019-05-08,1283.15,1283.15,1261.0,1270.0,1270.0,11748.0
4197,2019-05-07,1286.0,1290.0,1267.0,1283.15,1283.15,23672.0
4196,2019-05-06,1283.85,1290.0,1275.0,1288.2,1288.2,10749.0
4195,2019-05-03,1289.0,1289.25,1275.0,1283.85,1283.85,15152.0
4194,2019-05-02,1285.1,1290.0,1275.55,1289.25,1289.25,10755.0
4193,2019-04-30,1285.7,1294.0,1275.0,1284.45,1284.45,17144.0
4192,2019-04-26,1290.0,1295.0,1284.0,1289.9,1289.9,12431.0
4191,2019-04-25,1294.95,1295.0,1284.9,1290.3,1290.3,5502.0
4190,2019-04-24,1295.0,1295.0,1275.0,1294.95,1294.95,8843.0
4189,2019-04-23,1295.7,1295.75,1285.0,1293.9,1293.9,9218.0
4188,2019-04-22,1299.95,1300.0,1282.15,1295.75,1295.75,11565.0
4187,2019-04-18,1293.0,1300.15,1292.4,1299.9,1299.9,10622.0
4186,2019-04-16,1300.0,1300.0,1295.1,1299.7,1299.7,16904.0
4185,2019-04-15,1302.6,1328.8,1295.55,1299.4,1299.4,23810.0
4184,2019-04-12,1298.8,1299.95,1295.0,1297.75,1297.75,6765.0
4183,2019-04-11,1300.0,1300.1,1292.0,1299.7,1299.7,8783.0
4182,2019-04-10,1299.8,1300.2,1293.0,1298.0,1298.0,16688.0
4181,2019-04-09,1298.75,1300.0,1290.05,1299.9,1299.9,8969.0
4180,2019-04-08,1294.0,1300.4,1293.05,1298.8,1298.8,9636.0
4179,2019-04-05,1297.95,1300.0,1293.05,1299.0,1299.0,6946.0
4178,2019-04-04,1298.4,1298.95,1279.9,1294.5,1294.5,11916.0
4177,2019-04-03,1300.55,1300.55,1290.0,1297.65,1297.65,12763.0
4176,2019-04-02,1300.0,1300.4,1294.0,1299.45,1299.45,15779.0
4175,2019-04-01,1300.0,1300.0,1293.3,1299.6,1299.6,12753.0
