,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,74.5,75.75,74.0,74.55,74.55,121882.0
4223,2019-06-13,75.2,75.6,74.25,75.1,75.1,76199.0
4222,2019-06-12,76.35,76.35,74.85,75.55,75.55,99698.0
4221,2019-06-11,76.25,76.5,75.05,75.5,75.5,111771.0
4220,2019-06-10,78.3,79.05,76.0,76.65,76.65,111409.0
4219,2019-06-07,79.6,79.6,77.35,77.45,77.45,99804.0
4218,2019-06-06,80.0,80.45,78.05,78.7,78.7,113000.0
4217,2019-06-04,79.9,80.95,79.1,80.15,80.15,117185.0
4216,2019-06-03,80.5,81.3,78.85,79.9,79.9,189016.0
4215,2019-05-31,81.5,83.05,79.0,80.35,80.35,273737.0
4214,2019-05-30,83.0,83.25,81.0,81.45,81.45,123285.0
4213,2019-05-29,82.75,84.1,81.3,82.85,82.85,285140.0
4212,2019-05-28,81.4,84.0,78.0,81.95,81.95,2107769.0
4211,2019-05-27,74.4,80.5,74.2,80.0,80.0,669825.0
4210,2019-05-24,73.5,74.8,73.05,74.15,74.15,192014.0
4209,2019-05-23,74.45,75.95,73.0,73.15,73.15,167704.0
4208,2019-05-22,73.25,74.3,73.0,73.75,73.75,68794.0
4207,2019-05-21,75.25,75.5,73.0,73.35,73.35,103647.0
4206,2019-05-20,75.0,75.6,74.2,74.8,74.8,212216.0
4205,2019-05-17,72.95,74.0,72.0,73.75,73.75,130357.0
4204,2019-05-16,72.5,73.1,72.5,72.9,72.9,118222.0
4203,2019-05-15,72.7,73.7,72.15,73.05,73.05,241717.0
4202,2019-05-14,72.1,73.4,72.1,72.85,72.85,145321.0
4201,2019-05-13,74.6,74.6,72.3,72.9,72.9,234316.0
4200,2019-05-10,74.15,74.75,72.9,73.75,73.75,376667.0
4199,2019-05-09,73.2,73.25,71.8,72.15,72.15,154056.0
4198,2019-05-08,73.7,73.7,72.5,72.95,72.95,168560.0
4197,2019-05-07,74.95,74.95,71.9,73.45,73.45,193528.0
4196,2019-05-06,73.5,74.6,73.25,74.3,74.3,94897.0
4195,2019-05-03,74.9,75.4,73.35,73.6,73.6,133137.0
4194,2019-05-02,73.8,75.35,73.6,74.55,74.55,107737.0
4193,2019-04-30,73.5,74.4,72.8,73.65,73.65,155140.0
4192,2019-04-26,74.0,74.0,73.0,73.05,73.05,140404.0
4191,2019-04-25,73.45,74.4,72.85,73.35,73.35,182257.0
4190,2019-04-24,74.0,74.0,72.8,73.0,73.0,254532.0
4189,2019-04-23,74.6,74.6,73.35,73.5,73.5,204697.0
4188,2019-04-22,75.55,75.55,74.3,74.55,74.55,150457.0
4187,2019-04-18,78.3,78.3,75.05,75.3,75.3,279551.0
4186,2019-04-16,77.85,78.4,77.55,77.8,77.8,134229.0
4185,2019-04-15,77.4,78.9,77.15,77.85,77.85,142889.0
4184,2019-04-12,77.7,78.65,76.9,77.0,77.0,199936.0
4183,2019-04-11,78.7,79.1,77.25,77.5,77.5,185369.0
4182,2019-04-10,79.35,79.7,78.6,78.8,78.8,147970.0
4181,2019-04-09,79.9,79.9,79.1,79.3,79.3,76323.0
4180,2019-04-08,79.1,80.8,79.1,79.5,79.5,105715.0
4179,2019-04-05,80.25,80.3,78.65,78.85,78.85,167666.0
4178,2019-04-04,81.5,81.8,79.2,79.55,79.55,135148.0
4177,2019-04-03,82.25,82.55,81.1,81.3,81.3,93759.0
4176,2019-04-02,83.0,83.0,81.5,81.75,81.75,86615.0
4175,2019-04-01,81.75,83.25,81.65,82.2,82.2,178639.0
4174,2019-03-28,81.65,82.0,80.85,81.3,81.3,123569.0
4173,2019-03-27,81.2,81.65,80.6,81.2,81.2,132748.0
4172,2019-03-26,81.95,82.05,80.5,80.9,80.9,123574.0
4171,2019-03-25,82.6,82.6,80.8,81.15,81.15,110964.0
4170,2019-03-22,84.75,85.0,82.0,82.4,82.4,192322.0
4169,2019-03-20,84.1,84.25,82.65,83.65,83.65,101095.0
4168,2019-03-19,82.0,84.0,82.0,83.5,83.5,188590.0
4167,2019-03-18,83.3,83.5,81.6,82.1,82.1,203790.0
4166,2019-03-15,85.25,86.25,82.0,82.55,82.55,440667.0
4165,2019-03-14,88.5,88.5,84.7,85.0,85.0,281153.0
4164,2019-03-13,92.05,92.45,87.25,87.7,87.7,412160.0
4163,2019-03-12,92.2,94.5,91.05,91.7,91.7,1362585.0
4162,2019-03-11,85.6,86.4,84.35,86.0,86.0,106271.0
4161,2019-03-08,86.9,87.0,85.15,85.6,85.6,103231.0
4160,2019-03-07,85.6,86.55,83.65,85.3,85.3,80315.0
4159,2019-03-06,86.0,88.9,85.0,85.6,85.6,526511.0
4158,2019-03-05,78.15,83.2,78.15,82.75,82.75,192225.0
4157,2019-03-01,77.85,80.0,77.25,78.15,78.15,241461.0
4156,2019-02-28,75.75,77.7,75.3,76.95,76.95,87102.0
4155,2019-02-27,76.1,77.95,75.7,76.2,76.2,138224.0
4154,2019-02-26,75.1,77.2,74.8,76.1,76.1,73833.0
4153,2019-02-25,76.9,77.1,75.5,75.95,75.95,97690.0
4152,2019-02-22,74.3,76.8,74.2,76.35,76.35,83028.0
4151,2019-02-21,74.1,77.5,73.2,74.55,74.55,284596.0
4150,2019-02-20,74.05,74.9,72.55,72.9,72.9,233635.0
4149,2019-02-19,74.2,75.25,73.4,74.45,74.45,141711.0
4148,2019-02-18,74.95,75.6,73.8,74.2,74.2,115649.0
4147,2019-02-15,74.0,78.45,72.85,74.8,74.8,171032.0
4146,2019-02-14,73.0,77.4,69.35,73.55,73.55,314208.0
4145,2019-02-12,77.1,77.2,75.4,76.15,76.15,147040.0
