,Date,Open,High,Low,Close,Adj Close,Volume
408,2019-06-14,498.0,503.0,496.0,500.0,500.0,43823.0
407,2019-06-13,501.5,503.2,495.6,500.75,500.75,91967.0
406,2019-06-12,502.0,508.75,500.0,500.95,500.95,67929.0
405,2019-06-11,500.6,509.0,500.0,502.4,502.4,53908.0
404,2019-06-10,506.0,512.35,497.35,500.25,500.25,45171.0
403,2019-06-07,503.15,511.0,498.95,506.5,506.5,35751.0
402,2019-06-06,512.85,512.85,504.0,505.5,505.5,39715.0
401,2019-06-04,510.85,513.65,505.1,509.85,509.85,33359.0
400,2019-06-03,510.0,516.0,503.35,510.35,510.35,41925.0
399,2019-05-31,516.1,516.4,506.55,508.15,508.15,35159.0
398,2019-05-30,518.0,518.55,511.1,512.95,512.95,31803.0
397,2019-05-29,513.9,521.35,510.5,514.05,514.05,43118.0
396,2019-05-28,522.0,524.25,508.05,511.95,511.95,62936.0
395,2019-05-27,508.0,522.0,493.0,517.9,517.9,153832.0
394,2019-05-24,493.85,514.0,484.2,503.95,503.95,155213.0
393,2019-05-23,489.9,494.4,482.5,489.05,489.05,64229.0
392,2019-05-22,479.9,485.95,479.9,484.1,484.1,32562.0
391,2019-05-21,477.0,484.95,477.0,479.9,479.9,47386.0
390,2019-05-20,479.9,484.85,469.0,475.65,475.65,171899.0
389,2019-05-17,463.8,468.85,461.55,464.4,464.4,54661.0
388,2019-05-16,471.95,471.95,461.15,463.55,463.55,75623.0
387,2019-05-15,476.65,481.25,467.35,468.95,468.95,66389.0
386,2019-05-14,496.5,496.5,473.0,479.85,479.85,106220.0
385,2019-05-13,498.0,501.0,495.25,498.2,498.2,39324.0
384,2019-05-10,505.0,506.7,496.2,498.5,498.5,28538.0
383,2019-05-09,509.0,510.4,492.05,501.7,501.7,65090.0
382,2019-05-08,519.25,521.9,507.1,508.8,508.8,80426.0
381,2019-05-07,522.0,522.95,512.0,519.25,519.25,141307.0
380,2019-05-06,513.0,521.5,512.5,515.7,515.7,72068.0
379,2019-05-03,520.0,521.5,516.9,518.6,518.6,29170.0
378,2019-05-02,519.0,521.4,511.35,519.0,519.0,36208.0
377,2019-04-30,518.0,522.95,513.45,519.95,519.95,52439.0
376,2019-04-26,522.0,525.0,516.0,518.9,518.9,61279.0
375,2019-04-25,525.8,529.0,518.05,523.6,523.6,69207.0
374,2019-04-24,523.0,526.95,520.0,524.4,524.4,53632.0
373,2019-04-23,520.0,529.75,518.0,523.75,523.75,107882.0
372,2019-04-22,521.7,523.0,514.9,517.35,517.35,57884.0
371,2019-04-18,534.5,534.5,517.65,523.7,523.7,116688.0
370,2019-04-16,533.2,537.45,529.45,533.5,533.5,115813.0
369,2019-04-15,525.0,537.0,525.0,529.2,529.2,474926.0
368,2019-04-12,511.5,530.0,510.55,522.25,522.25,260653.0
367,2019-04-11,509.8,513.9,505.0,509.8,509.8,40820.0
366,2019-04-10,509.0,514.95,505.5,507.2,507.2,120128.0
365,2019-04-09,516.0,516.65,506.0,507.3,507.3,108696.0
364,2019-04-08,516.0,528.9,512.1,515.35,515.35,132978.0
363,2019-04-05,520.95,522.65,513.0,514.3,514.3,106406.0
362,2019-04-04,521.0,529.8,514.5,517.45,517.45,136640.0
361,2019-04-03,533.8,542.9,522.0,523.75,523.75,169588.0
360,2019-04-02,524.95,558.0,523.55,531.15,531.15,454955.0
359,2019-04-01,513.85,533.0,509.7,521.9,521.9,407118.0
358,2019-03-28,512.0,518.0,506.0,509.2,509.2,89696.0
357,2019-03-27,505.0,517.7,500.05,509.05,509.05,252705.0
356,2019-03-26,483.6,491.0,483.4,488.55,488.55,67125.0
355,2019-03-25,487.35,490.25,481.0,483.6,483.6,209979.0
354,2019-03-22,492.2,492.9,486.05,492.1,492.1,62541.0
353,2019-03-20,502.8,502.8,489.1,492.8,492.8,200035.0
352,2019-03-19,501.6,506.7,499.1,500.6,500.6,117204.0
351,2019-03-18,500.0,502.0,496.15,500.0,500.0,117540.0
350,2019-03-15,516.2,521.8,493.15,505.65,505.65,796496.0
349,2019-03-14,518.2,525.0,513.9,516.35,516.35,55799.0
348,2019-03-13,523.0,524.5,517.0,518.9,518.9,75060.0
347,2019-03-12,519.5,525.0,517.05,522.1,522.1,141856.0
346,2019-03-11,511.15,523.1,511.15,516.2,516.2,141005.0
