,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,678.0,678.8,659.1,663.15,663.15,697419.0
4223,2019-06-13,683.9,683.9,673.1,679.6,679.6,613271.0
4222,2019-06-12,688.0,688.0,677.1,680.95,680.95,649349.0
4221,2019-06-11,696.95,696.95,680.5,685.15,685.15,651733.0
4220,2019-06-10,692.25,705.7,691.0,691.9,691.9,501581.0
4219,2019-06-07,704.5,707.25,689.35,691.5,691.5,665609.0
4218,2019-06-06,706.7,715.0,699.45,700.25,700.25,1705102.0
4217,2019-06-04,707.4,711.25,698.05,700.4,700.4,529226.0
4216,2019-06-03,694.9,711.0,691.6,706.85,706.85,2458486.0
4215,2019-05-31,660.0,691.0,660.0,688.05,688.05,2502037.0
4214,2019-05-30,666.5,669.75,654.05,658.45,658.45,1344338.0
4213,2019-05-29,674.0,676.0,664.0,666.2,666.2,649561.0
4212,2019-05-28,670.0,676.45,663.85,670.95,670.95,1199497.0
4211,2019-05-27,667.0,678.0,661.55,667.3,667.3,631334.0
4210,2019-05-24,660.0,665.0,649.05,659.7,659.7,1748809.0
4209,2019-05-23,663.5,678.2,653.15,656.75,656.75,925739.0
4208,2019-05-22,663.5,669.15,654.5,658.7,658.7,481955.0
4207,2019-05-21,678.1,681.9,654.1,657.95,657.95,621767.0
4206,2019-05-20,678.0,684.0,670.2,677.95,677.95,662808.0
4205,2019-05-17,640.15,673.75,639.0,669.8,669.8,1896076.0
4204,2019-05-16,641.0,644.4,635.8,638.15,638.15,703021.0
4203,2019-05-15,640.9,648.8,638.8,640.95,640.95,640616.0
4202,2019-05-14,640.55,641.45,629.6,638.05,638.05,738911.0
4201,2019-05-13,645.05,648.0,634.0,640.55,640.55,974362.0
4200,2019-05-10,639.8,646.7,634.05,644.55,644.55,1963889.0
4199,2019-05-09,632.9,644.0,631.0,641.1,639.1,663525.0
4198,2019-05-08,636.5,639.8,627.1,636.1,634.1155,613906.0
4197,2019-05-07,638.0,644.1,628.7,636.0,634.0159,1271922.0
4196,2019-05-06,639.9,656.0,632.0,636.0,634.0159,1919921.0
4195,2019-05-03,650.0,652.7,626.5,641.35,639.3492,5126225.0
4194,2019-05-02,654.55,662.0,646.75,654.3,652.2588,1827075.0
