,Date,Open,High,Low,Close,Adj Close,Volume
1196,2019-06-14,890.0,907.0,890.0,903.6,903.6,12798.0
1195,2019-06-13,902.4,907.0,891.05,900.05,900.05,19970.0
1194,2019-06-12,905.0,905.0,895.1,900.35,900.35,22970.0
1193,2019-06-11,908.9,908.9,886.1,896.3,896.3,16918.0
1192,2019-06-10,905.85,909.95,896.2,900.0,900.0,204329.0
1191,2019-06-07,896.3,905.9,889.75,904.9,904.9,64609.0
1190,2019-06-06,889.95,909.0,889.9,892.2,892.2,44324.0
1189,2019-06-04,890.0,893.75,885.25,890.0,890.0,17708.0
1188,2019-06-03,908.5,908.5,880.5,890.25,890.25,25260.0
1187,2019-05-31,893.0,904.9,885.5,895.8,895.8,12677.0
1186,2019-05-30,890.95,896.0,888.95,892.6,892.6,5729.0
1185,2019-05-29,895.7,895.7,885.1,890.95,890.95,10873.0
1184,2019-05-28,884.95,898.95,880.55,895.7,895.7,67954.0
1183,2019-05-27,896.1,896.1,881.05,883.75,883.75,51534.0
1182,2019-05-24,885.0,905.45,874.7,889.55,889.55,33984.0
1181,2019-05-23,890.0,890.0,868.4,879.7,879.7,48577.0
1180,2019-05-22,871.65,884.0,864.95,870.9,870.9,24287.0
1179,2019-05-21,870.5,871.45,859.05,869.7,869.7,25887.0
1178,2019-05-20,850.0,885.0,850.0,880.2,880.2,36841.0
1177,2019-05-17,849.4,854.95,839.55,851.05,851.05,2126.0
1176,2019-05-16,815.0,844.4,814.5,830.7,830.7,11592.0
1175,2019-05-15,840.0,848.75,809.9,814.5,814.5,6617.0
1174,2019-05-14,813.2,823.0,810.0,817.15,817.15,10384.0
1173,2019-05-13,825.35,825.35,800.8,820.8,820.8,14867.0
1172,2019-05-10,846.5,852.0,824.0,829.95,829.95,2985.0
1171,2019-05-09,820.7,834.9,817.0,826.3,826.3,16876.0
1170,2019-05-08,838.1,838.1,820.2,821.35,821.35,2599.0
1169,2019-05-07,829.0,832.6,820.0,830.0,830.0,106174.0
1168,2019-05-06,820.8,835.9,820.8,829.35,829.35,13034.0
1167,2019-05-03,830.6,841.4,830.6,836.65,836.65,8088.0
1166,2019-05-02,865.05,865.95,830.05,834.7,834.7,2814.0
1165,2019-04-30,852.2,864.0,852.2,860.55,860.55,8253.0
1164,2019-04-26,850.0,869.9,836.0,864.9,864.9,13693.0
1163,2019-04-25,875.1,875.1,856.0,859.5,859.5,1509.0
1162,2019-04-24,870.0,877.95,867.55,875.7,875.7,3083.0
1161,2019-04-23,867.6,872.9,861.1,869.0,869.0,3297.0
1160,2019-04-22,868.05,872.1,862.1,869.75,869.75,19798.0
1159,2019-04-18,882.5,882.5,867.75,875.0,875.0,2489.0
1158,2019-04-16,885.0,896.9,866.3,880.05,880.05,11900.0
1157,2019-04-15,917.9,917.9,885.15,895.95,895.95,3982.0
1156,2019-04-12,881.6,888.95,874.85,884.95,884.95,37619.0
1155,2019-04-11,880.0,880.0,870.55,875.05,875.05,2380.0
1154,2019-04-10,879.4,879.4,874.15,875.6,875.6,3286.0
1153,2019-04-09,876.0,880.95,872.25,875.0,875.0,4856.0
1152,2019-04-08,882.0,888.9,866.0,871.15,871.15,4095.0
1151,2019-04-05,878.9,885.0,878.9,880.5,880.5,6183.0
1150,2019-04-04,865.1,888.4,865.1,883.5,883.5,8063.0
1149,2019-04-03,869.7,883.75,862.85,871.9,871.9,9586.0
1148,2019-04-02,857.7,861.8,849.55,861.1,861.1,8156.0
1147,2019-04-01,842.1,859.9,840.0,848.05,848.05,7594.0
1146,2019-03-28,839.95,844.45,834.95,838.1,838.1,105186.0
1145,2019-03-27,829.3,847.0,821.0,840.2,840.2,7954.0
1144,2019-03-26,810.15,828.95,810.0,822.9,822.9,6519.0
1143,2019-03-25,828.1,831.9,802.3,818.15,818.15,15663.0
1142,2019-03-22,816.5,844.7,816.5,828.15,828.15,8331.0
1141,2019-03-20,829.0,838.85,827.0,832.0,832.0,3862.0
1140,2019-03-19,852.0,852.0,827.9,830.9,830.9,4907.0
1139,2019-03-18,855.0,857.95,840.05,844.75,844.75,9143.0
1138,2019-03-15,825.0,854.8,825.0,850.1,850.1,14373.0
1137,2019-03-14,846.15,847.0,837.0,837.75,837.75,2211.0
1136,2019-03-13,863.45,863.45,835.15,845.3,845.3,7742.0
1135,2019-03-12,864.0,873.95,855.0,857.0,857.0,5264.0
1134,2019-03-11,874.0,881.95,863.1,867.55,867.55,6664.0
1133,2019-03-08,879.9,889.5,875.0,875.45,875.45,11900.0
1132,2019-03-07,872.0,877.05,860.0,873.05,873.05,22439.0
1131,2019-03-06,875.8,879.15,856.65,861.35,861.35,3237.0
1130,2019-03-05,851.9,874.8,851.9,870.95,870.95,7207.0
1129,2019-03-01,870.0,897.0,855.05,866.95,866.95,17233.0
1128,2019-02-28,878.9,879.45,852.1,856.4,856.4,4835.0
1127,2019-02-27,885.9,885.9,871.5,874.7,874.7,6154.0
1126,2019-02-26,875.05,886.45,870.4,876.05,876.05,3921.0
1125,2019-02-25,889.15,897.0,880.1,884.9,884.9,39449.0
1124,2019-02-22,880.3,900.0,872.15,890.05,890.05,4481.0
1123,2019-02-21,866.05,887.95,865.25,878.2,873.7,6311.0
1122,2019-02-20,870.0,871.0,862.05,868.55,864.0995,8796.0
1121,2019-02-19,835.0,882.1,835.0,868.45,864.0,13515.0
1120,2019-02-18,891.05,891.05,842.0,849.9,845.545,9270.0
1119,2019-02-15,890.1,896.0,885.0,891.1,886.5339,8915.0
1118,2019-02-14,895.0,895.0,883.0,889.2,884.6437,8121.0
1117,2019-02-12,875.05,884.2,869.85,872.35,867.8799,6992.0
1116,2019-02-11,872.5,885.95,868.5,881.5,876.9831,11472.0
1115,2019-02-08,881.1,893.8,869.1,878.3,873.7995,31187.0
1114,2019-02-07,890.0,895.0,888.0,889.95,885.3898,34112.0
1113,2019-02-06,890.05,901.0,880.0,890.45,885.8873,52983.0
1112,2019-02-05,866.5,897.0,866.5,892.5,887.9268,17517.0
1111,2019-02-04,886.05,892.2,870.05,878.05,873.5508,19680.0
1110,2019-02-01,868.0,903.1,868.0,890.0,885.4396,46933.0
1109,2019-01-31,909.0,910.25,890.05,905.85,901.2083,14286.0
1108,2019-01-30,862.05,910.0,859.1,900.95,896.3334,22974.0
1107,2019-01-29,848.0,884.35,848.0,875.4,870.9144,10196.0
1106,2019-01-28,844.95,855.95,844.95,853.85,849.4748,6509.0
1105,2019-01-25,853.1,866.3,848.0,856.75,852.3599,5028.0
1104,2019-01-24,887.45,887.45,832.6,855.55,851.1661,4905.0
1103,2019-01-23,860.0,860.0,850.0,852.05,847.684,3281.0
1102,2019-01-22,860.0,869.65,852.1,859.15,854.7477,7237.0
1101,2019-01-21,889.0,889.0,860.0,870.65,866.1887,12965.0
1100,2019-01-18,898.0,908.0,883.0,889.35,884.7928,23891.0
1099,2019-01-17,865.0,900.0,842.35,894.85,890.2647,212686.0
1098,2019-01-16,855.0,855.0,849.0,851.15,846.7886,2367.0
1097,2019-01-15,849.9,865.0,843.5,856.75,852.3599,7314.0
1096,2019-01-14,832.5,844.4,826.85,841.95,837.6358,6625.0
1095,2019-01-11,854.0,854.0,829.95,835.45,831.1691,4879.0
1094,2019-01-10,823.6,844.55,822.55,842.35,838.0337,4347.0
1093,2019-01-09,822.0,837.9,822.0,829.9,825.6475,73260.0
1092,2019-01-08,835.1,845.0,820.05,830.6,826.3439,8562.0
1091,2019-01-07,840.0,840.0,823.8,838.5,834.2034,45953.0
1090,2019-01-04,830.9,835.0,820.05,827.95,823.7075,5764.0
1089,2019-01-03,836.75,846.3,830.05,838.95,834.6512,11333.0
1088,2019-01-02,814.95,857.3,811.1,836.75,832.4624,25114.0
1087,2019-01-01,818.4,823.0,800.4,804.95,800.8254,5632.0
1086,2018-12-31,817.85,824.9,817.85,821.2,816.9921,4073.0
1085,2018-12-28,824.95,830.05,819.65,820.65,816.4449,12009.0
1084,2018-12-27,833.0,833.0,817.0,819.65,815.4501,14782.0
1083,2018-12-26,817.5,828.0,813.1,818.35,814.1567,10841.0
1082,2018-12-24,825.0,858.0,815.0,817.5,813.311,56612.0
1081,2018-12-21,812.3,832.4,812.3,818.65,814.4552,23500.0
1080,2018-12-20,778.15,838.4,776.1,812.3,808.1377,34806.0
1079,2018-12-19,778.05,789.4,773.6,778.1,774.1129,9946.0
1078,2018-12-18,782.1,789.4,776.1,777.25,773.2673,9762.0
1077,2018-12-17,793.0,798.9,777.0,782.1,778.0924,4690.0
1076,2018-12-14,815.0,830.9,798.55,799.25,795.1545,2834.0
1075,2018-12-13,814.0,830.0,805.3,827.25,823.0111,16803.0
1074,2018-12-12,792.0,819.0,782.05,814.85,810.6746,16258.0
