,Date,Open,High,Low,Close,Adj Close,Volume
295,2019-06-14,693.4,698.9,683.65,686.45,686.45,4778.0
294,2019-06-13,699.0,699.0,690.0,692.95,692.95,6761.0
293,2019-06-12,717.0,717.0,694.0,699.5,699.5,7266.0
292,2019-06-11,701.05,713.8,690.0,705.7,705.7,9030.0
291,2019-06-10,715.1,719.05,693.15,701.15,701.15,7535.0
290,2019-06-07,720.05,722.0,707.5,713.65,713.65,7864.0
289,2019-06-06,727.0,730.0,705.3,710.65,710.65,10235.0
288,2019-06-04,732.0,739.9,722.0,724.15,724.15,13780.0
287,2019-06-03,710.0,758.0,700.0,740.0,740.0,384904.0
286,2019-05-31,720.0,720.1,708.0,710.3,710.3,18759.0
285,2019-05-30,725.0,725.0,708.5,718.45,718.45,11640.0
284,2019-05-29,728.0,733.9,710.0,716.5,716.5,52107.0
283,2019-05-28,730.0,741.0,711.3,722.0,722.0,85631.0
282,2019-05-27,684.8,708.4,683.3,705.4,705.4,46132.0
281,2019-05-24,669.05,698.0,666.05,678.8,678.8,60016.0
280,2019-05-23,669.0,684.7,658.85,668.4,668.4,26634.0
279,2019-05-22,646.55,675.0,646.15,659.9,659.9,63110.0
278,2019-05-21,650.0,658.9,643.15,645.55,645.55,8244.0
277,2019-05-20,650.1,671.35,646.0,653.15,653.15,28124.0
276,2019-05-17,638.5,645.0,635.0,636.55,636.55,7592.0
275,2019-05-16,631.15,642.0,628.0,636.6,636.6,11545.0
274,2019-05-15,631.2,649.0,626.5,632.7,632.7,11191.0
273,2019-05-14,625.0,638.35,620.85,634.2,634.2,8451.0
272,2019-05-13,636.0,640.6,627.25,629.6,629.6,5416.0
271,2019-05-10,646.95,646.95,635.0,640.5,640.5,5015.0
270,2019-05-09,632.2,649.5,631.0,640.6,640.6,11007.0
269,2019-05-08,648.9,648.9,631.8,638.35,638.35,7166.0
268,2019-05-07,650.0,656.6,644.0,646.85,646.85,4981.0
267,2019-05-06,650.0,657.7,643.0,647.25,647.25,8877.0
266,2019-05-03,661.0,667.05,643.35,652.75,652.75,17459.0
265,2019-05-02,667.1,670.35,645.0,662.3,662.3,7566.0
264,2019-04-30,673.0,678.0,665.25,667.85,667.85,9424.0
263,2019-04-26,684.9,686.1,670.0,677.7,677.7,9810.0
262,2019-04-25,687.0,687.0,675.0,677.55,677.55,7039.0
261,2019-04-24,679.7,688.7,676.1,679.0,679.0,7032.0
260,2019-04-23,688.0,692.75,678.1,679.7,679.7,6884.0
259,2019-04-22,695.0,719.8,684.0,685.6,685.6,8758.0
258,2019-04-18,707.0,710.0,697.05,699.85,699.85,10061.0
257,2019-04-16,708.5,712.25,707.0,708.4,708.4,5369.0
256,2019-04-15,717.25,717.25,705.0,707.5,707.5,9566.0
255,2019-04-12,716.9,720.3,708.1,710.55,710.55,7947.0
254,2019-04-11,712.0,728.8,712.0,716.7,716.7,20029.0
253,2019-04-10,705.2,716.0,705.2,714.2,714.2,12954.0
252,2019-04-09,710.0,715.5,708.1,714.15,714.15,12047.0
251,2019-04-08,711.0,716.0,705.1,713.65,713.65,17904.0
250,2019-04-05,711.0,719.8,704.75,712.95,712.95,19687.0
249,2019-04-04,715.0,718.9,708.0,711.85,711.85,15126.0
248,2019-04-03,716.0,723.5,710.5,715.0,715.0,17340.0
247,2019-04-02,721.8,721.8,708.0,715.15,715.15,23960.0
246,2019-04-01,702.0,729.5,702.0,712.45,712.45,36472.0
245,2019-03-28,740.0,740.0,699.35,721.15,721.15,35567.0
244,2019-03-27,724.95,777.0,722.0,739.65,719.85,182560.0
243,2019-03-26,718.65,724.15,713.55,722.0,702.6725,38217.0
242,2019-03-25,707.95,715.0,706.8,712.85,693.7674,30448.0
241,2019-03-22,715.0,715.0,707.0,707.95,688.9986,23855.0
240,2019-03-20,709.1,718.8,709.1,711.4,692.3563,29061.0
239,2019-03-19,706.0,715.6,702.0,709.9,690.8964,55814.0
238,2019-03-18,675.0,718.0,675.0,699.75,681.0181,160415.0
237,2019-03-15,673.85,685.0,672.1,674.1,656.0547,17387.0
236,2019-03-14,682.0,685.0,675.0,676.9,658.7798,14139.0
235,2019-03-13,698.0,698.0,675.1,678.8,660.6289,20432.0
234,2019-03-12,694.0,700.9,689.45,691.9,673.3783,31018.0
233,2019-03-11,671.85,680.95,665.15,678.45,660.2883,13033.0
232,2019-03-08,679.0,679.75,661.55,665.0,647.1984,13132.0
231,2019-03-07,697.8,697.8,675.0,678.7,660.5316,11769.0
230,2019-03-06,690.0,704.0,685.1,689.45,670.9938,19788.0
