,Date,Open,High,Low,Close,Adj Close,Volume
385,2019-06-14,454.7,459.9,445.15,448.15,448.15,1476891.0
384,2019-06-13,444.8,453.65,440.5,452.0,452.0,1796357.0
383,2019-06-12,446.0,449.4,440.1,440.95,440.95,641601.0
382,2019-06-11,450.0,450.15,444.5,445.3,445.3,895285.0
381,2019-06-10,453.0,454.0,442.25,450.15,450.15,1453151.0
380,2019-06-07,444.95,453.0,434.75,451.4,451.4,1902550.0
379,2019-06-06,441.15,451.8,440.0,442.25,442.25,1596991.0
378,2019-06-04,442.5,445.0,435.3,442.7,442.7,1252624.0
377,2019-06-03,442.0,452.0,441.0,444.0,444.0,3134716.0
376,2019-05-31,437.0,445.0,436.05,441.65,441.65,2807954.0
375,2019-05-30,425.0,437.0,423.4,435.6,435.6,2306375.0
374,2019-05-29,425.0,426.9,416.45,425.65,425.65,2095188.0
373,2019-05-28,424.0,426.0,415.1,424.95,424.95,1929443.0
372,2019-05-27,409.0,423.95,406.6,422.6,422.6,4152835.0
371,2019-05-24,408.0,410.0,399.9,407.95,407.95,1994086.0
370,2019-05-23,405.0,411.75,400.0,406.3,406.3,3772524.0
369,2019-05-22,404.0,406.0,396.3,398.1,398.1,1088291.0
368,2019-05-21,400.0,404.0,396.05,403.2,403.2,2174571.0
367,2019-05-20,394.0,399.0,391.0,397.05,397.05,3901916.0
366,2019-05-17,379.75,384.0,374.25,382.55,382.55,2239697.0
365,2019-05-16,387.95,389.5,377.4,379.9,379.9,2766863.0
364,2019-05-15,390.55,394.8,387.45,388.3,388.3,1668299.0
363,2019-05-14,396.7,396.7,386.85,391.05,391.05,6988271.0
362,2019-05-13,409.95,409.95,395.25,402.65,402.65,3435597.0
361,2019-05-10,410.4,411.95,408.95,410.05,410.05,2393114.0
360,2019-05-09,411.0,411.8,407.0,409.55,409.55,3527797.0
359,2019-05-08,407.7,413.4,406.1,410.25,410.25,3893612.0
358,2019-05-07,412.0,412.8,406.05,409.25,409.25,2589547.0
357,2019-05-06,411.6,413.0,408.0,411.1,411.1,5075321.0
356,2019-05-03,402.0,419.8,401.1,414.25,414.25,10118251.0
355,2019-05-02,405.45,418.0,405.1,417.2,417.2,3487135.0
354,2019-04-30,400.0,406.4,395.0,404.55,404.55,2753067.0
353,2019-04-26,399.1,405.8,393.2,399.65,399.65,3066741.0
352,2019-04-25,400.8,402.0,396.4,399.1,399.1,926294.0
351,2019-04-24,397.6,400.9,397.3,400.0,400.0,1039080.0
350,2019-04-23,399.1,403.0,396.85,397.8,397.8,1102870.0
349,2019-04-22,405.0,406.9,396.1,397.25,397.25,836332.0
348,2019-04-18,409.35,413.7,395.9,406.35,406.35,2288968.0
347,2019-04-16,407.1,412.65,403.75,408.55,408.55,2172703.0
346,2019-04-15,407.4,408.0,400.4,405.45,405.45,1802086.0
345,2019-04-12,396.05,407.0,395.2,405.35,405.35,4538289.0
344,2019-04-11,378.65,397.45,373.6,394.1,394.1,5562186.0
343,2019-04-10,381.75,384.8,375.7,377.05,377.05,1968507.0
342,2019-04-09,386.0,386.35,378.6,381.75,381.75,1529577.0
341,2019-04-08,387.9,390.0,381.65,385.4,385.4,1769899.0
340,2019-04-05,380.0,388.45,380.0,386.2,386.2,1680426.0
339,2019-04-04,385.15,385.95,377.5,378.3,378.3,1219612.0
338,2019-04-03,380.6,391.85,379.15,384.65,384.65,3425894.0
337,2019-04-02,384.45,384.5,379.1,380.25,380.25,1180504.0
336,2019-04-01,378.2,387.5,377.15,383.85,383.85,2756796.0
335,2019-03-28,371.95,373.2,368.1,371.55,371.55,1740501.0
334,2019-03-27,370.05,375.75,370.05,371.7,371.7,3879051.0
333,2019-03-26,362.2,370.25,361.05,369.55,369.55,4061590.0
332,2019-03-25,360.9,362.5,355.4,359.25,359.25,2130928.0
331,2019-03-22,364.3,367.45,361.55,363.05,363.05,1646283.0
330,2019-03-20,364.0,366.6,362.3,363.95,363.95,1211115.0
329,2019-03-19,368.0,368.85,362.5,364.15,364.15,3010431.0
328,2019-03-18,372.0,374.3,366.15,367.45,367.45,2776286.0
327,2019-03-15,367.0,372.25,366.25,370.1,370.1,7977181.0
326,2019-03-14,369.5,369.5,366.05,366.6,366.6,5356136.0
325,2019-03-13,367.5,370.85,365.3,366.15,364.52,21171413.0
324,2019-03-12,367.55,376.85,367.55,371.55,369.8959,16596749.0
323,2019-03-11,391.0,392.0,385.3,390.5,388.7616,1312055.0
322,2019-03-08,389.1,393.9,385.0,391.7,389.9563,408930.0
321,2019-03-07,390.6,394.0,384.3,391.1,389.3589,912620.0
320,2019-03-06,379.8,391.9,376.05,390.05,388.3136,1444943.0
319,2019-03-05,360.1,379.0,360.1,376.3,374.6248,1316987.0
318,2019-03-01,351.8,364.0,351.8,362.95,361.3343,1162447.0
317,2019-02-28,351.85,356.25,348.15,352.25,350.6819,1177853.0
316,2019-02-27,355.3,357.5,348.05,350.05,348.4916,429691.0
315,2019-02-26,351.0,355.75,346.35,353.7,352.1254,619615.0
314,2019-02-25,362.95,364.9,354.0,354.6,353.0214,480503.0
313,2019-02-22,358.35,364.0,356.15,362.5,360.8862,487266.0
312,2019-02-21,347.4,357.7,346.25,356.85,355.2614,546373.0
311,2019-02-20,348.6,349.75,345.75,346.3,344.7583,480124.0
310,2019-02-19,351.7,354.0,346.05,346.8,345.2561,345475.0
309,2019-02-18,359.45,362.8,349.0,350.6,349.0392,433200.0
308,2019-02-15,356.0,361.95,354.0,358.5,356.9041,645076.0
307,2019-02-14,358.0,361.7,353.55,359.5,357.8996,922903.0
306,2019-02-12,355.3,360.3,351.35,353.35,351.777,495884.0
305,2019-02-11,365.8,366.35,351.25,356.6,355.0125,693813.0
304,2019-02-08,368.3,372.8,363.55,365.05,363.4249,308347.0
303,2019-02-07,370.0,372.0,367.1,368.4,366.76,974999.0
302,2019-02-06,376.25,377.0,367.7,369.6,367.9547,489165.0
301,2019-02-05,375.0,377.3,370.6,376.25,374.575,387625.0
300,2019-02-04,372.55,377.95,370.6,376.2,374.5253,572950.0
299,2019-02-01,372.85,377.15,368.0,375.45,373.7786,854153.0
298,2019-01-31,373.0,374.5,363.0,371.6,369.9457,892055.0
297,2019-01-30,362.3,372.0,358.0,370.4,368.7511,943004.0
296,2019-01-29,366.45,366.5,357.7,360.3,358.696,793151.0
295,2019-01-28,361.0,369.5,344.4,367.3,365.6649,1405014.0
294,2019-01-25,363.95,368.75,357.0,359.4,357.8,1351651.0
293,2019-01-24,371.2,374.4,360.1,361.2,359.592,1229942.0
292,2019-01-23,385.0,389.5,371.25,373.35,371.688,1355788.0
291,2019-01-22,384.9,389.5,381.1,383.85,382.1412,1365759.0
290,2019-01-21,383.9,386.2,382.0,383.85,382.1412,900424.0
289,2019-01-18,391.0,392.45,383.0,383.7,381.9919,435544.0
288,2019-01-17,387.5,392.5,384.1,390.85,389.11,962821.0
287,2019-01-16,386.4,389.9,385.45,387.5,385.7749,962874.0
286,2019-01-15,392.1,393.7,385.1,387.5,385.7749,668054.0
285,2019-01-14,405.05,405.05,390.25,392.05,390.3047,976187.0
284,2019-01-11,408.6,409.4,404.0,406.6,404.7899,644793.0
283,2019-01-10,396.65,409.35,395.05,406.7,404.8895,1539299.0
282,2019-01-09,392.7,398.45,391.5,396.0,394.2371,815426.0
281,2019-01-08,392.9,396.0,389.2,394.7,392.9429,391569.0
280,2019-01-07,394.5,395.4,390.1,393.05,391.3002,346567.0
279,2019-01-04,392.0,394.95,387.75,393.5,391.7482,484014.0
278,2019-01-03,392.65,395.5,389.5,391.3,389.558,391423.0
277,2019-01-02,385.95,392.5,385.1,391.15,389.4087,401487.0
276,2019-01-01,387.8,388.9,385.1,386.4,384.6798,244225.0
275,2018-12-31,388.0,389.4,385.6,387.15,385.4265,380439.0
274,2018-12-28,391.4,393.4,384.5,387.35,385.6256,935219.0
