,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,2700.0,2719.5,2660.1001,2670.3,2670.3,320191.0
4223,2019-06-13,2730.0,2772.0,2685.3501,2705.1001,2705.1001,480205.0
4222,2019-06-12,2767.0,2769.8999,2720.05,2728.05,2728.05,521559.0
4221,2019-06-11,2760.0,2793.0,2745.3,2776.1499,2776.1499,465376.0
4220,2019-06-10,2794.0,2794.0,2717.2,2745.0,2745.0,493407.0
4219,2019-06-07,2790.0,2812.0,2731.8999,2762.8,2762.8,841021.0
4218,2019-06-06,2765.0,2796.0,2716.1001,2788.75,2788.75,1231094.0
4217,2019-06-04,2833.0,2835.0,2745.0,2752.7,2752.7,1051402.0
4216,2019-06-03,2712.0,2859.1499,2712.0,2840.25,2840.25,1911409.0
4215,2019-05-31,2737.7,2763.1499,2665.0,2680.25,2680.25,683661.0
4214,2019-05-30,2730.0,2743.95,2701.2,2715.2,2715.2,406544.0
4213,2019-05-29,2757.95,2757.95,2702.8,2725.5,2725.5,528550.0
4212,2019-05-28,2828.0,2828.0,2735.0,2743.1001,2743.1001,842709.0
4211,2019-05-27,2840.0,2850.0,2800.3501,2821.2,2821.2,422121.0
4210,2019-05-24,2753.0,2845.0,2750.0,2828.45,2828.45,756746.0
4209,2019-05-23,2740.0,2800.1499,2707.8999,2743.5,2743.5,1177415.0
4208,2019-05-22,2657.3999,2714.7,2638.0,2699.6499,2699.6499,463923.0
4207,2019-05-21,2725.0,2726.95,2648.0,2657.2,2657.2,445944.0
4206,2019-05-20,2690.0,2742.0,2633.55,2713.45,2713.45,722330.0
4205,2019-05-17,2523.0,2637.0,2521.8,2622.55,2622.55,962165.0
4204,2019-05-16,2495.0,2561.0,2488.0,2520.3,2520.3,283127.0
4203,2019-05-15,2525.0,2538.6001,2483.0,2493.3999,2493.3999,438740.0
4202,2019-05-14,2508.0,2534.8,2475.0,2509.75,2509.75,396304.0
4201,2019-05-13,2507.3,2537.5,2500.0,2510.75,2510.75,313902.0
4200,2019-05-10,2535.0,2560.0,2500.05,2507.3,2507.3,332771.0
4199,2019-05-09,2499.0,2555.0,2490.6001,2537.75,2537.75,585480.0
4198,2019-05-08,2525.8,2540.8501,2481.6001,2499.7,2499.7,406025.0
4197,2019-05-07,2567.8999,2568.0,2521.5,2527.3501,2527.3501,347427.0
4196,2019-05-06,2540.0,2563.0,2525.1001,2531.3,2531.3,463670.0
4195,2019-05-03,2550.0,2587.0,2537.3999,2565.3999,2565.3999,674666.0
4194,2019-05-02,2510.0,2569.3999,2492.5,2551.7,2551.7,937946.0
4193,2019-04-30,2573.0,2574.0,2477.0,2511.8501,2511.8501,1634120.0
4192,2019-04-26,2610.0,2616.75,2573.7,2604.0,2604.0,727578.0
4191,2019-04-25,2618.0,2638.0,2597.6499,2612.25,2612.25,690718.0
4190,2019-04-24,2650.0,2661.6001,2582.1499,2611.8999,2611.8999,940782.0
4189,2019-04-23,2689.0,2727.3501,2615.0,2638.05,2638.05,395502.0
4188,2019-04-22,2741.55,2749.95,2685.0,2689.5,2689.5,453998.0
4187,2019-04-18,2742.8999,2759.8999,2732.55,2741.55,2741.55,563893.0
4186,2019-04-16,2723.75,2749.8999,2715.0,2739.6499,2739.6499,741047.0
4185,2019-04-15,2653.0,2710.8999,2646.05,2700.7,2700.7,958245.0
4184,2019-04-12,2597.0,2644.8,2591.1499,2639.8999,2639.8999,925046.0
4183,2019-04-11,2600.0,2612.0,2589.6499,2601.1001,2601.1001,608414.0
4182,2019-04-10,2619.0,2619.0,2586.8,2594.3999,2594.3999,672025.0
4181,2019-04-09,2590.0,2631.95,2568.8,2623.6499,2623.6499,769508.0
4180,2019-04-08,2628.0,2643.95,2581.0,2586.8501,2586.8501,723035.0
4179,2019-04-05,2652.0,2664.0,2605.1001,2618.3999,2618.3999,722753.0
4178,2019-04-04,2599.95,2648.7,2595.0,2637.2,2637.2,2007440.0
4177,2019-04-03,2586.95,2594.0,2567.0,2580.45,2580.45,1427316.0
4176,2019-04-02,2550.3999,2599.0,2545.0,2569.95,2569.95,1063757.0
4175,2019-04-01,2573.0,2593.3999,2545.0,2558.5,2558.5,832495.0
4174,2019-03-28,2550.0,2558.0,2515.0,2525.75,2525.75,1147361.0
4173,2019-03-27,2593.8,2594.0,2535.0,2543.2,2543.2,760530.0
4172,2019-03-26,2586.0,2604.7,2546.8,2574.45,2574.45,555742.0
4171,2019-03-25,2594.0,2608.8,2537.05,2575.7,2575.7,854446.0
4170,2019-03-22,2624.45,2637.95,2594.05,2603.3,2603.3,566228.0
4169,2019-03-20,2614.05,2645.0,2593.05,2609.1499,2609.1499,877100.0
4168,2019-03-19,2659.0,2659.0,2601.0,2614.05,2614.05,978189.0
4167,2019-03-18,2745.0,2763.1499,2662.0,2669.5,2669.5,830642.0
4166,2019-03-15,2771.0,2771.0,2717.1001,2735.8501,2735.8501,916870.0
4165,2019-03-14,2813.0,2818.0,2744.1001,2751.7,2751.7,497697.0
4164,2019-03-13,2814.0,2828.0,2790.6001,2803.6499,2803.6499,380361.0
4163,2019-03-12,2840.0,2849.3999,2790.1001,2808.45,2808.45,840207.0
4162,2019-03-11,2745.0,2828.3999,2745.0,2814.75,2814.75,857601.0
4161,2019-03-08,2731.0,2758.45,2699.95,2740.3501,2740.3501,674840.0
4160,2019-03-07,2770.0,2779.0,2721.0,2730.1001,2730.1001,394045.0
4159,2019-03-06,2795.0,2815.0,2742.0,2765.8501,2765.8501,631138.0
4158,2019-03-05,2669.95,2822.0,2652.05,2795.6499,2795.6499,1107587.0
4157,2019-03-01,2649.8999,2690.6001,2640.05,2675.6001,2675.6001,918224.0
4156,2019-02-28,2700.1001,2707.6001,2620.0,2628.1001,2628.1001,870312.0
