,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,348.9,359.15,344.4,345.2,345.2,1910957.0
4223,2019-06-13,344.0,349.5,343.15,346.55,346.55,462891.0
4222,2019-06-12,349.05,349.8,345.0,345.9,345.9,200886.0
4221,2019-06-11,354.4,354.95,348.4,349.9,349.9,490246.0
4220,2019-06-10,346.1,356.5,345.9,354.4,354.4,784891.0
4219,2019-06-07,343.25,346.6,338.6,344.4,344.4,407899.0
4218,2019-06-06,347.0,348.9,341.15,342.55,342.55,851093.0
4217,2019-06-04,359.0,359.0,347.0,348.5,348.5,766161.0
4216,2019-06-03,361.5,364.75,355.35,359.55,359.55,583528.0
4215,2019-05-31,364.8,365.15,357.0,360.4,360.4,413822.0
4214,2019-05-30,355.0,365.5,352.2,364.35,364.35,691121.0
4213,2019-05-29,358.0,372.2,353.5,355.25,355.25,1823155.0
4212,2019-05-28,350.0,359.9,349.15,358.05,358.05,921739.0
4211,2019-05-27,351.05,355.4,348.9,349.95,349.95,456993.0
4210,2019-05-24,356.3,357.45,349.45,351.05,351.05,626074.0
4209,2019-05-23,360.0,363.6,355.1,356.15,356.15,490843.0
4208,2019-05-22,356.6,362.0,355.1,356.7,356.7,358715.0
4207,2019-05-21,357.1,364.75,351.35,357.85,357.85,1144824.0
4206,2019-05-20,356.35,360.0,352.5,357.05,357.05,746966.0
4205,2019-05-17,351.0,359.0,351.0,355.25,355.25,917190.0
4204,2019-05-16,349.0,355.1,346.05,352.75,352.75,493110.0
4203,2019-05-15,349.5,357.9,348.2,349.95,349.95,1303689.0
4202,2019-05-14,339.0,354.0,339.0,351.3,351.3,1165686.0
4201,2019-05-13,345.85,355.5,336.5,338.9,338.9,1588804.0
4200,2019-05-10,345.3,349.6,343.5,346.65,346.65,511654.0
4199,2019-05-09,340.2,352.2,340.2,345.7,345.7,2063565.0
4198,2019-05-08,346.9,346.9,339.3,341.25,341.25,453679.0
4197,2019-05-07,337.5,348.0,336.65,346.2,346.2,1037786.0
4196,2019-05-06,335.4,343.6,334.05,340.85,338.35,1014786.0
4195,2019-05-03,343.1,344.65,332.6,335.45,332.9896,728684.0
4194,2019-05-02,349.0,352.0,340.6,343.05,340.5338,458924.0
4193,2019-04-30,349.0,354.5,343.55,348.45,345.8943,1033948.0
4192,2019-04-26,343.7,353.7,341.15,352.4,349.8153,1778131.0
4191,2019-04-25,334.0,344.9,332.1,343.7,341.1791,2264865.0
4190,2019-04-24,345.5,349.85,326.85,332.6,330.1605,4239872.0
4189,2019-04-23,341.0,348.15,332.15,346.0,343.4622,1373839.0
4188,2019-04-22,339.85,342.9,337.0,339.55,337.0595,1171608.0
4187,2019-04-18,347.65,348.0,334.3,337.4,334.9253,956983.0
4186,2019-04-16,350.0,351.25,343.45,344.5,341.9732,698260.0
4185,2019-04-15,339.8,350.35,338.0,349.1,346.5395,1709368.0
4184,2019-04-12,342.2,343.8,336.7,337.65,335.1735,809928.0
4183,2019-04-11,347.2,350.95,341.4,342.05,339.5412,675962.0
4182,2019-04-10,352.5,352.5,345.9,347.35,344.8023,1156559.0
4181,2019-04-09,352.0,356.7,349.2,351.5,348.9219,1037723.0
4180,2019-04-08,365.0,365.6,347.3,351.35,348.773,1758420.0
4179,2019-04-05,364.0,364.0,357.5,359.65,357.0121,765183.0
4178,2019-04-04,362.0,365.0,354.45,363.65,360.9828,1642107.0
4177,2019-04-03,359.9,363.4,352.1,360.85,358.2033,1975403.0
4176,2019-04-02,365.0,373.9,357.4,359.8,357.161,7368513.0
4175,2019-04-01,347.8,361.4,346.5,358.45,355.8209,1358774.0
4174,2019-03-28,339.4,340.0,335.75,338.55,336.0669,567073.0
4173,2019-03-27,328.7,338.2,328.7,336.75,334.2801,724462.0
4172,2019-03-26,330.15,331.6,325.0,328.7,326.2891,637088.0
4171,2019-03-25,335.0,337.0,327.75,330.15,327.7285,769837.0
4170,2019-03-22,343.45,343.45,336.35,337.55,335.0742,621888.0
4169,2019-03-20,344.0,344.6,339.05,341.75,339.2434,1166972.0
4168,2019-03-19,339.75,342.3,333.85,340.0,337.5062,900991.0
4167,2019-03-18,344.0,346.85,336.85,338.0,335.5209,900167.0
4166,2019-03-15,338.9,346.05,336.0,341.5,338.9952,1167129.0
4165,2019-03-14,339.0,342.5,333.1,336.55,334.0815,1048958.0
4164,2019-03-13,340.5,345.9,336.4,337.3,334.826,1533760.0
4163,2019-03-12,339.75,341.4,335.2,339.55,337.0595,1014974.0
4162,2019-03-11,346.1,348.1,335.7,337.0,334.5282,1372943.0
4161,2019-03-08,349.5,351.15,341.2,346.05,343.5118,1246873.0
4160,2019-03-07,355.35,360.3,349.2,351.2,348.6241,1066729.0
4159,2019-03-06,360.0,364.05,354.55,356.15,353.5378,745335.0
4158,2019-03-05,359.0,363.25,355.5,359.9,357.2603,925406.0
4157,2019-03-01,354.7,360.4,354.7,358.55,355.9202,522224.0
4156,2019-02-28,350.0,356.0,347.4,354.7,352.0984,678170.0
4155,2019-02-27,354.0,357.95,343.8,347.3,344.7527,985642.0
4154,2019-02-26,350.0,354.4,342.05,353.9,351.3043,1298802.0
4153,2019-02-25,357.2,361.6,352.5,353.7,351.1058,497918.0
4152,2019-02-22,353.2,360.15,352.05,358.05,355.4238,494656.0
4151,2019-02-21,356.6,356.85,351.95,353.3,350.7087,546428.0
4150,2019-02-20,354.25,359.0,352.55,356.6,353.9845,833720.0
4149,2019-02-19,354.0,356.0,350.6,353.8,351.205,486912.0
4148,2019-02-18,359.8,360.65,350.6,353.05,350.4605,822329.0
4147,2019-02-15,366.0,368.45,357.6,359.7,357.0618,598328.0
4146,2019-02-14,372.0,372.0,363.0,368.15,365.4498,1725944.0
4145,2019-02-12,354.6,362.4,349.15,358.55,355.9202,811059.0
4144,2019-02-11,356.0,358.3,350.0,354.6,351.9991,656642.0
4143,2019-02-08,351.0,362.7,350.25,356.1,353.4882,1308731.0
4142,2019-02-07,361.85,365.5,354.0,355.35,350.262,1050016.0
4141,2019-02-06,356.4,363.45,353.15,361.85,356.6689,990831.0
4140,2019-02-05,354.8,362.9,349.6,356.35,351.2477,1884180.0
4139,2019-02-04,352.5,361.5,348.55,354.9,349.8184,2070572.0
4138,2019-02-01,339.2,356.2,339.2,349.6,344.5943,2930714.0
4137,2019-01-31,320.0,347.75,312.7,342.6,337.6945,7042767.0
4136,2019-01-30,322.5,334.95,317.4,322.6,317.9809,1109975.0
4135,2019-01-29,319.0,323.9,315.55,322.25,317.6359,721055.0
4134,2019-01-28,322.8,323.7,312.25,319.6,315.0239,1386777.0
4133,2019-01-25,326.5,328.8,322.0,324.0,319.3609,1193798.0
4132,2019-01-24,333.5,333.55,325.4,326.35,321.6772,1147157.0
4131,2019-01-23,333.0,336.35,329.45,333.1,328.3306,1018253.0
4130,2019-01-22,326.45,333.0,322.5,331.6,326.8521,927404.0
4129,2019-01-21,324.05,334.5,323.9,325.85,321.1844,1423898.0
4128,2019-01-18,325.0,326.9,321.65,325.15,320.4944,689455.0
4127,2019-01-17,323.0,327.7,319.2,324.85,320.1987,1500383.0
4126,2019-01-16,318.9,326.8,317.7,323.45,318.8188,800826.0
4125,2019-01-15,316.2,323.0,313.55,319.7,315.1225,1906924.0
4124,2019-01-14,326.0,326.55,314.35,316.15,311.6233,1136102.0
4123,2019-01-11,320.0,326.45,312.2,325.15,320.4944,2309306.0
4122,2019-01-10,328.5,330.8,319.3,320.35,315.7632,1314604.0
4121,2019-01-09,329.0,333.3,327.3,329.35,324.6343,793764.0
4120,2019-01-08,333.4,333.4,327.5,328.9,324.1907,444104.0
4119,2019-01-07,335.95,335.95,329.65,331.5,326.7535,696145.0
4118,2019-01-04,332.9,333.6,319.25,331.85,327.0985,1706717.0
4117,2019-01-03,332.8,334.95,327.0,330.6,325.8664,1131624.0
4116,2019-01-02,331.75,341.25,329.1,330.75,326.0142,2016439.0
4115,2019-01-01,333.85,333.85,329.65,332.3,327.542,470450.0
4114,2018-12-31,330.95,334.2,329.55,332.9,328.1334,739629.0
4113,2018-12-28,326.0,333.85,326.0,329.95,325.2257,1247169.0
4112,2018-12-27,319.7,327.45,316.8,325.1,320.4451,1182016.0
4111,2018-12-26,313.0,316.95,307.4,315.75,311.229,741835.0
4110,2018-12-24,315.5,318.9,311.85,315.0,310.4897,942066.0
